[["LUCHT","BLAZEN","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","perslucht, drukloos maken, loslaten, puff, sputter, flutter, purge..."],
["LUCHTVAART","RAKET","AERORckt","AERO","Jet powered rockets and rocket engines., missiles.","raket, raket, jetpack, space shuttle, spacex, nasa, icbm, kernraket, kernkop"],
["ALARM","BEL","ALRMBell","ALRM","All alarms which use bells, a school bell, fire alarm bell, a railroad crossing bell.","brandbel, schoolbel, spoorwegovergangsbel, alarmbel"],
["ALARM","ZOEMER","ALRMBuzr","ALRM","All alarms using buzzers, or buzzers in general even if not technically an alarm, would probably go here. A front door buzzer.","deurzoemer, spelshow zoemer, voordeur zoemer, ingang zoemer, intercom zoemer"],
["ALARM","KLOK","ALRMClok","ALRM","Specifically alarm clocks, digital or analog. A bit of overlap with ALARMS-BELL, but clock alarms of all kinds probably best to go here.","digitale wekker, wekker, wekker"],
["ALARM","ELEKTRONISCH","ALRMElec","ALRM","All electronic alarms, pure electronic tone alarms. Home burglar alarms, smoke detectors, etc. Car alarms would go to VEHICLES-ALARMS.","brandmelder, rookmelder, CO2 melder, autoalarm, huisalarm"],
["ALARM","DIVERSEN","ALRMMisc","ALRM","Alarm sounds not fitting another category in this list.","diverse"],
["ALARM","SIRENE","ALRMSirn","ALRM","Mechanical sirens, like old klaxons. Vehicle sirens such a police, fire and ambulance to go to VEHICLES-SIREN.","claxon, ahoogahoorn, luchtalarmsirene, tornadosirene"],
["ATMOSFEER","LUCHT","AMBAir","AMB","Quiet exterior 'air' with little activity, like exterior room tones, very simple exterior ambiences. The exeterior equivalent of a room tone. If noticable activity find a better fitting category.","woestijn, winter, rustige lucht, nachtlucht, berglucht, nachtlucht"],
["ATMOSFEER","BERGEN","AMBAlpn","AMB","Mountain ambiences, for recordings and ambiences geographically linked to Alpine Environments. Some overlap with AMBIENCE-RURAL.","alpen, bergen, rockies, tetons, bergbeklimmen, bergachtig, besneeuwd, berghelling, piek"],
["ATMOSFEER","PRETPARK","AMBAmus","AMB","Theme parks and carnivals. Beware of possible rights issues with uncleared music. Carnivals, fairs, festivals. Probably arcades too.","disneyland, six-flags, themapark, pretpark, kermis, fair, county fair, midway, reizende kermis, festival, spookhuis, funhouse, arcade, pinball"],
["ATMOSFEER","VOGELZANG","AMBBird","AMB","Group songbirds, like a dawn chorus of pretty birds, where the birds are the prominent sound. Single birds would go in BIRDS-SONGBIRD.","ochtendkoor, ochtendkoor, mooie vogel, zwermen, tjilpen, twitteren, gluren"],
["ATMOSFEER","VIERING","AMBCele","AMB","Parties, New Years Eve. Not pure crowds, as that would go in CROWDS, but i.e. exterior city new years. Also see AMBIENCES-AMUSEMENT for something like a fair or festival.","openbare bijeenkomst, evenement, feest, gala, carnaval, feest, fiesta, festival"],
["ATMOSFEER","CONSTRUCTIE","AMBCnst","AMB","Construction scenes with things like jackhammers, cranes, pile drivers, composite construction scene, road construction also.","wegenbouw, bouwen, timmeren, verbouwen, huis renoveren, weg repareren, verbouwen"],
["ATMOSFEER","WOESTIJN","AMBDsrt","AMB","Quiet desert ambiences with appropriate insects and birds. Maybe tumbleweeds.","woestijn, tumbleweed, oase, kaal, woestenij, sahara, dor, zandduinen, desolaat"],
["ATMOSFEER","ONTWORPEN","AMBDsgn","AMB","Artificial designed ambience. V8.2 adds AMBIENCE-FANTASY and AMBIENCE-SCIFI which may be better fit for most 'designed' categories.","kunstmatig, ontworpen"],
["ATMOSFEER","NOODGEVAL","AMBEmrg","AMB","Crime scenes, firefighting scenes, accident scenes, with things like firefighters, police, ambulances and medics. Also see VEHICLES-EMERGENCY.","plaats delict, brandbestrijding, politie, medici, bewijsmateriaal, natuurramp, schietpartij, ongeval, catastrofe, verwonding, pileup slachtoffer"],
["ATMOSFEER","FANTASIE","AMBFant","AMB","Magical or other wordly composite ambiences, soundscapes, think Middle Earth or Pandora.","fee, fantasie, magisch, rijk, droom, middelste aarde, pandora"],
["ATMOSFEER","BOERDERIJ","AMBFarm","AMB","Specifically farm ambiences, with animals, maybe tractors working, chickens, etc. Isolated farm animals would go into ANIMALS-FARM.","boerderij, oogst, bewerking, ranch, hoeve, grange, plantage, landbouwgrond, hok, schuur, weide, zuivel, wijngaard, kraal, pastoraal"],
["ATMOSFEER","BOS","AMBForst","AMB","Forest recordings or forest composite files. Trees and birds, maybe wind in trees all together. Some overlap with AMBIENCE-RURAL or AMBIENCE-ALPINE.","bos, bos, houtgrond, boreaal bos, regenwoud, gematigd regenwoud, nevelwoud, loofbos, naaldbos"],
["ATMOSFEER","GRASLAND","AMBGras","AMB","Prairies, meadows, grazing patures, etc. But FARMS has own category if farm animals or human activity are present.","prairie, landbouwgrond, gras, weide, begrazing, weiland, vlaktes"],
["ATMOSFEER","HISTORISCH","AMBHist","AMB","Old West scenes, Roman street scenes. Composite history and ancient ambiences.","spookstad, oude westen, goudkoorts, oude Rome, oude Griekenland"],
["ATMOSFEER","HI TECH","AMBTech","AMB","Hi-tech machine rooms. Data centers, control rooms. James Bond type lairs. Spaceship interiors.","laboratorium, machinekamer, server, datacentrum, controlekamer"],
["ATMOSFEER","ZIEKENHUIS","AMBHosp","AMB","Hospital ambiences of all kinds, surgery and emergency rooms too. Possibly veterinarian hospitals too.","spoedeisende hulp, chirurgie, wachtkamer, ziekenboeg, kliniek, sanatorium, ziekenboeg"],
["ATMOSFEER","INDUSTRIEEL","AMBInd","AMB","Industrial warehouses and factories, plants or any ambience with an industrial feeling.","fabriek, fabricage, fabriek, molen, magazijn, werkplaats"],
["ATMOSFEER","INSECT","AMBInsc","AMB","Thick ambiences of insects, cicada and cricket beds mainly. May contain over sounds but main sound being large presence of insects. See also ANIMALS-INSECT for more isolated sounds.","krekels, krekels, katachtigen, zwermen, sprinkhanen"],
["ATMOSFEER","MEREN","AMBLake","AMB","Ambiences relating to lakes, not isolated lapping, but the lake version of AMBIENCE-SEASIDE. See also WATER-LAPPING.","meren, meren, kabbelen, zwemmen, reservoir, vijver, loch"],
["ATMOSFEER","MARKT","AMBMrkt","AMB","Busy exterior or interior market activity and crowds. Think vibrant international markets in Istanbul or Africa, but any market.","markt, marktplaats, verkoper, winkelgebied, bazaar, mart, beurs, vlooienmarkt, plein"],
["ATMOSFEER","DIVERSEN","AMBMisc","AMB","Ambience sounds not fitting another category in this list.","diverse"],
["ATMOSFEER","SCHEEPVAART","AMBNaut","AMB","Relating to ships at sea, shipyards, things revolving around ships. (compare to AMBIENCE-SEASIDE). Water only recordings would go to a WATER category.","nautisch, scheepswerf, poopdeck, achtersteven, boeg, achterdek, zeevarend, zeegaand, oceanisch, marine, maritiem, jachthaven"],
["ATMOSFEER","KANTOOR","AMBOffc","AMB","Workplaces, offices, people working, typing, telephones. General offices of various sizes.","kantoor, hokje, werkplek, afdeling, station, vestiging, werkplek"],
["ATMOSFEER","PARK","AMBPark","AMB","Parks, mostly city or suburban, probably usually with some human activity, city activity. Not pure nature sounds.","park, speelplaats, tuinen, botanische tuinen, stadspark, voorstedelijk park, balpark, parklandschap"],
["ATMOSFEER","GEVANGENIS","AMBPrisn","AMB","Prisons and jails, reverberant inmate walla, jail doors, buzzers, that sort of thing.","gevangenis, gevangenis, gevangenisterrein, penitentiaire inrichting, gevangenis, opsluiting, eenzame opsluiting, strafinrichting"],
["ATMOSFEER","DEMONSTRATIE","AMBPrtst","AMB","Protests, Rallies, Riots. Big mixed ambiences of crowds, shouting, yelling, chanting. Opposed to AMBIENCE-CHEERING.","protest, rally, rally's, oproer, scanderen, schreeuwen, boze menigte, marsen, demonstratie, oproer, opstand, revolutie, woedend"],
["ATMOSFEER","OPENBARE RUIMTE","AMBPubl","AMB","Except for restaurants, for any other usually indoor public places such as stores, lobbies, hotels, malls, museums. Lots of possible overlap with other categories. Use if not fitting elsewhere.","winkels, lobby's, hotels, winkelcentra, musea, openbare pleinen, binnenplaatsen, sportscholen, fitnesscentrum, motel, bibliotheek, gerechtsgebouw, rechtbank"],
["ATMOSFEER","RELIGIEUS","AMBRlgn","AMB","Church and temples, church services, religious gatherings, pilgrimages. Any ambience relating to religion.","kerk, tempel, moskee, kapel, derasar, kathedraal..."],
["ATMOSFEER","WOONWIJK","AMBHome","AMB","Something busier than a room tone, an Apartment, a House with some activity from outside etc. Interior with exterior sounds coming through closed or open doors, windows.","huis, appartement, appartement, herenhuis, huis, herenhuis, hut, huis, woonplaats"],
["ATMOSFEER","RESTAURANT","AMBRest","AMB","Restaurants and bars, pubs, places of eating and drinking, mixed crowd with glass clinks or silverware.","restaurant, bar, pub, gastropub, foodcart, diner, café, cafetaria, kantine, tearoom, saloon, coffee shop, pizzeria, fast-food, wijnbar, automaat, commissariaat, taverne, nachtclub, deli, eetcafé, brasserie, drive-in"],
["ATMOSFEER","ROOM TONE","AMBRoom","AMB","Simple room tones with little or no activity. Also see now AMBIENCE-RESIDENTIAL if more than just air is present, as it might be a better fit.","kamertoon, dode lucht, stille lucht"],
["ATMOSFEER","PLATTELAND","AMBRurl","AMB","Rural and countryside ambiences that don't fit somewhere else in this list. Nature, away from signs of people, overlap with AMBIENCE-ALPINE, DESERT, FOREST, PRAIRIE, etc.","platteland, vlakte, prairie, grasland, berg, glooiende heuvel, savanne, toendra, weide, canyon, coulee, scrub, scrubland, plateau"],
["ATMOSFEER","SCHOOL","AMBSchl","AMB","Schools of any age, kindergarten through college, hallways, lockers, voices, school bells.","lagere school, middelbare school, middelbare school, hogeschool, kleuterschool, universiteit, klaslokaal, vergadering"],
["ATMOSFEER","SCIFI","AMBSci","AMB","A composite sci-fi ambience, a complex background layered with many sci-fi elements. A complex spacehip bridge, or high-tech lab. See also SCIFI for individual elements.","ruimteschip, technisch centrum, commandocentrum, scifi, futuristisch, high-tech, hi-tec"],
["ATMOSFEER","KUST","AMBSea","AMB","Relating to beach and oceanside scenes with people. (Compare to AMBIENCE-NAUTICAL). Water only recordings would go to a WATER category.","strand, strand, kust, oever, kustlijn, zeekust, zeekust, promenade, strandresort, strandfront, dijk, dok, pier, haven, haven"],
["ATMOSFEER","SPORT","AMBSprt","AMB","Sporting events, little league baseball to major league. Use CROWDS-SPORT for clean crowd recordings.","nfl, voetbal, nba, basketbal, mlb, honkbal, tennis, sportevenement, little league, praktijk"],
["ATMOSFEER","VOORSTAD","AMBSubn","AMB","Suburban streets, average residential neighborhood, not dense like URBAN. Lawnmowers, sprinklers, birds.","voorstad, woonwijk, buurt, cul-de-sac, dorp, barrio, buitenwijk, gehucht"],
["ATMOSFEER","MOERAS","AMBSwmp","AMB","A wetland often partially or intermittently covered with water; especially : one dominated by woody vegetation. Marshes, although tecnically different, are included here. Any wetland.","kikker, moeras, everglade, wetland, oever, meer, mangrove"],
["ATMOSFEER","DORP","AMBTown","AMB","Something in between a CITY and a SUBURB. Activity, cars, pedestrians, that 'small town' or village sound. May be confusion between this, AMBIENCE-URBAN and AMBIENCE-SUBURBAN.","stad, dorp, gehucht, kleine stad, gemeenschap, nederzetting"],
["ATMOSFEER","VERKEER","AMBTraf","AMB","Specifically traffic without people. Not for a single car by, but for clean busy traffic, clean highway traffic for example. Rush hour where the sound is predominantly cars.","car bys, freeway, highway, boulevard, avenue, motorway"],
["ATMOSFEER","VERVOER","AMBTran","AMB","Not VEHICLES, but public train stations, airports, bus stations, subway stations. Not the airplane or train itself. But public places centering around transportation.","treinstation, luchthaven, busstation, metrostation, metrostation, terminal, depot, terminus"],
["ATMOSFEER","TROPISCH","AMBTrop","AMB","Jungles and rainforests, lush animal life and vegetation.","jungle, struikgewas, tropisch regenwoud, nevelwoud, tropisch"],
["ATMOSFEER","TOENDRA","AMBTndra","AMB","Treeless environments where the ground is permanently frozen, arctic, antarctic.","artic, antartic, plateau, noordpool, zuidpool, pool, gletsjer, sneeuw, ijs"],
["ATMOSFEER","ONDERGRONDS","AMBUndr","AMB","Subterranean, underground ambiences like sewers, bunkers, tunnels, dungeons, caves.","grot, druip, echo, riool, bunker, tunnel, kerker, lavabuis, kelder, ondergronds, verzonken, begraven, ondergronds, kelder, schacht, mijn, gang, doorgang"],
["ATMOSFEER","ONDERWATER","AMBUndwtr","AMB","Underwater sounding ambiences, deep bubbles and that classic undersea world sound. See also WATER-UNDERWATER.","onderwater, rif, koraal, oceaangeul, ondergedompeld, onderzees, subaquatisch, scheepswrak"],
["ATMOSFEER","STAD","AMBUrbn","AMB","Dense cities and environments. New York City or London or Mumbai. Often Dense Traffic, horns, pedestrians, buses, but really any city. Overlap with AMBIENCE-TOWN possible.","metropool, dichte stad, stad, centrum, binnenstad, grootstedelijk, bruisend, spitsuur, congestie, stadscentrum, sloppenwijk, achterbuurt, getto, financieel district"],
["ATMOSFEER","OORLOG","AMBWar","AMB","Battles, warfare, full ambiences here. Not for isolated WEAPONS or VEHICLES which have their own categories. Composite sounds of war.","oorlog, oorlogsvoering, slag, schermutseling, gevecht, gevecht, aanval, offensief, blitz, luchtaanval, bombardement, spervuur, fusillade, blitzkrieg, salvo, flak, broadside, kanonade"],
["DIEREN","AMFIBIE","ANMLAmph","ANML","Technically any amphibian, but most likely used for frogs and toads.","kikker, pad, brulkikker, salamander, salamander, koorkikker, gluurder, kropper, axolotl"],
["DIEREN","ZEE","ANMLAqua","ANML","All manner of marine and sea animals, not just mammals, but anything that lives in water.","walvis, dolfijn, bruinvis, zeeleeuw, zeehond, orka, zeekoe, walrus, zeeolifant, zee-otter, beluga, narwal, doejong, haai, pijlstaartrog, kwal, inktvis, octopus, krabben, kreeften, paling"],
["DIEREN","VLEERMUIS","ANMLBat","ANML","Bat chirps, echolocation and communicative vocalization. Wings would go under WINGS-MISC.","vliegende vos, vampiervleermuizen, fruitvleermuis..."],
["DIEREN","HUISKAT","ANMLCat","ANML","Domesticated house cats. See also ANIMALS-CAT WILD.","miauw, spinnen, kitten, poes, kat, straatkat..."],
["DIEREN","WILDE KATACHTIGEN","ANMLWcat","ANML","Wild cats as opposed to domesticated cats. Tigers and Lions.","leeuw, tijger, poema, poema, luipaard, jaguar, sneeuwluipaard, cheeta, lynx, bobcat, caracal, ocelot, panter, serval..."],
["DIEREN","HOND","ANMLDog","ANML","All Domesticated dogs, excluding wild dogs. Pet dogs. See also ANIMALS-WILD DOG for non-domesticated dogs.","hond, jachthond, blaffer, puppy, hondje, schoothondje, mutt, pooch"],
["DIEREN","WILDE HONDACHTIGEN","ANMLWdog","ANML","Wild dogs and canines like Wolves, Foxes, Coyotes etc.","wolf, vos, coyote, jakhals, dingo, lupus, canide"],
["DIEREN","BOERDERIJ","ANMLFarm","ANML","Domesticated mammals you'd find on a farm. For farm birds see BIRDS-FOWL. See also AMBIENCE-FARM.","koe, schaap, geit, varken, rund, lama, alpaca"],
["DIEREN","PAARD","ANMLHors","ANML","All members of the horse family, including donkeys and mules. See also FOOTSTEPS-HORSE and EQUIPMENT-BRIDLE.","ezel, muilezel, ezel, zebra..."],
["DIEREN","INSECT","ANMLInsc","ANML","All manner of traditional insect sounds, crickets, cicada, flies and bees. And singular insect recordings. See also AMBIENCE-INSECT now for dense ambience style recordings.","sprinkhaan, krekel, cicade, vlieg, bij, wesp, horzel, weta, kegelkop, sprinkhaan, kever, kakkerlak"],
["DIEREN","DIVERSEN","ANMLMisc","ANML","Other animals not finding a clear category.","diverse"],
["DIEREN","PRIMAAT","ANMLPrim","ANML","All members of the primate family except humans. Apes, Chimps, etc.","chimpansee, aap, gorilla, lemur, orang-oetan, kapucijn, marmoset, aap, gibbon, bonobo, baviaan"],
["DIEREN","REPTIEL","ANMLRept","ANML","All reptiles including snakes, turtles and lizzards.","slang, hagedis, alligator, krokodil, schildpad, gharial, kaaiman, gekko"],
["DIEREN","KNAAGDIER","ANMLRdnt","ANML","All manner 'gnawing' animals like rats and mice. Rodents.","muis, muizen, rat, eekhoorn, mol, stekelvarken, cavia, eekhoorn, bever, grondeekhoorn, wasbeer, prairiehond, gerbil, hamster, marmot, lemming, muskusrat, chinchilla, knaagdier"],
["DIEREN","WILD","ANMLWild","ANML","Any wild animal not explicitly defined by the list, and not domesticated. Wolves and Coyotes now to go ANIMALS-DOG WILD","beer, giraffe, nijlpaard, olifant, eland, hert, gazelle, das, miereneter, vogelbekdier, luiaard, veelvraat, everzwijn, wombat, koala, kangoeroe, wallaby, gnoe, panda, antilope, wasbeer, eland, rendier, neushoorn, aardvarken, wrattenzwijn, impala, nijlpaard, honingdas, buffel, eland..."],
["ARCHIEF","ADR","ADR","ADR","Re-recorded lines via the ADR process.","adr, loop, vervangingsdialoog"],
["ARCHIEF","ASSET","ASSET","ASSET","A delivered or stored asset, most likely for video game use, but something used in the development of a project.","asset, resource, tag"],
["ARCHIEF","BOUNCE","BNCE","BNCE","Bounces made for picture department, layered bounces.","bounce, crashdown"],
["ARCHIEF","IMPULSE RESPONSE","IR","IR","Impulse Responses, reverb and otherwise.","impulse response, IR, altiverb, reverb sample, convolutie reverb"],
["ARCHIEF","LOOP GROEP","LPGRP","LPGRP","Loop group crowds or lines. Specifically recorded in a loop group envirment and needing to tracked as such.","loop groep, walla"],
["ARCHIEF","MIX","MIX","MIX","Premixes, final mixes, mixdowns, stems.","premix, eindmix, stem, M&E, mixdown, printmaster"],
["ARCHIEF","PRODUCTIE","PFX","PFX","FX Stolen from production takes only. Beware of possible rights issues.","productie"],
["ARCHIEF","DIALOOG","PROD","PROD","Production takes, dialog lines and other spoken line production takes.","productie opname, dialoog lijn, dx"],
["ARCHIEF","RAW","RAW","RAW","Raw recording files, for example a load of a full DAT tape.","datatape, ruwe bestanden, onbewerkt"],
["ARCHIEF","REFERENTIE","REF","REF","Reference material, often restricted, used for reference only. Beware of possible rights issues.","referentie, inspiratie"],
["ARCHIEF","SCENE","SCNE","SCNE","Pre-built scenes and soundscapes, designed scenes. For example a fully build old-west scene.","readymade, prebuilt"],
["ARCHIEF","TEST TOON","TEST","TEST","Test tones used for calibration, ADR beeps, Pink Noise, Sine wave Sweeps.","adr piepjes, testtonen, bliep toon, 2pops, witte ruis, roze ruis, sinus sweeps"],
["ARCHIEF","LOGOS","TMARK","TMARK","For trademarked or copyright sounds that you need to store in your library. Jingles, logos.","handelsmerk, copyright, product geluid, gelicenseerd, geregistreerd, legaal"],
["ARCHIEF","LOPENDE WERKZAAMHEDEN","WIP","WIP","Files that aren't fully metadata'd, or mastered, tag to remind you there is work to do. Recordings awaiting mastering.","werk in uitvoering, wip, onvoltooid"],
["ARCHIEF","WTF","WTF","WTF","Literally what it says 'What the F_ck' is THIS sound... Strange otherwise uncategorizable sounds.","uncategorizable, unknown, jokes"],
["PIEP","APPARAAT","BEEPAppl","BEEP","Microwave oven beeps, dishwasher beeps.","magnetron, vaatwasser, wasmachine, droger"],
["PIEP","DIVERSEN","BEEP","BEEP","Beep sounds not fitting another category in this list. User Interface beeps go to UI-BEEPS.","piep"],
["PIEP","LOFI","BEEPLofi","BEEP","Very low fidelity, old 8-bit beeps.","atari, famicom, colecovision"],
["PIEP","MEDISCH","BEEPMed","BEEP","Beeps from various medical devices, EKG, Live Support.","EKG, ECG, KDC, hartmonitor, flatline, echografie"],
["PIEP","TIMER","BEEPTimer","BEEP","Specifically timer beeps, counting down. Classic time bomb beeps.","magnetron, ovenwekker, digitaal horloge, telefoonwekker..."],
["PIEP","VOERTUIG","BEEPVeh","BEEP","Backup beeps from a large truck or construction vehicle.","vorkheftruck pieptoon, back-up pieptoon"],
["BELLEN","DIER","BELLAnml","BELL","Bells attached to animals, like cow and sheep bells, or a dog or cat collar with a bell on it.","koebel, hawkbell, halsbandbel, schapenbel"],
["BELLEN","DEURBEL","BELLDoor","BELL","Mechanical doorbells. Would also maybe electronic doorbells in here as well to avoid confusion probably. Also see ALARMS-BUZZERS for a door buzzer.","deurbel, deurbel, ding dong, tring"],
["BELLEN","GONG","BELLGong","BELL","A large flat circular disc hit with a mallet. With v8.2 of the list most of these would now go into MUSICAL-BELLS instead.","gong, gamelan, agung, kom gong, tam-tam"],
["BELLEN","HANDBEL","BELLHand","BELL","Small to medium hand bells, dinner bells. Musical bells like HANDBELLS and CARILLION now go into MUSICAL-BELLS.","handbel, dinerbel, schoolbel, altaarbel, sleebel, jinglebells, butler bell"],
["BELLEN","GROOT ","BELLLrg","BELL","Large bells like a church bell or tower bell, or city hall bells, Big Ben. Any large bell.","tempelklok, kerkklok, luidklok, torenklok"],
["BELLEN","DIVERSEN","BELLMisc","BELL","Bell sounds not fitting another category in this list.","fietsbel, dienstbel, bel"],
["VOGELS","ROOFVOGEL","BIRDPrey","BIRD","Birds that prey on vertebrates, especially rodents. Raptors.","havik, adelaar, valk, uil, gier, condor, buizerd, wouw, visarend, kiekendief, torenvalk, karakara"],
["VOGELS","KRAAI","BIRDCrow","BIRD","Birds in Corvid family, which includes crows and ravens.","kraai, raaf, gaai, blauwe gaai, ekster, notenkraker..."],
["VOGELS","KIP","BIRDFowl","BIRD","Landfowl, wildfowl and waterfowl, also poultry. Ground feeding and many water feeding birds.","kip, fazant, kalkoen, gans, korhoen, eend, zwaan, patrijs, wintertaling, wilde eend, eider, guans, chachalacas, curassow, kwartel, fuut, chukar, ptarmigan"],
["VOGELS","DIVERSEN","BIRDMisc","BIRD","Bird sounds not fitting another category in this list.","ani, roadrunner, koekoek, specht, nachtzwaluw, armoedzaaier, kolibrie..."],
["VOGELS","ZEE","BIRDSea","BIRD","Birds that live mostly near the ocean. Seagulls, pelicans.","zeemeeuw, jan-van-gent, albatros, aalscholver, pelikaan, pinguïn, stormvogel, meeuw, stern, fregatvogel, booby, scholekster, plevier, oeverloper, bonte strandloper, bonte strandloper, alk, papegaaiduiker, murrelet, eekhoorn..."],
["VOGELS","ZANGVOGEL","BIRDSong","BIRD","Specifically singing birds, warblers, robins, thrushes, what you imagine pretty dawn chorus birds.","duif, vliegenvanger, krakeend, spotvogel, boomklever, duif, roodborstje, mus, zwaluw, tanager, lijster, vireo, grasmus, winterkoning, koolmees, mees, pendule, leeuwerik, zanglijster, kruiper, boomkruiper, gnatvanger, waterspreeuw, spreeuw, merel, bonte kraai, vleermuis, troepiaal, kardinaal, gors, merel..."],
["VOGELS","TROPISCH","BIRDTrop","BIRD","Birds living in tropical locations, jungle and tropical rainforest birds. Parrots and Toucans.","papegaai, toekan, kookaburra, liervogel, pauw, ara, neushoornvogel, kaketoe, parkiet, ibis, lepelaar, flamingo"],
["VOGELS","WATER","BIRDWade","BIRD","Long-legged, long-billed birds that feed primarily in shallow water. Think Herons and Egrets.","kraanvogel, zilverreiger, flamingo, ibis, rail, lepelaar, ooievaar, reiger, rail, sora, meerkoet, kraanvogel, reiger, roerdomp, zilverreiger, ooievaar, watersnip..."],
["BOOT","LUCHT AANGEDREVEN","BOATAir","BOAT","Specifically large fan airboats used in swamps. Think the type of boat used in the Everglades. Also hovercraft.","waaierboot, luchtboot, hovercraft"],
["BOOT","BOEGWATER","BOATWash","BOAT","The waves pushed up by a boat or ship going through the water, a relatively clean recording.","boegwas, kielzog"],
["BOOT","DEUR","BOATDoor","BOAT","Boat or Submarine doors. Some possible overlap with over DOOR categories or VEHICLES-DOOR.","luik, veerdeur, bootdeur, waterdichte deur, scheepsdeur"],
["BOOT","ELEKTRONISCH","BOATElec","BOAT","Any boat powered by electricity. Fairly rare. Possible a a radio controlled boat, or electric trolling motor.","sleepmotor"],
["BOOT","VISSEN","BOATFish","BOAT","Industrial fishing boats, crab boats, trawlers. Simple fishing boats to BOATS-MOTORBOAT.","krabbenboten, trawlers, zegenboot, lijnvaartuig, baggerschip, kieuwnetter, onderzoeksvaartuig"],
["BOOT","TOETER","BOATHorn","BOAT","Horns on boats and ships. Fog horns would go in HORNS-AIR category.","scheepshoorn, sleepboothoorn"],
["BOOT","INTERIEUR","BOATInt","BOAT","Interior ambiences on boats and ships, ferries, cruise ships, navy ships.","schip, veerboot, veerboten, cruiseschip, marine, militaire boot, sleepboot, zeilboot, jacht, olietanker, vrachtschip, vrachtschip, onderzeeër"],
["BOOT","MECHANISME","BOATMech","BOAT","All manner of boat mechanisms. Sailing ship rigging, pulleys, ropes, ship wheels. See also BOATS-DOOR.","tuigage, katrol, touw, scheepsrad, gashendel, net, kooi, fuik, anker"],
["BOOT","MILITAIR","BOATMil","BOAT","Specifically military boats and ships, destroyers, aircraft carriers. Any military boat.","patrouilleboot, destroyer, kruiser, slagkruiser, fregat, korvet, snelle aanvalsboot"],
["BOOT","DIVERSEN","BOATMisc","BOAT","Boat sounds not fitting another category in this list.","waterfiets, waterfiets"],
["BOOT","MOTORBOOT","BOATMotr","BOAT","General small boats, personal fishing boats, speedboats, pontoon boats. You average recreational boat.","kleine boot, persoonlijke vissersboot, speedboot, pontonboot, eendenboot, rubberboot"],
["BOOT","RACE","BOATRace","BOAT","Powered racing boats, not for human powered racing boats, those would go under BOATS-ROWING.","watervliegtuig, draagvleugelboot, straalboot"],
