[["气体","吹","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","稳定的气流、气压释放、释放、吹气、喷射、颤动"],
["警报","警铃","ALRMBell","ALRM","All alarms which use bells, a school bell, fire alarm bell, a railroad crossing bell.","火铃、校铃、铁路道口铃、 平交道警铃、雪橇铃"],
["警报","蜂鸣器","ALRMBuzr","ALRM","All alarms using buzzers, or buzzers in general even if not technically an alarm, would probably go here. A front door buzzer.","门铃、游戏节目蜂鸣器"],
["警报","钟表","ALRMClok","ALRM","Specifically alarm clocks, digital or analog. A bit of overlap with ALARMS-BELL, but clock alarms of all kinds probably best to go here.","数字闹钟、闹钟"],
["警报","电器","ALRMElec","ALRM","All electronic alarms, pure electronic tone alarms. Home burglar alarms, smoke detectors, etc. Car alarms would go to VEHICLES-ALARMS.","火灾探测器、家庭防盗报警器、 二氧化碳报警器、 报警器系统"],
["警报","杂项","ALRMMisc","ALRM","Alarm sounds not fitting another category in this list.","各种各样的、 其他种类的警报"],
["警报","警报","ALRMSirn","ALRM","Mechanical sirens, like old klaxons. Vehicle sirens such a police, fire and ambulance to go to VEHICLES-SIREN.","空袭警报器、汽笛、 车辆鸣笛、 警车警笛、 救护车警笛"],
["环境","空气","AMBAir","AMB","Quiet exterior 'air' with little activity, like exterior room tones, very simple exterior ambiences. The exeterior equivalent of a room tone. If noticable activity find a better fitting category.","沙漠、冬天、安静的空气、夜间空气、山间空气、房屋外空气"],
["环境","高山","AMBAlpn","AMB","Mountain ambiences, for recordings and ambiences geographically linked to Alpine Environments. Some overlap with AMBIENCE-RURAL.","山、落基山脉、群山、雪山、山腰、山峰"],
["环境","娱乐","AMBAmus","AMB","Theme parks and carnivals. Beware of possible rights issues with uncleared music. Carnivals, fairs, festivals. Probably arcades too.","迪士尼乐园、 主题公园、 游乐园、 嘉年华、 工会、 市集、 旅游博览会、 展览、 儿童乐园"],
["环境","鸟鸣","AMBBird","AMB","Group songbirds, like a dawn chorus of pretty birds, where the birds are the prominent sound. Single birds would go in BIRDS-SONGBIRD.","合唱团、鸟鸣、啁啾、鸣叫"],
["环境","庆典","AMBCele","AMB","Parties, New Years Eve. Not pure crowds, as that would go in CROWDS, but i.e. exterior city new years. Also see AMBIENCES-AMUSEMENT for something like a fair or festival.","公众聚会、活动、派对、晚会、嘉年华"],
["环境","施工","AMBCnst","AMB","Construction scenes with things like jackhammers, cranes, pile drivers, composite construction scene, road construction also.","道路建设、 建筑、 木工、手提钻、起重机、打桩机、复合施工场景、道路施工"],
["环境","沙漠","AMBDsrt","AMB","Quiet desert ambiences with appropriate insects and birds. Maybe tumbleweeds.","沙漠、风滚草、绿洲、贫瘠、荒地、撒哈拉、干旱、沙丘"],
["环境","设计","AMBDsgn","AMB","Artificial designed ambience. V8.2 adds AMBIENCE-FANTASY and AMBIENCE-SCIFI which may be better fit for most 'designed' categories.","人造场景、幻想、科幻、中土、魔幻"],
["环境","紧急","AMBEmrg","AMB","Crime scenes, firefighting scenes, accident scenes, with things like firefighters, police, ambulances and medics. Also see VEHICLES-EMERGENCY.","犯罪现场、消防、警察、医务人员、证据、自然灾害、射击、事故、灾难、伤害、泥石流、 地震、 洪水"],
["环境","奇幻","AMBFant","AMB","Magical or other wordly composite ambiences, soundscapes, think Middle Earth or Pandora.","幻想、科幻、中土世界"],
["环境","农场","AMBFarm","AMB","Specifically farm ambiences, with animals, maybe tractors working, chickens, etc. Isolated farm animals would go into ANIMALS-FARM.","农场、收获、耕作、牧场、农庄、田庄、种植园、农田、谷仓、牧场、农作物、稻谷、乳制品、葡萄园、畜栏、田园、拖拉机"],
["环境","森林","AMBForst","AMB","Forest recordings or forest composite files. Trees and birds, maybe wind in trees all together. Some overlap with AMBIENCE-RURAL or AMBIENCE-ALPINE.","森林、树林、林地、热带雨林、雨林、云雾林、落叶、针叶树、阔叶林"],
["环境","草地","AMBGras","AMB","Prairies, meadows, grazing patures, etc. But FARMS has own category if farm animals or human activity are present.","草原、农田、草地、草地、放牧、牧场、草甸"],
["环境","历史年代","AMBHist","AMB","Old West scenes, Roman street scenes. Composite history and ancient ambiences.","鬼城、 老西部、 淘金热、 古罗马、 古希腊"],
["环境","高科技","AMBTech","AMB","Hi-tech machine rooms. Data centers, control rooms. James Bond type lairs. Spaceship interiors.","实验室、机房、服务器、数据中心、控制室、宇宙飞船内部"],
["环境","医院","AMBHosp","AMB","Hospital ambiences of all kinds, surgery and emergency rooms too. Possibly veterinarian hospitals too.","急诊室、手术室、候诊室、病房、诊所、疗养院、医务室、 兽医医院"],
["环境","工业","AMBInd","AMB","Industrial warehouses and factories, plants or any ambience with an industrial feeling.","工厂、制造、厂、车间、仓库"],
["环境","昆虫","AMBInsc","AMB","Thick ambiences of insects, cicada and cricket beds mainly. May contain over sounds but main sound being large presence of insects. See also ANIMALS-INSECT for more isolated sounds.","蝉、 蟋蟀、 昆虫"],
["环境","湖岸","AMBLake","AMB","Ambiences relating to lakes, not isolated lapping, but the lake version of AMBIENCE-SEASIDE. See also WATER-LAPPING.","湖泊、湖边、水波浪、游泳、水库、池塘、湖泊"],
["环境","市场","AMBMrkt","AMB","Busy exterior or interior market activity and crowds. Think vibrant international markets in Istanbul or Africa, but any market.","市场、供应商、购物区、集市、交换、跳蚤市场、广场"],
["环境","杂项","AMBMisc","AMB","Ambience sounds not fitting another category in this list.","其他种类的环境、 各种各样的"],
["环境","航海","AMBNaut","AMB","Relating to ships at sea, shipyards, things revolving around ships. (compare to AMBIENCE-SEASIDE). Water only recordings would go to a WATER category.","航海、造船厂、船尾甲板、船头、船尾、捕鱼、 航海、远洋、船舱、 深海、 海洋、海事、码头、船坞"],
["环境","办公室","AMBOffc","AMB","Workplaces, offices, people working, typing, telephones. General offices of various sizes.","办公室、隔间、工作场所、部门、车站、分支机构、工作站"],
["环境","公园","AMBPark","AMB","Parks, mostly city or suburban, probably usually with some human activity, city activity. Not pure nature sounds.","公园、 操场、 花园、 植物园、 城市公园、 郊区公园、 棒球场"],
["环境","监狱","AMBPrisn","AMB","Prisons and jails, reverberant inmate walla, jail doors, buzzers, that sort of thing.","监狱、 监狱院子、 拘留、 监禁室、 刑罚机构、 禁闭室、 拘留所、 放风场"],
["环境","游行","AMBPrtst","AMB","Protests, Rallies, Riots. Big mixed ambiences of crowds, shouting, yelling, chanting. Opposed to AMBIENCE-CHEERING.","抗议、集会、集会、骚乱、高喊、大喊大叫、尖叫、愤怒的人群、游行、示威、动荡、反抗、革命、愤怒、 怒吼、 口号"],
["环境","公共场所","AMBPubl","AMB","Except for restaurants, for any other usually indoor public places such as stores, lobbies, hotels, malls, museums. Lots of possible overlap with other categories. Use if not fitting elsewhere.","除餐厅外其他室内或室外公共场所、商店、大堂、酒店、商场、博物馆、公共广场、庭院"],
["环境","宗教场所","AMBRlgn","AMB","Church and temples, church services, religious gatherings, pilgrimages. Any ambience relating to religion.","教堂、寺庙、清真寺、教堂、宗教集会、大教堂、朝圣"],
["环境","住宅区","AMBHome","AMB","Something busier than a room tone, an Apartment, a House with some activity from outside etc. Interior with exterior sounds coming through closed or open doors, windows.","房间、 窗外、 室内"],
["环境","餐馆","AMBRest","AMB","Restaurants and bars, pubs, places of eating and drinking, mixed crowd with glass clinks or silverware.","餐厅、酒吧、酒馆、美食酒吧、餐车、小餐馆、咖啡厅、自助餐厅、食堂、茶室、沙龙、咖啡店、比萨店、快餐店、酒吧、自动售货机、小卖部、夜总会、熟食店、餐馆"],
["环境","房间底噪","AMBRoom","AMB","Simple room tones with little or no activity. Also see now AMBIENCE-RESIDENTIAL if more than just air is present, as it might be a better fit.","房间、寂静、安静的空气、 空荡"],
["环境","农村","AMBRurl","AMB","Rural and countryside ambiences that don't fit somewhere else in this list. Nature, away from signs of people, overlap with AMBIENCE-ALPINE, DESERT, FOREST, PRAIRIE, etc.","农村、平原、草原、山、连绵起伏的丘陵、树林、草地、峡谷、断崖、灌木丛、高原、 戈壁"],
["环境","校园","AMBSchl","AMB","Schools of any age, kindergarten through college, hallways, lockers, voices, school bells.","小学、初中、高中、学院、学前班、大学、课堂、大会、教室、 操场、 学校走廊、 放学、 食堂"],
["环境","科幻","AMBSci","AMB","A composite sci-fi ambience, a complex background layered with many sci-fi elements. A complex spacehip bridge, or high-tech lab. See also SCIFI for individual elements.","科技实验室、 宇宙飞船、 赛伯朋克、 蒸汽朋克"],
["环境","海边","AMBSea","AMB","Relating to beach and oceanside scenes with people. (Compare to AMBIENCE-NAUTICAL). Water only recordings would go to a WATER category.","海滩、海边、沿海、沙滩、海岸线、海滨、木板路、海滩度假村、海堤、码头、海港、 岸边"],
["环境","运动场","AMBSprt","AMB","Sporting events, little league baseball to major league. Use CROWDS-SPORT for clean crowd recordings.","NFI、 足球、 NBA、 篮球、 美国职业棒球大联盟、 棒球、 网球、 体育赛事、 小联盟、 训练、排球、冰球"],
["环境","郊区","AMBSubn","AMB","Suburban streets, average residential neighborhood, not dense like URBAN. Lawnmowers, sprinklers, birds.","郊区、住宅、邻里、死胡同、村庄、乡村、郊区"],
["环境","沼泽地","AMBSwmp","AMB","A wetland often partially or intermittently covered with water; especially : one dominated by woody vegetation. Marshes, although tecnically different, are included here. Any wetland.","青蛙、沼泽、湿地、河岸、湖边、湖、红树林、 湿地树木"],
["环境","小镇","AMBTown","AMB","Something in between a CITY and a SUBURB. Activity, cars, pedestrians, that 'small town' or village sound. May be confusion between this, AMBIENCE-URBAN and AMBIENCE-SUBURBAN.","镇、村、小村庄、小镇、社区、社区"],
["环境","交通","AMBTraf","AMB","Specifically traffic without people. Not for a single car by, but for clean busy traffic, clean highway traffic for example. Rush hour where the sound is predominantly cars.","车道、 高速公路、 林荫大道、 公路、 马路"],
["环境","交通工具","AMBTran","AMB","Not VEHICLES, but public train stations, airports, bus stations, subway stations. Not the airplane or train itself. But public places centering around transportation.","火车站、机场、汽车站、地铁站、终点站、车厂、火车、公交车站"],
["环境","热带","AMBTrop","AMB","Jungles and rainforests, lush animal life and vegetation.","丛林、灌木、热带雨林、云雾林、热带植物"],
["环境","冻土","AMBTndra","AMB","Treeless environments where the ground is permanently frozen, arctic, antarctic.","北极、南极、高原、极地、冰川、雪、冰原、 雪原、 暴风雪"],
["环境","地下","AMBUndr","AMB","Subterranean, underground ambiences like sewers, bunkers, tunnels, dungeons, caves.","洞穴、滴水、回声、下水道、地堡、隧道、地牢、熔岩管、地窖、地下、沉没、埋藏、地下室、竖井、矿井、通道、矿道"],
["环境","水下","AMBUndwtr","AMB","Underwater sounding ambiences, deep bubbles and that classic undersea world sound. See also WATER-UNDERWATER.","水下、礁石、珊瑚、海沟、淹没、海底、水下、海底生物、 深海、 鱼类、 鲨鱼"],
["环境","城市","AMBUrbn","AMB","Dense cities and environments. New York City or London or Mumbai. Often Dense Traffic, horns, pedestrians, buses, but really any city. Overlap with AMBIENCE-TOWN possible.","大都市、 密集的城市、 城市、 市中心、 内城、 大都会、 繁华、 高峰时间、 拥堵、 贫民窟、 金融区、 城区、 高楼、 街区、 人群"],
["环境","战争","AMBWar","AMB","Battles, warfare, full ambiences here. Not for isolated WEAPONS or VEHICLES which have their own categories. Composite sounds of war.","战争、战斗、小规模冲突、遭遇、攻击、进攻、闪电战、空袭、突袭、轰炸、弹幕、飞弹、闪电战、齐射、高射炮、战舰、大炮"],
["动物","两栖动物","ANMLAmph","ANML","Technically any amphibian, but most likely used for frogs and toads.","青蛙、蟾蜍、牛蛙、蝾螈、黄花鱼"],
["动物","水生动物","ANMLAqua","ANML","All manner of marine and sea animals, not just mammals, but anything that lives in water.","鲸鱼、 海豚、 鼠海豚、 海狮、 虎鲸、 逆戟鲸、 海牛、 海象、 海豹、 水獭、 海獭、 白鲸、 独角鲸、 儒艮、 鲨鱼、 黄貂鱼、 海蜇、 鱿鱼、 章鱼"],
["动物","蝙蝠","ANMLBat","ANML","Bat chirps, echolocation and communicative vocalization. Wings would go under WINGS-MISC.","狐蝠、吸血蝙蝠、果蝠"],
["动物","家猫","ANMLCat","ANML","Domesticated house cats. See also ANIMALS-CAT WILD.","喵、呼噜声、小猫、大猫、猫科动物、胡同猫、 长毛猫、 短毛猫"],
["动物","猫科动物","ANMLWcat","ANML","Wild cats as opposed to domesticated cats. Tigers and Lions.","狮子、老虎、美洲狮、豹、美洲虎、雪豹、猎豹、猞猁、山猫、狞猫、豹猫、豹、薮猫"],
["动物","狗","ANMLDog","ANML","All Domesticated dogs, excluding wild dogs. Pet dogs. See also ANIMALS-WILD DOG for non-domesticated dogs.","狗、猎犬、吠声、小狗、大狗、哈巴狗、杂种狗、巡回犬、 牧羊犬、 柯基、 柴犬"],
["动物","犬科动物","ANMLWdog","ANML","Wild dogs and canines like Wolves, Foxes, Coyotes etc.","狼、狐狸、土狼、豺狼、野狗、狼疮、 藏狐"],
["动物","养殖场","ANMLFarm","ANML","Domesticated mammals you'd find on a farm. For farm birds see BIRDS-FOWL. See also AMBIENCE-FARM.","牛、绵羊、山羊、猪、牛、美洲驼、羊驼、 奶牛"],
["动物","马","ANMLHors","ANML","All members of the horse family, including donkeys and mules. See also FOOTSTEPS-HORSE and EQUIPMENT-BRIDLE.","驴、骡、驴、斑马"],
["动物","昆虫","ANMLInsc","ANML","All manner of traditional insect sounds, crickets, cicada, flies and bees. And singular insect recordings. See also AMBIENCE-INSECT now for dense ambience style recordings.","蚱蜢、蟋蟀、蝉、果蝇、蜜蜂、黄蜂、 蚂蜂、大黄蜂、螳螂、独角仙、蝗虫、甲虫、蟑螂"],
["动物","其他","ANMLMisc","ANML","Other animals not finding a clear category.","其他种类的动物、 各种各样的"],
["动物","灵长类","ANMLPrim","ANML","All members of the primate family except humans. Apes, Chimps, etc.","黑猩猩、猿、大猩猩、狐猴、卷尾猴、狨猴、猴子、长臂猿、倭黑猩猩、狒狒"],
["动物","爬行动物","ANMLRept","ANML","All reptiles including snakes, turtles and lizzards.","蛇、蜥蜴、鳄鱼、鳄鱼、龟、恒河鳄、凯门鳄、壁虎"],
["动物","啮齿动物","ANMLRdnt","ANML","All manner 'gnawing' animals like rats and mice. Rodents.","老鼠、 松鼠、 鼹鼠、 豪猪、 豚鼠、 花栗鼠、 海狸、 地鼠、 浣熊、 草原土拨鼠、 沙鼠、 仓鼠、 土拨鼠、 旅鼠、 麝鼠、 龙猫"],
["动物","野生动物","ANMLWild","ANML","Any wild animal not explicitly defined by the list, and not domesticated. Wolves and Coyotes now to go ANIMALS-DOG WILD","熊、长颈鹿、河马、大象、麋鹿、鹿、斑羚、獾、食蚁兽、鸭嘴兽、树懒、金刚狼、野猪、袋熊、考拉、袋鼠、小袋鼠、角马、鬣狗、熊猫、羚羊、浣熊、麋鹿、驯鹿、犀牛、土豚、疣猪、黑斑羚、河马、蜜獾、水牛、驼鹿"],
["归档","ADR","ADR","ADR","Re-recorded lines via the ADR process.","后期录音"],
["存档","资源","ASSET","ASSET","A delivered or stored asset, most likely for video game use, but something used in the development of a project.","资产、资源、标签"],
["归档","导出","BNCE","BNCE","Bounces made for picture department, layered bounces.","素材导出、多层素材合并"],
["归档","卷积混响素材","IR","IR","Impulse Responses, reverb and otherwise.","混响、IR、卷积混响、混响采样"],
["归档","循环群组","LPGRP","LPGRP","Loop group crowds or lines. Specifically recorded in a loop group envirment and needing to tracked as such.","循环声音素材"],
["归档","混音","MIX","MIX","Premixes, final mixes, mixdowns, stems.","预混、最终混音、M&E、混音、分轨"],
["归档","其他产品素材","PFX","PFX","FX Stolen from production takes only. Beware of possible rights issues.","现场音效"],
["归档","现场录音","PROD","PROD","Production takes, dialog lines and other spoken line production takes.","对话、 台词"],
["归档","原始素材","RAW","RAW","Raw recording files, for example a load of a full DAT tape.","数据磁带、原始文件、未处理的素材"],
["归档","参考素材","REF","REF","Reference material, often restricted, used for reference only. Beware of possible rights issues.","参考、灵感"],
["归档","场景素材","SCNE","SCNE","Pre-built scenes and soundscapes, designed scenes. For example a fully build old-west scene.","素材、 设计的素材"],
["归档","测试音","TEST","TEST","Test tones used for calibration, ADR beeps, Pink Noise, Sine wave Sweeps.","adr 哔哔声、测试音、哔音、2pops、白噪声、粉红噪声、正弦波扫描、 信号"],
["归档","商标音","TMARK","TMARK","For trademarked or copyright sounds that you need to store in your library. Jingles, logos.","商标、版权、产品声音、许可、注册、合法、 标识"],
["归档","过程中素材","WIP","WIP","Files that aren't fully metadata'd, or mastered, tag to remind you there is work to do. Recordings awaiting mastering.","工作进行中、未完成"],
["归档","未确认素材","WTF","WTF","Literally what it says 'What the F_ck' is THIS sound... Strange otherwise uncategorizable sounds.","不可归类的、未知的"],
["提示音","电器","BEEPAppl","BEEP","Microwave oven beeps, dishwasher beeps.","微波炉、洗碗机、洗衣机、烘干机"],
["提示音","通用","BEEP","BEEP","Beep sounds not fitting another category in this list. User Interface beeps go to UI-BEEPS.","嘟"],
["提示音","低保真","BEEPLofi","BEEP","Very low fidelity, old 8-bit beeps.","电话音、电视音、广播"],
["提示音","医疗器械","BEEPMed","BEEP","Beeps from various medical devices, EKG, Live Support.","心电图、KDC、心脏监护仪、超声波、医用"],
["提示音","计时器","BEEPTimer","BEEP","Specifically timer beeps, counting down. Classic time bomb beeps.","微波炉、烤箱定时器、数字手表、定时器"],
["提示音","车辆","BEEPVeh","BEEP","Backup beeps from a large truck or construction vehicle.","叉车蜂鸣、备用蜂鸣"],
["钟铃","动物","BELLAnml","BELL","Bells attached to animals, like cow and sheep bells, or a dog or cat collar with a bell on it.","牛铃、狗铃、猫铃"],
["钟铃","门铃","BELLDoor","BELL","Mechanical doorbells. Would also maybe electronic doorbells in here as well to avoid confusion probably. Also see ALARMS-BUZZERS for a door buzzer.","门铃、叮咚"],
["钟铃","锣","BELLGong","BELL","A large flat circular disc hit with a mallet. With v8.2 of the list most of these would now go into MUSICAL-BELLS instead.","锣、 铜钟"],
["钟铃","手铃","BELLHand","BELL","Small to medium hand bells, dinner bells. Musical bells like HANDBELLS and CARILLION now go into MUSICAL-BELLS.","手摇铃、晚餐铃、校铃、雪橇铃"],
["钟铃","大钟","BELLLrg","BELL","Large bells like a church bell or tower bell, or city hall bells, Big Ben. Any large bell.","寺庙钟、 教堂钟、 大钟、编钟"],
["钟铃","其他","BELLMisc","BELL","Bell sounds not fitting another category in this list.","自行车铃、服务铃、呼叫铃"],
["鸟类","猛禽","BIRDPrey","BIRD","Birds that prey on vertebrates, especially rodents. Raptors.","鹰、猎鹰、猫头鹰、秃鹫、秃鹰、秃鹰、风筝、鱼鹰、鹞、红隼"],
["鸟类","乌鸦","BIRDCrow","BIRD","Birds in Corvid family, which includes crows and ravens.","乌鸦、喜鹊"],
["鸟类","家禽","BIRDFowl","BIRD","Landfowl, wildfowl and waterfowl, also poultry. Ground feeding and many water feeding birds.","鸡、雉鸡、火鸡、鹅、松鸡、鸭、天鹅、鹧鸪、野鸭、绒鸭、鹌鹑、雷鸟"],
["鸟类","其他","BIRDMisc","BIRD","Bird sounds not fitting another category in this list.","杜鹃、 啄木鸟、 夜鹰、 蜂鸟"],
["鸟类","海鸟","BIRDSea","BIRD","Birds that live mostly near the ocean. Seagulls, pelicans.","海鸥、 塘鹅、 信天翁、 鸬鹚、 鹈鹕、 企鹅、 海燕、 燕鸥、 军舰鸟、 鲣鸟、 鸻、 鹬、 海雀"],
["鸟类","鸣鸟","BIRDSong","BIRD","Specifically singing birds, warblers, robins, thrushes, what you imagine pretty dawn chorus birds.","鸽子、 知更鸟、 麻雀、 燕子、 唐纳雀、 画眉、  莺、 鹪鹩、 山雀、 云雀、 八哥、 黑鸟、鸫鸟、黑鸟"],
["鸟类","热带","BIRDTrop","BIRD","Birds living in tropical locations, jungle and tropical rainforest birds. Parrots and Toucans.","鹦鹉、 巨嘴鸟、 笑翠鸟、 琴鸟、 孔雀、 金刚鹦鹉、 犀鸟、 长尾小鹦鹉、 琵鹭、 火烈鸟"],
["鸟类","水鸟","BIRDWade","BIRD","Long-legged, long-billed birds that feed primarily in shallow water. Think Herons and Egrets.","白鹭、火烈鸟、琵鹭、鹳、苍鹭、鹬"],
["船舶","汽艇","BOATAir","BOAT","Specifically large fan airboats used in swamps. Think the type of boat used in the Everglades. Also hovercraft.","风扇船、气垫船、气垫船、香蕉船、快艇"],
["船舶","船浪","BOATWash","BOAT","The waves pushed up by a boat or ship going through the water, a relatively clean recording.","波浪、 船浪、 船波"],
["船舶","门","BOATDoor","BOAT","Boat or Submarine doors. Some possible overlap with over DOOR categories or VEHICLES-DOOR.","舱门、液压门"],
["船舶","电动船","BOATElec","BOAT","Any boat powered by electricity. Fairly rare. Possible a a radio controlled boat, or electric trolling motor.","拖钓马达、电动马达"],
["船舶","捕鱼","BOATFish","BOAT","Industrial fishing boats, crab boats, trawlers. Simple fishing boats to BOATS-MOTORBOAT.","捕蟹船、拖网渔船、围网船、线船、挖泥船、刺网船、研究船"],
["船舶","船笛","BOATHorn","BOAT","Horns on boats and ships. Fog horns would go in HORNS-AIR category.","船喇叭、拖船喇叭、汽笛"],
["小船","舱内","BOATInt","BOAT","Interior ambiences on boats and ships, ferries, cruise ships, navy ships.","船、渡轮、渡轮、游轮、海军、军船、拖船、帆船、游艇、油轮、货船、货轮、潜艇"],
["船舶","机械","BOATMech","BOAT","All manner of boat mechanisms. Sailing ship rigging, pulleys, ropes, ship wheels. See also BOATS-DOOR.","索具、滑轮、绳索、船轮、油门、网、笼、陷阱、锚"],
["船舶","军用","BOATMil","BOAT","Specifically military boats and ships, destroyers, aircraft carriers. Any military boat.","巡逻艇、 驱逐舰、 巡洋舰、 战列巡洋舰、 护卫舰、 快速攻击船"],
["船舶","其他","BOATMisc","BOAT","Boat sounds not fitting another category in this list.","桨船、桨板"],
["船舶","摩托艇","BOATMotr","BOAT","General small boats, personal fishing boats, speedboats, pontoon boats. You average recreational boat.","小船、个人渔船、快艇、浮筒船、鸭子船、小艇"],
["船舶","赛艇","BOATRace","BOAT","Powered racing boats, not for human powered racing boats, those would go under BOATS-ROWING.","水上飞机、水翼艇、喷射艇"],
["船舶","划艇","BOATRow","BOAT","Canoes, rowboats, kayaks probably, human powered boats that use oars and paddles, even racing rowboats.","手摇船、独木舟、划艇、皮划艇、桨、龙舟"],
["船舶","帆船","BOATSail","BOAT","Composite recordings of rigging and sails, isolated elements to CLOTH-FLAP for close sails, or BOATS-MECHANISM for rigging.","帆船、 单桅帆船、 双桅船、风动船"],
["船舶","大船","BOATShip","BOAT","Large ship, passenger cruise ships, oil tankers, things relating to these.","大船、 游轮、 油轮、 货船、 货轮"],
["船舶","蒸汽船","BOATStm","BOAT","Old steam paddle boats, big steam ship sounds.","蒸汽明轮船、明轮船、蒸汽机"],
["船舶","潜艇","BOATSub","BOAT","Relating to a submarine, include sonar pings. Classic 'Dive' alarm would go in ALARMS-SIREN with keyword Klaxon.","潜艇、声纳、海底、深海"],
["船舶","水下","BOATUndwtr","BOAT","Specifically boats and ships recorded underwater, usually hydrophone recordings. SUBMARINES have their own subcategory.","水下录音、 水下"],
["子弹","飞过","BLLTBy","BLLT","Bullet pass bys in air, or underwater.","子弹飞过、 子弹经过、 子弹擦过"],
["子弹","击中","BLLTImpt","BLLT","Bullet hits and impacts, on a bullet hit on any material from the ground, to wood, to a person.","子弹撞击、子弹击中、中弹"],
["子弹","其他","BLLTMisc","BLLT","Bullet sounds not fitting another category in this list.","各种各样的"],
["子弹","弹跳","BLLTRico","BLLT","Bullet ricochets, that classic old west 'ping' when a bullet bounces off something.","弹跳、 偏转、 弹出"],
["子弹","弹壳","BLLTShel","BLLT","Bullet shells ejecting and dropping to the ground. See also GUNS-HANDLING for things like loading or unloading a gun.","弹壳、弹出"],
["卡通","动物","TOONAnml","TOON","Cartoon animals, made from animals calls, props, etc. Very silly or stylized animals calls for use in Cartoons.","可爱动物叫、 憨憨动物声"],
["卡通","弹簧音","TOONBoing","TOON","Cartoon boings, like for a bouncing cartoon character. Roger Rabbit or Tigger from Winnie the Pooh.","卡通弹跳声"],
["卡通","咣当","TOONClang","TOON","Cartoon clangs, like a funny anvil hit. Most likely a very metallic resonant hit.","叮当、金属、刀光、刀剑"],
["卡通","嘎吱","TOONCreak","TOON","Cartoon creaks, some overlap or confusion with CARTOON-STRETCH possible.","橡胶、牛皮筋、硅胶"],
["卡通","号","TOONHorn","TOON","Cartoon horns, as in bulb horns, clown horns.","灯泡喇叭、 喇叭、 小丑喇叭"],
["卡通","打击","TOONImpt","TOON","Cartoon hits, bonk, boink, doink..","duang"],
["卡通","机器","TOONMach","TOON","Cartoon machines, an overly comical sounding machine or contraption. A Rube Goldberg contraption.","卡通机器"],
["卡通","杂项","TOONMisc","TOON","Cartoon sounds not fitting another category in this list.","搞笑、蠢、可爱"],
["卡通","乐句","TOONMx","TOON","Cartoon musical phrases. String plucks for a cartoon character sneaking up on another. Perhaps a cartoon musical phrase.","琶音、上升、下降、"],
