[["LUFT","BLÅS","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","tryckluft, tryckavlastning, släpp ut, puffa, spruta, fladdra, fladdra, rensa"],
["ATMOSFÄR","BYGGE","AMBCnst","AMB","Construction scenes with things like jackhammers, cranes, pile drivers, composite construction scene, road construction also.","vägbygge, byggnad, snickeri, ombyggnad, renovering, renovering av hus, vägreparation, ombyggnad"],
["ATMOSFÄR","ÖKEN","AMBDsrt","AMB","Quiet desert ambiences with appropriate insects and birds. Maybe tumbleweeds.","öken, öde, oas, karg, ödemark, sahara, torrt, sanddyner, öde"],
["ATMOSFÄR","DESIGNAD","AMBDsgn","AMB","Artificial designed ambience. V8.2 adds AMBIENCE-FANTASY and AMBIENCE-SCIFI which may be better fit for most 'designed' categories.","konstgjord, designad"],
["ATMOSFÄR","NÖDSITUATION","AMBEmrg","AMB","Crime scenes, firefighting scenes, accident scenes, with things like firefighters, police, ambulances and medics. Also see VEHICLES-EMERGENCY.","brottsplats, brandbekämpning, polis, sjukvårdare, bevismaterial, naturkatastrof, skottlossning, olycka, katastrof, skada, trafikolycka, olycksfall"],
["ATMOSFÄR","FANTASY","AMBFant","AMB","Magical or other wordly composite ambiences, soundscapes, think Middle Earth or Pandora.","älva, fantasi, magi, rike, dröm, medeljord, pandora"],
["ATMOSFÄR","LANTBRUK","AMBFarm","AMB","Specifically farm ambiences, with animals, maybe tractors working, chickens, etc. Isolated farm animals would go into ANIMALS-FARM.","gård, skörd, jordbearbetning, ranch, gårdshus, grange, plantage, åkermark, stall, lada, betesmark, mejeri, vingård, korral, betesmark"],
["ATMOSFÄR","SKOG","AMBForst","AMB","Forest recordings or forest composite files. Trees and birds, maybe wind in trees all together. Some overlap with AMBIENCE-RURAL or AMBIENCE-ALPINE.","skog, skog, skogsmark, boreal skog, regnskog, tempererad regnskog, molnskog, lövskog, barrskog"],
["ATMOSFÄR","GRÄSMARK","AMBGras","AMB","Prairies, meadows, grazing patures, etc. But FARMS has own category if farm animals or human activity are present.","Prärie, åkermark, gräs, äng, betesmark, betesmark, slättland."],
["ATMOSFÄR","HISTORISK","AMBHist","AMB","Old West scenes, Roman street scenes. Composite history and ancient ambiences.","spökstad, gamla västern, guldrushen, det antika Rom, det antika Grekland"],
["ATMOSFÄR","HI-TECH","AMBTech","AMB","Hi-tech machine rooms. Data centers, control rooms. James Bond type lairs. Spaceship interiors.","laboratorium, maskinrum, server, datacenter, kontrollrum"],
["ATMOSFÄR","SJUKVÅRD","AMBHosp","AMB","Hospital ambiences of all kinds, surgery and emergency rooms too. Possibly veterinarian hospitals too.","akutmottagning, operation, väntrum, sjukhus, klinik, sanatorium, sjukstuga"],
["ATMOSFÄR","INDUSTRI","AMBInd","AMB","Industrial warehouses and factories, plants or any ambience with an industrial feeling.","fabrik, tillverkning, anläggning, kvarn, lager, verkstad"],
["ATMOSFÄR","INSEKT","AMBInsc","AMB","Thick ambiences of insects, cicada and cricket beds mainly. May contain over sounds but main sound being large presence of insects. See also ANIMALS-INSECT for more isolated sounds.","syrsor, cikador, katydider, svampar, gräshoppor"],
["ATMOSFÄR","SJÖSIDA","AMBLake","AMB","Ambiences relating to lakes, not isolated lapping, but the lake version of AMBIENCE-SEASIDE. See also WATER-LAPPING.","sjöar, sjöar, sjöar, bad, badning, reservoar, damm, loch"],
["ATMOSFÄR","MARKNAD","AMBMrkt","AMB","Busy exterior or interior market activity and crowds. Think vibrant international markets in Istanbul or Africa, but any market.","marknad, marknadsplats, försäljare, shoppingdistrikt, basar, marknadsplats, börs, loppmarknad, torg"],
["ATMOSFÄR","DIVERSE","AMBMisc","AMB","Ambience sounds not fitting another category in this list.","diverse"],
["ATMOSFÄR","MARIN","AMBNaut","AMB","Relating to ships at sea, shipyards, things revolving around ships. (compare to AMBIENCE-SEASIDE). Water only recordings would go to a WATER category.","nautisk, varv, poopdeck, akter, aktern, bog, akter, sjöfart, sjöfart, oceanisk, marin, maritim, marina"],
["ATMOSFÄR","KONTOR","AMBOffc","AMB","Workplaces, offices, people working, typing, telephones. General offices of various sizes.","kontor, bås, arbetsplats, avdelning, station, filial, arbetsstation"],
["ATMOSFÄR","PARK","AMBPark","AMB","Parks, mostly city or suburban, probably usually with some human activity, city activity. Not pure nature sounds.","park, lekplats, trädgårdar, botaniska trädgårdar, stadspark, förortspark, bollpark, parkmark"],
["ATMOSFÄR","FÄNGELSE","AMBPrisn","AMB","Prisons and jails, reverberant inmate walla, jail doors, buzzers, that sort of thing.","fängelse, fängelse, fängelsegård, straffanstalt, slammer, fängelsehus, häktning, isoleringscell, straffanstalt"],
["ATMOSFÄR","PROTEST","AMBPrtst","AMB","Protests, Rallies, Riots. Big mixed ambiences of crowds, shouting, yelling, chanting. Opposed to AMBIENCE-CHEERING.","protest, demonstration, demonstrationer, upplopp, skanderande, skrikande, skrikande, ilsken folkmassa, marscher, demonstration, tumult, revolt, revolution, arg"],
["ATMOSFÄR","ALLMÄN PLATS","AMBPubl","AMB","Except for restaurants, for any other usually indoor public places such as stores, lobbies, hotels, malls, museums. Lots of possible overlap with other categories. Use if not fitting elsewhere.","affärer, lobbys, hotell, köpcentra, museer, offentliga platser, innergårdar, gym, fitnesscenter, motell, bibliotek, domstolsbyggnad, domstol"],
["ATMOSFÄR","RELIGIÖS","AMBRlgn","AMB","Church and temples, church services, religious gatherings, pilgrimages. Any ambience relating to religion.","kyrka, tempel, moské, kapell, derasar, katedral"],
["ATMOSFÄR","BOSTADS","AMBHome","AMB","Something busier than a room tone, an Apartment, a House with some activity from outside etc. Interior with exterior sounds coming through closed or open doors, windows.","hem, lägenhet, bostadsrätt, herrgård, hus, radhus, stuga, hus, bostad"],
["ATMOSFÄR","RESTAURANG","AMBRest","AMB","Restaurants and bars, pubs, places of eating and drinking, mixed crowd with glass clinks or silverware.","Restaurang, bar, pub, gastropub, matvagn, matkasse, café, cafeteria, matsal, tehall, salong, kafé, pizzeria, snabbmat, vinbar, automat, kommissarie, taverna, nattklubb, deli, matställe, brasserie, drive-in."],
["ATMOSFÄR","RUMSATMOSFÄR","AMBRoom","AMB","Simple room tones with little or no activity. Also see now AMBIENCE-RESIDENTIAL if more than just air is present, as it might be a better fit.","Rumstoner, död luft, tyst luft."],
["ATMOSFÄR","LANTLIG","AMBRurl","AMB","Rural and countryside ambiences that don't fit somewhere else in this list. Nature, away from signs of people, overlap with AMBIENCE-ALPINE, DESERT, FOREST, PRAIRIE, etc.","landsbygd, slätt, prärie, gräsmark, berg, böljande kullar, savann, tundra, äng, canyon, coulee, buskage, buskmark, platå."],
["ATMOSFÄR","SKOLA","AMBSchl","AMB","Schools of any age, kindergarten through college, hallways, lockers, voices, school bells.","Grundskola, mellanstadium, högstadium, universitet, förskola, universitet, klassrum, samling."],
["ATMOSFÄR","SCI-FI","AMBSci","AMB","A composite sci-fi ambience, a complex background layered with many sci-fi elements. A complex spacehip bridge, or high-tech lab. See also SCIFI for individual elements.","Rymdskepp, teknikcentral, kommandocentral, scifi, futuristisk, högteknologisk, hi-tec"],
["ATMOSFÄR","KUST","AMBSea","AMB","Relating to beach and oceanside scenes with people. (Compare to AMBIENCE-NAUTICAL). Water only recordings would go to a WATER category.","strand, strand, strand, kust, strand, strandlinje, kust, strandlinje, sjökust, strandpromenad, strandpromenad, badort, strandpromenad, strandpromenad, strandpromenad, kaj, brygga, pir, hamn, hamn."],
["ATMOSFÄR","SPORT","AMBSprt","AMB","Sporting events, little league baseball to major league. Use CROWDS-SPORT for clean crowd recordings.","nfl, fotboll, nba, basket, mlb, baseball, tennis, sportevenemang, little league, träning"],
["ATMOSFÄR","FÖRORT","AMBSubn","AMB","Suburban streets, average residential neighborhood, not dense like URBAN. Lawnmowers, sprinklers, birds.","förort, bostadsområde, grannskap, återvändsgränd, by, barrio, utkanter, bygd"],
["ATMOSFÄR","TRÄSK","AMBSwmp","AMB","A wetland often partially or intermittently covered with water; especially : one dominated by woody vegetation. Marshes, although tecnically different, are included here. Any wetland.","groda, mosse, träsk, everglade, våtmark, strandområde, sjö, sjö, mangrove"],
["ATMOSFÄR","STAD","AMBTown","AMB","Something in between a CITY and a SUBURB. Activity, cars, pedestrians, that 'small town' or village sound. May be confusion between this, AMBIENCE-URBAN and AMBIENCE-SUBURBAN.","stad, by, hembygd, småstad, samhälle, bosättning"],
["ATMOSFÄR","TRAFIK","AMBTraf","AMB","Specifically traffic without people. Not for a single car by, but for clean busy traffic, clean highway traffic for example. Rush hour where the sound is predominantly cars.","bilväg, motorväg, motorväg, motorväg, boulevard, aveny, motorväg"],
["ATMOSFÄR","TRANSPORTMEDEL","AMBTran","AMB","Not VEHICLES, but public train stations, airports, bus stations, subway stations. Not the airplane or train itself. But public places centering around transportation.","tågstation, flygplats, busstation, tunnelbanestation, tunnelbanestation, tunnelbanestation, terminal, depå, terminus"],
["ATMOSFÄR","TROPISK","AMBTrop","AMB","Jungles and rainforests, lush animal life and vegetation.","djungel, buske, tropisk regnskog, molnskog, tropisk skog"],
["ATMOSFÄR","TUNDRA","AMBTndra","AMB","Treeless environments where the ground is permanently frozen, arctic, antarctic.","arktisk, antarktisk, platå, nordpol, sydpol, polar, glaciär, snö, is"],
["ATMOSFÄR","UNDERJORDISK","AMBUndr","AMB","Subterranean, underground ambiences like sewers, bunkers, tunnels, dungeons, caves.","grotta, dropp, eko, kloak, bunker, tunnel, fängelsehåla, lavarör, källare, underjordisk, nedsänkt, begravd, underjordisk, källare, schakt, gruva, passage, passage"],
["ATMOSFÄR","UNDERVATTEN","AMBUndwtr","AMB","Underwater sounding ambiences, deep bubbles and that classic undersea world sound. See also WATER-UNDERWATER.","undervattens, rev, korall, havsgrav, nedsänkt, undervattens, undervattens, subaquatisk, skeppsvrak"],
["ATMOSFÄR","STAD","AMBUrbn","AMB","Dense cities and environments. New York City or London or Mumbai. Often Dense Traffic, horns, pedestrians, buses, but really any city. Overlap with AMBIENCE-TOWN possible.","metropol, tät stad, stad, centrum, innerstad, storstad, livlig, rusningstid, trängsel, centrum, slum, slum, slumkvarter, ghetto, finansdistrikt"],
["ATMOSFÄR","KRIG","AMBWar","AMB","Battles, warfare, full ambiences here. Not for isolated WEAPONS or VEHICLES which have their own categories. Composite sounds of war.","krig, krigsföring, strid, slag, skärmytsling, strid, kamp, engagemang, anfall, offensiv, blitz, luftangrepp, raid, bombardemang, spärreldrag, fusillad, blitzkrig, salva, flak, bredsida, kanonad"],
["DJUR","AMFIBIE","ANMLAmph","ANML","Technically any amphibian, but most likely used for frogs and toads.","groda, padda, groda, salamander, vattensalamander, vattensalamander, vattensalamander, groda, peeper, croaker, axolotl"],
["DJUR","VATTEN","ANMLAqua","ANML","All manner of marine and sea animals, not just mammals, but anything that lives in water.","val, delfin, tumlare, sjölejon, säl, späckhuggare, orca, manatee, valross, elefantsäl, havsutter, havsutter, beluga, narval, dugong, haj, stingrock, manet, bläckfisk, bläckfisk, krabba, hummer, ål"],
["DJUR","FLADDERMUS","ANMLBat","ANML","Bat chirps, echolocation and communicative vocalization. Wings would go under WINGS-MISC.","Flyghund, vampyrfladdermus, fruktfladdermus."],
["DJUR","TAMKATT","ANMLCat","ANML","Domesticated house cats. See also ANIMALS-CAT WILD.","miav, spinn, kattunge, kattunge, kattunge, kattdjur, katt i gränden"],
["DJUR","VILDKATT","ANMLWcat","ANML","Wild cats as opposed to domesticated cats. Tigers and Lions.","lejon, tiger, puma, puma, puma, leopard, jaguar, snöleopard, gepard, lodjur, bobcat, karakal, ocelot, panter, serval."],
["DJUR","HUND","ANMLDog","ANML","All Domesticated dogs, excluding wild dogs. Pet dogs. See also ANIMALS-WILD DOG for non-domesticated dogs.","hund, jakthund, bark, hundvalp, hund, hund, knähund, mutt, hundkarl"],
["DJUR","VILDHUND","ANMLWdog","ANML","Wild dogs and canines like Wolves, Foxes, Coyotes etc.","varg, räv, prärievarg, schakal, dingo, lupus, kanid."],
["DJUR","BONDGÅRD","ANMLFarm","ANML","Domesticated mammals you'd find on a farm. For farm birds see BIRDS-FOWL. See also AMBIENCE-FARM.","ko, får, get, gris, nötkreatur, lama, alpacka"],
["DJUR","HÄST","ANMLHors","ANML","All members of the horse family, including donkeys and mules. See also FOOTSTEPS-HORSE and EQUIPMENT-BRIDLE.","åsna, mulåsna, åsna, zebra"],
["DJUR","INSEKT","ANMLInsc","ANML","All manner of traditional insect sounds, crickets, cicada, flies and bees. And singular insect recordings. See also AMBIENCE-INSECT now for dense ambience style recordings.","gräshoppa, syrsa, cikada, fluga, bi, geting, geting, geting, vete, kotte, gräshoppor, gräshoppor, skalbaggar, kackerlackor."],
["DJUR","DIVERSE","ANMLMisc","ANML","Other animals not finding a clear category.","Diverse"],
["DJUR","APA","ANMLPrim","ANML","All members of the primate family except humans. Apes, Chimps, etc.","Schimpans, apa, gorilla, lemur, orangutang, kapuciner, marmoset, apa, gibbon, bonobo, babian."],
["DJUR","REPTIL","ANMLRept","ANML","All reptiles including snakes, turtles and lizzards.","orm, ödla, alligator, krokodil, sköldpadda, gharial, kaiman, gecko"],
["DJUR","GNANGARE","ANMLRdnt","ANML","All manner 'gnawing' animals like rats and mice. Rodents.","Mus, möss, råtta, ekorre, mullvad, piggsvin, marsvin, jordekorre, bäver, mårdhund, tvättbjörn, präriehund, gerbil, hamster, murmeldjur, lemming, myskråka, chinchilla, gnagare."],
["DJUR","VILDA DJUR","ANMLWild","ANML","Any wild animal not explicitly defined by the list, and not domesticated. Wolves and Coyotes now to go ANIMALS-DOG WILD","Björn, giraff, flodhäst, elefant, älg, rådjur, gasell, grävling, myrslok, näbbdjur, sloth, järv, vildsvin, wombat, koala, känguru, wallaby, gnu, panda, antilop, tvättbjörn, älg, ren, noshörning, jordnötssvin, vårtsvin, impala, flodhäst, honungsgrävling, buffel, älg."],
["ARKIV","ADR","ADR","ADR","Re-recorded lines via the ADR process.","adr, loop, ersättningsdialog"],
["ARKIV","RESURS","ASSET","ASSET","A delivered or stored asset, most likely for video game use, but something used in the development of a project.","tillgång, resurs, tagg"],
["ARKIV","BOUNCE","BNCE","BNCE","Bounces made for picture department, layered bounces.","studs, krasch"],
["ARKIV","IMPULSRESPONS","IR","IR","Impulse Responses, reverb and otherwise.","impulssvar, IR, altiverb, reverbprov, konvolutionsreverb, konvolutionsreverb"],
["ARKIV","LOOP GROUP","LPGRP","LPGRP","Loop group crowds or lines. Specifically recorded in a loop group envirment and needing to tracked as such.","loop group, walla"],
["ARKIV","MIX","MIX","MIX","Premixes, final mixes, mixdowns, stems.","Förmix, slutmix, stam, M&E, mixdown, printmaster."],
["ARKIV","PRODUKTIONSLJUD","PFX","PFX","FX Stolen from production takes only. Beware of possible rights issues.","produktion"],
["ARKIV","PRODUKTION","PROD","PROD","Production takes, dialog lines and other spoken line production takes.","produktionsupptagning, dialoglinje, dx"],
["ARKIV","RÅMATERIAL","RAW","RAW","Raw recording files, for example a load of a full DAT tape.","databand, råfiler, obearbetade filer, obearbetade"],
["ARKIV","REFERENS","REF","REF","Reference material, often restricted, used for reference only. Beware of possible rights issues.","referens, inspiration"],
["ARKIV","SCEN","SCNE","SCNE","Pre-built scenes and soundscapes, designed scenes. For example a fully build old-west scene.","färdigställd, färdigbyggd"],
["ARKIV","TESTTON","TEST","TEST","Test tones used for calibration, ADR beeps, Pink Noise, Sine wave Sweeps.","adr-påslag, testtoner, pipande ton, 2pops, vitt brus, rosa brus, sinusvågssvep."],
["ARKIV","UPPHOVSRÄTT SKYDDAD","TMARK","TMARK","For trademarked or copyright sounds that you need to store in your library. Jingles, logos.","varumärke, upphovsrätt, produktljud, licensierat, registrerat, lagligt"],
["ARKIV","UNDER ARBETE","WIP","WIP","Files that aren't fully metadata'd, or mastered, tag to remind you there is work to do. Recordings awaiting mastering.","pågående arbete, wip, oavslutad"],
["ARKIV","KONSTIGHETER","WTF","WTF","Literally what it says 'What the F_ck' is THIS sound... Strange otherwise uncategorizable sounds.","okategoriserbart, okänt, skämt"],
["PIP","HUSHÅLL","BEEPAppl","BEEP","Microwave oven beeps, dishwasher beeps.","mikrovågsugn, diskmaskin, tvättmaskin, torktumlare"],
["PIP","ALLMÄN","BEEP","BEEP","Beep sounds not fitting another category in this list. User Interface beeps go to UI-BEEPS.","pip"],
["PIP","LO-FI","BEEPLofi","BEEP","Very low fidelity, old 8-bit beeps.","atari, famicom, colecovision"],
["PIP","SJUKVÅRD","BEEPMed","BEEP","Beeps from various medical devices, EKG, Live Support.","EKG, EKG, KDC, hjärtmonitor, flatline, ultraljud"],
["PIP","TIMER","BEEPTimer","BEEP","Specifically timer beeps, counting down. Classic time bomb beeps.","mikrovågsugn, ugnsur, digitalklocka, telefonur"],
["PIP","FORDON","BEEPVeh","BEEP","Backup beeps from a large truck or construction vehicle.","pip för gaffeltruck, pip för backup"],
["KLOCKOR","DJUR","BELLAnml","BELL","Bells attached to animals, like cow and sheep bells, or a dog or cat collar with a bell on it.","kohällan, hakklocka, krageklocka, fårklocka"],
["KLOCKOR","DÖRR","BELLDoor","BELL","Mechanical doorbells. Would also maybe electronic doorbells in here as well to avoid confusion probably. Also see ALARMS-BUZZERS for a door buzzer.","Dörrklocka, dörrklocka, ding dong, tring"],
["KLOCKOR","GONG","BELLGong","BELL","A large flat circular disc hit with a mallet. With v8.2 of the list most of these would now go into MUSICAL-BELLS instead.","gong, gamelan, agung, bowl gong, tam-tam"],
["KLOCKOR","HAND","BELLHand","BELL","Small to medium hand bells, dinner bells. Musical bells like HANDBELLS and CARILLION now go into MUSICAL-BELLS.","handklocka, middagsklocka, skolklocka, alterklocka, slädeklocka, jinglebells, butlerklocka"],
["KLOCKOR","STOR","BELLLrg","BELL","Large bells like a church bell or tower bell, or city hall bells, Big Ben. Any large bell.","tempelklocka, kyrkklocka, klockspel, tornklocka"],
["KLOCKOR","DIVERSE","BELLMisc","BELL","Bell sounds not fitting another category in this list.","cykelklocka, serviceklocka, ringklocka"],
["FÅGLAR","ROVFÅGEL","BIRDPrey","BIRD","Birds that prey on vertebrates, especially rodents. Raptors.","hök, örn, falk, uggla, gam, kondor, svärd, drake, fiskgjuse, harr, tornfalk, karakara"],
["FÅGLAR","KRÅKA","BIRDCrow","BIRD","Birds in Corvid family, which includes crows and ravens.","kråka, korp, kråkfågel, kråkfågel, blåfågel, lärkfågel, nötkråka"],
["FÅGLAR","FJÄDERFÄ","BIRDFowl","BIRD","Landfowl, wildfowl and waterfowl, also poultry. Ground feeding and many water feeding birds.","Höns, fasaner, kalkoner, gäss, gåsar, lommar, ankor, svanar, rapphöns, kricka, gråtrut, gräsand, ejder, guan, chachalacas, curassow, vaktel, lapp, chukar, ptarmigan."],
["FÅGLAR","DIVERSE","BIRDMisc","BIRD","Bird sounds not fitting another category in this list.","ani, roadrunner, gök, hackspett, nattskärra, nattskärra, poorwill, kolibri"],
["FÅGLAR","SJÖFÅGEL","BIRDSea","BIRD","Birds that live mostly near the ocean. Seagulls, pelicans.","Mås, sothöna, albatross, skarv, pelikan, pingvin, stormfågel, mås, tärna, fregattfågel, tobis, ostronfågel, piplärka, strandpipare, dunlin, alk, lundfågel, lundfågel, gråtrut, pilgrimsfågel, pilgrimsfågel."],
["FÅGLAR","SÅNGFÅGEL","BIRDSong","BIRD","Specifically singing birds, warblers, robins, thrushes, what you imagine pretty dawn chorus birds.","Duva, flugsnappare, gropnäbb, spottfågel, nötkråka, duva, rödhake, sparv, svala, tanager, trumpetare, vireo, lövsångare, trollsländor, mesar, mesar, titthöns, pendel, lärkfågel, kungsfågel, krypven, trädkrypare, gnagare, dykare, stare, koltrast, trashank, vaxskivling, chatt, troupial, kardinal, amning, svartfågel."],
["FÅGLAR","TROPISK","BIRDTrop","BIRD","Birds living in tropical locations, jungle and tropical rainforest birds. Parrots and Toucans.","Papegoja, tukan, kookaburra, lyrfågel, påfågel, ara, hornfågel, kakadu, parakit, ibis, skedfågel, flamingo."],
["FÅGLAR","VADARE","BIRDWade","BIRD","Long-legged, long-billed birds that feed primarily in shallow water. Think Herons and Egrets.","Trana, häger, flamingo, ibis, skräntunga, skedskvätta, stork, häger, skräntunga, sora, sora, sothöna, trana, häger, bittern, häger, stork, snipa."],
["BÅTAR","SVÄVARE","BOATAir","BOAT","Specifically large fan airboats used in swamps. Think the type of boat used in the Everglades. Also hovercraft.","fläktbåt, luftbåt, svävare"],
["BÅTAR","BOGSVALL","BOATWash","BOAT","The waves pushed up by a boat or ship going through the water, a relatively clean recording.","bogspolning, kölvatten"],
["BÅTAR","DÖRR","BOATDoor","BOAT","Boat or Submarine doors. Some possible overlap with over DOOR categories or VEHICLES-DOOR.","lucka, färjedörr, båtdörr, vattentät dörr, fartygsdörr"],
["BÅTAR","ELEKTRISK","BOATElec","BOAT","Any boat powered by electricity. Fairly rare. Possible a a radio controlled boat, or electric trolling motor.","trollingmotor"],
["BÅTAR","FISKEBÅT","BOATFish","BOAT","Industrial fishing boats, crab boats, trawlers. Simple fishing boats to BOATS-MOTORBOAT.","krabbbåtar, trålare, notfartyg, linfartyg, mudderverk, garnfartyg, forskningsfartyg."],
["BÅTAR","TUTA","BOATHorn","BOAT","Horns on boats and ships. Fog horns would go in HORNS-AIR category.","fartygshorn, bogserbåtshorn"],
["BÅTAR","INTERIÖR","BOATInt","BOAT","Interior ambiences on boats and ships, ferries, cruise ships, navy ships.","fartyg, färja, färjor, kryssningsfartyg, marin, militärbåt, bogserbåt, segelbåt, yacht, oljetanker, lastfartyg, fraktfartyg, ubåt"],
["BÅTAR","MEKANISM","BOATMech","BOAT","All manner of boat mechanisms. Sailing ship rigging, pulleys, ropes, ship wheels. See also BOATS-DOOR.","rigg, remskiva, rep, fartygshjul, gaspedal, nät, bur, fälla, ankare."],
["BÅTAR","MILITÄR","BOATMil","BOAT","Specifically military boats and ships, destroyers, aircraft carriers. Any military boat.","Patrullbåt, förstörare, kryssare, slagkryssare, fregatt, korvett, snabb attackbåt."],
["BÅTAR","DIVERSE","BOATMisc","BOAT","Boat sounds not fitting another category in this list.","paddelbåt, paddelbräda"],
["BÅTAR","MOTORBÅT","BOATMotr","BOAT","General small boats, personal fishing boats, speedboats, pontoon boats. You average recreational boat.","liten båt, personlig fiskebåt, motorbåt, pontonbåt, ankbåt, jolle"],
