[["LUFT","BLÆSE","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","trykluft, trykaflastning, frigivelse, puff, sputter, flutter, flutter, rensning"],
["ATMOSFÆRE","FORLYSTELSE","AMBAmus","AMB","Theme parks and carnivals. Beware of possible rights issues with uncleared music. Carnivals, fairs, festivals. Probably arcades too.","Disneyland, six-flags, forlystelsespark, forlystelsespark, tivoli, tivoli, tivoli, tivoli, tivoli, tivoli, tivoli, festival, spøgelseshus, funhouse, arkade, flipperspil"],
["ATMOSFÆRE","FUGLESANG","AMBBird","AMB","Group songbirds, like a dawn chorus of pretty birds, where the birds are the prominent sound. Single birds would go in BIRDS-SONGBIRD.","morgenkor, morgenkor, smuk fugl, flok, kvidren, kvidren, kvidren, kvidren, kikken"],
["ATMOSFÆRE","FEJRING","AMBCele","AMB","Parties, New Years Eve. Not pure crowds, as that would go in CROWDS, but i.e. exterior city new years. Also see AMBIENCES-AMUSEMENT for something like a fair or festival.","offentlig forsamling, begivenhed, fest, fest, galla, karneval, fest, fiesta, festival"],
["ATMOSFÆRE","KONSTRUKTION","AMBCnst","AMB","Construction scenes with things like jackhammers, cranes, pile drivers, composite construction scene, road construction also.","vejbygning, bygning, tømrerarbejde, ombygning, renovering, renovering af hus, reparation af vej, ombygning"],
["ATMOSFÆRE","ØRKEN","AMBDsrt","AMB","Quiet desert ambiences with appropriate insects and birds. Maybe tumbleweeds.","ørken, ørken, oase, øde, ødemark, sahara, tørt, sandklitter, øde"],
["ATMOSFÆRE","DESIGNET","AMBDsgn","AMB","Artificial designed ambience. V8.2 adds AMBIENCE-FANTASY and AMBIENCE-SCIFI which may be better fit for most 'designed' categories.","kunstig, designet"],
["ATMOSFÆRE","NØDSITUATION","AMBEmrg","AMB","Crime scenes, firefighting scenes, accident scenes, with things like firefighters, police, ambulances and medics. Also see VEHICLES-EMERGENCY.","gerningssted, brandbekæmpelse, politi, læger, beviser, naturkatastrofe, skyderi, ulykke, katastrofe, skade, sammenstød, ulykkestilfælde"],
["ATMOSFÆRE","FANTASI","AMBFant","AMB","Magical or other wordly composite ambiences, soundscapes, think Middle Earth or Pandora.","fe, fantasy, magisk, rige, drøm, middeljord, pandora"],
["ATMOSFÆRE","LANDBRUG","AMBFarm","AMB","Specifically farm ambiences, with animals, maybe tractors working, chickens, etc. Isolated farm animals would go into ANIMALS-FARM.","gård, høst, jordbearbejdning, ranch, gårdsplads, gårdsplantage, plantage, landbrugsjord, stald, lade, græsmark, mejeri, vingård, korral, græsningsområde"],
["ATMOSFÆRE","SKOVE","AMBForst","AMB","Forest recordings or forest composite files. Trees and birds, maybe wind in trees all together. Some overlap with AMBIENCE-RURAL or AMBIENCE-ALPINE.","skov, skov, skovområde, boreal skov, regnskov, regnskov, tempereret regnskov, skyskov, løvtræer, nåletræer"],
["ATMOSFÆRE","GRÆSSLETTE","AMBGras","AMB","Prairies, meadows, grazing patures, etc. But FARMS has own category if farm animals or human activity are present.","prærie, landbrugsjord, græs, eng, græsning, græsning, græsarealer, sletter"],
["ATMOSFÆRE","HISTORISK","AMBHist","AMB","Old West scenes, Roman street scenes. Composite history and ancient ambiences.","spøgelsesby, det gamle vesten, guldfeber, det gamle Rom, det gamle Grækenland"],
["ATMOSFÆRE","HØJTEKNOLOGISK","AMBTech","AMB","Hi-tech machine rooms. Data centers, control rooms. James Bond type lairs. Spaceship interiors.","laboratorium, maskinrum, server, datacenter, kontrolrum"],
["ATMOSFÆRE","SYGEHUS","AMBHosp","AMB","Hospital ambiences of all kinds, surgery and emergency rooms too. Possibly veterinarian hospitals too.","skadestue, operationsstue, venteværelse, sygehus, klinik, sanatorium, sygehus"],
["ATMOSFÆRE","INDUSTRIEL","AMBInd","AMB","Industrial warehouses and factories, plants or any ambience with an industrial feeling.","fabrik, produktion, fabrik, fabrik, mølle, lager, værksted"],
["ATMOSFÆRE","INSEKT","AMBInsc","AMB","Thick ambiences of insects, cicada and cricket beds mainly. May contain over sounds but main sound being large presence of insects. See also ANIMALS-INSECT for more isolated sounds.","fårekyllinger, cikader, katydider, svampe, græshopper"],
["ATMOSFÆRE","SØBRED","AMBLake","AMB","Ambiences relating to lakes, not isolated lapping, but the lake version of AMBIENCE-SEASIDE. See also WATER-LAPPING.","søer, søer, søer, søer, søer, søer, søer, søer, søer, søer, søer, søer"],
["ATMOSFÆRE","MARKED","AMBMrkt","AMB","Busy exterior or interior market activity and crowds. Think vibrant international markets in Istanbul or Africa, but any market.","marked, markedsplads, sælger, butikskvarter, bazar, marked, marked, børs, loppemarked, torv, plads"],
["ATMOSFÆRE","DIVERSE","AMBMisc","AMB","Ambience sounds not fitting another category in this list.","diverse"],
["ATMOSFÆRE","MARITIM","AMBNaut","AMB","Relating to ships at sea, shipyards, things revolving around ships. (compare to AMBIENCE-SEASIDE). Water only recordings would go to a WATER category.","nautisk, skibsværft, skibsværft, poopdeck, hæk, bov, agter, søfart, sejlads, oceanisk, marine, maritim, marina"],
["ATMOSFÆRE","KONTOR","AMBOffc","AMB","Workplaces, offices, people working, typing, telephones. General offices of various sizes.","kontor, bås, arbejdsplads, afdeling, station, filial, arbejdsstation"],
["ATMOSFÆRE","PARK","AMBPark","AMB","Parks, mostly city or suburban, probably usually with some human activity, city activity. Not pure nature sounds.","park, legeplads, haver, botaniske haver, bypark, forstadspark, boldbane, parklandskab"],
["ATMOSFÆRE","FÆNGSEL","AMBPrisn","AMB","Prisons and jails, reverberant inmate walla, jail doors, buzzers, that sort of thing.","fængsel, fængsel, fængselsgård, arresthus, fængsel, fængselsgård, fængsel, detention, isolationsfængsel, straffeanstalt"],
["ATMOSFÆRE","DEMONSTRATION","AMBPrtst","AMB","Protests, Rallies, Riots. Big mixed ambiences of crowds, shouting, yelling, chanting. Opposed to AMBIENCE-CHEERING.","protest, demonstration, demonstration, demonstrationer, oprør, skrig, råb, skrigende, vred menneskemængde, marcher, demonstration, uro, oprør, revolution, vred"],
["ATMOSFÆRE","OFFENTLIGT STED","AMBPubl","AMB","Except for restaurants, for any other usually indoor public places such as stores, lobbies, hotels, malls, museums. Lots of possible overlap with other categories. Use if not fitting elsewhere.","butikker, lobbyer, hoteller, indkøbscentre, museer, offentlige pladser, gårdspladser, fitnesscentre, motel, bibliotek, domhus, retssal, domstol"],
["ATMOSFÆRE","RELIGIØS","AMBRlgn","AMB","Church and temples, church services, religious gatherings, pilgrimages. Any ambience relating to religion.","kirke, tempel, moské, kapel, derasar, katedral"],
["ATMOSFÆRE","BEBOELSE","AMBHome","AMB","Something busier than a room tone, an Apartment, a House with some activity from outside etc. Interior with exterior sounds coming through closed or open doors, windows.","hjem, lejlighed, lejlighed, ejerlejlighed, palæ, hus, byhus, hytte, hus, bolig"],
["ATMOSFÆRE","RESTAURANT","AMBRest","AMB","Restaurants and bars, pubs, places of eating and drinking, mixed crowd with glass clinks or silverware.","restaurant, bar, pub, gastropub, madvogn, diner, café, cafeteria, kantine, teestue, saloon, kaffebar, pizzeria, fastfood, vinbar, automat, kommissariat, kro, natklub, deli, spisested, brasserie, drive-in"],
["ATMOSFÆRE","RUMTONE","AMBRoom","AMB","Simple room tones with little or no activity. Also see now AMBIENCE-RESIDENTIAL if more than just air is present, as it might be a better fit.","rumtone, død luft, stille luft"],
["ATMOSFÆRE","LANDDISTRIKT","AMBRurl","AMB","Rural and countryside ambiences that don't fit somewhere else in this list. Nature, away from signs of people, overlap with AMBIENCE-ALPINE, DESERT, FOREST, PRAIRIE, etc.","landskab, slette, prærie, græsland, bjerg, bakkedrag, savanne, tundra, eng, canyon, coulee, krat, busklandskab, højslette"],
["ATMOSFÆRE","SKOLE","AMBSchl","AMB","Schools of any age, kindergarten through college, hallways, lockers, voices, school bells.","grundskole, mellemskole, gymnasium, højskole, universitet, førskole, universitet, klasseværelse, forsamling"],
["ATMOSFÆRE","SCIFI","AMBSci","AMB","A composite sci-fi ambience, a complex background layered with many sci-fi elements. A complex spacehip bridge, or high-tech lab. See also SCIFI for individual elements.","rumskib, teknisk center, kommandocentral, scifi, futuristisk, højteknologisk, hi-tec"],
["ATMOSFÆRE","HAVET","AMBSea","AMB","Relating to beach and oceanside scenes with people. (Compare to AMBIENCE-NAUTICAL). Water only recordings would go to a WATER category.","beach, seaside, strand, coastal, shore, shoreline, shoreline, seashore, seaboard, boardwalk, beach resort, beachfront, embankment, dock, pier, harbour, harbor, harbor"],
["ATMOSFÆRE","SPORT","AMBSprt","AMB","Sporting events, little league baseball to major league. Use CROWDS-SPORT for clean crowd recordings.","nfl, fodbold, nba, basketball, mlb, baseball, tennis, sportsbegivenhed, lille liga, træning"],
["ATMOSFÆRE","FORSTAD","AMBSubn","AMB","Suburban streets, average residential neighborhood, not dense like URBAN. Lawnmowers, sprinklers, birds.","forstad, boligområde, kvarter, cul-de-sac, landsby, barrio, udkant, landsby, landsby"],
["ATMOSFÆRE","SUMP","AMBSwmp","AMB","A wetland often partially or intermittently covered with water; especially : one dominated by woody vegetation. Marshes, although tecnically different, are included here. Any wetland.","frø, mose, mose, sump, everglade, vådområde, flodbred, sø, sø, mangrove"],
["ATMOSFÆRE","BY","AMBTown","AMB","Something in between a CITY and a SUBURB. Activity, cars, pedestrians, that 'small town' or village sound. May be confusion between this, AMBIENCE-URBAN and AMBIENCE-SUBURBAN.","by, landsby, landsbykvarter, lille by, samfund, bebyggelse"],
["ATMOSFÆRE","TRAFIK","AMBTraf","AMB","Specifically traffic without people. Not for a single car by, but for clean busy traffic, clean highway traffic for example. Rush hour where the sound is predominantly cars.","forbi, motorvej, motorvej, motorvej, boulevard, avenue, motorvej"],
["ATMOSFÆRE","TRANSPORT","AMBTran","AMB","Not VEHICLES, but public train stations, airports, bus stations, subway stations. Not the airplane or train itself. But public places centering around transportation.","togstation, lufthavn, busstation, metrostation, metrostation, lufthavn, busstation, metrostation, metrostation, terminal, depot, terminal"],
["ATMOSFÆRE","TROPISK","AMBTrop","AMB","Jungles and rainforests, lush animal life and vegetation.","jungle, busk, tropisk regnskov, skyskov, tropisk"],
["ATMOSFÆRE","SLETTE","AMBTndra","AMB","Treeless environments where the ground is permanently frozen, arctic, antarctic.","arktisk, antarktisk, højslette, nordpol, sydpol, polar, gletsjer, sne, is"],
["ATMOSFÆRE","UNDERGRUND","AMBUndr","AMB","Subterranean, underground ambiences like sewers, bunkers, tunnels, dungeons, caves.","grotte, dryp, ekko, kloak, bunker, tunnel, fangekælder, lava-rør, kælder, underjordisk, sunken, begravet, under jorden, kælder, skakt, mine, passage, passage"],
["ATMOSFÆRE","UNDER VAND","AMBUndwtr","AMB","Underwater sounding ambiences, deep bubbles and that classic undersea world sound. See also WATER-UNDERWATER.","undersøisk, rev, koral, havgrøft, nedsænket, undersøisk, undersøisk, undervands, skibsvrag"],
["ATMOSFÆRE","BYOMRÅDE","AMBUrbn","AMB","Dense cities and environments. New York City or London or Mumbai. Often Dense Traffic, horns, pedestrians, buses, but really any city. Overlap with AMBIENCE-TOWN possible.","metropol, tæt by, by, downtown, indre by, storby, travl, myldretid, trafikprop, overbelastning, bymidte, slum, slumkvarter, slumkvarter, ghetto, finansdistrikt"],
["ATMOSFÆRE","KRIGSFØRELSE","AMBWar","AMB","Battles, warfare, full ambiences here. Not for isolated WEAPONS or VEHICLES which have their own categories. Composite sounds of war.","krig, krigsførelse, kamp, slag, skænderi, kamp, kamp, engagement, angreb, offensiv, blitz, luftangreb, raid, bombardement, spærreild, fusillade, blitzkrig, salve, flak, bredside, kanonade"],
["DYR","PADDE","ANMLAmph","ANML","Technically any amphibian, but most likely used for frogs and toads.","frø, tudse, oksefrø, salamander, salamander, salamander, salamander, salamander, frø, frø, frø, frø, frø, frø, frø, frø, frø, frø, frø, frø, frø, frø, frø, frø, frø, frø, frø"],
["DYR","AKVATISKE","ANMLAqua","ANML","All manner of marine and sea animals, not just mammals, but anything that lives in water.","hval, delfin, marsvin, søløve, sæl, dræberhval, orca, søkøer, manatee, hvalros, elefantsæl, havodder, søodder, beluga, narhval, dugong, haj, rokke, vandmand, blæksprutte, blæksprutte, blæksprutte, krabber, hummer, ål"],
["DYR","FLAGERMUS","ANMLBat","ANML","Bat chirps, echolocation and communicative vocalization. Wings would go under WINGS-MISC.","flyvende ræv, vampyrflagermus, frugtflagermus"],
["DYR","TAMKAT","ANMLCat","ANML","Domesticated house cats. See also ANIMALS-CAT WILD.","miav, spinder, kattekilling, kitty, kattekilling, kattekilling"],
["DYR","VILDKAT","ANMLWcat","ANML","Wild cats as opposed to domesticated cats. Tigers and Lions.","løve, tiger, puma, puma, puma, leopard, jaguar, sneleopard, gepard, lynx, los, bobcat, caracal, ocelot, panter, serval"],
["DYR","HUND","ANMLDog","ANML","All Domesticated dogs, excluding wild dogs. Pet dogs. See also ANIMALS-WILD DOG for non-domesticated dogs.","hund, jagthund, gø, hvalp, hundehvalp, hundehvalp, skødehund, mutt, pooch"],
["DYR","VILDHUND","ANMLWdog","ANML","Wild dogs and canines like Wolves, Foxes, Coyotes etc.","ulv, ræv, prærieulv, sjakal, dingo, lupus, canid"],
["DYR","LANDBRUG","ANMLFarm","ANML","Domesticated mammals you'd find on a farm. For farm birds see BIRDS-FOWL. See also AMBIENCE-FARM.","ko, får, ged, ged, gris, kvæg, lama, alpaka"],
["DYR","HEST","ANMLHors","ANML","All members of the horse family, including donkeys and mules. See also FOOTSTEPS-HORSE and EQUIPMENT-BRIDLE.","æsel, muldyr, æsel, zebra"],
["DYR","INSEKT","ANMLInsc","ANML","All manner of traditional insect sounds, crickets, cicada, flies and bees. And singular insect recordings. See also AMBIENCE-INSECT now for dense ambience style recordings.","græshoppe, grille, cikade, flue, bi, hveps, hveps, hveps, hvepsevåge, keglehoved, græshoppe, bille, kakerlak"],
["DYR","DIVERSE","ANMLMisc","ANML","Other animals not finding a clear category.","diverse"],
["DYR","PRIMAT","ANMLPrim","ANML","All members of the primate family except humans. Apes, Chimps, etc.","chimpanse, abe, gorilla, lemur, orangutang, kapuciner, aberneaber, abe, gibbon, bonobo, bavian"],
["DYR","KRYBDYR","ANMLRept","ANML","All reptiles including snakes, turtles and lizzards.","slange, øgle, alligator, krokodille, skildpadde, gharial, kaiman, gekko"],
["DYR","GNAVER","ANMLRdnt","ANML","All manner 'gnawing' animals like rats and mice. Rodents.","mus, mus, rotte, egern, muldvarp, pindsvin, marsvin, jordegern, bæver, bæver, mårdyr, vaskebjørn, præriehund, gerbil, hamster, murmeldyr, lemming, moskusrotte, chinchilla, gnaver"],
["DYR","VILD","ANMLWild","ANML","Any wild animal not explicitly defined by the list, and not domesticated. Wolves and Coyotes now to go ANIMALS-DOG WILD","bjørn, giraf, flodhest, elefant, elg, hjort, gazelle, grævling, myresluger, næbdyr, sloth, jærv, vildsvin, wombat, koala, kænguru, wallaby, gnu, panda, antilope, vaskebjørn, elg, rensdyr, næsehorn, jordspand, vortesvin, impala, flodhest, honninggrævling, bøffel, elg"],
["ARKIV","ADR","ADR","ADR","Re-recorded lines via the ADR process.","adr, loop, erstatningsdialog"],
["ARKIV","AKTIV","ASSET","ASSET","A delivered or stored asset, most likely for video game use, but something used in the development of a project.","aktiv, ressource, tag"],
["ARKIV","NEDMIKS","BNCE","BNCE","Bounces made for picture department, layered bounces.","bounce, crashdown"],
["ARKIV","IMPULS RESPONS","IR","IR","Impulse Responses, reverb and otherwise.","impulsrespons, IR, altiverb, reverb sample, konvolutionsreverb, konvolutionsreverb"],
["ARKIV","LOOP GRUPPE","LPGRP","LPGRP","Loop group crowds or lines. Specifically recorded in a loop group envirment and needing to tracked as such.","loop group, walla"],
["ARKIV","MIKS","MIX","MIX","Premixes, final mixes, mixdowns, stems.","premix, final mix, stamme, M&E, mixdown, printmaster"],
["ARKIV","PFX","PFX","PFX","FX Stolen from production takes only. Beware of possible rights issues.","produktion"],
["ARKIV","PRODUKTIONS TAKES","PROD","PROD","Production takes, dialog lines and other spoken line production takes.","produktionsoptagelse, dialoglinje, dx"],
["ARKIV","RÅ","RAW","RAW","Raw recording files, for example a load of a full DAT tape.","dat-bånd, råfiler, ubehandlede filer"],
["ARKIV","REFERENCE","REF","REF","Reference material, often restricted, used for reference only. Beware of possible rights issues.","reference, inspiration"],
["ARKIV","SCENE","SCNE","SCNE","Pre-built scenes and soundscapes, designed scenes. For example a fully build old-west scene.","readymade, præfabrikeret"],
["ARKIV","TEST TONE","TEST","TEST","Test tones used for calibration, ADR beeps, Pink Noise, Sine wave Sweeps.","adr-beeps, testtoner, bip-toner, 2pops, hvid støj, lyserød støj, sinusbølgesweeps"],
["ARKIV","VAREMÆRKE","TMARK","TMARK","For trademarked or copyright sounds that you need to store in your library. Jingles, logos.","varemærke, ophavsret, produktlyd, licenseret, registreret, lovlig"],
["ARKIV","IGANGVÆRENDE","WIP","WIP","Files that aren't fully metadata'd, or mastered, tag to remind you there is work to do. Recordings awaiting mastering.","igangværende arbejde, wip, ufærdigt"],
["ARKIV","HVAD HELVEDE","WTF","WTF","Literally what it says 'What the F_ck' is THIS sound... Strange otherwise uncategorizable sounds.","ikke kategoriserbart, ukendt, ukendt, vittigheder"],
["BIP","APPARAT","BEEPAppl","BEEP","Microwave oven beeps, dishwasher beeps.","mikrobølgeovn, opvaskemaskine, vaskemaskine, tørretumbler"],
["BIP","GENEREL","BEEP","BEEP","Beep sounds not fitting another category in this list. User Interface beeps go to UI-BEEPS.","bip"],
["BIP","LAVTEKNOLOGISK","BEEPLofi","BEEP","Very low fidelity, old 8-bit beeps.","atari, famicom, colecovision"],
["BIP","MEDICINSK","BEEPMed","BEEP","Beeps from various medical devices, EKG, Live Support.","EKG, EKG, KDC, hjertemonitor, flatline, ultralyd"],
["BIP","TIMER","BEEPTimer","BEEP","Specifically timer beeps, counting down. Classic time bomb beeps.","mikrobølgeovn, ovntimer, digitalur, telefontimer"],
["BIP","KØRETØJ","BEEPVeh","BEEP","Backup beeps from a large truck or construction vehicle.","bip fra gaffeltruck, bip fra backup"],
["KLOKKER","DYR","BELLAnml","BELL","Bells attached to animals, like cow and sheep bells, or a dog or cat collar with a bell on it.","koeklokke, høgeklokke, kraveklokke, fåreklokke"],
["KLOKKER","DØRKLOKKE","BELLDoor","BELL","Mechanical doorbells. Would also maybe electronic doorbells in here as well to avoid confusion probably. Also see ALARMS-BUZZERS for a door buzzer.","dørklokke, dørklokke, ding dong, tring, tring"],
["KLOKKER","GONG","BELLGong","BELL","A large flat circular disc hit with a mallet. With v8.2 of the list most of these would now go into MUSICAL-BELLS instead.","gong, gamelan, agung, skålgong, tamtam, tam-tam"],
["KLOKKER","HÅNDKLOKKE","BELLHand","BELL","Small to medium hand bells, dinner bells. Musical bells like HANDBELLS and CARILLION now go into MUSICAL-BELLS.","håndklokke, middagsklokke, skoleklokke, alterklokke, slædeklokke, jinglebells, butlerklokke"],
["KLOKKER","STOR","BELLLrg","BELL","Large bells like a church bell or tower bell, or city hall bells, Big Ben. Any large bell.","tempelklokke, kirkeklokke, klokke, klokke, tårnklokke"],
["KLOKKER","DIVERSE","BELLMisc","BELL","Bell sounds not fitting another category in this list.","cykelklokke, serviceklokke, ringeklokke"],
["FUGLE","ROVDYR","BIRDPrey","BIRD","Birds that prey on vertebrates, especially rodents. Raptors.","høg, ørn, falk, ugle, grib, gribbe, kondor, musvåge, drage, fiskeørn, rørhøg, tårnfalk, caracara"],
["FUGLE","KRAGE","BIRDCrow","BIRD","Birds in Corvid family, which includes crows and ravens.","krage, ravn, høne, blåhejre, elverhøg, nøddeknækker"],
["FUGLE","FJERKRÆ","BIRDFowl","BIRD","Landfowl, wildfowl and waterfowl, also poultry. Ground feeding and many water feeding birds.","høns, fasaner, kalkuner, gæs, gås, høns, ænder, svaner, agerhøns, krikænder, gråand, gråand, edderfugl, guaner, chakalakas, curassow, vagtler, lappedykkere, chukar, ptarmigan"],
["FUGLE","DIVERSE","BIRDMisc","BIRD","Bird sounds not fitting another category in this list.","ani, vejløber, gøg, spætte, natugle, nattergal, natravne, fattigrøven, kolibri"],
["FUGLE","HAV","BIRDSea","BIRD","Birds that live mostly near the ocean. Seagulls, pelicans.","måge, suler, albatros, skarv, pelikan, pingvin, pingvin, stormfugl, måge, måge, terner, fregatfugl, tudsefugl, østerssommerfugl, piber, strandløber, dunlin, aubergine, lunde, lomvier, vugge, mallemukker"],
["FUGLE","SANGFUGL","BIRDSong","BIRD","Specifically singing birds, warblers, robins, thrushes, what you imagine pretty dawn chorus birds.","due, fluesnapper, grosbeak, spottefugl, klirreflue, due, rødben, spurv, musvåge, svaler, tanager, drossel, vireo, sanger, troldand, mejse, krikand, mejse, mejse, hængesæk, lærke, kjove, krybbe, træklatrer, gnaskeklipper, dompap, stær, solsort, drossel, drossel, voksduesanger, kvidre, troupial, kardinal, ammet, sortfugl"],
["FUGLE","TROPISK","BIRDTrop","BIRD","Birds living in tropical locations, jungle and tropical rainforest birds. Parrots and Toucans.","papegøje, tukan, kookaburra, lyrefugl, påfugl, ara, næsehornsfugl, kakadue, parakit, ibis, skebille, flamingo"],
["FUGLE","VADE","BIRDWade","BIRD","Long-legged, long-billed birds that feed primarily in shallow water. Think Herons and Egrets.","trane, hejre, flamingo, ibis, rallen, skeand, stork, hejre, rallen, sora, blishøne, trane, hejre, rørdrum, hejre, hejre, stork, snip"],
["BÅDE","LUFTPUDEBÅD","BOATAir","BOAT","Specifically large fan airboats used in swamps. Think the type of boat used in the Everglades. Also hovercraft.","luftbåd, luftbåd, luftpudebåd, svævefly"],
["BÅDE","SKUM FOR BOVEN","BOATWash","BOAT","The waves pushed up by a boat or ship going through the water, a relatively clean recording.","bovskylning, kølvand"],
["BÅDE","DØR","BOATDoor","BOAT","Boat or Submarine doors. Some possible overlap with over DOOR categories or VEHICLES-DOOR.","luge, færgedør, båddør, vandtæt dør, skibsdør"],
["BÅDE","ELEKTRISK","BOATElec","BOAT","Any boat powered by electricity. Fairly rare. Possible a a radio controlled boat, or electric trolling motor.","trollingmotor"],
["BÅDE","FISKE","BOATFish","BOAT","Industrial fishing boats, crab boats, trawlers. Simple fishing boats to BOATS-MOTORBOAT.","krabbebåde, trawlere, notfartøjer, linefartøjer, opmudringsfartøjer, garnfartøjer, forskningsfartøjer"],
["BÅDE","HORN","BOATHorn","BOAT","Horns on boats and ships. Fog horns would go in HORNS-AIR category.","skibshorn, horn til slæbebåd, horn til slæbebåd"],
["BÅDE","INTERIØR","BOATInt","BOAT","Interior ambiences on boats and ships, ferries, cruise ships, navy ships.","skib, færge, færger, krydstogtskib, flåde, militærbåd, slæbebåd, sejlbåd, yacht, olietanker, fragtskib, fragtskib, ubåd"],
["BÅDE","MEKANISME","BOATMech","BOAT","All manner of boat mechanisms. Sailing ship rigging, pulleys, ropes, ship wheels. See also BOATS-DOOR.","rigning, remskive, tov, skibshjul, gashåndtag, net, bur, fælde, anker"],
["BÅDE","MILITÆR","BOATMil","BOAT","Specifically military boats and ships, destroyers, aircraft carriers. Any military boat.","patruljebåd, destroyer, krydser, slagkrydser, fregat, korvet, hurtig angrebsbåd"],
["BÅDE","DIVERSE","BOATMisc","BOAT","Boat sounds not fitting another category in this list.","padlebåd, padleboard"],
