[["HAVA","ÜFLEME","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","basınçlı hava, basıncı düşürmek, serbest bırakmak, puflamak, püskürmek, çırpınmak, boşaltmak"],
["AMBİYANS","ÇİFTLİK","AMBFarm","AMB","Specifically farm ambiences, with animals, maybe tractors working, chickens, etc. Isolated farm animals would go into ANIMALS-FARM.","çiftlik, hasat, toprak işleme, çiftlik, çiftlik evi, grange, plantasyon, tarım arazisi, ağıl, ahır, mera, mandıra, üzüm bağı, ağıl, pastoral"],
["AMBİYANS","ORMAN","AMBForst","AMB","Forest recordings or forest composite files. Trees and birds, maybe wind in trees all together. Some overlap with AMBIENCE-RURAL or AMBIENCE-ALPINE.","orman, ormanlar, kerestelik alan, boreal ormanı, yağmur ormanı, ılıman yağmur ormanı, bulut ormanı, yaprak döken, kozalaklı ağaç"],
["AMBİYANS","ÇAYIR","AMBGras","AMB","Prairies, meadows, grazing patures, etc. But FARMS has own category if farm animals or human activity are present.","çayır, tarım arazisi, çimen, çayır, otlak, mera, ova"],
["AMBİYANS","TARİHİ","AMBHist","AMB","Old West scenes, Roman street scenes. Composite history and ancient ambiences.","hayalet kasaba, eski batı, altına hücum, antik roma, antik yunanistan"],
["AMBİYANS","TEKNOLOJİK","AMBTech","AMB","Hi-tech machine rooms. Data centers, control rooms. James Bond type lairs. Spaceship interiors.","laboratuvar, makine odası, sunucu, veri merkezi, kontrol odası"],
["AMBİYANS","HASTANE","AMBHosp","AMB","Hospital ambiences of all kinds, surgery and emergency rooms too. Possibly veterinarian hospitals too.","acil servis, ameliyathane, bekleme odası, revir, klinik, sanatoryum, revir"],
["AMBİYANS","SANAYİ","AMBInd","AMB","Industrial warehouses and factories, plants or any ambience with an industrial feeling.","fabrika, imalat, tesis, değirmen, depo, atölye"],
["AMBİYANS","BÖCEK","AMBInsc","AMB","Thick ambiences of insects, cicada and cricket beds mainly. May contain over sounds but main sound being large presence of insects. See also ANIMALS-INSECT for more isolated sounds.","cırcır böcekleri, ağustos böcekleri, katididler, swam, çekirgeler"],
["AMBİYANS","GÖL KENARI","AMBLake","AMB","Ambiences relating to lakes, not isolated lapping, but the lake version of AMBIENCE-SEASIDE. See also WATER-LAPPING.","göller, göl kenarı, alıştırma, yüzme, rezervuar, gölet, loch"],
["AMBİYANS","PAZARYERİ","AMBMrkt","AMB","Busy exterior or interior market activity and crowds. Think vibrant international markets in Istanbul or Africa, but any market.","pazar, pazar yeri, satıcı, alışveriş bölgesi, çarşı, mart, borsa, bit pazarı, meydan"],
["AMBİYANS","DİĞER","AMBMisc","AMB","Ambience sounds not fitting another category in this list.","ÇEŞİTLİ"],
["AMBİYANS","DENİZ","AMBNaut","AMB","Relating to ships at sea, shipyards, things revolving around ships. (compare to AMBIENCE-SEASIDE). Water only recordings would go to a WATER category.","denizcilik, tersane, güverte, kıç, baş, kıç, denizcilik, denizcilik, okyanus, denizcilik, marina"],
["AMBİYANS","OFİS","AMBOffc","AMB","Workplaces, offices, people working, typing, telephones. General offices of various sizes.","ofis, kabin, işyeri, bölüm, istasyon, şube, iş istasyonu"],
["AMBİYANS","PARK","AMBPark","AMB","Parks, mostly city or suburban, probably usually with some human activity, city activity. Not pure nature sounds.","park, oyun alanı, bahçeler, botanik bahçeleri, şehir parkı, banliyö parkı, top sahası, park alanı"],
["AMBİYANS","HAPİSHANE","AMBPrisn","AMB","Prisons and jails, reverberant inmate walla, jail doors, buzzers, that sort of thing.","hapishane, hapishane, hapishane avlusu, cezaevi, hapishane, gözaltı, hücre hapsi, ceza infaz kurumu"],
["AMBİYANS","PROTESTO","AMBPrtst","AMB","Protests, Rallies, Riots. Big mixed ambiences of crowds, shouting, yelling, chanting. Opposed to AMBIENCE-CHEERING.","protesto, miting, mitingler, isyan, slogan atmak, bağırmak, çığlık atmak, öfkeli kalabalık, yürüyüşler, gösteri, kargaşa, isyan, devrim, kızgın"],
["AMBİYANS","UMUMİ","AMBPubl","AMB","Except for restaurants, for any other usually indoor public places such as stores, lobbies, hotels, malls, museums. Lots of possible overlap with other categories. Use if not fitting elsewhere.","mağazalar, lobiler, oteller, alışveriş merkezleri, müzeler, halka açık meydanlar, avlular, spor salonları, fitness merkezi, motel, kütüphane, adliye, mahkeme"],
["AMBİYANS","DİNİ","AMBRlgn","AMB","Church and temples, church services, religious gatherings, pilgrimages. Any ambience relating to religion.","kilise, tapınak, cami, şapel, derasar, katedral"],
["AMBİYANS","MESKUN","AMBHome","AMB","Something busier than a room tone, an Apartment, a House with some activity from outside etc. Interior with exterior sounds coming through closed or open doors, windows.","ev, daire, kınamak, konak, ev, şehir evi, kabin, ev, konut"],
["AMBİYANS","RESTORAN & BAR","AMBRest","AMB","Restaurants and bars, pubs, places of eating and drinking, mixed crowd with glass clinks or silverware.","restoran, bar, pub, gastropub, foodcart, diner, cafe, kafeterya, kantin, çay salonu, salon, kahve dükkanı, pizzacı, fast-food, şarap barı, otomat, kantin, taverna, gece kulübü, şarküteri, eatery, brasserie, drive-in"],
["AMBİYANS","ODA SESİ","AMBRoom","AMB","Simple room tones with little or no activity. Also see now AMBIENCE-RESIDENTIAL if more than just air is present, as it might be a better fit.","oda sesi, ölü hava, sessiz hava"],
["AMBİYANS","KIRSAL","AMBRurl","AMB","Rural and countryside ambiences that don't fit somewhere else in this list. Nature, away from signs of people, overlap with AMBIENCE-ALPINE, DESERT, FOREST, PRAIRIE, etc.","kırsal alan, ova, çayır, otlak, dağ, inişli çıkışlı tepe, savan, tundra, çayır, kanyon, kanyon, çalılık, çalılık alan, plato"],
["AMBİYANS","OKUL","AMBSchl","AMB","Schools of any age, kindergarten through college, hallways, lockers, voices, school bells.","ilkokul, ortaokul, lise, üniversite, okul öncesi, üniversite, sınıf, montaj"],
["AMBİYANS","BİLİMKURGU","AMBSci","AMB","A composite sci-fi ambience, a complex background layered with many sci-fi elements. A complex spacehip bridge, or high-tech lab. See also SCIFI for individual elements.","uzay gemisi, teknoloji merkezi, komuta merkezi, scifi, fütüristik, yüksek teknoloji, hi-tec"],
["AMBİYANS","SAHİL","AMBSea","AMB","Relating to beach and oceanside scenes with people. (Compare to AMBIENCE-NAUTICAL). Water only recordings would go to a WATER category.","plaj, deniz kenarı, sahil, kıyı, kıyı şeridi, sahil, sahil şeridi, tahta kaldırım, sahil tesisi, sahil, set, rıhtım, iskele, liman, liman"],
["AMBİYANS","SPOR","AMBSprt","AMB","Sporting events, little league baseball to major league. Use CROWDS-SPORT for clean crowd recordings.","nfl, futbol, nba, basketbol, mlb, beyzbol, tenis, spor etkinliği, küçükler ligi, antrenman"],
["AMBİYANS","BANLİYÖ","AMBSubn","AMB","Suburban streets, average residential neighborhood, not dense like URBAN. Lawnmowers, sprinklers, birds.","banliyö, yerleşim, mahalle, çıkmaz sokak, köy, varoş, kenar mahalle, mezra"],
["AMBİYANS","BATAKLIK","AMBSwmp","AMB","A wetland often partially or intermittently covered with water; especially : one dominated by woody vegetation. Marshes, although tecnically different, are included here. Any wetland.","kurbağa, bataklık, bataklık, everglade, sulak alan, nehir kıyısı, göl kenarı, göl, mangrov"],
["AMBİYANS","KÖY & KASABA","AMBTown","AMB","Something in between a CITY and a SUBURB. Activity, cars, pedestrians, that 'small town' or village sound. May be confusion between this, AMBIENCE-URBAN and AMBIENCE-SUBURBAN.","kasaba, köy, mezra, küçük kasaba, topluluk, yerleşim"],
["AMBİYANS","TRAFİK","AMBTraf","AMB","Specifically traffic without people. Not for a single car by, but for clean busy traffic, clean highway traffic for example. Rush hour where the sound is predominantly cars.","araba, otoban, otoyol, bulvar, cadde, otoyol"],
["AMBİYANS","ULAŞIM","AMBTran","AMB","Not VEHICLES, but public train stations, airports, bus stations, subway stations. Not the airplane or train itself. But public places centering around transportation.","tren istasyonu, havaalanı, otobüs istasyonu, metro istasyonu, metro istasyonu, terminal, depo, terminus"],
["AMBİYANS","TROPİK","AMBTrop","AMB","Jungles and rainforests, lush animal life and vegetation.","orman, çalılık, tropikal yağmur ormanı, bulut ormanı, tropikal"],
["AMBİYANS","ARKTİK","AMBTndra","AMB","Treeless environments where the ground is permanently frozen, arctic, antarctic.","artik, antartik, plato, kuzey kutbu, güney kutbu, kutup, buzul, kar, buz"],
["AMBİYANS","YERALTI","AMBUndr","AMB","Subterranean, underground ambiences like sewers, bunkers, tunnels, dungeons, caves.","mağara, damlalar, yankılar, kanalizasyon, sığınak, tünel, zindan, lav tüpü, mahzen, yeraltı, batık, gömülü, yer altı, bodrum, şaft, maden, geçit, geçit yolu"],
["AMBİYANS","SUALTI","AMBUndwtr","AMB","Underwater sounding ambiences, deep bubbles and that classic undersea world sound. See also WATER-UNDERWATER.","sualtı, resif, mercan, okyanus çukuru, batık, denizaltı, subaquatic, gemi enkazı"],
["AMBİYANS","ŞEHİR","AMBUrbn","AMB","Dense cities and environments. New York City or London or Mumbai. Often Dense Traffic, horns, pedestrians, buses, but really any city. Overlap with AMBIENCE-TOWN possible.","metropolis, yoğun şehir, şehir, şehir merkezi, şehir içi, metropolitan, kalabalık, yoğun saat, tıkanıklık, şehir merkezi, gecekondu, skid row, getto, finans bölgesi"],
["AMBİYANS","HARP","AMBWar","AMB","Battles, warfare, full ambiences here. Not for isolated WEAPONS or VEHICLES which have their own categories. Composite sounds of war.","savaş, harp, muharebe, çarpışma, dövüş, angajman, saldırı, hücum, yıldırım, hava saldırısı, baskın, bombardıman, baraj, füzilade, yıldırım savaşı, salvo, flak, borda, topçu ateşi"],
["HAYVAN","AMFİBİ","ANMLAmph","ANML","Technically any amphibian, but most likely used for frogs and toads.","kurbağa, kurbağa, boğa kurbağası, semender, semender, koro kurbağası, peeper, croaker, axolotl"],
["HAYVAN","SUCUL","ANMLAqua","ANML","All manner of marine and sea animals, not just mammals, but anything that lives in water.","balina, yunus, domuzbalığı, deniz aslanı, fok, katil balina, orka, denizayısı, mors, fil foku, deniz samuru, su samuru, beluga, deniz gergedanı, dugong, köpekbalığı, vatoz, denizanası, kalamar, ahtapot, yengeç, ıstakoz, yılanbalığı"],
["HAYVAN","YARASA","ANMLBat","ANML","Bat chirps, echolocation and communicative vocalization. Wings would go under WINGS-MISC.","uçan tilki, vampir yarasalar, meyve yarasası"],
["HAYVAN","EVCİL KEDİ","ANMLCat","ANML","Domesticated house cats. See also ANIMALS-CAT WILD.","miyavlamak, mırlamak, kedi yavrusu, kedicik, sokak kedisi"],
["HAYVAN","VAHŞİ KEDİ","ANMLWcat","ANML","Wild cats as opposed to domesticated cats. Tigers and Lions.","aslan, kaplan, puma, puma, leopar, jaguar, kar leoparı, çita, vaşak, vaşak, karakulak, ocelot, panter, serval"],
["HAYVAN","KÖPEK","ANMLDog","ANML","All Domesticated dogs, excluding wild dogs. Pet dogs. See also ANIMALS-WILD DOG for non-domesticated dogs.","köpek, tazı, havlamak, köpek yavrusu, köpekçik, kucak köpeği, it, pooch"],
["HAYVAN","VAHŞİ KÖPEK","ANMLWdog","ANML","Wild dogs and canines like Wolves, Foxes, Coyotes etc.","kurt, tilki, çakal, dingo, lupus, canid"],
["HAYVAN","ÇİFTLİK","ANMLFarm","ANML","Domesticated mammals you'd find on a farm. For farm birds see BIRDS-FOWL. See also AMBIENCE-FARM.","inek, koyun, keçi, domuz, sığır, lama, alpaka"],
["HAYVAN","AT","ANMLHors","ANML","All members of the horse family, including donkeys and mules. See also FOOTSTEPS-HORSE and EQUIPMENT-BRIDLE.","eşek, katır, eşek, zebra"],
["HAYVAN","BÖCEK","ANMLInsc","ANML","All manner of traditional insect sounds, crickets, cicada, flies and bees. And singular insect recordings. See also AMBIENCE-INSECT now for dense ambience style recordings.","çekirge, cırcır böceği, ağustos böceği, sinek, arı, yaban arısı, eşek arısı, weta, kozalak başı, çekirge, böcek, hamamböceği"],
["HAYVAN","DİĞER","ANMLMisc","ANML","Other animals not finding a clear category.","ÇEŞİTLİ"],
["HAYVAN","MAYMUNGİL","ANMLPrim","ANML","All members of the primate family except humans. Apes, Chimps, etc.","şempanze, maymun, goril, lemur, orangutan, kapuçin, marmoset, maymun, gibbon, bonobo, babun"],
["HAYVAN","SÜRÜNGEN","ANMLRept","ANML","All reptiles including snakes, turtles and lizzards.","yılan, kertenkele, timsah, kaplumbağa, gharial, caiman, gecko"],
["HAYVAN","KEMİRGEN","ANMLRdnt","ANML","All manner 'gnawing' animals like rats and mice. Rodents.","fare, fareler, sıçan, sincap, köstebek, kirpi, kobay, sincap, kunduz, sincap, rakun, çayır köpeği, gerbil, hamster, dağ sıçanı, lemming, misk sıçanı, çinçilla, kemirgen"],
["HAYVAN","VAHŞİ","ANMLWild","ANML","Any wild animal not explicitly defined by the list, and not domesticated. Wolves and Coyotes now to go ANIMALS-DOG WILD","ayı, zürafa, su aygırı, fil, geyik, ceylan, porsuk, karıncayiyen, ornitorenk, tembel hayvan, wolverine, yaban domuzu, vombat, koala, kanguru, wallaby, antilop, panda, antilop, rakun, geyik, ren geyiği, gergedan, aardvark, yaban domuzu, impala, hipopotam, bal porsuğu, bufalo, geyik"],
["ARŞİV","ADR","ADR","ADR","Re-recorded lines via the ADR process.","adr, döngü, değiştirme diyaloğu"],
["ARŞİV","MAL","ASSET","ASSET","A delivered or stored asset, most likely for video game use, but something used in the development of a project.","varlık, kaynak, etiket"],
["ARŞİV","BOUNCE & ÇIKIŞ ALMAK","BNCE","BNCE","Bounces made for picture department, layered bounces.","sıçrama, çarpışma"],
["ARŞİV","IMPULSE RESPONSE","IR","IR","Impulse Responses, reverb and otherwise.","impulse response, IR, altiverb, reverb sample, convolution reverb"],
["ARŞİV","RABARBA (SAHNEYE ÖZEL KAYIT)","LPGRP","LPGRP","Loop group crowds or lines. Specifically recorded in a loop group envirment and needing to tracked as such.","loop group, walla"],
["ARŞİV","MİKS","MIX","MIX","Premixes, final mixes, mixdowns, stems.","premix, final mix, stem, M&E, mixdown, printmaster"],
["ARŞİV","PFX & PRODÜKSİYON EFEKTLER","PFX","PFX","FX Stolen from production takes only. Beware of possible rights issues.","ÜRETİM"],
["ARŞİV","PRODÜKSİYON","PROD","PROD","Production takes, dialog lines and other spoken line production takes.","üretim alımı, diyalog hattı, dx"],
["ARŞİV","HAM","RAW","RAW","Raw recording files, for example a load of a full DAT tape.","veri bandı, ham dosyalar, işlenmemiş"],
["ARŞİV","REFERANS","REF","REF","Reference material, often restricted, used for reference only. Beware of possible rights issues.","referans, ilham"],
["ARŞİV","SAHNE","SCNE","SCNE","Pre-built scenes and soundscapes, designed scenes. For example a fully build old-west scene.","hazır yapım, önceden inşa edilmiş"],
["ARŞİV","TEST TONU","TEST","TEST","Test tones used for calibration, ADR beeps, Pink Noise, Sine wave Sweeps.","adr bip sesleri, test sesleri, bip sesi, 2pops, beyaz gürültü, pembe gürültü, sinüs dalgası taramaları"],
["ARŞİV","TİCARİ MARKA","TMARK","TMARK","For trademarked or copyright sounds that you need to store in your library. Jingles, logos.","ticari marka, telif hakkı, ürün sesi, lisanslı, tescilli, yasal"],
["ARŞİV","ÇALIŞMA AŞAMASINDA","WIP","WIP","Files that aren't fully metadata'd, or mastered, tag to remind you there is work to do. Recordings awaiting mastering.","devam eden çalışma, wip, bitmemiş"],
["ARŞİV","BUNEAMK","WTF","WTF","Literally what it says 'What the F_ck' is THIS sound... Strange otherwise uncategorizable sounds.","kategorize edilemeyen, bilinmeyen, şakalar"],
["BİPLEME","BEYAZ EŞYA","BEEPAppl","BEEP","Microwave oven beeps, dishwasher beeps.","mikrodalga, bulaşık makinesi, çamaşır makinesi, kurutucu"],
["BİPLEME","GENEL","BEEP","BEEP","Beep sounds not fitting another category in this list. User Interface beeps go to UI-BEEPS.","Bip"],
["BİPLEME","LOFI & DÜŞÜK KALİTE","BEEPLofi","BEEP","Very low fidelity, old 8-bit beeps.","atari, famicom, colecovision"],
["BİPLEME","TIBBİ","BEEPMed","BEEP","Beeps from various medical devices, EKG, Live Support.","EKG, EKG, KDC, kalp monitörü, flatline, ultrason"],
["BİPLEME","ZAMANLAYICI","BEEPTimer","BEEP","Specifically timer beeps, counting down. Classic time bomb beeps.","mikrodalga, fırın zamanlayıcısı, dijital saat, telefon zamanlayıcısı"],
["BİPLEME","TAŞIT","BEEPVeh","BEEP","Backup beeps from a large truck or construction vehicle.","forklift bip sesi, yedek bip sesi"],
["ZİL","HAYVAN","BELLAnml","BELL","Bells attached to animals, like cow and sheep bells, or a dog or cat collar with a bell on it.","inek çanı, şahin çanı, yaka çanı, koyun çanı"],
["ZİL","KAPI ZİLİ","BELLDoor","BELL","Mechanical doorbells. Would also maybe electronic doorbells in here as well to avoid confusion probably. Also see ALARMS-BUZZERS for a door buzzer.","kapı zili, kapı zili, ding dong, tring"],
["ZİL","GONG","BELLGong","BELL","A large flat circular disc hit with a mallet. With v8.2 of the list most of these would now go into MUSICAL-BELLS instead.","gong, gamelan, agung, çanak gong, tam-tam"],
["ZİL","ÇAN & EL ÇANI ","BELLHand","BELL","Small to medium hand bells, dinner bells. Musical bells like HANDBELLS and CARILLION now go into MUSICAL-BELLS.","el zili, yemek zili, okul zili, alter zili, kızak zili, jinglebells, uşak zili"],
["ZİL","BÜYÜK ÇAN","BELLLrg","BELL","Large bells like a church bell or tower bell, or city hall bells, Big Ben. Any large bell.","tapınak çanı, kilise çanı, peal, kule çanı"],
["ZİL","DİĞER","BELLMisc","BELL","Bell sounds not fitting another category in this list.","bisiklet zili, servis zili, çağrı zili"],
["KUŞ","YIRTICI","BIRDPrey","BIRD","Birds that prey on vertebrates, especially rodents. Raptors.","şahin, kartal, doğan, baykuş, akbaba, akbaba, akbaba, uçurtma, balıkkartalı, harrier, kerkenez, karakara"],
["KUŞ","KARGAGİL","BIRDCrow","BIRD","Birds in Corvid family, which includes crows and ravens.","karga, kuzgun, alakarga, mavi alakarga, saksağan, fındıkkıran"],
["KUŞ","KÜMES","BIRDFowl","BIRD","Landfowl, wildfowl and waterfowl, also poultry. Ground feeding and many water feeding birds.","tavuk, sülün, hindi, kaz, kaz, orman tavuğu, ördek, kuğu, keklik, çaylak, yeşilbaş, ördek, guans, chachalacas, curassow, bıldırcın, grebe, chukar, ptarmigan"],
["KUŞ","DİĞER","BIRDMisc","BIRD","Bird sounds not fitting another category in this list.","ani, roadrunner, guguk kuşu, ağaçkakan, bülbül, bülbül kuşu, sinek kuşu"],
["KUŞ","DENİZKUŞU","BIRDSea","BIRD","Birds that live mostly near the ocean. Seagulls, pelicans.","martı, sümsük kuşu, albatros, karabatak, pelikan, penguen, martı, sumru, fırkateyn kuşu, sümsük kuşu, istiridye kuşu, yağmurcun, çulluk, dunlin, auk, puffin, murrelet, auklet"],
["KUŞ","ÖTÜCÜ KUŞ","BIRDSong","BIRD","Specifically singing birds, warblers, robins, thrushes, what you imagine pretty dawn chorus birds.","güvercin, sinekkapan, grosbeak, alaycı kuş, sıvacı kuşu, güvercin, robin, serçe, kırlangıç, tanager, pamukçuk, vireo, ötleğen, çalıkuşu, baştankara, chickadee, baştankara, penduline, toygar, kinglet, sürüngen, ağaçkakan, gnatcatcher, kepçe, sığırcık, karatavuk, thrasher, waxwing, chat, troupial, kardinal, kiraz kuşu, karatavuk"],
["KUŞ","TROPİK","BIRDTrop","BIRD","Birds living in tropical locations, jungle and tropical rainforest birds. Parrots and Toucans.","papağan, tukan, kookaburra, lir kuşu, tavus kuşu, macaw, hornbill, kakadu, muhabbet kuşu, ibis, kaşık gagası, flamingo"],
["KUŞ","YAĞMUR KUŞU","BIRDWade","BIRD","Long-legged, long-billed birds that feed primarily in shallow water. Think Herons and Egrets.","turna, ak balıkçıl, flamingo, ibis, ray, kaşıkçı, leylek, balıkçıl, ray, sora, sakarmeke, turna, balıkçıl, ak balıkçıl, ak balıkçıl, leylek, çulluk"],
["TEKNE","BATAKLIK TEKNESİ","BOATAir","BOAT","Specifically large fan airboats used in swamps. Think the type of boat used in the Everglades. Also hovercraft.","yelpaze bot, hava botu, hovercraft"],
["TEKNE","PRUVA DALGASI","BOATWash","BOAT","The waves pushed up by a boat or ship going through the water, a relatively clean recording.","yay yıkama, uyandırma"],
["TEKNE","KAPI","BOATDoor","BOAT","Boat or Submarine doors. Some possible overlap with over DOOR categories or VEHICLES-DOOR.","kapak, feribot kapısı, tekne kapısı, su geçirmez kapı, gemi kapısı"],
["TEKNE","ELEKTRİKLİ","BOATElec","BOAT","Any boat powered by electricity. Fairly rare. Possible a a radio controlled boat, or electric trolling motor.","trolling motoru"],
["TEKNE","BALIKÇI","BOATFish","BOAT","Industrial fishing boats, crab boats, trawlers. Simple fishing boats to BOATS-MOTORBOAT.","yengeç tekneleri, trol tekneleri, gırgır teknesi, hat gemisi, tarak gemisi, gillnetter, araştırma gemisi"],
["TEKNE","KORNA","BOATHorn","BOAT","Horns on boats and ships. Fog horns would go in HORNS-AIR category.","gemi kornası, römorkör kornası"],
["TEKNE","İÇ","BOATInt","BOAT","Interior ambiences on boats and ships, ferries, cruise ships, navy ships.","gemi, feribot, feribotlar, yolcu gemisi, donanma, askeri tekne, römorkör, yelkenli, yat, petrol tankeri, kargo gemisi, yük gemisi, denizaltı"],
