[["ПОВІТРЯ","ПОТІК","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","стиснене повітря, розгерметизувати, випускати, пихкати, бризкати, тріпотіти, продувати"],
["АТМОСФЕРА","ПУСТЕЛЯ","AMBDsrt","AMB","Quiet desert ambiences with appropriate insects and birds. Maybe tumbleweeds.","пустеля, перекотиполе, оазис, безплідний, пустка, сахара, посушливий, піщані дюни, безлюдний"],
["АТМОСФЕРА","ЗВУКОВИЙ ДИЗАЙН","AMBDsgn","AMB","Artificial designed ambience. V8.2 adds AMBIENCE-FANTASY and AMBIENCE-SCIFI which may be better fit for most 'designed' categories.","штучний, створений"],
["АТМОСФЕРА","НАДЗВИЧАЙНА СИТУАЦІЯ","AMBEmrg","AMB","Crime scenes, firefighting scenes, accident scenes, with things like firefighters, police, ambulances and medics. Also see VEHICLES-EMERGENCY.","місце злочину, гасіння пожежі, поліція, медики, докази, стихійне лихо, стрілянина, аварія, катастрофа, поранення, нагромадження жертв"],
["АТМОСФЕРА","ФАНТАСТИКА","AMBFant","AMB","Magical or other wordly composite ambiences, soundscapes, think Middle Earth or Pandora.","казковий, фантастичний, чарівний, царство, мрія, середзем'я, пандора"],
["АТМОСФЕРА","ФЕРМА","AMBFarm","AMB","Specifically farm ambiences, with animals, maybe tractors working, chickens, etc. Isolated farm animals would go into ANIMALS-FARM.","ферма, врожай, оранка, ранчо, садиба, грант, плантація, сільгоспугіддя, загін, хлів, пасовище, молочарня, виноградник, загін, пастораль"],
["АТМОСФЕРА","ЛІС","AMBForst","AMB","Forest recordings or forest composite files. Trees and birds, maybe wind in trees all together. Some overlap with AMBIENCE-RURAL or AMBIENCE-ALPINE.","ліс, ліси, лісові угіддя, бореальний ліс, дощовий ліс, помірний дощовий ліс, хмарний ліс, листяний, хвойний"],
["АТМОСФЕРА","ПАСОВІЩА","AMBGras","AMB","Prairies, meadows, grazing patures, etc. But FARMS has own category if farm animals or human activity are present.","прерія, сільськогосподарські угіддя, трава, луг, випас, пасовище, рівнина"],
["АТМОСФЕРА","ІСТОРІЯ","AMBHist","AMB","Old West scenes, Roman street scenes. Composite history and ancient ambiences.","місто-привид, старий захід, золота лихоманка, стародавній Рим, стародавня Греція"],
["АТМОСФЕРА","ВИСОКОТЕХНОЛОГІЧНА","AMBTech","AMB","Hi-tech machine rooms. Data centers, control rooms. James Bond type lairs. Spaceship interiors.","лабораторія, машинний зал, сервер, дата-центр, диспетчерська"],
["АТМОСФЕРА","ЛІКАРНЯ","AMBHosp","AMB","Hospital ambiences of all kinds, surgery and emergency rooms too. Possibly veterinarian hospitals too.","відділення невідкладної допомоги, хірургія, приймальне відділення, лазарет, клініка, санаторій, інфекційна лікарня"],
["АТМОСФЕРА","ВИРОБНИЦТВО","AMBInd","AMB","Industrial warehouses and factories, plants or any ambience with an industrial feeling.","фабрика, виробництво, завод, фабрика, млин, склад, цех"],
["АТМОСФЕРА","КОМАХА","AMBInsc","AMB","Thick ambiences of insects, cicada and cricket beds mainly. May contain over sounds but main sound being large presence of insects. See also ANIMALS-INSECT for more isolated sounds.","цвіркуни, цикади, катидіди, плавунці, сарана"],
["АТМОСФЕРА","БІЛЯ ОЗЕРА","AMBLake","AMB","Ambiences relating to lakes, not isolated lapping, but the lake version of AMBIENCE-SEASIDE. See also WATER-LAPPING.","озера, озерце, озерце, озерце, озерце, озерце, озерце, озерце, озерце, озерце, озерце, озерце, озерце"],
["АТМОСФЕРА","БАЗАР","AMBMrkt","AMB","Busy exterior or interior market activity and crowds. Think vibrant international markets in Istanbul or Africa, but any market.","ринок, базар, базарне місце, продавець, торговий район, базар, базарчик, біржа, блошиний ринок, площа"],
["АТМОСФЕРА","РІЗНЕ","AMBMisc","AMB","Ambience sounds not fitting another category in this list.","різний"],
["АТМОСФЕРА","МОРЕПЛАВСТВО","AMBNaut","AMB","Relating to ships at sea, shipyards, things revolving around ships. (compare to AMBIENCE-SEASIDE). Water only recordings would go to a WATER category.","морський, верф, палуба, кормовий, носовий, кормовий, морський, мореплавство, морський, океанський, морський, морський, морський, пристань"],
["АТМОСФЕРА","ОФІС","AMBOffc","AMB","Workplaces, offices, people working, typing, telephones. General offices of various sizes.","офіс, кабінка, робоче місце, відділ, станція, філія, робоче місце"],
["АТМОСФЕРА","ПАРК","AMBPark","AMB","Parks, mostly city or suburban, probably usually with some human activity, city activity. Not pure nature sounds.","парк, дитячий майданчик, сади, ботанічний сад, міський парк, заміський парк, стадіон, паркова зона"],
["АТМОСФЕРА","В'ЯЗНИЦЯ","AMBPrisn","AMB","Prisons and jails, reverberant inmate walla, jail doors, buzzers, that sort of thing.","в'язниця, тюрма, тюремне подвір'я, пенітенціарна установа, карцер, слідчий ізолятор, одиночна камера, установа виконання покарань"],
["АТМОСФЕРА","ПРОТЕСТ","AMBPrtst","AMB","Protests, Rallies, Riots. Big mixed ambiences of crowds, shouting, yelling, chanting. Opposed to AMBIENCE-CHEERING.","протест, мітинг, мітинги, бунт, скандування, крик, вереск, розлючений натовп, марші, демонстрація, заворушення, бунт, революція, розлючений"],
["АТМОСФЕРА","ГРОМАДСЬКЕ МІСЦЕ","AMBPubl","AMB","Except for restaurants, for any other usually indoor public places such as stores, lobbies, hotels, malls, museums. Lots of possible overlap with other categories. Use if not fitting elsewhere.","магазини, вестибюлі, готелі, торгові центри, музеї, площі, двори, спортзали, фітнес-центр, мотель, бібліотека, будівля суду, суд"],
["АТМОСФЕРА","РЕЛІГІЯ","AMBRlgn","AMB","Church and temples, church services, religious gatherings, pilgrimages. Any ambience relating to religion.","церква, храм, мечеть, каплиця, дерасар, собор"],
["АТМОСФЕРА","ЖИТЛОВИЙ","AMBHome","AMB","Something busier than a room tone, an Apartment, a House with some activity from outside etc. Interior with exterior sounds coming through closed or open doors, windows.","будинок, квартира, кондомініум, особняк, будинок, таунхаус, котедж, будиночок, резиденція"],
["АТМОСФЕРА","РЕСТОРАН","AMBRest","AMB","Restaurants and bars, pubs, places of eating and drinking, mixed crowd with glass clinks or silverware.","ресторан, бар, паб, гастропаб, фуд-карт, закусочна, кафе, кафетерій, їдальня, буфет, салон, кав'ярня, піцерія, фаст-фуд, винний бар, автомат, комісійний магазин, шинок, нічний клуб, гастроном, забігайлівка, пивна, пивна, драйв-ін"],
["АТМОСФЕРА","ЗВУК ПРИМІЩЕННЯ","AMBRoom","AMB","Simple room tones with little or no activity. Also see now AMBIENCE-RESIDENTIAL if more than just air is present, as it might be a better fit.","тон приміщення, мертве повітря, тихе повітря"],
["АТМОСФЕРА","СЕЛО","AMBRurl","AMB","Rural and countryside ambiences that don't fit somewhere else in this list. Nature, away from signs of people, overlap with AMBIENCE-ALPINE, DESERT, FOREST, PRAIRIE, etc.","сільська місцевість, рівнина, прерія, луг, гора, пагорб, савана, тундра, луг, каньйон, ущелина, чагарник, чагарникова місцевість, плато"],
["АТМОСФЕРА","ШКОЛА","AMBSchl","AMB","Schools of any age, kindergarten through college, hallways, lockers, voices, school bells.","початкова школа, середня школа, старша школа, коледж, дошкільний заклад, університет, клас, аудиторія"],
["АТМОСФЕРА","НАУКОВА ФАНТАСТИКА","AMBSci","AMB","A composite sci-fi ambience, a complex background layered with many sci-fi elements. A complex spacehip bridge, or high-tech lab. See also SCIFI for individual elements.","космічний корабель, технічний центр, командний центр, науковий, футуристичний, високотехнологічний, хай-тек"],
["АТМОСФЕРА","УЗБЕРЕЖЖЯ","AMBSea","AMB","Relating to beach and oceanside scenes with people. (Compare to AMBIENCE-NAUTICAL). Water only recordings would go to a WATER category.","пляж, приморський, пасмо, прибережний, берег, берегова лінія, морський берег, морський берег, набережна, пляжний курорт, пляжна смуга, набережна, док, пірс, гавань, порт, гавань"],
["АТМОСФЕРА","СПОРТ","AMBSprt","AMB","Sporting events, little league baseball to major league. Use CROWDS-SPORT for clean crowd recordings.","nfl, футбол, nba, баскетбол, mlb, бейсбол, теніс, спортивний захід, маленька ліга, тренування"],
["АТМОСФЕРА","ПЕРЕДМІСТЯ","AMBSubn","AMB","Suburban streets, average residential neighborhood, not dense like URBAN. Lawnmowers, sprinklers, birds.","передмістя, житловий масив, район, мікрорайон, тупик, село, квартал, околиця, хутір"],
["АТМОСФЕРА","БОЛОТО","AMBSwmp","AMB","A wetland often partially or intermittently covered with water; especially : one dominated by woody vegetation. Marshes, although tecnically different, are included here. Any wetland.","жабник, болото, болото, вічнозелена галявина, водно-болотне угіддя, заплавне, приозерне, озерне, мангрове зарості"],
["АТМОСФЕРА","ГОРОДОК","AMBTown","AMB","Something in between a CITY and a SUBURB. Activity, cars, pedestrians, that 'small town' or village sound. May be confusion between this, AMBIENCE-URBAN and AMBIENCE-SUBURBAN.","місто, село, хутір, селище, містечко, громада, поселення"],
["АТМОСФЕРА","ДОРОЖНІЙ РУХ","AMBTraf","AMB","Specifically traffic without people. Not for a single car by, but for clean busy traffic, clean highway traffic for example. Rush hour where the sound is predominantly cars.","автомобільна дорога, шосе, магістраль, бульвар, проспект, автомагістраль"],
["АТМОСФЕРА","ГРОМАДСЬКИЙ ТРАНСПОРТ","AMBTran","AMB","Not VEHICLES, but public train stations, airports, bus stations, subway stations. Not the airplane or train itself. But public places centering around transportation.","залізничний вокзал, аеропорт, автовокзал, автостанція, станція метро, станція метрополітену, станція метро, термінал, депо, кінцева станція"],
["АТМОСФЕРА","ТРОПІКИ","AMBTrop","AMB","Jungles and rainforests, lush animal life and vegetation.","джунглі, чагарник, тропічний ліс, вологий ліс, хмарний ліс, тропічний"],
["АТМОСФЕРА","ТУНДРА","AMBTndra","AMB","Treeless environments where the ground is permanently frozen, arctic, antarctic.","арктичний, антарктичний, плато, північний полюс, південний полюс, полярний, льодовик, сніг, лід"],
["АТМОСФЕРА","ПІД ЗЕМЛЕЮ","AMBUndr","AMB","Subterranean, underground ambiences like sewers, bunkers, tunnels, dungeons, caves.","печера, капела, відлуння, каналізація, бункер, тунель, підземелля, лавова труба, погріб, підземний, затоплений, похований, підземний, підвал, шахта, копальня, прохід, проїзд, прохідний"],
["АТМОСФЕРА","ПІД ВОДОЮ","AMBUndwtr","AMB","Underwater sounding ambiences, deep bubbles and that classic undersea world sound. See also WATER-UNDERWATER.","підводний, риф, корал, океанська западина, підводний, підводний, субаквальний, затонулий корабель"],
["АТМОСФЕРА","ВЕЛИКЕ МІСТО","AMBUrbn","AMB","Dense cities and environments. New York City or London or Mumbai. Often Dense Traffic, horns, pedestrians, buses, but really any city. Overlap with AMBIENCE-TOWN possible.","мегаполіс, щільне місто, місто, центр, внутрішнє місто, мегаполіс, метушливий, година пік, затори, центр міста, нетрі, трущоби, гетто, фінансовий район"],
["АТМОСФЕРА","ВІЙНА","AMBWar","AMB","Battles, warfare, full ambiences here. Not for isolated WEAPONS or VEHICLES which have their own categories. Composite sounds of war.","війна, воєнні дії, битва, сутичка, бій, сутичка, сутичка, штурм, наступ, бліц, авіаналіт, рейд, бомбардування, загородження, фюзеляж, бліцкриг, залп, шквальний вогонь, бліцкриг, канонада"],
["ТВАРИНИ","ЗЕМНОВОДНІ","ANMLAmph","ANML","Technically any amphibian, but most likely used for frogs and toads.","жаба, жаба, жаба-бик, саламандра, тритон, ропуха, кумка, ропуха, аксолотль"],
["ТВАРИНИ","ВОДНІ","ANMLAqua","ANML","All manner of marine and sea animals, not just mammals, but anything that lives in water.","кит, дельфін, морська свиня, морський лев, тюлень, косатка, косатка, ламантин, морж, морж, морський слон, морська видра, білуга, нарвал, дюгонь, акула, скат, медуза, кальмар, восьминіг, краби, омари, вугор"],
["ТВАРИНИ","КАЖАН","ANMLBat","ANML","Bat chirps, echolocation and communicative vocalization. Wings would go under WINGS-MISC.","летюча лисиця, кажани-вампіри, фруктовий кажан"],
["ТВАРИНИ","КІШКА ДОМАШНЯ","ANMLCat","ANML","Domesticated house cats. See also ANIMALS-CAT WILD.","нявкання, муркотіння, кошеня, кішечка, котяра, котяра, вуличний кіт"],
["ТВАРИНИ","КІШКА ДИКА","ANMLWcat","ANML","Wild cats as opposed to domesticated cats. Tigers and Lions.","лев, тигр, пума, пума, леопард, ягуар, сніжний барс, гепард, рись, рись, каракал, оцелот, пантера, сервал"],
["ТВАРИНИ","СОБАКА","ANMLDog","ANML","All Domesticated dogs, excluding wild dogs. Pet dogs. See also ANIMALS-WILD DOG for non-domesticated dogs.","собака, гончак, лайка, цуценя, песик, собачка, лабрадор, шавка, песик"],
["ТВАРИНИ","СОБАКА ДИКА","ANMLWdog","ANML","Wild dogs and canines like Wolves, Foxes, Coyotes etc.","вовк, лисиця, койот, шакал, дінго, вовчак, собака"],
["ТВАРИНИ","ФЕРМА","ANMLFarm","ANML","Domesticated mammals you'd find on a farm. For farm birds see BIRDS-FOWL. See also AMBIENCE-FARM.","корова, вівця, коза, свиня, велика рогата худоба, лама, альпака"],
["ТВАРИНИ","КІНЬ","ANMLHors","ANML","All members of the horse family, including donkeys and mules. See also FOOTSTEPS-HORSE and EQUIPMENT-BRIDLE.","осел, мул, осел, зебра"],
["ТВАРИНИ","КОМАХА","ANMLInsc","ANML","All manner of traditional insect sounds, crickets, cicada, flies and bees. And singular insect recordings. See also AMBIENCE-INSECT now for dense ambience style recordings.","коник, цвіркун, цикада, муха, бджола, оса, шершень, оса, ґедзь, шишкар, сарана, жук, тарган"],
["ТВАРИНИ","РІЗНЕ","ANMLMisc","ANML","Other animals not finding a clear category.","різне"],
["ТВАРИНИ","ПРИМАТ","ANMLPrim","ANML","All members of the primate family except humans. Apes, Chimps, etc.","шимпанзе, мавпа, горила, лемур, орангутанг, капуцин, мартышка, мавпа, гібон, бонобо, бабуїн"],
["ТВАРИНИ","РЕПТИЛІЯ","ANMLRept","ANML","All reptiles including snakes, turtles and lizzards.","змія, ящірка, алігатор, крокодил, черепаха, гюрза, кайман, гекон"],
["ТВАРИНИ","ГРИЗУН","ANMLRdnt","ANML","All manner 'gnawing' animals like rats and mice. Rodents.","миша, миші, щур, білка, кріт, дикобраз, морська свинка, бурундук, бобер, суслик, єнот, степовий собака, піщанка, хом'як, бабак, лемінг, ондатра, шиншила, гризун"],
["ТВАРИНИ","ДИКІ","ANMLWild","ANML","Any wild animal not explicitly defined by the list, and not domesticated. Wolves and Coyotes now to go ANIMALS-DOG WILD","ведмідь, жираф, бегемот, слон, лось, олень, газель, борсук, мурахоїд, качконіс, лінивець, росомаха, кабан, вомбат, коала, кенгуру, валлабі, антилопа гну, панда, антилопа, єнот, лось, північний олень, носоріг, гюрза, бородавочник, імпала, бегемот, борсук, буйвол, лось"],
["АРХІВ","ADR","ADR","ADR","Re-recorded lines via the ADR process.","adr, цикл, діалог заміни"],
["АРХІВ","РЕСУРС","ASSET","ASSET","A delivered or stored asset, most likely for video game use, but something used in the development of a project.","актив, ресурс, тег"],
["АРХІВ","ЗВЕДЕНИЙ ЗВУК","BNCE","BNCE","Bounces made for picture department, layered bounces.","bounce, crashdown"],
["АРХІВ","ІМПУЛЬС","IR","IR","Impulse Responses, reverb and otherwise.","імпульсна характеристика, IR, альтіверб, реверберація семпл, згортка реверберація"],
["АРХІВ","СТУДІЙНИЙ ЗАПИС","LPGRP","LPGRP","Loop group crowds or lines. Specifically recorded in a loop group envirment and needing to tracked as such.","loop group, walla"],
["АРХІВ","МІКС","MIX","MIX","Premixes, final mixes, mixdowns, stems.","premix, final mix, stem, M&E, mixdown, printmaster"],
["АРХІВ","ЗВУК З МАЙДАНЧИКУ","PFX","PFX","FX Stolen from production takes only. Beware of possible rights issues.","виробництво"],
["АРХІВ","ВИРОБНИЦТВО","PROD","PROD","Production takes, dialog lines and other spoken line production takes.","виробничий дубль, діалоговий рядок, dx"],
["АРХІВ","НЕОБРОБЛЕНИЙ ЗВУК","RAW","RAW","Raw recording files, for example a load of a full DAT tape.","dat стрічка, сирі файли, необроблені"],
["АРХІВ","ЗРАЗОК","REF","REF","Reference material, often restricted, used for reference only. Beware of possible rights issues.","референс, натхнення"],
["АРХІВ","СЦЕНА","SCNE","SCNE","Pre-built scenes and soundscapes, designed scenes. For example a fully build old-west scene.","ready-made, prebuilt"],
["АРХІВ","ТЕСТ","TEST","TEST","Test tones used for calibration, ADR beeps, Pink Noise, Sine wave Sweeps.","adr звукові сигнали, тестові тони, звуковий сигнал, 2pops, білий шум, рожевий шум, синусоїдальні розгортки"],
["АРХІВ","ТОРГОВА МАРКА","TMARK","TMARK","For trademarked or copyright sounds that you need to store in your library. Jingles, logos.","товарний знак, авторське право, звук продукту, ліцензійний, зареєстрований, легальний"],
["АРХІВ","НЕЗАВЕРШЕНИЙ","WIP","WIP","Files that aren't fully metadata'd, or mastered, tag to remind you there is work to do. Recordings awaiting mastering.","незавершене виробництво, витирання, незавершене"],
["АРХІВ","НЕВІДОМЕ","WTF","WTF","Literally what it says 'What the F_ck' is THIS sound... Strange otherwise uncategorizable sounds.","некатегоричні, невідомі, жарти"],
["ЗВУКОВІ СИГНАЛИ","ПОБУТОВИЙ ПРИЛАД","BEEPAppl","BEEP","Microwave oven beeps, dishwasher beeps.","мікрохвильова піч, посудомийна машина, пральна машина, сушарка"],
["ЗВУКОВІ СИГНАЛИ","ЗВИЧАЙНІ","BEEP","BEEP","Beep sounds not fitting another category in this list. User Interface beeps go to UI-BEEPS.","звуковий сигнал"],
["ЗВУКОВІ СИГНАЛИ","РЕТРО","BEEPLofi","BEEP","Very low fidelity, old 8-bit beeps.","atari, famicom, colecovision"],
["ЗВУКОВІ СИГНАЛИ","МЕДИЧНІ","BEEPMed","BEEP","Beeps from various medical devices, EKG, Live Support.","ЕКГ, ЕКГ, КДК, кардіомонітор, флешка, УЗД"],
["ЗВУКОВІ СИГНАЛИ","ТАЙМЕР","BEEPTimer","BEEP","Specifically timer beeps, counting down. Classic time bomb beeps.","мікрохвильова піч, таймер духовки, цифровий годинник, таймер телефону"],
["ЗВУКОВІ СИГНАЛИ","ТРАНСПОРТНИЙ ЗАСІБ","BEEPVeh","BEEP","Backup beeps from a large truck or construction vehicle.","звуковий сигнал навантажувача, резервний звуковий сигнал"],
["ДЗВОНИ","ДЛЯ ТВАРИН","BELLAnml","BELL","Bells attached to animals, like cow and sheep bells, or a dog or cat collar with a bell on it.","коров'ячий дзвіночок, яструбиний дзвіночок, нашийник, овечий дзвіночок"],
["ДЗВОНИ","ДВЕРНІ","BELLDoor","BELL","Mechanical doorbells. Would also maybe electronic doorbells in here as well to avoid confusion probably. Also see ALARMS-BUZZERS for a door buzzer.","дверний дзвінок, дверний дзвіночок, дзень-дзень, дзень-дзень"],
["ДЗВОНИ","ГОНГ","BELLGong","BELL","A large flat circular disc hit with a mallet. With v8.2 of the list most of these would now go into MUSICAL-BELLS instead.","гонг, гамелан, агунг, гонг для мисок, там-там"],
["ДЗВОНИ","РУЧНІ","BELLHand","BELL","Small to medium hand bells, dinner bells. Musical bells like HANDBELLS and CARILLION now go into MUSICAL-BELLS.","ручний дзвіночок, обідній дзвіночок, шкільний дзвіночок, передзвін, санний дзвіночок, джинглі, дзвіночок дворецького"],
["ДЗВОНИ","ВЕЛИКІ","BELLLrg","BELL","Large bells like a church bell or tower bell, or city hall bells, Big Ben. Any large bell.","храмовий дзвін, церковний дзвін, дзвоник, баштовий дзвін"],
["ДЗВОНИ","РІЗНЕ","BELLMisc","BELL","Bell sounds not fitting another category in this list.","велосипедний дзвіночок, службовий дзвіночок, дзвіночок"],
["ПТАХИ","ХИЖАК","BIRDPrey","BIRD","Birds that prey on vertebrates, especially rodents. Raptors.","яструб, орел, сокіл, сова, гриф, кондор, канюк, коршун, скопа, лунь, пустельга, каракара"],
["ПТАХИ","ГАВА","BIRDCrow","BIRD","Birds in Corvid family, which includes crows and ravens.","ворона, ворон, сойка, сойка, синиця, сорока, кедровка"],
["ПТАХИ","ОДОМАШНЕНІ","BIRDFowl","BIRD","Landfowl, wildfowl and waterfowl, also poultry. Ground feeding and many water feeding birds.","курка, фазан, індик, гуси, гуска, тетерук, качка, лебідь, куріпка, чирок, крижень, гагара, гуменник, чачалка, куріпка, перепілка, поганка, чукан, куріпка"],
["ПТАХИ","РІЗНЕ","BIRDMisc","BIRD","Bird sounds not fitting another category in this list.","ані, боривітер, зозуля, дятел, яструб, соловейко, славка, одуд, колібрі"],
["ПТАХИ","МОРСЬКІ","BIRDSea","BIRD","Birds that live mostly near the ocean. Seagulls, pelicans.","чайка, мартин, альбатрос, баклан, пелікан, пінгвін, буревісник, чайка, крячок, фрегат, бугай, кулик, кулик-сорока, ржанка, кулик-сорока, чернь, очеретянка, крохаль, крохаль, крячок, очеретянка, очеретянка"],
["ПТАХИ","СПІВОЧІ","BIRDSong","BIRD","Specifically singing birds, warblers, robins, thrushes, what you imagine pretty dawn chorus birds.","голуб, мухоловка, дрізд, пересмішник, повзик, голуб, малинівка, горобець, ластівка, славка, дрізд, вивільга, співоча славка, крук, синиця, чиж, синиця, маятник, жайворонок, корольок, повзик, повзик, славка, косач, омелюх, шпак, дрізд, славка, славка, славка, омелюх, омелюх, омелюх, омелюх, омелюх, омелюх, омелюх, вівсянка"],
