[["ILMA","PUHALLUS","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","paineilma, paineenalennus, vapautus, puhallus, räiskintä, räpyttely, huuhtelu, puhdistus"],
["AMBIENSSI","HÄTÄTILANNE","AMBEmrg","AMB","Crime scenes, firefighting scenes, accident scenes, with things like firefighters, police, ambulances and medics. Also see VEHICLES-EMERGENCY.","rikospaikka, palontorjunta, poliisi, lääkintämiehet, todisteet, luonnonkatastrofi, ammuskelu, onnettomuus, katastrofi, loukkaantuminen, kasaantuminen onnettomuusonnettomuus"],
["AMBIENSSI","FANTASIA","AMBFant","AMB","Magical or other wordly composite ambiences, soundscapes, think Middle Earth or Pandora.","keiju, fantasia, maaginen, valtakunta, unelma, Keski-Maa, pandora"],
["AMBIENSSI","MAATILA","AMBFarm","AMB","Specifically farm ambiences, with animals, maybe tractors working, chickens, etc. Isolated farm animals would go into ANIMALS-FARM.","maatila, sadonkorjuu, maanmuokkaus, karjatila, maatila, pihapiiri, plantaasi, viljelysmaa, karsina, lato, laitumet, meijeri, viinitarha, aita, laidun, pastoraali"],
["AMBIENSSI","METSÄ","AMBForst","AMB","Forest recordings or forest composite files. Trees and birds, maybe wind in trees all together. Some overlap with AMBIENCE-RURAL or AMBIENCE-ALPINE.","metsä, metsät, metsämaa, boreaalinen metsä, sademetsä, lauhkea sademetsä, pilvimetsä, lehtimetsä, havupuu"],
["AMBIENSSI","AUKEA","AMBGras","AMB","Prairies, meadows, grazing patures, etc. But FARMS has own category if farm animals or human activity are present.","preeria, viljelysmaa, ruoho, niitty, laidun, laidun, laidun, tasankoalueet"],
["AMBIENSSI","HISTORIALLINEN","AMBHist","AMB","Old West scenes, Roman street scenes. Composite history and ancient ambiences.","aavekaupunki, vanha länsi, kultaryntäys, muinainen Rooma, muinainen Kreikka"],
["AMBIENSSI","HITECH","AMBTech","AMB","Hi-tech machine rooms. Data centers, control rooms. James Bond type lairs. Spaceship interiors.","laboratorio, konehuone, palvelin, datakeskus, valvomohuone"],
["AMBIENSSI","SAIRAALA","AMBHosp","AMB","Hospital ambiences of all kinds, surgery and emergency rooms too. Possibly veterinarian hospitals too.","päivystyshuone, leikkaus, odotushuone, sairashuone, klinikka, parantola, sairaskoti"],
["AMBIENSSI","TEOLLINEN","AMBInd","AMB","Industrial warehouses and factories, plants or any ambience with an industrial feeling.","tehdas, valmistus, tehdas, tehdas, mylly, varasto, työpaja"],
["AMBIENSSI","HYÖNTEISET","AMBInsc","AMB","Thick ambiences of insects, cicada and cricket beds mainly. May contain over sounds but main sound being large presence of insects. See also ANIMALS-INSECT for more isolated sounds.","sirkat, heinäsirkat, katydidat, swam, heinäsirkat"],
["AMBIENSSI","JÄRVIMAISEMA","AMBLake","AMB","Ambiences relating to lakes, not isolated lapping, but the lake version of AMBIENCE-SEASIDE. See also WATER-LAPPING.","järvet, järvenranta, luhta, uiminen, tekojärvi, lampi, lammikko, lammi"],
["AMBIENSSI","KAUPPA","AMBMrkt","AMB","Busy exterior or interior market activity and crowds. Think vibrant international markets in Istanbul or Africa, but any market.","market, market place, vendor, shopping district, bazaar, mart, exchange, kirpputori, square, square"],
["AMBIENSSI","SEKALAISET","AMBMisc","AMB","Ambience sounds not fitting another category in this list.","sekalaiset"],
["AMBIENSSI","MERENKULKU","AMBNaut","AMB","Relating to ships at sea, shipyards, things revolving around ships. (compare to AMBIENCE-SEASIDE). Water only recordings would go to a WATER category.","nautical, shipyard, poopdeck, stern, bow, aft, seafaring, seagoing, oceanic, marine, maritime, marina"],
["AMBIENSSI","TOIMISTO","AMBOffc","AMB","Workplaces, offices, people working, typing, telephones. General offices of various sizes.","office, cubicle, workplace, department, station, branch, workstation, työpiste"],
["AMBIENSSI","PUISTO","AMBPark","AMB","Parks, mostly city or suburban, probably usually with some human activity, city activity. Not pure nature sounds.","puisto, leikkipaikka, puutarha, kasvitieteellinen puutarha, kaupunkipuisto, esikaupunkipuisto, pallopuisto, puistoalue"],
["AMBIENSSI","VANKILA","AMBPrisn","AMB","Prisons and jails, reverberant inmate walla, jail doors, buzzers, that sort of thing.","vankila, vankila, vankilapiha, rangaistuslaitos, slammeri, vankila, vankila, eristyssellissä, rangaistuslaitos"],
["AMBIENSSI","MIELENOSOITUS","AMBPrtst","AMB","Protests, Rallies, Riots. Big mixed ambiences of crowds, shouting, yelling, chanting. Opposed to AMBIENCE-CHEERING.","protesti, ralli, kokoontumiset, rallit, mellakka, laulaminen, huutaminen, kiljuminen, vihainen väkijoukko, marssi, mielenosoitus, myllerrys, kapina, vallankumous, vihainen, vihainen"],
["AMBIENSSI","JULKINEN","AMBPubl","AMB","Except for restaurants, for any other usually indoor public places such as stores, lobbies, hotels, malls, museums. Lots of possible overlap with other categories. Use if not fitting elsewhere.","myymälät, aulat, hotellit, ostoskeskukset, museot, julkiset torit, sisäpihat, kuntosalit, kuntokeskus, motelli, kirjasto, oikeustalo, tuomioistuin"],
["AMBIENSSI","USKONNOLLINEN","AMBRlgn","AMB","Church and temples, church services, religious gatherings, pilgrimages. Any ambience relating to religion.","kirkko, temppeli, moskeija, kappeli, derasar, katedraali, katedraali"],
["AMBIENSSI","ASUNTO","AMBHome","AMB","Something busier than a room tone, an Apartment, a House with some activity from outside etc. Interior with exterior sounds coming through closed or open doors, windows.","koti, asunto, condo, kartano, talo, townhouse, mökki, talo, residenssi"],
["AMBIENSSI","RAVINTOLA & BAARI","AMBRest","AMB","Restaurants and bars, pubs, places of eating and drinking, mixed crowd with glass clinks or silverware.","ravintola, baari, pubi, gastropubi, ruokakärry, ruokapaikka, kahvila, kahvila, ruokala, teehuone, saluuna, kahvila, pizzeria, pikaruokapaikka, viinibaari, automaatti, kuppila, kapakka, yökerho, herkuttelupaikka, ruokapaikka, brasserie, autokahvila, drive-in"],
["AMBIENSSI","ROOM TONE","AMBRoom","AMB","Simple room tones with little or no activity. Also see now AMBIENCE-RESIDENTIAL if more than just air is present, as it might be a better fit.","huoneääni, kuollut ilma, hiljainen ilma"],
["AMBIENSSI","MAALAIS","AMBRurl","AMB","Rural and countryside ambiences that don't fit somewhere else in this list. Nature, away from signs of people, overlap with AMBIENCE-ALPINE, DESERT, FOREST, PRAIRIE, etc.","maaseutu, tasanko, preeria, niitty, vuori, kumpuileva kukkula, savanni, tundra, niitty, kanjoni, kuru, pensaikko, pensaikko, tasanko, tasanko"],
["AMBIENSSI","KOULU","AMBSchl","AMB","Schools of any age, kindergarten through college, hallways, lockers, voices, school bells.","peruskoulu, yläkoulu, lukio, korkeakoulu, esikoulu, yliopisto, luokkahuone, kokoustila."],
["AMBIENSSI","SCIFI","AMBSci","AMB","A composite sci-fi ambience, a complex background layered with many sci-fi elements. A complex spacehip bridge, or high-tech lab. See also SCIFI for individual elements.","avaruusalus, teknologiakeskus, komentokeskus, scifi, futuristinen, huipputekniikka, hi-tech, hi-tec"],
["AMBIENSSI","RANNIKKO","AMBSea","AMB","Relating to beach and oceanside scenes with people. (Compare to AMBIENCE-NAUTICAL). Water only recordings would go to a WATER category.","beach, seaside, strand, coastal, coast, shore, shoreline, seashore, seaboard, boardwalk, beach resort, beachfront, embankment, dock, pier, harbour, harbor, harbor"],
["AMBIENSSI","URHEILU","AMBSprt","AMB","Sporting events, little league baseball to major league. Use CROWDS-SPORT for clean crowd recordings.","nfl, jalkapallo, nba, koripallo, mlb, baseball, tennis, urheilutapahtuma, pikkuliiga, harjoitus"],
["AMBIENSSI","ESIKAUPUNKI","AMBSubn","AMB","Suburban streets, average residential neighborhood, not dense like URBAN. Lawnmowers, sprinklers, birds.","esikaupunki, asuinalue, naapurusto, umpikuja, kylä, barrio, esikaupunki, kyläkylän laidalla, hamlet"],
["AMBIENSSI","SUO","AMBSwmp","AMB","A wetland often partially or intermittently covered with water; especially : one dominated by woody vegetation. Marshes, although tecnically different, are included here. Any wetland.","sammakko, suo, räme, everglade, kosteikko, ranta-alue, järvenranta, järvi, mangrovi"],
["AMBIENSSI","TAAJAMA","AMBTown","AMB","Something in between a CITY and a SUBURB. Activity, cars, pedestrians, that 'small town' or village sound. May be confusion between this, AMBIENCE-URBAN and AMBIENCE-SUBURBAN.","town, village, hamlet, small town, community, settlement, settlement"],
["AMBIENSSI","LIIKENNE","AMBTraf","AMB","Specifically traffic without people. Not for a single car by, but for clean busy traffic, clean highway traffic for example. Rush hour where the sound is predominantly cars.","car bys, freeway, highway, boulevard, avenue, motorway, moottoritie"],
["AMBIENSSI","LIIKENNE ASEMA","AMBTran","AMB","Not VEHICLES, but public train stations, airports, bus stations, subway stations. Not the airplane or train itself. But public places centering around transportation.","juna-asema, lentokenttä, linja-autoasema, metroasema, metroasema, metroasema, terminaali, varikko, päätepysäkki"],
["AMBIENSSI","TROPPINEN","AMBTrop","AMB","Jungles and rainforests, lush animal life and vegetation.","viidakko, bush, trooppinen sademetsä, pilvimetsä, trooppinen"],
["AMBIENSSI","TUNDRA","AMBTndra","AMB","Treeless environments where the ground is permanently frozen, arctic, antarctic.","artic, antarktinen, ylätasanko, pohjoisnapa, etelänapa, napa-alue, jäätikkö, lumi, jää"],
["AMBIENSSI","MAANALAINEN","AMBUndr","AMB","Subterranean, underground ambiences like sewers, bunkers, tunnels, dungeons, caves.","luola, tippuu, kaiku, viemäri, bunkkeri, tunneli, tyrmä, laavaputki, kellari, maanalainen, uponnut, haudattu, maanalainen, kellari, kuilu, kaivos, käytävä, kulkuväylä"],
["AMBIENSSI","VEDENALAINEN","AMBUndwtr","AMB","Underwater sounding ambiences, deep bubbles and that classic undersea world sound. See also WATER-UNDERWATER.","vedenalainen, riutta, koralli, meren kaivanto, upotettu, vedenalainen, vedenalainen, vedenalainen, haaksirikko, hylky."],
["AMBIENSSI","KAUPUNKI","AMBUrbn","AMB","Dense cities and environments. New York City or London or Mumbai. Often Dense Traffic, horns, pedestrians, buses, but really any city. Overlap with AMBIENCE-TOWN possible.","metropoli, tiheä kaupunki, kaupunki, keskusta, sisäkaupunki, suurkaupunki, vilkas, ruuhka-aika, ruuhkautuminen, kaupungin keskusta, slummi, slummialue, slummi, ghetto, talousalue"],
["AMBIENSSI","SODANKÄYNTI","AMBWar","AMB","Battles, warfare, full ambiences here. Not for isolated WEAPONS or VEHICLES which have their own categories. Composite sounds of war.","sota, sodankäynti, taistelu, kahakka, taistelu, taistelu, sitoutuminen, hyökkäys, hyökkäys, salamointi, ilmahyökkäys, rynnäkkö, hyökkäys, pommitus, sulkutuli, rynnäkköisku, salamasota, salvo, räiskintä, leveä kylki, tykistölaukaus"],
["ELÄIN","SAMMAKKO","ANMLAmph","ANML","Technically any amphibian, but most likely used for frogs and toads.","sammakko, rupikonna, härkäsammakko, salamanteri, vesilisko, laulusammakko, tirkistelijä, krokotiili, axolotl"],
["ELÄIN","VESI","ANMLAqua","ANML","All manner of marine and sea animals, not just mammals, but anything that lives in water.","valas, delfiini, pyöriäinen, merileijona, hylje, miekkavalas, orca, manaatti, mursu, norsuhylje, merisaukko, merisaukko, beluga, narvivalas, dugong, hai, pistiäinen, meduusa, mustekala, mustekala, rapu, hummeri, ankerias"],
["ELÄIN","LEPAKKO","ANMLBat","ANML","Bat chirps, echolocation and communicative vocalization. Wings would go under WINGS-MISC.","lentävä kettu, vampyyrilepakko, hedelmälepakko..."],
["ELÄIN","KISSA","ANMLCat","ANML","Domesticated house cats. See also ANIMALS-CAT WILD.","miau, murr, kissanpentu, kissa, kissanpentu, kissakissa, kujakissa"],
["ELÄIN","VILLIKISSA","ANMLWcat","ANML","Wild cats as opposed to domesticated cats. Tigers and Lions.","leijona, tiikeri, puma, puuma, leopardi, jaguaari, lumileopardi, gepardi, ilves, ilves, aarnikotka, karakaali, ocelot, pantteri, servaali..."],
["ELÄIN","KOIRA","ANMLDog","ANML","All Domesticated dogs, excluding wild dogs. Pet dogs. See also ANIMALS-WILD DOG for non-domesticated dogs.","koira, koira, haukku, pentu, koiranpentu, sylikoira, koirakko, koira, piski, piski"],
["ELÄIN","KOIRAELÄIN","ANMLWdog","ANML","Wild dogs and canines like Wolves, Foxes, Coyotes etc.","susi, kettu, kojootti, sakaali, dingo, lupus, kanid, canid"],
["ELÄIN","MAATILA","ANMLFarm","ANML","Domesticated mammals you'd find on a farm. For farm birds see BIRDS-FOWL. See also AMBIENCE-FARM.","lehmä, lammas, vuohi, sika, nauta, laama, alpakka."],
["ELÄIN","HEVONEN","ANMLHors","ANML","All members of the horse family, including donkeys and mules. See also FOOTSTEPS-HORSE and EQUIPMENT-BRIDLE.","aasi, muuli, aasi, aasi, seepra"],
["ELÄIN","HYÖNTEINEN","ANMLInsc","ANML","All manner of traditional insect sounds, crickets, cicada, flies and bees. And singular insect recordings. See also AMBIENCE-INSECT now for dense ambience style recordings.","heinäsirkka, sirkka, sirkka, kärpänen, mehiläinen, ampiainen, ampiainen, hornet, weta, käpypää, heinäsirkka, kovakuoriainen, torakka."],
["ELÄIN","SEKALAINEN","ANMLMisc","ANML","Other animals not finding a clear category.","sekalaiset"],
["ELÄIN","KÄDELLINEN","ANMLPrim","ANML","All members of the primate family except humans. Apes, Chimps, etc.","simpanssi, apina, gorilla, maki, oranki, kapusiini, marmosetti, apina, gibbon, bonobo, paviaani."],
["ELÄIN","LISKO","ANMLRept","ANML","All reptiles including snakes, turtles and lizzards.","käärme, lisko, alligaattori, krokotiili, kilpikonna, gharial, kaimaani, gekko"],
["ELÄIN","JYRSIJÄ","ANMLRdnt","ANML","All manner 'gnawing' animals like rats and mice. Rodents.","hiiri, hiiret, rotta, orava, myyrä, piikkisika, marsu, maaorava, majava, korppikotka, pesukarhu, preeriakoira, gerbiili, hamsteri, marmotti, lemminki, piisami, chinchilla, jyrsijä."],
["ELÄIN","VILLIELÄIN","ANMLWild","ANML","Any wild animal not explicitly defined by the list, and not domesticated. Wolves and Coyotes now to go ANIMALS-DOG WILD","karhu, kirahvi, virtahepo, elefantti, hirvi, peura, gaselli, mäyrä, muurahaiskarhu, laiskiainen, laiskiainen, ahma, villisika, vompatti, koala, kenguru, wallaby, gnuu, panda, antilooppi, pesukarhu, hirvi, poro, sarvikuono, maasika, sarvikuono, sarvikuono, sarvikuono, impala, virtahepo, hunajainen mäyrä, biisoni, hirvi."],
["ARKISTO","ADR","ADR","ADR","Re-recorded lines via the ADR process.","adr, silmukka, korvaava dialogi"],
["ARKISTO","SEKALAINEN","ASSET","ASSET","A delivered or stored asset, most likely for video game use, but something used in the development of a project.","asset, resource, tag"],
["ARKISTO","BOUNCE","BNCE","BNCE","Bounces made for picture department, layered bounces.","bounce, crashdown"],
["ARKISTO","IR","IR","IR","Impulse Responses, reverb and otherwise.","impulssivaste, IR, altiverb, kaikunäyte, konvoluutiokaiku"],
["ARKISTO","LUUPPIRYHMÄ","LPGRP","LPGRP","Loop group crowds or lines. Specifically recorded in a loop group envirment and needing to tracked as such.","silmukkaryhmä, walla"],
["ARKISTO","MIKSAUS","MIX","MIX","Premixes, final mixes, mixdowns, stems.","esisekoitus, lopullinen sekoitus, stem, M&E, mixdown, printmaster"],
["ARKISTO","PFX","PFX","PFX","FX Stolen from production takes only. Beware of possible rights issues.","tuotanto"],
["ARKISTO","TUOTANTOÄÄNI","PROD","PROD","Production takes, dialog lines and other spoken line production takes.","tuotanto take, dialog line, dx"],
["ARKISTO","RAAKAMATERIAALI","RAW","RAW","Raw recording files, for example a load of a full DAT tape.","dat-nauha, raakatiedostot, käsittelemättömät tiedostot"],
["ARKISTO","REFERENSSI","REF","REF","Reference material, often restricted, used for reference only. Beware of possible rights issues.","referenssi, inspiraatio"],
["ARKISTO","KOHTAUS","SCNE","SCNE","Pre-built scenes and soundscapes, designed scenes. For example a fully build old-west scene.","valmis, valmiiksi rakennettu"],
["ARKISTO","TESTISIGNAALI","TEST","TEST","Test tones used for calibration, ADR beeps, Pink Noise, Sine wave Sweeps.","adr-piippaukset, testiäänet, piippausääni, 2pops, valkoinen kohina, vaaleanpunainen kohina, siniaaltopyyhkäisyt."],
["ARKISTO","TUOTEMERKKI","TMARK","TMARK","For trademarked or copyright sounds that you need to store in your library. Jingles, logos.","tavaramerkki, tekijänoikeus, tuoteääni, lisensoitu, rekisteröity, laillinen"],
["ARKISTO","TYÖN ALLA","WIP","WIP","Files that aren't fully metadata'd, or mastered, tag to remind you there is work to do. Recordings awaiting mastering.","keskeneräinen työ, wip, keskeneräinen"],
["ARKISTO","WTF","WTF","WTF","Literally what it says 'What the F_ck' is THIS sound... Strange otherwise uncategorizable sounds.","luokittelematon, tuntematon, vitsit"],
["PIIPPAUS","KODINKONE","BEEPAppl","BEEP","Microwave oven beeps, dishwasher beeps.","mikroaaltouuni, astianpesukone, pesukone, kuivausrumpu"],
["PIIPPAUS","SEKALAINEN","BEEP","BEEP","Beep sounds not fitting another category in this list. User Interface beeps go to UI-BEEPS.","beep"],
["PIIPPAUS","LOFI","BEEPLofi","BEEP","Very low fidelity, old 8-bit beeps.","atari, famicom, colecovision"],
["PIIPPAUS","SAIRAALA","BEEPMed","BEEP","Beeps from various medical devices, EKG, Live Support.","EKG, EKG, KDC, sydänmonitori, flatline, ultraääni, ultraääni"],
["PIIPPAUS","AJASTIN","BEEPTimer","BEEP","Specifically timer beeps, counting down. Classic time bomb beeps.","mikroaaltouuni, uuni ajastin, digitaalikello, puhelin ajastin"],
["PIIPPAUS","KULKUVÄLINE","BEEPVeh","BEEP","Backup beeps from a large truck or construction vehicle.","trukin äänimerkki, vara-äänimerkki"],
["SOITTOKELLO","ELÄIN","BELLAnml","BELL","Bells attached to animals, like cow and sheep bells, or a dog or cat collar with a bell on it.","lehmänkello, haukkakello, kauluskello, lampaankello"],
["SOITTOKELLO","OVIKELLO","BELLDoor","BELL","Mechanical doorbells. Would also maybe electronic doorbells in here as well to avoid confusion probably. Also see ALARMS-BUZZERS for a door buzzer.","ovikello, ovikello, ding dong, tring, tring"],
["SOITTOKELLO","GONGI","BELLGong","BELL","A large flat circular disc hit with a mallet. With v8.2 of the list most of these would now go into MUSICAL-BELLS instead.","gong, gamelan, agung, bowl gong, tam-tam"],
["SOITTOKELLO","KÄSIKELLO","BELLHand","BELL","Small to medium hand bells, dinner bells. Musical bells like HANDBELLS and CARILLION now go into MUSICAL-BELLS.","käsikello, ruokakello, koulukello, vanhainkodin kello, reenikello, jinglebells, hovimestarin kello."],
["SOITTOKELLO","KIRKONKELLO","BELLLrg","BELL","Large bells like a church bell or tower bell, or city hall bells, Big Ben. Any large bell.","temppelin kello, kirkonkello, soittokello, tornikello."],
["SOITTOKELLO","SEKALAINEN","BELLMisc","BELL","Bell sounds not fitting another category in this list.","polkupyöränkello, palvelukello, soittokello."],
["LINTU","PETOLINTU","BIRDPrey","BIRD","Birds that prey on vertebrates, especially rodents. Raptors.","haukka, kotka, haukka, pöllö, haaskalintu, kondori, korppikotka, leija, kalasääski, harakka, tuulihaukka, karakara."],
["LINTU","VARIS","BIRDCrow","BIRD","Birds in Corvid family, which includes crows and ravens.","varis, korppi, kaakkuri, sinitiainen, harakka, pähkinänsärkijä."],
["LINTU","RIISTALINTU","BIRDFowl","BIRD","Landfowl, wildfowl and waterfowl, also poultry. Ground feeding and many water feeding birds.","kana, fasaani, kalkkuna, hanhi, hanhi, metsäkana, ankka, joutsen, peltopyy, teeri, sinisorsa, haahka, guaani, sarvikuono, kurjenmiekka, viiriäinen, harmaasieppo, tiainen, kottarainen, metsäkanalintu."],
["LINTU","SEKALAINEN","BIRDMisc","BIRD","Bird sounds not fitting another category in this list.","ani, maantiekiitäjä, käki, puukiipijä, yökkönen, yöhaukka, yökkönen, köyhälistö, kolibri..."],
["LINTU","MERILINTU","BIRDSea","BIRD","Birds that live mostly near the ocean. Seagulls, pelicans.","lokki, tylli, albatrossi, merimetso, pelikaani, pingviini, lokkilintu, lokki, tiira, tiira, fregattilintu, tislikko, osteriturska, räystäspääsky, räystäspääsky, hietalintu, tylli, tylli, aukko, töyhtöhyyppä, hiirihaukka, pikkulintu."],
["LINTU","LAULULINTU","BIRDSong","BIRD","Specifically singing birds, warblers, robins, thrushes, what you imagine pretty dawn chorus birds.","kyyhkynen, kärpässiipi, naurulokki, pilkkijä, pähkinähakki, kyyhkynen, punarinta, varpunen, pääskynen, ruskosuohaukka, pensastasku, vireo, naurulokki, naurulokki, tiainen, tiainen, tiainen, tiainen, pikkulepinkäinen, kuikka, kuningaslintu, ryömijä, puukiipijä, räkättirastas, räkättirastas, töyhtöhyyppä, mustarastas, kottarainen, vahalintu, räpylätti, kirjosieppo, kortelintu, lehtokerttu."],
["LINTU","TROPPINEN","BIRDTrop","BIRD","Birds living in tropical locations, jungle and tropical rainforest birds. Parrots and Toucans.","papukaija, toukaani, kookaburra, lierilintu, riikinkukko, ara, sarvipapukaija, kakadu, papukaija, iibis, lusikkasotka, flamingo."],
["LINTU","KAHLAAJA","BIRDWade","BIRD","Long-legged, long-billed birds that feed primarily in shallow water. Think Herons and Egrets.","kurki, haikara, flamingo, iibis, räkättirastas, lusikkasotka, haikara, haikara, räkättirastas, sora, kottarainen, kurki, haikara, haikara, haikara, haikara, räkättirastas, räkättirastas, räkättirastas."],
