[["AIR","BLOW","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","compressed air, depressurise, release, puff, sputter, flutter, purge"],
["AMBIENCE","PUBLIC PLACE","AMBPubl","AMB","Except for restaurants, for any other usually indoor public places such as stores, lobbies, hotels, malls, museums. Lots of possible overlap with other categories. Use if not fitting elsewhere.","stores, lobbies, hotels, malls, museums, public squares, courtyards, gyms, fitness center, motel, library, courthouse, court"],
["AMBIENCE","RELIGIOUS","AMBRlgn","AMB","Church and temples, church services, religious gatherings, pilgrimages. Any ambience relating to religion.","church, temple, mosque, chapel, derasar, cathedral"],
["AMBIENCE","RESIDENTIAL","AMBHome","AMB","Something busier than a room tone, an Apartment, a House with some activity from outside etc. Interior with exterior sounds coming through closed or open doors, windows.","home, apartment, condo, mansion, house, townhouse, cabin, house, residence"],
["AMBIENCE","RESTAURANT & BAR","AMBRest","AMB","Restaurants and bars, pubs, places of eating and drinking, mixed crowd with glass clinks or silverware.","restaurant, bar, pub, gastropub, foodcart, diner, cafe, cafeteria, canteen, tearoom, saloon, coffee shop, pizzeria, fast-food, wine bar, automat, commissary, tavern, nightclub, deli, eatery, brasserie, drive-in"],
["AMBIENCE","ROOM TONE","AMBRoom","AMB","Simple room tones with little or no activity. Also see now AMBIENCE-RESIDENTIAL if more than just air is present, as it might be a better fit.","room tone, dead air, quiet air"],
["AMBIENCE","RURAL","AMBRurl","AMB","Rural and countryside ambiences that don't fit somewhere else in this list. Nature, away from signs of people, overlap with AMBIENCE-ALPINE, DESERT, FOREST, PRAIRIE, etc.","countryside, plain, prairie, grassland, mountain, rolling hill, savanna, tundra, meadow, canyon, coulee, scrub, scrubland, plateau"],
["AMBIENCE","SCHOOL","AMBSchl","AMB","Schools of any age, kindergarten through college, hallways, lockers, voices, school bells.","grade school, middle school, highschool, college, preschool, university, classroom, assembly"],
["AMBIENCE","SCIFI","AMBSci","AMB","A composite sci-fi ambience, a complex background layered with many sci-fi elements. A complex spacehip bridge, or high-tech lab. See also SCIFI for individual elements.","spaceship, tech center, command center, scifi, futuristic, high-tech, hi-tec"],
["AMBIENCE","SEASIDE","AMBSea","AMB","Relating to beach and oceanside scenes with people. (Compare to AMBIENCE-NAUTICAL). Water only recordings would go to a WATER category.","beach, seaside, strand, coastal, shore, shoreline, seashore, seaboard, boardwalk, beach resort, beachfront, embankment, dock, pier, harbour, harbor"],
["AMBIENCE","SPORT","AMBSprt","AMB","Sporting events, little league baseball to major league. Use CROWDS-SPORT for clean crowd recordings.","nfl, football, nba, basketball, mlb, baseball, tennis, sport event, little league, practice"],
["AMBIENCE","SUBURBAN","AMBSubn","AMB","Suburban streets, average residential neighborhood, not dense like URBAN. Lawnmowers, sprinklers, birds.","suburb, residential, neighborhood, cul-de-sac, village, barrio, outskirts, hamlet"],
["AMBIENCE","SWAMP","AMBSwmp","AMB","A wetland often partially or intermittently covered with water; especially : one dominated by woody vegetation. Marshes, although tecnically different, are included here. Any wetland.","frog, bog, swamp, everglade, wetland, riparian, lakeside, lake, mangrove"],
["AMBIENCE","TOWN","AMBTown","AMB","Something in between a CITY and a SUBURB. Activity, cars, pedestrians, that 'small town' or village sound. May be confusion between this, AMBIENCE-URBAN and AMBIENCE-SUBURBAN.","town, village, hamlet, small town, community, settlement"],
["AMBIENCE","TRAFFIC","AMBTraf","AMB","Specifically traffic without people. Not for a single car by, but for clean busy traffic, clean highway traffic for example. Rush hour where the sound is predominantly cars.","car bys, freeway, highway, boulevard, avenue, motorway"],
["AMBIENCE","TRANSPORTATION","AMBTran","AMB","Not VEHICLES, but public train stations, airports, bus stations, subway stations. Not the airplane or train itself. But public places centering around transportation.","train station, airport, bus station, subway station, tube station, metro station, terminal, depot, terminus"],
["AMBIENCE","TROPICAL","AMBTrop","AMB","Jungles and rainforests, lush animal life and vegetation.","jungle, bush, tropical rainforest, cloud forest, tropical"],
["AMBIENCE","TUNDRA","AMBTndra","AMB","Treeless environments where the ground is permanently frozen, arctic, antarctic.","artic, antartic, plateau, north pole, south pole, polar, glacier, snow, ice"],
["AMBIENCE","UNDERGROUND","AMBUndr","AMB","Subterranean, underground ambiences like sewers, bunkers, tunnels, dungeons, caves.","cave, drips, echoes, sewer, bunker, tunnel, dungeon, lava tube, cellar, subterranean, sunken, buried, belowground, basement, shaft, mine, passage, passageway"],
["AMBIENCE","UNDERWATER","AMBUndwtr","AMB","Underwater sounding ambiences, deep bubbles and that classic undersea world sound. See also WATER-UNDERWATER.","underwater, reef, coral, ocean trench, submerged, undersea, subaquatic, shipwreck"],
["AMBIENCE","URBAN","AMBUrbn","AMB","Dense cities and environments. New York City or London or Mumbai. Often Dense Traffic, horns, pedestrians, buses, but really any city. Overlap with AMBIENCE-TOWN possible.","metropolis, dense city, city, downtown, inner city, metropolitan, bustling, rush hour, congestion, city center, slum, skid row, ghetto, financial district"],
["AMBIENCE","WARFARE","AMBWar","AMB","Battles, warfare, full ambiences here. Not for isolated WEAPONS or VEHICLES which have their own categories. Composite sounds of war.","war, warfare, battle, skirmish, combat, fight, engagement, assault, offensive, blitz, air-raid, raid, bombardment, barrage, fusillade, blitzkrieg, salvo, flak, broadside, cannonade"],
["ANIMALS","AMPHIBIAN","ANMLAmph","ANML","Technically any amphibian, but most likely used for frogs and toads.","frog, toad, bullfrog, salamander, newt, chorus frog, peeper, croaker, axolotl"],
["ANIMALS","AQUATIC","ANMLAqua","ANML","All manner of marine and sea animals, not just mammals, but anything that lives in water.","whale, dolphin, porpoise, sea lion, seal, killer whale, orca, manatee, walrus, elephant seal, marine otter, sea otter, beluga, narwhal, dugong, shark, stingray, jellyfish, squid, octopus, crabs, lobsters, eels"],
["ANIMALS","BAT","ANMLBat","ANML","Bat chirps, echolocation and communicative vocalization. Wings would go under WINGS-MISC.","flying fox, vampire bats, fruit bat"],
["ANIMALS","CAT DOMESTIC","ANMLCat","ANML","Domesticated house cats. See also ANIMALS-CAT WILD.","meow, purr, kitten, kitty, feline, alley cat"],
["ANIMALS","CAT WILD","ANMLWcat","ANML","Wild cats as opposed to domesticated cats. Tigers and Lions.","lion, tiger, puma, cougar, leopard, jaguar, snow leopard, cheetah, lynx, bobcat, caracal, ocelot, panther, serval"],
["ANIMALS","DOG","ANMLDog","ANML","All Domesticated dogs, excluding wild dogs. Pet dogs. See also ANIMALS-WILD DOG for non-domesticated dogs.","dog, hound, bark, puppy, doggie, lapdog, mutt, pooch"],
["ANIMALS","DOG WILD","ANMLWdog","ANML","Wild dogs and canines like Wolves, Foxes, Coyotes etc.","wolf, fox, coyote, jackal, dingo, lupus, canid"],
["ANIMALS","FARM","ANMLFarm","ANML","Domesticated mammals you'd find on a farm. For farm birds see BIRDS-FOWL. See also AMBIENCE-FARM.","cow, sheep, goat, pig, cattle, llama, alpaca"],
["ANIMALS","HORSE","ANMLHors","ANML","All members of the horse family, including donkeys and mules. See also FOOTSTEPS-HORSE and EQUIPMENT-BRIDLE.","donkey, mule, ass, zebra"],
["ANIMALS","INSECT","ANMLInsc","ANML","All manner of traditional insect sounds, crickets, cicada, flies and bees. And singular insect recordings. See also AMBIENCE-INSECT now for dense ambience style recordings.","grasshopper, cricket, cicada, fly, bee, wasp, hornet, weta, conehead, locust, beetle, cockroach"],
["ANIMALS","MISC","ANMLMisc","ANML","Other animals not finding a clear category.","miscellaneous"],
["ANIMALS","PRIMATE","ANMLPrim","ANML","All members of the primate family except humans. Apes, Chimps, etc.","chimpanzee, ape, gorilla, lemur, orangutan, capuchin, marmoset, monkey, gibbon, bonobo, baboon"],
["ANIMALS","REPTILE","ANMLRept","ANML","All reptiles including snakes, turtles and lizzards.","snake, lizard, alligator, crocodile, turtle, gharial, caiman, gecko"],
["ANIMALS","RODENT","ANMLRdnt","ANML","All manner 'gnawing' animals like rats and mice. Rodents.","mouse, mice, rat, squirrel, mole, porcupine, guinea pig, chipmunk, beaver, gopher, raccoon, prairie dog, gerbil, hamster, marmot, lemming, muskrat, chinchilla, rodent"],
["ANIMALS","WILD","ANMLWild","ANML","Any wild animal not explicitly defined by the list, and not domesticated. Wolves and Coyotes now to go ANIMALS-DOG WILD","bear, giraffe, hippo, elephant, elk, deer, gazelle, badger, anteater, platypus, sloth, wolverine, boar, wombat, koala, kangaroo, wallaby, wildebeest, panda, antelope, racoon, elk, reindeer, rhino, aardvark, warthog, impala, hippopotamus, honey badger, buffalo, moose"],
["ARCHIVED","ADR","ADR","ADR","Re-recorded lines via the ADR process.","adr, loop, replacement dialog"],
["ARCHIVED","ASSET","ASSET","ASSET","A delivered or stored asset, most likely for video game use, but something used in the development of a project.","asset, resource, tag"],
["ARCHIVED","BOUNCE","BNCE","BNCE","Bounces made for picture department, layered bounces.","bounce, crashdown"],
["ARCHIVED","IMPULSE RESPONSE","IR","IR","Impulse Responses, reverb and otherwise.","impulse response, IR, altiverb, reverb sample, convolution reverb"],
["ARCHIVED","LOOP GROUP","LPGRP","LPGRP","Loop group crowds or lines. Specifically recorded in a loop group envirment and needing to tracked as such.","loop group, walla"],
["ARCHIVED","MIX","MIX","MIX","Premixes, final mixes, mixdowns, stems.","premix, final mix, stem, M&E, mixdown, printmaster"],
["ARCHIVED","PFX","PFX","PFX","FX Stolen from production takes only. Beware of possible rights issues.","production"],
["ARCHIVED","PRODUCTION","PROD","PROD","Production takes, dialog lines and other spoken line production takes.","production take, dialog line, dx"],
["ARCHIVED","RAW","RAW","RAW","Raw recording files, for example a load of a full DAT tape.","dat tape, raw files, unprocessed"],
["ARCHIVED","REFERENCE","REF","REF","Reference material, often restricted, used for reference only. Beware of possible rights issues.","reference, inspiration"],
["ARCHIVED","SCENE","SCNE","SCNE","Pre-built scenes and soundscapes, designed scenes. For example a fully build old-west scene.","readymade, prebuilt"],
["ARCHIVED","TEST TONE","TEST","TEST","Test tones used for calibration, ADR beeps, Pink Noise, Sine wave Sweeps.","adr beeps, test tones, bleeping tone, 2pops, white noise, pink noise, sine wave sweeps"],
["ARCHIVED","TRADEMARKED","TMARK","TMARK","For trademarked or copyright sounds that you need to store in your library. Jingles, logos.","trademark, copyright, product sound, licensed, registered, legal"],
["ARCHIVED","WORK IN PROGRESS","WIP","WIP","Files that aren't fully metadata'd, or mastered, tag to remind you there is work to do. Recordings awaiting mastering.","work in progress, wip, unfinished"],
["ARCHIVED","WTF","WTF","WTF","Literally what it says 'What the F_ck' is THIS sound... Strange otherwise uncategorizable sounds.","uncategorizable, unknown, jokes"],
["BEEPS","APPLIANCE","BEEPAppl","BEEP","Microwave oven beeps, dishwasher beeps.","microwave, dishwasher, washing machine, dryer"],
["BEEPS","GENERAL","BEEP","BEEP","Beep sounds not fitting another category in this list. User Interface beeps go to UI-BEEPS.","beep"],
["BEEPS","LOFI","BEEPLofi","BEEP","Very low fidelity, old 8-bit beeps.","atari, famicom, colecovision"],
["BEEPS","MEDICAL","BEEPMed","BEEP","Beeps from various medical devices, EKG, Live Support.","EKG, ECG, KDC, heart monitor, flatline, ultrasound"],
["BEEPS","TIMER","BEEPTimer","BEEP","Specifically timer beeps, counting down. Classic time bomb beeps.","microwave, oven timer, digital watch, phone timer"],
["BEEPS","VEHICLE","BEEPVeh","BEEP","Backup beeps from a large truck or construction vehicle.","forklift beep, backup beep"],
["BELLS","ANIMAL","BELLAnml","BELL","Bells attached to animals, like cow and sheep bells, or a dog or cat collar with a bell on it.","cowbell, hawkbell, collar bell, sheep bell"],
["BELLS","DOORBELL","BELLDoor","BELL","Mechanical doorbells. Would also maybe electronic doorbells in here as well to avoid confusion probably. Also see ALARMS-BUZZERS for a door buzzer.","doorbell, door chime, ding dong, tring"],
["BELLS","GONG","BELLGong","BELL","A large flat circular disc hit with a mallet. With v8.2 of the list most of these would now go into MUSICAL-BELLS instead.","gong, gamelan, agung, bowl gong, tam-tam"],
["BELLS","HANDBELL","BELLHand","BELL","Small to medium hand bells, dinner bells. Musical bells like HANDBELLS and CARILLION now go into MUSICAL-BELLS.","hand bell, dinner bell, school bell, alter bell, sleigh bell, jinglebells, butler bell"],
["BELLS","LARGE","BELLLrg","BELL","Large bells like a church bell or tower bell, or city hall bells, Big Ben. Any large bell.","temple bell, church bell, peal, tower bell"],
["BELLS","MISC","BELLMisc","BELL","Bell sounds not fitting another category in this list.","bicycle bell, service bell, call bell"],
["BIRDS","BIRD OF PREY","BIRDPrey","BIRD","Birds that prey on vertebrates, especially rodents. Raptors.","hawk, eagle, falcon, owl, vulture, condor, buzzard, kite, osprey, harrier, kestrel, caracara"],
["BIRDS","CROW","BIRDCrow","BIRD","Birds in Corvid family, which includes crows and ravens.","crow, raven, jay, blue jay, magpie, nutcracker"],
["BIRDS","FOWL","BIRDFowl","BIRD","Landfowl, wildfowl and waterfowl, also poultry. Ground feeding and many water feeding birds.","chicken, pheasant, turkey, geese, goose, grouse, duck, swan, partridge, teal, mallard, eider, guans, chachalacas, curassow, quail, grebe, chukar, ptarmigan"],
["BIRDS","MISC","BIRDMisc","BIRD","Bird sounds not fitting another category in this list.","ani, roadrunner, cuckoo, woodpecker, nighthawk, nightjar, poorwill, hummingbird"],
["BIRDS","SEA","BIRDSea","BIRD","Birds that live mostly near the ocean. Seagulls, pelicans.","seagull, gannet, albatross, cormorant, pelican, penguin, petrel, gull, tern, frigatebird, booby, oystercatcher, plover, sandpiper, dunlin, auk, puffin, murrelet, auklet"],
["BIRDS","SONGBIRD","BIRDSong","BIRD","Specifically singing birds, warblers, robins, thrushes, what you imagine pretty dawn chorus birds.","dove, flycatcher, grosbeak, mockingbird, nuthatch, pigeon, robin, sparrow, swallow, tanager, thrush, vireo, warbler, wren, tit, chickadee, titmouse, penduline, lark, kinglet, creeper, treecreeper, gnatcatcher, dipper, starling, blackbird, thrasher, waxwing, chat, troupial, cardinal, bunting, blackbird"],
["BIRDS","TROPICAL","BIRDTrop","BIRD","Birds living in tropical locations, jungle and tropical rainforest birds. Parrots and Toucans.","parrot, toucan, kookaburra, lyrebird, peacock, macaw, hornbill, cockatoo, parakeet, ibis, spoonbill, flamingo"],
["BIRDS","WADING","BIRDWade","BIRD","Long-legged, long-billed birds that feed primarily in shallow water. Think Herons and Egrets.","crane, egret, flamingo, ibis, rail, spoonbill, stork, heron, rail, sora, coot, crane, heron, bittern, egret, stork, snipe"],
["BOATS","AIR BOAT","BOATAir","BOAT","Specifically large fan airboats used in swamps. Think the type of boat used in the Everglades. Also hovercraft.","fan boat, air boat, hovercraft"],
["BOATS","BOW WASH","BOATWash","BOAT","The waves pushed up by a boat or ship going through the water, a relatively clean recording.","bow wash, wake"],
["BOATS","DOOR","BOATDoor","BOAT","Boat or Submarine doors. Some possible overlap with over DOOR categories or VEHICLES-DOOR.","hatch, ferry door, boat door, watertight door, ship door"],
["BOATS","ELECTRIC","BOATElec","BOAT","Any boat powered by electricity. Fairly rare. Possible a a radio controlled boat, or electric trolling motor.","trolling motor"],
["BOATS","FISHING","BOATFish","BOAT","Industrial fishing boats, crab boats, trawlers. Simple fishing boats to BOATS-MOTORBOAT.","crab boats, trawlers, seiner, line vessel, dredger, gillnetter, research vessel"],
["BOATS","HORN","BOATHorn","BOAT","Horns on boats and ships. Fog horns would go in HORNS-AIR category.","ship horn, tug-boat horn"],
["BOATS","INTERIOR","BOATInt","BOAT","Interior ambiences on boats and ships, ferries, cruise ships, navy ships.","ship, ferry, ferries, cruise ship, navy, military boat, tugboat, sailboat, yacht, oil tanker, cargo ship, freighter, submarine"],
["BOATS","MECHANISM","BOATMech","BOAT","All manner of boat mechanisms. Sailing ship rigging, pulleys, ropes, ship wheels. See also BOATS-DOOR.","rigging, pulley, rope, ship wheel, throttle, net, cage, trap, anchor"],
["BOATS","MILITARY","BOATMil","BOAT","Specifically military boats and ships, destroyers, aircraft carriers. Any military boat.","patrol boat, destroyer, cruisier, battlecruiser, frigate, corvette, fast attack boat"],
["BOATS","MISC","BOATMisc","BOAT","Boat sounds not fitting another category in this list.","paddleboat, paddleboard"],
["BOATS","MOTORBOAT","BOATMotr","BOAT","General small boats, personal fishing boats, speedboats, pontoon boats. You average recreational boat.","small boat, personal fishing boat, speedboat, pontoon boat, duck boat, dinghy"],
["BOATS","RACING","BOATRace","BOAT","Powered racing boats, not for human powered racing boats, those would go under BOATS-ROWING.","hydroplane, hydrofoil, jet boat"],
["BOATS","ROWBOAT","BOATRow","BOAT","Canoes, rowboats, kayaks probably, human powered boats that use oars and paddles, even racing rowboats.","canoe, rowboat, kayak, oar, paddle, dragon boat, row"],
["BOATS","SAILBOAT","BOATSail","BOAT","Composite recordings of rigging and sails, isolated elements to CLOTH-FLAP for close sails, or BOATS-MECHANISM for rigging.","sailboat, schooner, yawl, sloop, ketch, motorsailer"],
["BOATS","SHIP","BOATShip","BOAT","Large ship, passenger cruise ships, oil tankers, things relating to these.","large ship, cruise ship, oil tanker, cargo ship, freighter"],
["BOATS","STEAM","BOATStm","BOAT","Old steam paddle boats, big steam ship sounds.","steam paddle ship, paddle steamer,  steam engine"],
["BOATS","SUBMARINE","BOATSub","BOAT","Relating to a submarine, include sonar pings. Classic 'Dive' alarm would go in ALARMS-SIREN with keyword Klaxon.","submarine, sonar, submersible, u-boat"],
["BOATS","UNDERWATER","BOATUndwtr","BOAT","Specifically boats and ships recorded underwater, usually hydrophone recordings. SUBMARINES have their own subcategory.","boat, ship, underwater, tanker, fishing boat, motorboat, underwater"],
["BULLETS","BY","BLLTBy","BLLT","Bullet pass bys in air, or underwater.","bullet whiz-by, fwip"],
["BULLETS","IMPACT","BLLTImpt","BLLT","Bullet hits and impacts, on a bullet hit on any material from the ground, to wood, to a person.","bullet impact, bullet hit"],
["BULLETS","MISC","BLLTMisc","BLLT","Bullet sounds not fitting another category in this list.","miscellaneous"],
["BULLETS","RICOCHET","BLLTRico","BLLT","Bullet ricochets, that classic old west 'ping' when a bullet bounces off something.","ricos, ricochet, deflect"],
["BULLETS","SHELL","BLLTShel","BLLT","Bullet shells ejecting and dropping to the ground. See also GUNS-HANDLING for things like loading or unloading a gun.","shell, casing, eject"],
["CARTOON","ANIMAL","TOONAnml","TOON","Cartoon animals, made from animals calls, props, etc. Very silly or stylized animals calls for use in Cartoons.","fake animal, hunting call, duck call"],
["CARTOON","BOING","TOONBoing","TOON","Cartoon boings, like for a bouncing cartoon character. Roger Rabbit or Tigger from Winnie the Pooh.","jaw harp, mouth harp"],
