[["LUFT","BLÅSE","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","trykkluft, trykkavlastning, slipp, pust, sputter, flagre, rensing"],
["LUFTFARTØY","DIVERSE","AEROMisc","AERO","Aircraft not fitting another category in this list.","luftballong, glider, luftballong, ultralett, hangglider, zeppelin, dirigible"],
["LUFTFARTØY","PROPELL","AEROProp","AERO","Aircraft using props as means of propulsion. A propeller airplane.","biplan, triplan, turboprop, stuntfly, crop duster, piper cub, propell, tvillingpropell, propjet, luftskrue"],
["LUFTFARTØY","RADIOSTYRT","AERORadio","AERO","Toy hobby radio controlled, UAV, quadcopters, RC jets and RC helicopters.","quadcopters, uav, ubemannet luftfartøy, rc jet, rc helikopter"],
["LUFTFARTØY","RAKETT","AERORckt","AERO","Jet powered rockets and rocket engines., missiles.","rakett, missil, jetpack, romferge, spacex, nasa, icbm, kjernefysisk rakett, stridshode"],
["ALARM","BJELLE","ALRMBell","ALRM","All alarms which use bells, a school bell, fire alarm bell, a railroad crossing bell.","brannklokke, skoleklokke, jernbanekryssklokke, alarmklokke"],
["ALARM","SUMMER","ALRMBuzr","ALRM","All alarms using buzzers, or buzzers in general even if not technically an alarm, would probably go here. A front door buzzer.","dørsummer, spillshowsummer, inngangssummer, inngangssummer, intercomsummer"],
["ALARM","KLOKKE","ALRMClok","ALRM","Specifically alarm clocks, digital or analog. A bit of overlap with ALARMS-BELL, but clock alarms of all kinds probably best to go here.","digital vekkerklokke, vekkerklokke, vekkerklokke"],
["ALARM","ELEKTRONISK","ALRMElec","ALRM","All electronic alarms, pure electronic tone alarms. Home burglar alarms, smoke detectors, etc. Car alarms would go to VEHICLES-ALARMS.","branndetektor, røykvarsler, CO2-detektor, bilalarm, boligalarm"],
["ALARM","DIVERSE","ALRMMisc","ALRM","Alarm sounds not fitting another category in this list.","Diverse"],
["ALARM","SIRENE","ALRMSirn","ALRM","Mechanical sirens, like old klaxons. Vehicle sirens such a police, fire and ambulance to go to VEHICLES-SIREN.","klaxon, ahooga-horn, luftangrepssirene, tornadosirene"],
["ATMOSFÆRE","LUFT","AMBAir","AMB","Quiet exterior 'air' with little activity, like exterior room tones, very simple exterior ambiences. The exeterior equivalent of a room tone. If noticable activity find a better fitting category.","ørken, vinter, stille luft, nattluft, fjelluft, nattluft"],
["ATMOSFÆRE","ALPIN","AMBAlpn","AMB","Mountain ambiences, for recordings and ambiences geographically linked to Alpine Environments. Some overlap with AMBIENCE-RURAL.","alper, fjell, steiner, tetoner, fjellklatring, fjellrike, snødekte, fjellside, topp"],
["ATMOSFÆRE","FORNØYELSE","AMBAmus","AMB","Theme parks and carnivals. Beware of possible rights issues with uncleared music. Carnivals, fairs, festivals. Probably arcades too.","disneyland, six-flags, temapark, fornøyelsespark, karneval, messe, fylkesmesse, midtveis, reisemesse, festival, hjemsøkt hus, funhouse, arkade, flipperspill"],
["ATMOSFÆRE","FUGLESANG","AMBBird","AMB","Group songbirds, like a dawn chorus of pretty birds, where the birds are the prominent sound. Single birds would go in BIRDS-SONGBIRD.","dawn chorus, morgenkor, pen fugl, flokker, kvitring, tweeting, kikking"],
["ATMOSFÆRE","FEIRING","AMBCele","AMB","Parties, New Years Eve. Not pure crowds, as that would go in CROWDS, but i.e. exterior city new years. Also see AMBIENCES-AMUSEMENT for something like a fair or festival.","offentlig samling, arrangement, fest, galla, karneval, fest, fiesta, festival"],
["ATMOSFÆRE","BYGGEPLASS","AMBCnst","AMB","Construction scenes with things like jackhammers, cranes, pile drivers, composite construction scene, road construction also.","veibygging, bygg, snekring, ombygging, reno, veireparasjon, ombygging"],
["ATMOSFÆRE","ØRKEN","AMBDsrt","AMB","Quiet desert ambiences with appropriate insects and birds. Maybe tumbleweeds.","ørken, tumbleweed, oase, gold, ødemark, sahara, tørr, sanddyner, øde"],
["ATMOSFÆRE","DESIGN","AMBDsgn","AMB","Artificial designed ambience. V8.2 adds AMBIENCE-FANTASY and AMBIENCE-SCIFI which may be better fit for most 'designed' categories.","kunstig, designet"],
["ATMOSFÆRE","NØD","AMBEmrg","AMB","Crime scenes, firefighting scenes, accident scenes, with things like firefighters, police, ambulances and medics. Also see VEHICLES-EMERGENCY.","åsted, brannslukking, politi, medisiner, bevis, naturkatastrofe, skyting, ulykke, katastrofe, skade, havari"],
["ATMOSFÆRE","EVENTYR","AMBFant","AMB","Magical or other wordly composite ambiences, soundscapes, think Middle Earth or Pandora.","fe, fantasi, magisk, rike, drøm, middeljord, pandora"],
["ATMOSFÆRE","BONDEGÅRD","AMBFarm","AMB","Specifically farm ambiences, with animals, maybe tractors working, chickens, etc. Isolated farm animals would go into ANIMALS-FARM.","gård, høsting, jordbearbeiding, ranch, gård, grange, plantasje, jordbruksland, penn, låve, beite, meieri, vingård, innhegning, pastoral"],
["ATMOSFÆRE","SKOG","AMBForst","AMB","Forest recordings or forest composite files. Trees and birds, maybe wind in trees all together. Some overlap with AMBIENCE-RURAL or AMBIENCE-ALPINE.","skog, skog, tømmerland, boreal skog, regnskog, temperert regnskog, skyskog, løvskog, bartrær"],
["ATMOSFÆRE","SLETTELAND","AMBGras","AMB","Prairies, meadows, grazing patures, etc. But FARMS has own category if farm animals or human activity are present.","prærie, jordbruksland, gress, eng, beite, beite, vidder"],
["ATMOSFÆRE","HISTORISK","AMBHist","AMB","Old West scenes, Roman street scenes. Composite history and ancient ambiences.","spøkelsesby, gamle vesten, gullrushet, antikkens Roma, antikkens Hellas"],
["ATMOSFÆRE","HI-TECH","AMBTech","AMB","Hi-tech machine rooms. Data centers, control rooms. James Bond type lairs. Spaceship interiors.","laboratorium, maskinrom, server, datasenter, kontrollrom"],
["ATMOSFÆRE","SYKEHUS","AMBHosp","AMB","Hospital ambiences of all kinds, surgery and emergency rooms too. Possibly veterinarian hospitals too.","legevakt, operasjon, venterom, sykestue, klinikk, sanatorium, sykestue"],
["ATMOSFÆRE","INDUSTRIELL","AMBInd","AMB","Industrial warehouses and factories, plants or any ambience with an industrial feeling.","fabrikk, produksjon, anlegg, mølle, lager, verksted"],
["ATMOSFÆRE","INSEKT","AMBInsc","AMB","Thick ambiences of insects, cicada and cricket beds mainly. May contain over sounds but main sound being large presence of insects. See also ANIMALS-INSECT for more isolated sounds.","sirisser, sikader, katydider, svømte, gresshopper"],
["ATMOSFÆRE","INNSJØEN","AMBLake","AMB","Ambiences relating to lakes, not isolated lapping, but the lake version of AMBIENCE-SEASIDE. See also WATER-LAPPING.","innsjøer, lakeside, lapping, svømming, reservoar, dam, innsjø"],
["ATMOSFÆRE","MARKED","AMBMrkt","AMB","Busy exterior or interior market activity and crowds. Think vibrant international markets in Istanbul or Africa, but any market.","marked, markedsplass, selger, shoppingdistrikt, basar, mart, bytte, loppemarked, torg"],
["ATMOSFÆRE","DIVERSE","AMBMisc","AMB","Ambience sounds not fitting another category in this list.","Diverse"],
["ATMOSFÆRE","MARITIM","AMBNaut","AMB","Relating to ships at sea, shipyards, things revolving around ships. (compare to AMBIENCE-SEASIDE). Water only recordings would go to a WATER category.","nautisk, verft, bakdekk, hekk, baug, akter, sjøfart, sjøgående, oseanisk, marine, maritim, marina"],
["ATMOSFÆRE","KONTOR","AMBOffc","AMB","Workplaces, offices, people working, typing, telephones. General offices of various sizes.","kontor, avlukke, arbeidsplass, avdeling, stasjon, filial, arbeidsstasjon"],
["ATMOSFÆRE","PARK","AMBPark","AMB","Parks, mostly city or suburban, probably usually with some human activity, city activity. Not pure nature sounds.","park, lekeplass, hager, botantiske hager, bypark, forstadspark, ballpark, parklandskap"],
["ATMOSFÆRE","FENGSEL","AMBPrisn","AMB","Prisons and jails, reverberant inmate walla, jail doors, buzzers, that sort of thing.","fengsel, fengsel, fengselsgård, fengselsanstalt, slammer, fengselshus, forvaring, isolasjon, straffeinstitusjon"],
["ATMOSFÆRE","PROTEST","AMBPrtst","AMB","Protests, Rallies, Riots. Big mixed ambiences of crowds, shouting, yelling, chanting. Opposed to AMBIENCE-CHEERING.","protest, rally, rally, opprør, sang, roping, skriking, sint folkemengde, marsjer, demonstrasjon, uro, opprør, revolusjon, sint"],
["ATMOSFÆRE","OFFENTLIG STED","AMBPubl","AMB","Except for restaurants, for any other usually indoor public places such as stores, lobbies, hotels, malls, museums. Lots of possible overlap with other categories. Use if not fitting elsewhere.","butikker, lobbyer, hoteller, kjøpesentre, museer, offentlige torg, gårdsplasser, treningssentre, treningssenter, motell, bibliotek, tinghus, domstol"],
["ATMOSFÆRE","RELIGIØST","AMBRlgn","AMB","Church and temples, church services, religious gatherings, pilgrimages. Any ambience relating to religion.","kirke, tempel, moske, kapell, derasar, katedral"],
["ATMOSFÆRE","BOLIG","AMBHome","AMB","Something busier than a room tone, an Apartment, a House with some activity from outside etc. Interior with exterior sounds coming through closed or open doors, windows.","hjem, leilighet, leilighet, herskapshus, hus, rekkehus, hytte, hus, bolig"],
["ATMOSFÆRE","RESTAURANT OG BAR","AMBRest","AMB","Restaurants and bars, pubs, places of eating and drinking, mixed crowd with glass clinks or silverware.","restaurant, bar, pub, gastropub, matvogn, spisestue, kafé, kafeteria, kantine, tesalong, salong, kaffebar, pizzeria, hurtigmat, vinbar, automat, kommissær, taverna, nattklubb, delikatesse, spisested, brasserie, drive- i"],
["ATMOSFÆRE","ROMTONE","AMBRoom","AMB","Simple room tones with little or no activity. Also see now AMBIENCE-RESIDENTIAL if more than just air is present, as it might be a better fit.","romtone, død luft, stille luft"],
["ATMOSFÆRE","LANDLIG","AMBRurl","AMB","Rural and countryside ambiences that don't fit somewhere else in this list. Nature, away from signs of people, overlap with AMBIENCE-ALPINE, DESERT, FOREST, PRAIRIE, etc.","landsbygd, slette, prærie, gressletter, fjell, bølgende ås, savanne, tundra, eng, canyon, coulee, kratt, krattmark, platå"],
["ATMOSFÆRE","SKOLE","AMBSchl","AMB","Schools of any age, kindergarten through college, hallways, lockers, voices, school bells.","barneskole, ungdomsskole, videregående skole, høyskole, førskole, universitet, klasserom, forsamling"],
["ATMOSFÆRE","SCI-FI","AMBSci","AMB","A composite sci-fi ambience, a complex background layered with many sci-fi elements. A complex spacehip bridge, or high-tech lab. See also SCIFI for individual elements.","romskip, teknologisenter, kommandosenter, scifi, futuristisk, høyteknologisk, hi-tec"],
["ATMOSFÆRE","HAVET","AMBSea","AMB","Relating to beach and oceanside scenes with people. (Compare to AMBIENCE-NAUTICAL). Water only recordings would go to a WATER category.","strand, kyst, strand, kyst, kyst, kystlinje, strandlinje, strandpromenade, strandpromenade, strandferiested, ved stranden, voll, kai, brygge, havn, havn"],
["ATMOSFÆRE","IDRETT","AMBSprt","AMB","Sporting events, little league baseball to major league. Use CROWDS-SPORT for clean crowd recordings.","nfl, fotball, nba, basketball, mlb, baseball, tennis, sportsbegivenhet, little league, trening"],
["ATMOSFÆRE","FORSTAD","AMBSubn","AMB","Suburban streets, average residential neighborhood, not dense like URBAN. Lawnmowers, sprinklers, birds.","forstad, bolig, nabolag, blindvei, landsby, barrio, utkant, grend"],
["ATMOSFÆRE","SUMP","AMBSwmp","AMB","A wetland often partially or intermittently covered with water; especially : one dominated by woody vegetation. Marshes, although tecnically different, are included here. Any wetland.","frosk, myr, sump, everglade, våtmark, elvebredden, innsjø, innsjø, mangrove"],
["ATMOSFÆRE","BY","AMBTown","AMB","Something in between a CITY and a SUBURB. Activity, cars, pedestrians, that 'small town' or village sound. May be confusion between this, AMBIENCE-URBAN and AMBIENCE-SUBURBAN.","by, bygd, grend, småby, samfunn, bygd"],
["ATMOSFÆRE","TRAFIKK","AMBTraf","AMB","Specifically traffic without people. Not for a single car by, but for clean busy traffic, clean highway traffic for example. Rush hour where the sound is predominantly cars.","bilbys, motorvei, motorvei, boulevard, allé, motorvei"],
["ATMOSFÆRE","TRANSPORT","AMBTran","AMB","Not VEHICLES, but public train stations, airports, bus stations, subway stations. Not the airplane or train itself. But public places centering around transportation.","togstasjon, flyplass, busstasjon, T-banestasjon, T-banestasjon, T-banestasjon, terminal, depot, endestasjon"],
["ATMOSFÆRE","TROPISK","AMBTrop","AMB","Jungles and rainforests, lush animal life and vegetation.","jungel, bush, tropisk regnskog, skyskog, tropisk"],
["ATMOSFÆRE","TUNDRA","AMBTndra","AMB","Treeless environments where the ground is permanently frozen, arctic, antarctic.","artisk, antartisk, platå, nordpol, sydpol, polar, isbre, snø, is"],
["ATMOSFÆRE","UNDERJORDISK","AMBUndr","AMB","Subterranean, underground ambiences like sewers, bunkers, tunnels, dungeons, caves.","hule, drypp, ekko, kloakk, bunker, tunnel, fangehull, lavarør, kjeller, underjordisk, nedsenket, begravet, underjordisk, kjeller, sjakt, gruve, passasje, passasje"],
["ATMOSFÆRE","UNDERVANNS","AMBUndwtr","AMB","Underwater sounding ambiences, deep bubbles and that classic undersea world sound. See also WATER-UNDERWATER.","undervann, rev, koraller, havgrøft, nedsenket, undersjøisk, undervann, skipsvrak"],
["ATMOSFÆRE","URBANT","AMBUrbn","AMB","Dense cities and environments. New York City or London or Mumbai. Often Dense Traffic, horns, pedestrians, buses, but really any city. Overlap with AMBIENCE-TOWN possible.","metropol, tett by, by, sentrum, indre by, storby, travle, rushtid, overbelastning, sentrum, slum, slum, ghetto, finansdistrikt"],
["ATMOSFÆRE","KRIG","AMBWar","AMB","Battles, warfare, full ambiences here. Not for isolated WEAPONS or VEHICLES which have their own categories. Composite sounds of war.","krig, krigføring, kamp, trefning, kamp, kamp, engasjement, angrep, offensiv, blitz, luftangrep, raid, bombardement, sperring, fusillade, blitzkrieg, salve, flak, bredside, kanonade"],
["DYR","AMFIBISK","ANMLAmph","ANML","Technically any amphibian, but most likely used for frogs and toads.","frosk, padde, oksefrosk, salamander, salamander, korfrosk, peeper, croaker, axolotl"],
["DYR","SJØDYR","ANMLAqua","ANML","All manner of marine and sea animals, not just mammals, but anything that lives in water.","hval, delfin, nise, sjøløve, sel, spekkhoggere, spekkhoggere, manatee, hvalross, selelefant, marin oter, sjøaure, hvithval, narhval, dugong, hai, brennrokke, maneter, blekksprut, blekksprut, krabber, hummer, ål"],
["DYR","FLAGGERMUS","ANMLBat","ANML","Bat chirps, echolocation and communicative vocalization. Wings would go under WINGS-MISC.","flygende rev, vampyrflaggermus, fruktflaggermus"],
["DYR","HUSKATT","ANMLCat","ANML","Domesticated house cats. See also ANIMALS-CAT WILD.","mjau, spinne, kattunge, pus, katt, smugkatt"],
["DYR","VILLKATT","ANMLWcat","ANML","Wild cats as opposed to domesticated cats. Tigers and Lions.","løve, tiger, puma, cougar, leopard, jaguar, snøleopard, gepard, gaupe, bobcat, caracal, ocelot, panter, serval"],
["DYR","HUND","ANMLDog","ANML","All Domesticated dogs, excluding wild dogs. Pet dogs. See also ANIMALS-WILD DOG for non-domesticated dogs.","hund, hund, bjeff, valp, doggie, lapdog, mutt, hund"],
["DYR","VILLHUND","ANMLWdog","ANML","Wild dogs and canines like Wolves, Foxes, Coyotes etc.","ulv, rev, coyote, sjakal, dingo, lupus, canid"],
["DYR","BONDEGÅRD","ANMLFarm","ANML","Domesticated mammals you'd find on a farm. For farm birds see BIRDS-FOWL. See also AMBIENCE-FARM.","ku, sau, geit, gris, storfe, lama, alpakka"],
["DYR","HEST","ANMLHors","ANML","All members of the horse family, including donkeys and mules. See also FOOTSTEPS-HORSE and EQUIPMENT-BRIDLE.","esel, muldyr, rumpa, sebra"],
["DYR","INSEKT","ANMLInsc","ANML","All manner of traditional insect sounds, crickets, cicada, flies and bees. And singular insect recordings. See also AMBIENCE-INSECT now for dense ambience style recordings.","gresshoppe, cricket, cicada, flue, bie, veps, hornet, weta, kjeglehode, gresshoppe, bille, kakerlakk"],
["DYR","DIVERSE","ANMLMisc","ANML","Other animals not finding a clear category.","Diverse"],
["DYR","PRIMAT","ANMLPrim","ANML","All members of the primate family except humans. Apes, Chimps, etc.","sjimpanse, ape, gorilla, lemur, orangutang, capuchin, silkeaper, ape, gibbon, bonobo, bavian"],
["DYR","KRYPDYR","ANMLRept","ANML","All reptiles including snakes, turtles and lizzards.","slange, øgle, alligator, krokodille, skilpadde, gharial, kaiman, gekko"],
["DYR","GNAGER","ANMLRdnt","ANML","All manner 'gnawing' animals like rats and mice. Rodents.","mus, mus, rotte, ekorn, føflekk, piggsvin, marsvin, jordekorn, bever, gopher, vaskebjørn, præriehund, gerbil, hamster, murmeldyr, lemen, bisamrotte, chinchilla, gnager"],
["DYR","VILT","ANMLWild","ANML","Any wild animal not explicitly defined by the list, and not domesticated. Wolves and Coyotes now to go ANIMALS-DOG WILD","bjørn, sjiraff, flodhest, elefant, elg, hjort, gaselle, grevling, maursluker, nebbdyr, dovendyr, jerv, villsvin, wombat, koala, kenguru, wallaby, gnu, panda, antilope, vaskebjørn, elg, reinsdyr, neshorn, jordvark, vortesvin, impala, flodhest, honninggrevling, bøffel, elg"],
["ARKIVERT","ETTERSYNK","ADR","ADR","Re-recorded lines via the ADR process.","adr, loop, erstatningsdialog"],
["ARKIVERT","RESSURS","ASSET","ASSET","A delivered or stored asset, most likely for video game use, but something used in the development of a project.","eiendel, ressurs, tag"],
["ARKIVERT","BOUNCE","BNCE","BNCE","Bounces made for picture department, layered bounces.","sprette, krasj"],
["ARKIVERT","IMPULS RESPONS","IR","IR","Impulse Responses, reverb and otherwise.","impulsrespons, IR, altiverb, romklangsprøve, konvolusjonsreverb"],
["ARKIVERT","SORL","LPGRP","LPGRP","Loop group crowds or lines. Specifically recorded in a loop group envirment and needing to tracked as such.","løkkegruppe, walla"],
["ARKIVERT","MIKS","MIX","MIX","Premixes, final mixes, mixdowns, stems.","premix, sluttmiks, stamme, M&E, mixdown, printmaster"],
["ARKIVERT","PFX","PFX","PFX","FX Stolen from production takes only. Beware of possible rights issues.","produksjon"],
["ARKIVERT","OPPTAKSLYD","PROD","PROD","Production takes, dialog lines and other spoken line production takes.","produksjonsopptak, dialoglinje, dx"],
["ARKIVERT","RAW","RAW","RAW","Raw recording files, for example a load of a full DAT tape.","dat tape, råfiler, ubehandlet"],
["ARKIVERT","REFERANSE","REF","REF","Reference material, often restricted, used for reference only. Beware of possible rights issues.","referanse, inspirasjon"],
["ARKIVERT","SCENE","SCNE","SCNE","Pre-built scenes and soundscapes, designed scenes. For example a fully build old-west scene.","ferdiglaget, forhåndsbygget"],
["ARKIVERT","TEST TONE","TEST","TEST","Test tones used for calibration, ADR beeps, Pink Noise, Sine wave Sweeps.","adr-pip, testtoner, pipetone, 2 pops, hvit støy, rosa støy, sinusbølgesveip"],
["ARKIVERT","VAREMERKET","TMARK","TMARK","For trademarked or copyright sounds that you need to store in your library. Jingles, logos.","varemerke, opphavsrett, produktlyd, lisensiert, registrert, lovlig"],
["ARKIVERT","UNDER ARBEID","WIP","WIP","Files that aren't fully metadata'd, or mastered, tag to remind you there is work to do. Recordings awaiting mastering.","arbeid pågår, wip, uferdig"],
["ARKIVERT","WTF","WTF","WTF","Literally what it says 'What the F_ck' is THIS sound... Strange otherwise uncategorizable sounds.","ukategoriserbare, ukjente, vitser"],
["PIP","APPARATER","BEEPAppl","BEEP","Microwave oven beeps, dishwasher beeps.","mikrobølgeovn, oppvaskmaskin, vaskemaskin, tørketrommel"],
["PIP","GENERELT","BEEP","BEEP","Beep sounds not fitting another category in this list. User Interface beeps go to UI-BEEPS.","pip"],
["PIP","LO-FI","BEEPLofi","BEEP","Very low fidelity, old 8-bit beeps.","atari, famicom, colecovision"],
["PIP","MEDISINSK","BEEPMed","BEEP","Beeps from various medical devices, EKG, Live Support.","EKG, EKG, KDC, hjertemonitor, flatline, ultralyd"],
["PIP","TIMER","BEEPTimer","BEEP","Specifically timer beeps, counting down. Classic time bomb beeps.","mikrobølgeovn, ovnstimer, digital klokke, telefontimer"],
["PIP","KJØRETØY","BEEPVeh","BEEP","Backup beeps from a large truck or construction vehicle.","gaffeltruck-pip, backup-pip"],
["KLOKKER","DYREKLOKKE","BELLAnml","BELL","Bells attached to animals, like cow and sheep bells, or a dog or cat collar with a bell on it.","kubjelle, haukeklokke, krageklokke, saueklokke"],
["KLOKKER","DØRKLOKKE","BELLDoor","BELL","Mechanical doorbells. Would also maybe electronic doorbells in here as well to avoid confusion probably. Also see ALARMS-BUZZERS for a door buzzer.","ringeklokke, dørklokke, ding dong, tring"],
["KLOKKER","GONG","BELLGong","BELL","A large flat circular disc hit with a mallet. With v8.2 of the list most of these would now go into MUSICAL-BELLS instead.","gong, gamelan, agung, bollegong, tam-tam"],
["KLOKKER","BJELLE","BELLHand","BELL","Small to medium hand bells, dinner bells. Musical bells like HANDBELLS and CARILLION now go into MUSICAL-BELLS.","håndklokke, middagsklokke, skoleklokke, alterklokke, sledeklokke, jinglebells, butlerklokke"],
["KLOKKER","STORE","BELLLrg","BELL","Large bells like a church bell or tower bell, or city hall bells, Big Ben. Any large bell.","tempelklokke, kirkeklokke, ringeklokke, tårnklokke"],
["KLOKKER","DIVERSE","BELLMisc","BELL","Bell sounds not fitting another category in this list.","sykkelklokke, serviceklokke, ringeklokke"],
["FUGLER","ROVFUGL","BIRDPrey","BIRD","Birds that prey on vertebrates, especially rodents. Raptors.","hauk, ørn, falk, ugle, gribb, kondor, orrvåg, drage, fiskeørn, harrier, tårnfalk, caracara"],
["FUGLER","KRÅKE","BIRDCrow","BIRD","Birds in Corvid family, which includes crows and ravens.","kråke, ravn, jay, blue jay, skjære, nøtteknekker"],
["FUGLER","FJÆRKRE","BIRDFowl","BIRD","Landfowl, wildfowl and waterfowl, also poultry. Ground feeding and many water feeding birds.","kylling, fasan, kalkun, gjess, gås, rype, and, svane, rapphøns, krikkand, stokkand, ærfugl, guans, chachalacas, curassow, vaktel, lappedykker, chukar, rype"],
["FUGLER","DIVERSE","BIRDMisc","BIRD","Bird sounds not fitting another category in this list.","ani, roadrunner, gjøk, hakkespett, natthauk, nattjark, dårlig vilje, kolibri"],
["FUGLER","HAVET","BIRDSea","BIRD","Birds that live mostly near the ocean. Seagulls, pelicans.","måke, havsule, albatross, skarv, pelikan, pingvin, petrel, måke, terne, fregattfugl, booby, oystercatcher, plover, sandpiper, dunlin, alkefugl, lundefugl, murrelet, auklet"],
["FUGLER","SANG","BIRDSong","BIRD","Specifically singing birds, warblers, robins, thrushes, what you imagine pretty dawn chorus birds.","due, fluesnapper, grosbeak, mockingbird, nøttre, due, rødfugl, spurv, svale, tanager, trost, vireo, warbler, gjerdemys, meis, chickadee, meis, penduline, lerke, kinglet, creeper, treecreeper, gnatcatcher, dipper, stær, svarttrost, thrasher, voksvinge, chat, tropial, kardinal, bunting, svarttrost"],
["FUGLER","TROPISK","BIRDTrop","BIRD","Birds living in tropical locations, jungle and tropical rainforest birds. Parrots and Toucans.","papegøye, tukan, kookaburra, lyrebird, påfugl, ara, hornfugl, kakadue, parakitt, ibis, skjestork, flamingo"],
["FUGLER","VADEFUGL","BIRDWade","BIRD","Long-legged, long-billed birds that feed primarily in shallow water. Think Herons and Egrets.","trane, egret, flamingo, ibis, skinne, skjestork, stork, hegre, skinne, sora, sotehøne, trane, hegre, bittern, egret, stork, snipe"],
["BÅT","LUFTPUTEBÅT","BOATAir","BOAT","Specifically large fan airboats used in swamps. Think the type of boat used in the Everglades. Also hovercraft.","viftebåt, luftbåt, luftputefartøy"],
["BÅT","BAUGBØLGER","BOATWash","BOAT","The waves pushed up by a boat or ship going through the water, a relatively clean recording.","buevask, våkne"],
["BÅT","DØR","BOATDoor","BOAT","Boat or Submarine doors. Some possible overlap with over DOOR categories or VEHICLES-DOOR.","luke, ferjedør, båtdør, vanntett dør, skipsdør"],
["BÅT","ELEKTRISK","BOATElec","BOAT","Any boat powered by electricity. Fairly rare. Possible a a radio controlled boat, or electric trolling motor.","trolling motor"],
["BÅT","FISKE","BOATFish","BOAT","Industrial fishing boats, crab boats, trawlers. Simple fishing boats to BOATS-MOTORBOAT.","krabbebåter, trålere, notfartøy, linefartøy, mudderskip, notfartøy, forskningsfartøy"],
["BÅT","HORN","BOATHorn","BOAT","Horns on boats and ships. Fog horns would go in HORNS-AIR category.","skipshorn, slepebåthorn"],
["BÅT","INTERIØR","BOATInt","BOAT","Interior ambiences on boats and ships, ferries, cruise ships, navy ships.","skip, ferge, ferger, cruiseskip, marine, militærbåt, slepebåt, seilbåt, yacht, oljetanker, lasteskip, fraktebåt, ubåt"],
["BÅT","MEKANISME","BOATMech","BOAT","All manner of boat mechanisms. Sailing ship rigging, pulleys, ropes, ship wheels. See also BOATS-DOOR.","rigging, trinse, tau, skipshjul, gass, nett, bur, felle, anker"],
["BÅT","MILITÆR","BOATMil","BOAT","Specifically military boats and ships, destroyers, aircraft carriers. Any military boat.","patruljebåt, destroyer, cruiser, battlecruiser, fregatt, korvett, hurtigangrepsbåt"],
["BÅT","DIVERSE","BOATMisc","BOAT","Boat sounds not fitting another category in this list.","padlebåt, padlebrett"],
["BÅT","MOTORBÅT","BOATMotr","BOAT","General small boats, personal fishing boats, speedboats, pontoon boats. You average recreational boat.","liten båt, personlig fiskebåt, hurtigbåt, pontongbåt, andebåt, jolle"],
["BÅT","RACER","BOATRace","BOAT","Powered racing boats, not for human powered racing boats, those would go under BOATS-ROWING.","vannfly, hydrofoil, jetbåt"],
["BÅT","ROBÅT","BOATRow","BOAT","Canoes, rowboats, kayaks probably, human powered boats that use oars and paddles, even racing rowboats.","kano, robåt, kajakk, åre, padle, dragebåt, ro"],
["BÅT","SEILBÅT","BOATSail","BOAT","Composite recordings of rigging and sails, isolated elements to CLOTH-FLAP for close sails, or BOATS-MECHANISM for rigging.","seilbåt, skonnert, yawl, sloop, ketch, motorseiler"],
["BÅT","SKIP","BOATShip","BOAT","Large ship, passenger cruise ships, oil tankers, things relating to these.","stort skip, cruiseskip, oljetanker, lasteskip, frakteskip"],
