[["LUFT","BLASEN","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","Druckluft, Druck ablassen, ablassen, puff, sputter, flutter, purge"],
["ATMOSPHÄRE","WALD","AMBForst","AMB","Forest recordings or forest composite files. Trees and birds, maybe wind in trees all together. Some overlap with AMBIENCE-RURAL or AMBIENCE-ALPINE.","Wald, Hölzer, Holzland, borealer Wald, Regenwald, gemäßigter Regenwald, Nebelwald, Laubwald, Nadelbaum"],
["ATMOSPHÄRE","GRASLAND","AMBGras","AMB","Prairies, meadows, grazing patures, etc. But FARMS has own category if farm animals or human activity are present.","Prärie, Ackerland, Gras, Wiese, Weide, Weideland, Steppe"],
["ATMOSPHÄRE","HISTORISCH","AMBHist","AMB","Old West scenes, Roman street scenes. Composite history and ancient ambiences.","Geisterstadt, alter Westen, Goldrausch, antikes Rom, antikes Griechenland"],
["ATMOSPHÄRE","HI-TECH","AMBTech","AMB","Hi-tech machine rooms. Data centers, control rooms. James Bond type lairs. Spaceship interiors.","Labor, Maschinenraum, Server, Rechenzentrum, Kontrollraum"],
["ATMOSPHÄRE","KRANKENHAUS","AMBHosp","AMB","Hospital ambiences of all kinds, surgery and emergency rooms too. Possibly veterinarian hospitals too.","Notaufnahme, Chirurgie, Wartezimmer, Krankenzimmer, Klinik, Sanatorium, Krankenstation"],
["ATMOSPHÄRE","INDUSTRIE","AMBInd","AMB","Industrial warehouses and factories, plants or any ambience with an industrial feeling.","Fabrik, Fertigung, Werk, Mühle, Lager, Werkstatt"],
["ATMOSPHÄRE","INSEKT","AMBInsc","AMB","Thick ambiences of insects, cicada and cricket beds mainly. May contain over sounds but main sound being large presence of insects. See also ANIMALS-INSECT for more isolated sounds.","Grillen, Heuschrecken, Zikaden, Katzentiere, schwimmen, Heuschrecken"],
["ATMOSPHÄRE","SEEUFER","AMBLake","AMB","Ambiences relating to lakes, not isolated lapping, but the lake version of AMBIENCE-SEASIDE. See also WATER-LAPPING.","Seen, Seeufer, Plätschern, Schwimmen, Stausee, Teich, Loch"],
["ATMOSPHÄRE","MARKT","AMBMrkt","AMB","Busy exterior or interior market activity and crowds. Think vibrant international markets in Istanbul or Africa, but any market.","Markt, Marktplatz, Verkäufer, Einkaufsviertel, Basar, Markt, Börse, Flohmarkt, Platz"],
["ATMOSPHÄRE","DIV","AMBMisc","AMB","Ambience sounds not fitting another category in this list.","Verschiedenes"],
["ATMOSPHÄRE","NAUTISCH","AMBNaut","AMB","Relating to ships at sea, shipyards, things revolving around ships. (compare to AMBIENCE-SEASIDE). Water only recordings would go to a WATER category.","nautisch, Schiffswerft, Poopdeck, Heck, Bug, Heck, Seefahrt, Seefahrt, ozeanisch, Marine, maritim, Yachthafen"],
["ATMOSPHÄRE","BÜRO","AMBOffc","AMB","Workplaces, offices, people working, typing, telephones. General offices of various sizes.","Büro, Kabine, Arbeitsplatz, Abteilung, Station, Filiale, Arbeitsstelle"],
["ATMOSPHÄRE","PARK","AMBPark","AMB","Parks, mostly city or suburban, probably usually with some human activity, city activity. Not pure nature sounds.","Park, Spielplatz, Gärten, Botanischer Garten, Stadtpark, Vorstadtpark, Ballspielplatz, Parklandschaft"],
["ATMOSPHÄRE","GEFÄNGNIS","AMBPrisn","AMB","Prisons and jails, reverberant inmate walla, jail doors, buzzers, that sort of thing.","Gefängnis, Knast, Gefängnishof, Zuchthaus, Knasthaus, Arrest, Einzelhaft, Strafvollzugsanstalt"],
["ATMOSPHÄRE","DEMONSTRATION","AMBPrtst","AMB","Protests, Rallies, Riots. Big mixed ambiences of crowds, shouting, yelling, chanting. Opposed to AMBIENCE-CHEERING.","Protest, Kundgebung, Kundgebungen, Aufruhr, skandieren, schreien, schreien, wütende Menge, Märsche, Demonstration, Aufruhr, Revolte, Revolution, wütend"],
["ATMOSPHÄRE","ÖFFENTLICH","AMBPubl","AMB","Except for restaurants, for any other usually indoor public places such as stores, lobbies, hotels, malls, museums. Lots of possible overlap with other categories. Use if not fitting elsewhere.","Geschäfte, Lobbys, Hotels, Einkaufszentren, Museen, öffentliche Plätze, Höfe, Fitnessstudios, Fitnesscenter, Motel, Bibliothek, Gerichtsgebäude, Gericht"],
["ATMOSPHÄRE","RELIGION","AMBRlgn","AMB","Church and temples, church services, religious gatherings, pilgrimages. Any ambience relating to religion.","Kirche, Tempel, Moschee, Kapelle, Derasar, Kathedrale"],
["ATMOSPHÄRE","WOHN","AMBHome","AMB","Something busier than a room tone, an Apartment, a House with some activity from outside etc. Interior with exterior sounds coming through closed or open doors, windows.","Haus, Wohnung, Eigentumswohnung, Villa, Haus, Stadthaus, Hütte, Haus, Residenz"],
["ATMOSPHÄRE","RESTAURANT","AMBRest","AMB","Restaurants and bars, pubs, places of eating and drinking, mixed crowd with glass clinks or silverware.","Restaurant, Bar, Kneipe, Gaststätte, Imbisswagen, Diner, Café, Cafeteria, Kantine, Teestube, Salon, Café, Pizzeria, Schnellimbiss, Weinstube, Automat, Kommissariat, Taverne, Nachtclub, Delikatessenladen, Esslokal, Brasserie, Drive-in"],
["ATMOSPHÄRE","RAUMTON","AMBRoom","AMB","Simple room tones with little or no activity. Also see now AMBIENCE-RESIDENTIAL if more than just air is present, as it might be a better fit.","Raumklang, tote Luft, ruhige Luft"],
["ATMOSPHÄRE","LÄNDLICH","AMBRurl","AMB","Rural and countryside ambiences that don't fit somewhere else in this list. Nature, away from signs of people, overlap with AMBIENCE-ALPINE, DESERT, FOREST, PRAIRIE, etc.","Landschaft, Ebene, Prärie, Grasland, Berg, Hügel, Savanne, Tundra, Wiese, Schlucht, Tal, Gestrüpp, Buschland, Plateau"],
["ATMOSPHÄRE","SCHULE","AMBSchl","AMB","Schools of any age, kindergarten through college, hallways, lockers, voices, school bells.","Grundschule, Mittelschule, Oberschule, Hochschule, Vorschule, Universität, Klassenzimmer, Versammlung"],
["ATMOSPHÄRE","SCIFI","AMBSci","AMB","A composite sci-fi ambience, a complex background layered with many sci-fi elements. A complex spacehip bridge, or high-tech lab. See also SCIFI for individual elements.","Raumschiff, Technikzentrale, Kommandozentrale, Scifi, futuristisch, Hightech, Hi-Tech"],
["ATMOSPHÄRE","KÜSTE","AMBSea","AMB","Relating to beach and oceanside scenes with people. (Compare to AMBIENCE-NAUTICAL). Water only recordings would go to a WATER category.","Strand, Strand, Küste, Ufer, Küste, Meeresküste, Uferpromenade, Badeort, Strandpromenade, Uferpromenade, Dock, Pier, Hafen, Hafenbecken, Hafen"],
["ATMOSPHÄRE","SPORT","AMBSprt","AMB","Sporting events, little league baseball to major league. Use CROWDS-SPORT for clean crowd recordings.","nfl, football, nba, basketball, mlb, baseball, tennis, sportliche Veranstaltung, kleine Liga, Training"],
["ATMOSPHÄRE","VORORT","AMBSubn","AMB","Suburban streets, average residential neighborhood, not dense like URBAN. Lawnmowers, sprinklers, birds.","Vorort, Wohngebiet, Nachbarschaft, Sackgasse, Dorf, Barrio, Außenbezirk, Weiler"],
["ATMOSPHÄRE","SUMPF","AMBSwmp","AMB","A wetland often partially or intermittently covered with water; especially : one dominated by woody vegetation. Marshes, although tecnically different, are included here. Any wetland.","Frosch, Moor, Sumpf, Everglade, Feuchtgebiet, Ufergebiet, See, See, Mangrove"],
["ATMOSPHÄRE","KLEINSTADT","AMBTown","AMB","Something in between a CITY and a SUBURB. Activity, cars, pedestrians, that 'small town' or village sound. May be confusion between this, AMBIENCE-URBAN and AMBIENCE-SUBURBAN.","Stadt, Dorf, Weiler, Kleinstadt, Gemeinde, Siedlung"],
["ATMOSPHÄRE","VERKEHR","AMBTraf","AMB","Specifically traffic without people. Not for a single car by, but for clean busy traffic, clean highway traffic for example. Rush hour where the sound is predominantly cars.","Autostraße, Autobahn, Schnellstraße, Boulevard, Allee, Autobahn"],
["ATMOSPHÄRE","VERKEHRSMITTEL","AMBTran","AMB","Not VEHICLES, but public train stations, airports, bus stations, subway stations. Not the airplane or train itself. But public places centering around transportation.","Bahnhof, Flughafen, Busbahnhof, U-Bahn-Station, U-Bahn-Station, Terminal, Depot, Endstation"],
["ATMOSPHÄRE","TROPEN","AMBTrop","AMB","Jungles and rainforests, lush animal life and vegetation.","Dschungel, Busch, tropischer Regenwald, Nebelwald, tropisch"],
["ATMOSPHÄRE","TUNDRA","AMBTndra","AMB","Treeless environments where the ground is permanently frozen, arctic, antarctic.","Arktis, Antarktis, Hochebene, Nordpol, Südpol, Polar, Gletscher, Schnee, Eis"],
["ATMOSPHÄRE","UNTERIRDISCH","AMBUndr","AMB","Subterranean, underground ambiences like sewers, bunkers, tunnels, dungeons, caves.","Höhle, Tropf, Echo, Kanalisation, Bunker, Tunnel, Verlies, Lavaröhre, Keller, unterirdisch, versunken, begraben, unterirdisch, Keller, Schacht, Bergwerk, Durchgang, Durchfahrt"],
["ATMOSPHÄRE","UNTERWASSER","AMBUndwtr","AMB","Underwater sounding ambiences, deep bubbles and that classic undersea world sound. See also WATER-UNDERWATER.","Unterwasser, Riff, Koralle, Ozeangraben, untergetaucht, unterseeisch, subaquatisch, Schiffswrack"],
["ATMOSPHÄRE","STADT","AMBUrbn","AMB","Dense cities and environments. New York City or London or Mumbai. Often Dense Traffic, horns, pedestrians, buses, but really any city. Overlap with AMBIENCE-TOWN possible.","Metropole, dichte Stadt, Stadt, Innenstadt, innerstädtisch, großstädtisch, geschäftig, Rushhour, Stau, Stadtzentrum, Slum, Ghetto, Finanzviertel"],
["ATMOSPHÄRE","KRIEG","AMBWar","AMB","Battles, warfare, full ambiences here. Not for isolated WEAPONS or VEHICLES which have their own categories. Composite sounds of war.","Krieg, Kriegsführung, Schlacht, Scharmützel, Kampf, Gefecht, Angriff, Offensive, Blitz, Luftangriff, Überfall, Bombardierung, Sperrfeuer, Fusillade, Blitzkrieg, Salve, Flak, Breitseite, Kanonade"],
["TIERE","AMPHIBIE","ANMLAmph","ANML","Technically any amphibian, but most likely used for frogs and toads.","Frosch, Kröte, Ochsenfrosch, Salamander, Molch, Chorfrosch, Pieper, Quappe, Axolotl"],
["TIERE","MEER","ANMLAqua","ANML","All manner of marine and sea animals, not just mammals, but anything that lives in water.","Wal, Delphin, Tümmler, Seelöwe, Robbe, Killerwal, Orca, Seekuh, Walross, See-Elefant, Seeotter, Beluga, Narwal, Dugong, Hai, Rochen, Qualle, Tintenfisch, Krake, Krabben, Hummer, Aal"],
["TIERE","FLEDERMAUS","ANMLBat","ANML","Bat chirps, echolocation and communicative vocalization. Wings would go under WINGS-MISC.","Flughund, Vampirfledermaus, Flughund"],
["TIERE","HAUSKATZE","ANMLCat","ANML","Domesticated house cats. See also ANIMALS-CAT WILD.","Miau, Schnurren, Kätzchen, Kitty, Katze, Gassenkatze"],
["TIERE","RAUBKATZE","ANMLWcat","ANML","Wild cats as opposed to domesticated cats. Tigers and Lions.","Löwe, Tiger, Puma, Puma, Leopard, Jaguar, Schneeleopard, Gepard, Luchs, Rotluchs, Karakal, Ozelot, Panther, Serval"],
["TIERE","HUND","ANMLDog","ANML","All Domesticated dogs, excluding wild dogs. Pet dogs. See also ANIMALS-WILD DOG for non-domesticated dogs.","Hund, Jagdhund, Bellen, Welpe, Hündchen, Schoßhund, Köter, Köterchen"],
["TIERE","WILDHUNDE","ANMLWdog","ANML","Wild dogs and canines like Wolves, Foxes, Coyotes etc.","Wolf, Fuchs, Kojote, Schakal, Dingo, Lupus, Canide"],
["TIERE","LANDWIRTSCHAFT","ANMLFarm","ANML","Domesticated mammals you'd find on a farm. For farm birds see BIRDS-FOWL. See also AMBIENCE-FARM.","Kuh, Schaf, Ziege, Schwein, Rind, Lama, Alpaka"],
["TIERE","PFERD","ANMLHors","ANML","All members of the horse family, including donkeys and mules. See also FOOTSTEPS-HORSE and EQUIPMENT-BRIDLE.","Esel, Maultier, Esel, Zebra"],
["TIERE","INSEKT","ANMLInsc","ANML","All manner of traditional insect sounds, crickets, cicada, flies and bees. And singular insect recordings. See also AMBIENCE-INSECT now for dense ambience style recordings.","Heuschrecke, Grille, Zikade, Fliege, Biene, Wespe, Hornisse, Wanze, Kegelkopf, Heuschrecke, Käfer, Kakerlake"],
["TIERE","DIV","ANMLMisc","ANML","Other animals not finding a clear category.","Verschiedenes"],
["TIERE","PRIMAT","ANMLPrim","ANML","All members of the primate family except humans. Apes, Chimps, etc.","Schimpanse, Affe, Gorilla, Lemur, Orang-Utan, Kapuzineraffe, Seidenäffchen, Affe, Gibbon, Bonobo, Pavian"],
["TIERE","REPTIL","ANMLRept","ANML","All reptiles including snakes, turtles and lizzards.","Schlange, Eidechse, Alligator, Krokodil, Schildkröte, Gharial, Kaiman, Gecko"],
["TIERE","NAGER","ANMLRdnt","ANML","All manner 'gnawing' animals like rats and mice. Rodents.","Maus, Mäuse, Ratte, Eichhörnchen, Maulwurf, Stachelschwein, Meerschweinchen, Streifenhörnchen, Biber, Gopher, Waschbär, Präriehund, Rennmaus, Hamster, Murmeltier, Lemming, Bisamratte, Chinchilla, Nagetier"],
["TIERE","WILDTIERE","ANMLWild","ANML","Any wild animal not explicitly defined by the list, and not domesticated. Wolves and Coyotes now to go ANIMALS-DOG WILD","Bär, Giraffe, Flusspferd, Elefant, Elch, Hirsch, Gazelle, Dachs, Ameisenbär, Schnabeltier, Faultier, Vielfraß, Wildschwein, Wombat, Koala, Känguru, Wallaby, Gnu, Panda, Antilope, Waschbär, Elch, Rentier, Nashorn, Erdferkel, Warzenschwein, Impala, Nilpferd, Honigdachs, Büffel, Elch"],
["ARCHIVIERT","ADR","ADR","ADR","Re-recorded lines via the ADR process.","adr, Schleife, Ersetzungsdialog"],
["ARCHIVIERT","ELEMENT","ASSET","ASSET","A delivered or stored asset, most likely for video game use, but something used in the development of a project.","Asset, Ressource, Tag"],
["ARCHIVIERT","BOUNCE","BNCE","BNCE","Bounces made for picture department, layered bounces.","Abprall, Crashdown"],
["ARCHIVIERT","IR","IR","IR","Impulse Responses, reverb and otherwise.","Impulsantwort, IR, Altiverb, Hallsample, Faltungshall"],
["ARCHIVIERT","LOOP GROUP","LPGRP","LPGRP","Loop group crowds or lines. Specifically recorded in a loop group envirment and needing to tracked as such.","Schleifengruppe, Walla"],
["ARCHIVIERT","MIX","MIX","MIX","Premixes, final mixes, mixdowns, stems.","Vormischung, Endmischung, Stem, M&E, Mixdown, Druckmaster"],
["ARCHIVIERT","PFX","PFX","PFX","FX Stolen from production takes only. Beware of possible rights issues.","Produktion"],
["ARCHIVIERT","ORIGINALTON DIALOG","PROD","PROD","Production takes, dialog lines and other spoken line production takes.","Produktionsaufnahme, Dialogzeile, dx"],
["ARCHIVIERT","ROHAUFNAHME","RAW","RAW","Raw recording files, for example a load of a full DAT tape.","dat tape, Rohdateien, unbearbeitet"],
["ARCHIVIERT","REFERENZ","REF","REF","Reference material, often restricted, used for reference only. Beware of possible rights issues.","Referenz, Inspiration"],
["ARCHIVIERT","SZENE","SCNE","SCNE","Pre-built scenes and soundscapes, designed scenes. For example a fully build old-west scene.","ready-made, vorgefertigt"],
["ARCHIVIERT","TESTTON","TEST","TEST","Test tones used for calibration, ADR beeps, Pink Noise, Sine wave Sweeps.","adr-Piepstöne, Testtöne, Piepstöne, 2pops, weißes Rauschen, rosa Rauschen, Sinuswellen-Sweeps"],
["ARCHIVIERT","MARKENZEICHEN","TMARK","TMARK","For trademarked or copyright sounds that you need to store in your library. Jingles, logos.","Markenzeichen, Copyright, Produktsound, lizenziert, registriert, legal"],
["ARCHIVIERT","IN BEARBEITUNG","WIP","WIP","Files that aren't fully metadata'd, or mastered, tag to remind you there is work to do. Recordings awaiting mastering.","unfertige Arbeit, wip, unvollendet"],
["ARCHIVIERT","WAS ZUM TEUFEL","WTF","WTF","Literally what it says 'What the F_ck' is THIS sound... Strange otherwise uncategorizable sounds.","nicht kategorisierbar, unbekannt, Witze"],
["PIEPSEN","HAUSHALTSGERÄT","BEEPAppl","BEEP","Microwave oven beeps, dishwasher beeps.","Mikrowelle, Geschirrspüler, Waschmaschine, Trockner"],
["PIEPSEN","DIV","BEEP","BEEP","Beep sounds not fitting another category in this list. User Interface beeps go to UI-BEEPS.","Piepsen"],
["PIEPSEN","LO-FI","BEEPLofi","BEEP","Very low fidelity, old 8-bit beeps.","Atari, Famicom, Colecovision"],
["PIEPSEN","MEDIZIN","BEEPMed","BEEP","Beeps from various medical devices, EKG, Live Support.","EKG, EKG, KDC, Herzmonitor, Flatline, Ultraschall"],
["PIEPSEN","TIMER","BEEPTimer","BEEP","Specifically timer beeps, counting down. Classic time bomb beeps.","Mikrowelle, Backofen-Timer, Digitaluhr, Telefon-Timer"],
["PIEPSEN","FAHRZEUG","BEEPVeh","BEEP","Backup beeps from a large truck or construction vehicle.","Gabelstapler-Piep, Backup-Piep"],
["GLOCKE","TIER","BELLAnml","BELL","Bells attached to animals, like cow and sheep bells, or a dog or cat collar with a bell on it.","Kuhglocke, Hawkbell, Halsbandglocke, Schafsglocke"],
["GLOCKE","TÜR","BELLDoor","BELL","Mechanical doorbells. Would also maybe electronic doorbells in here as well to avoid confusion probably. Also see ALARMS-BUZZERS for a door buzzer.","Türklingel, Türglocke, Ding Dong, Tring"],
["GLOCKE","GONG","BELLGong","BELL","A large flat circular disc hit with a mallet. With v8.2 of the list most of these would now go into MUSICAL-BELLS instead.","Gong, Gamelan, Agung, Schalengong, Tam-Tam"],
["GLOCKE","HANDGLOCKE","BELLHand","BELL","Small to medium hand bells, dinner bells. Musical bells like HANDBELLS and CARILLION now go into MUSICAL-BELLS.","Handglocke, Essensglocke, Schulglocke, Altarglocke, Schlittenglocke, Jingle Bells, Butlerglocke"],
["GLOCKE","GROSS","BELLLrg","BELL","Large bells like a church bell or tower bell, or city hall bells, Big Ben. Any large bell.","Tempelglocke, Kirchenglocke, Geläut, Turmglocke"],
["GLOCKE","DIV","BELLMisc","BELL","Bell sounds not fitting another category in this list.","Fahrradglocke, Dienstglocke, Rufglocke"],
["VOGEL","RAUBVOGEL","BIRDPrey","BIRD","Birds that prey on vertebrates, especially rodents. Raptors.","Habicht, Adler, Falke, Eule, Geier, Kondor, Mäusebussard, Milan, Fischadler, Rohrweihe, Turmfalke, Karakara"],
["VOGEL","KRÄHE","BIRDCrow","BIRD","Birds in Corvid family, which includes crows and ravens.","Krähe, Rabe, Eichelhäher, Blauhäher, Elster, Nussknacker"],
["VOGEL","GEFLÜGEL","BIRDFowl","BIRD","Landfowl, wildfowl and waterfowl, also poultry. Ground feeding and many water feeding birds.","Huhn, Fasan, Truthahn, Gänse, Gans, Schneehuhn, Ente, Schwan, Rebhuhn, Krickente, Stockente, Eiderente, Gänse, Steinbeißer, Wachtel, Haubentaucher, Chukar, Schneehuhn"],
["VOGEL","DIV","BIRDMisc","BIRD","Bird sounds not fitting another category in this list.","Ani, Roadrunner, Kuckuck, Specht, Nachtschwalbe, Ziegenmelker, Armseliger, Kolibri"],
["VOGEL","MEER","BIRDSea","BIRD","Birds that live mostly near the ocean. Seagulls, pelicans.","Möwe, Basstölpel, Albatros, Kormoran, Pelikan, Pinguin, Sturmvogel, Möwe, Seeschwalbe, Fregattvogel, Tölpel, Austernfischer, Regenpfeifer, Flussuferläufer, Alpenstrandläufer, Alpenstrandläufer, Auk, Papageientaucher, Murrelet, Aalk"],
["VOGEL","SINGVOGEL","BIRDSong","BIRD","Specifically singing birds, warblers, robins, thrushes, what you imagine pretty dawn chorus birds.","Taube, Fliegenschnäpper, Kernbeißer, Spottdrossel, Kleiber, Taube, Rotkehlchen, Spatz, Schwalbe, Tangare, Drossel, Vireo, Grasmücke, Zaunkönig, Meise, Meisenmaus, Hänfling, Lerche, Königskerze, Baumläufer, Gartenbaumläufer, Grauschnäpper, Wasseramsel, Star, Amsel, Spottdrossel, Wacholderdrossel, Schwätzer, Troupial, Kardinal, Ammer, Amsel"],
["VOGEL","TROPISCH","BIRDTrop","BIRD","Birds living in tropical locations, jungle and tropical rainforest birds. Parrots and Toucans.","Papagei, Tukan, Kookaburra, Leierschwanz, Pfau, Ara, Nashornvogel, Kakadu, Sittich, Ibis, Löffelreiher, Flamingo"],
["VOGEL","WATVOGEL","BIRDWade","BIRD","Long-legged, long-billed birds that feed primarily in shallow water. Think Herons and Egrets.","Kranich, Reiher, Flamingo, Ibis, Ralle, Löffler, Storch, Reiher, Ralle, Sora, Blässhuhn, Kranich, Reiher, Rohrdommel, Reiher, Storch, Schnepfe"],
