[["AIR","SOUFFLE","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","air comprimé, dépressuriser, relâcher, souffler, cracher, flotter, purger"],
["AMBIANCE","INDUSTRIEL","AMBInd","AMB","Industrial warehouses and factories, plants or any ambience with an industrial feeling.","usine, fabrication, usine, moulin, entrepôt, atelier"],
["AMBIANCE","INSECTE","AMBInsc","AMB","Thick ambiences of insects, cicada and cricket beds mainly. May contain over sounds but main sound being large presence of insects. See also ANIMALS-INSECT for more isolated sounds.","grillons, cigales, katydids, nage, sauterelles"],
["AMBIANCE","LAC","AMBLake","AMB","Ambiences relating to lakes, not isolated lapping, but the lake version of AMBIENCE-SEASIDE. See also WATER-LAPPING.","lac, bord de lac, clapotis, baignade, réservoir, étang, loch"],
["AMBIANCE","MARCHÉ","AMBMrkt","AMB","Busy exterior or interior market activity and crowds. Think vibrant international markets in Istanbul or Africa, but any market.","marché, place de marché, vendeur, quartier commerçant, bazar, marché, échange, marché aux puces, place"],
["AMBIANCE","DIVERS","AMBMisc","AMB","Ambience sounds not fitting another category in this list.","divers"],
["AMBIANCE","NAUTIQUE","AMBNaut","AMB","Relating to ships at sea, shipyards, things revolving around ships. (compare to AMBIENCE-SEASIDE). Water only recordings would go to a WATER category.","nautique, chantier naval, pont, poupe, proue, arrière, marin, océanique, marine, maritime, marina"],
["AMBIANCE","BUREAU","AMBOffc","AMB","Workplaces, offices, people working, typing, telephones. General offices of various sizes.","bureau, box, lieu de travail, département, station, succursale, poste de travail"],
["AMBIANCE","PARC","AMBPark","AMB","Parks, mostly city or suburban, probably usually with some human activity, city activity. Not pure nature sounds.","parc, terrain de jeu, jardins, jardins botaniques, parc urbain, parc de banlieue, ballpark, parkland"],
["AMBIANCE","PRISON","AMBPrisn","AMB","Prisons and jails, reverberant inmate walla, jail doors, buzzers, that sort of thing.","prison, prison, cour de prison, pénitencier, cachot, maison de correction, détention, isolement, établissement pénitentiaire"],
["AMBIANCE","MANIFESTATION","AMBPrtst","AMB","Protests, Rallies, Riots. Big mixed ambiences of crowds, shouting, yelling, chanting. Opposed to AMBIENCE-CHEERING.","protestation, rallye, rassemblement, émeute, chant, cris, foule en colère, marche, manifestation, agitation, révolte, révolution, colère"],
["AMBIANCE","LIEU PUBLIC","AMBPubl","AMB","Except for restaurants, for any other usually indoor public places such as stores, lobbies, hotels, malls, museums. Lots of possible overlap with other categories. Use if not fitting elsewhere.","magasins, halls d'entrée, hôtels, centres commerciaux, musées, places publiques, cours, gymnases, centre de remise en forme, motel, bibliothèque, palais de justice, tribunal"],
["AMBIANCE","RELIGIEUX","AMBRlgn","AMB","Church and temples, church services, religious gatherings, pilgrimages. Any ambience relating to religion.","église, temple, mosquée, chapelle, derasar, cathédrale"],
["AMBIANCE","RÉSIDENTIEL","AMBHome","AMB","Something busier than a room tone, an Apartment, a House with some activity from outside etc. Interior with exterior sounds coming through closed or open doors, windows.","maison, appartement, condo, manoir, maison, maison de ville, chalet, maison, résidence"],
["AMBIANCE","RESTAURANT","AMBRest","AMB","Restaurants and bars, pubs, places of eating and drinking, mixed crowd with glass clinks or silverware.","restaurant, bar, pub, gastropub, foodcart, diner, café, cafétéria, cantine, salon de thé, saloon, coffee shop, pizzeria, fast-food, bar à vin, automate, économat, taverne, boîte de nuit, deli, eatery, brasserie, drive-in"],
["AMBIANCE","FOND D’AIR","AMBRoom","AMB","Simple room tones with little or no activity. Also see now AMBIENCE-RESIDENTIAL if more than just air is present, as it might be a better fit.","tonalité de la pièce, air mort, air calme"],
["AMBIANCE","CAMPAGNE","AMBRurl","AMB","Rural and countryside ambiences that don't fit somewhere else in this list. Nature, away from signs of people, overlap with AMBIENCE-ALPINE, DESERT, FOREST, PRAIRIE, etc.","campagne, plaine, prairie, pâturage, montagne, colline, savane, toundra, prairie, canyon, coulée, broussailles, maquis, plateau"],
["AMBIANCE","ÉCOLE","AMBSchl","AMB","Schools of any age, kindergarten through college, hallways, lockers, voices, school bells.","école primaire, collège, lycée, collège, école maternelle, université, salle de classe, assemblée"],
["AMBIANCE","SCIFI","AMBSci","AMB","A composite sci-fi ambience, a complex background layered with many sci-fi elements. A complex spacehip bridge, or high-tech lab. See also SCIFI for individual elements.","vaisseau spatial, centre technique, centre de commande, scifi, futuriste, high-tech, hi-tec"],
["AMBIANCE","LITTORAL","AMBSea","AMB","Relating to beach and oceanside scenes with people. (Compare to AMBIENCE-NAUTICAL). Water only recordings would go to a WATER category.","plage, bord de mer, rivage, côte, rivage, rivage, bord de mer, côte, promenade, station balnéaire, front de mer, digue, quai, jetée, port, rade"],
["AMBIANCE","SPORT","AMBSprt","AMB","Sporting events, little league baseball to major league. Use CROWDS-SPORT for clean crowd recordings.","nfl, football, nba, basketball, mlb, baseball, tennis, événement sportif, petite ligue, entraînement"],
["AMBIANCE","BANLIEUE","AMBSubn","AMB","Suburban streets, average residential neighborhood, not dense like URBAN. Lawnmowers, sprinklers, birds.","banlieue, résidentiel, quartier, cul-de-sac, village, barrio, périphérie, hameau"],
["AMBIANCE","MARÉCAGE","AMBSwmp","AMB","A wetland often partially or intermittently covered with water; especially : one dominated by woody vegetation. Marshes, although tecnically different, are included here. Any wetland.","grenouille, tourbière, marécage, everglade, zone humide, zone riveraine, bord de lac, lac, mangrove"],
["AMBIANCE","VILLAGE","AMBTown","AMB","Something in between a CITY and a SUBURB. Activity, cars, pedestrians, that 'small town' or village sound. May be confusion between this, AMBIENCE-URBAN and AMBIENCE-SUBURBAN.","ville, village, hameau, petite ville, communauté, établissement"],
["AMBIANCE","CIRCULATION","AMBTraf","AMB","Specifically traffic without people. Not for a single car by, but for clean busy traffic, clean highway traffic for example. Rush hour where the sound is predominantly cars.","car bys, freeway, highway, boulevard, avenue, autoroute"],
["AMBIANCE","TRANSPORT","AMBTran","AMB","Not VEHICLES, but public train stations, airports, bus stations, subway stations. Not the airplane or train itself. But public places centering around transportation.","gare ferroviaire, aéroport, gare routière, station de métro, station de métro, station de métro, terminal, dépôt, terminus"],
["AMBIANCE","TROPICAL","AMBTrop","AMB","Jungles and rainforests, lush animal life and vegetation.","jungle, brousse, forêt tropicale humide, forêt de nuages, forêt tropicale"],
["AMBIANCE","TOUNDRA","AMBTndra","AMB","Treeless environments where the ground is permanently frozen, arctic, antarctic.","artic, antartique, plateau, pôle nord, pôle sud, polaire, glacier, neige, glace"],
["AMBIANCE","SOUTERRAIN","AMBUndr","AMB","Subterranean, underground ambiences like sewers, bunkers, tunnels, dungeons, caves.","grotte, gouttière, écho, égout, bunker, tunnel, donjon, tube de lave, cave, souterrain, coulé, enterré, sous terre, sous-sol, puits, mine, passage, couloir"],
["AMBIANCE","SOUS MARIN","AMBUndwtr","AMB","Underwater sounding ambiences, deep bubbles and that classic undersea world sound. See also WATER-UNDERWATER.","sous-marin, récif, corail, fosse océanique, submergé, sous-marin, subaquatique, épave de navire"],
["AMBIANCE","VILLE","AMBUrbn","AMB","Dense cities and environments. New York City or London or Mumbai. Often Dense Traffic, horns, pedestrians, buses, but really any city. Overlap with AMBIENCE-TOWN possible.","métropole, ville dense, ville, centre-ville, centre-ville, métropolitain, animé, heure de pointe, congestion, centre ville, bidonville, quartier des affaires, ghetto, quartier financier"],
["AMBIANCE","GUERRE","AMBWar","AMB","Battles, warfare, full ambiences here. Not for isolated WEAPONS or VEHICLES which have their own categories. Composite sounds of war.","guerre, guerre, bataille, escarmouche, combat, combat, engagement, assaut, offensive, blitz, raid aérien, raid, bombardement, barrage, fusillade, blitzkrieg, salve, flak, broadside, canonnade"],
["ANIMAUX","AMPHIBIEN","ANMLAmph","ANML","Technically any amphibian, but most likely used for frogs and toads.","grenouille, crapaud, ouaouaron, salamandre, triton, rainette, pivert, croasse, axolotl"],
["ANIMAUX","MARIN","ANMLAqua","ANML","All manner of marine and sea animals, not just mammals, but anything that lives in water.","baleine, dauphin, marsouin, otarie, phoque, orque, lamantin, morse, éléphant de mer, loutre marine, loutre de mer, béluga, narval, dugong, requin, raie pastenague, méduse, calmar, pieuvre, crabes, homards, anguilles"],
["ANIMAUX","CHAUVE SOURIS","ANMLBat","ANML","Bat chirps, echolocation and communicative vocalization. Wings would go under WINGS-MISC.","roussette, chauve-souris vampire, chauve-souris frugivore"],
["ANIMAUX","CHAT","ANMLCat","ANML","Domesticated house cats. See also ANIMALS-CAT WILD.","miaou, ronronnement, chaton, minou, félin, chat de gouttière"],
["ANIMAUX","FÉLIN","ANMLWcat","ANML","Wild cats as opposed to domesticated cats. Tigers and Lions.","lion, tigre, puma, cougar, léopard, jaguar, léopard des neiges, guépard, lynx, lynx roux, caracal, ocelot, panthère, serval"],
["ANIMAUX","CHIEN","ANMLDog","ANML","All Domesticated dogs, excluding wild dogs. Pet dogs. See also ANIMALS-WILD DOG for non-domesticated dogs.","chien, molosse, aboiement, chiot, toutou, chien de salon, cabot, toutou"],
["ANIMAUX","CHIEN SAUVAGE","ANMLWdog","ANML","Wild dogs and canines like Wolves, Foxes, Coyotes etc.","loup, renard, coyote, chacal, dingo, lupus, canidé"],
["ANIMAUX","FERME","ANMLFarm","ANML","Domesticated mammals you'd find on a farm. For farm birds see BIRDS-FOWL. See also AMBIENCE-FARM.","vache, mouton, chèvre, cochon, bovin, lama, alpaga"],
["ANIMAUX","CHEVAL","ANMLHors","ANML","All members of the horse family, including donkeys and mules. See also FOOTSTEPS-HORSE and EQUIPMENT-BRIDLE.","âne, mule, âne, zèbre"],
["ANIMAUX","INSECTE","ANMLInsc","ANML","All manner of traditional insect sounds, crickets, cicada, flies and bees. And singular insect recordings. See also AMBIENCE-INSECT now for dense ambience style recordings.","sauterelle, grillon, cigale, mouche, abeille, guêpe, frelon, moucheron, tête de cône, criquet, scarabée, cafard"],
["ANIMAUX","DIVERS","ANMLMisc","ANML","Other animals not finding a clear category.","divers"],
["ANIMAUX","PRIMATE","ANMLPrim","ANML","All members of the primate family except humans. Apes, Chimps, etc.","chimpanzé, singe, gorille, lémurien, orang-outan, capucin, ouistiti, singe, gibbon, bonobo, babouin"],
["ANIMAUX","REPTILE","ANMLRept","ANML","All reptiles including snakes, turtles and lizzards.","serpent, lézard, alligator, crocodile, tortue, gavial, caïman, gecko"],
["ANIMAUX","RONGEUR","ANMLRdnt","ANML","All manner 'gnawing' animals like rats and mice. Rodents.","souris, mulot, rat, écureuil, taupe, porc-épic, cochon d'Inde, tamia, castor, spermophile, raton laveur, chien de prairie, gerbille, hamster, marmotte, lemming, rat musqué, chinchilla, rongeur"],
["ANIMAUX","SAUVAGE","ANMLWild","ANML","Any wild animal not explicitly defined by the list, and not domesticated. Wolves and Coyotes now to go ANIMALS-DOG WILD","ours, girafe, hippopotame, éléphant, élan, cerf, gazelle, blaireau, fourmilier, ornithorynque, paresseux, carcajou, sanglier, wombat, koala, kangourou, wallaby, gnou, panda, antilope, raton laveur, élan, renne, rhinocéros, oryctérope, phacochère, impala, hippopotame, blaireau à miel, buffle, élan"],
["ARCHIVES","ADR","ADR","ADR","Re-recorded lines via the ADR process.","adr, boucle, dialogue de remplacement"],
["ARCHIVES","ASSET","ASSET","ASSET","A delivered or stored asset, most likely for video game use, but something used in the development of a project.","actif, ressource, étiquette"],
["ARCHIVES","BOUNCE","BNCE","BNCE","Bounces made for picture department, layered bounces.","rebond, crashdown"],
["ARCHIVES","RÉPONSE IMPULSIONNELLE","IR","IR","Impulse Responses, reverb and otherwise.","réponse impulsionnelle, IR, altiverb, échantillon de réverbération, réverbération à convolution"],
["ARCHIVES","LOOP GROUP","LPGRP","LPGRP","Loop group crowds or lines. Specifically recorded in a loop group envirment and needing to tracked as such.","groupe de boucles, walla"],
["ARCHIVES","MIX","MIX","MIX","Premixes, final mixes, mixdowns, stems.","prémix, mix final, stem, M&E, mixdown, printmaster"],
["ARCHIVES","PFX","PFX","PFX","FX Stolen from production takes only. Beware of possible rights issues.","production"],
["ARCHIVES","PRODUCTION","PROD","PROD","Production takes, dialog lines and other spoken line production takes.","prise de production, ligne de dialogue, dx"],
["ARCHIVES","RUSHES","RAW","RAW","Raw recording files, for example a load of a full DAT tape.","bande de données, fichiers bruts, non traités"],
["ARCHIVES","RÉFÉRENCE","REF","REF","Reference material, often restricted, used for reference only. Beware of possible rights issues.","référence, inspiration"],
["ARCHIVES","SCÈNE","SCNE","SCNE","Pre-built scenes and soundscapes, designed scenes. For example a fully build old-west scene.","readymade, pré-construit"],
["ARCHIVES","TEST","TEST","TEST","Test tones used for calibration, ADR beeps, Pink Noise, Sine wave Sweeps.","bips adr, tonalités de test, bip, 2pops, bruit blanc, bruit rose, balayages sinusoïdaux"],
["ARCHIVES","DROITS RÉSERVÉS","TMARK","TMARK","For trademarked or copyright sounds that you need to store in your library. Jingles, logos.","marque déposée, droit d'auteur, produit sonore, sous licence, enregistré, légal"],
["ARCHIVES","EN COURS","WIP","WIP","Files that aren't fully metadata'd, or mastered, tag to remind you there is work to do. Recordings awaiting mastering.","travail en cours, wip, inachevé"],
["ARCHIVES","WTF","WTF","WTF","Literally what it says 'What the F_ck' is THIS sound... Strange otherwise uncategorizable sounds.","non catégorisable, inconnu, blagues"],
["BIPS","ÉLECTROMÉNAGER","BEEPAppl","BEEP","Microwave oven beeps, dishwasher beeps.","micro-ondes, lave-vaisselle, lave-linge, sèche-linge"],
["BIPS","GÉNÉRIQUE","BEEP","BEEP","Beep sounds not fitting another category in this list. User Interface beeps go to UI-BEEPS.","bip"],
["BIPS","RÉTRO","BEEPLofi","BEEP","Very low fidelity, old 8-bit beeps.","atari, famicom, colecovision"],
["BIPS","MÉDICAL","BEEPMed","BEEP","Beeps from various medical devices, EKG, Live Support.","EKG, ECG, KDC, moniteur cardiaque, flatline, ultrasons"],
["BIPS","MINUTERIE","BEEPTimer","BEEP","Specifically timer beeps, counting down. Classic time bomb beeps.","micro-ondes, minuteur de four, montre numérique, minuteur de téléphone"],
["BIPS","VÉHICULE","BEEPVeh","BEEP","Backup beeps from a large truck or construction vehicle.","bip de chariot élévateur à fourche, bip de secours"],
["CLOCHES","ANIMAL","BELLAnml","BELL","Bells attached to animals, like cow and sheep bells, or a dog or cat collar with a bell on it.","cloche de vache, cloche d'épervier, cloche de collier, cloche de mouton"],
["CLOCHES","PORTE","BELLDoor","BELL","Mechanical doorbells. Would also maybe electronic doorbells in here as well to avoid confusion probably. Also see ALARMS-BUZZERS for a door buzzer.","sonnette, carillon de porte, ding dong, tring dong"],
["CLOCHES","GONG","BELLGong","BELL","A large flat circular disc hit with a mallet. With v8.2 of the list most of these would now go into MUSICAL-BELLS instead.","gong, gamelan, agung, gong à bol, tam-tam"],
["CLOCHES","CLOCHETTE","BELLHand","BELL","Small to medium hand bells, dinner bells. Musical bells like HANDBELLS and CARILLION now go into MUSICAL-BELLS.","cloche à main, cloche de table, cloche d'école, cloche d'autel, cloche de traîneau, cloche à grelots, cloche de majordome"],
["CLOCHES","LARGE","BELLLrg","BELL","Large bells like a church bell or tower bell, or city hall bells, Big Ben. Any large bell.","cloche de temple, cloche d'église, carillon, cloche de tour"],
["CLOCHES","DIVERS","BELLMisc","BELL","Bell sounds not fitting another category in this list.","sonnette de bicyclette, sonnette de service, sonnette d'appel"],
["OISEAUX","RAPACES","BIRDPrey","BIRD","Birds that prey on vertebrates, especially rodents. Raptors.","épervier, aigle, faucon, hibou, vautour, condor, buse, milan, balbuzard, busard, crécerelle, caracara"],
["OISEAUX","CORNEILLE","BIRDCrow","BIRD","Birds in Corvid family, which includes crows and ravens.","corbeau, corbeau, geai, geai bleu, pie, casse-noix"],
["OISEAUX","VOLAILLE","BIRDFowl","BIRD","Landfowl, wildfowl and waterfowl, also poultry. Ground feeding and many water feeding birds.","poulet, faisan, dinde, oie, bernache, tétras, canard, cygne, perdrix, sarcelle, colvert, eider, guans, chachalacas, curassow, caille, grèbe, chukar, lagopède"],
["OISEAUX","DIVERS","BIRDMisc","BIRD","Bird sounds not fitting another category in this list.","ani, coucou, coucou, pic, engoulevent, engoulevent, colibri, mouette, fou, etc."],
["OISEAUX","MARIN","BIRDSea","BIRD","Birds that live mostly near the ocean. Seagulls, pelicans.","mouette, fou de Bassan, albatros, cormoran, pélican, pingouin, pétrel, goéland, sterne, frégate, fou, huîtrier, pluvier, bécasseau, canard, pingouin, macareux moine, pingouin, guillemot, pingouin à queue blanche"],
["OISEAUX","COMMUN","BIRDSong","BIRD","Specifically singing birds, warblers, robins, thrushes, what you imagine pretty dawn chorus birds.","colombe, gobe-mouche, gros-bec, moqueur, sittelle, pigeon, rouge-gorge, moineau, hirondelle, tangara, grive, viréo, fauvette, troglodyte, mésange, mésange bleue, mésange charbonnière, alouette, roitelet, grimpereau, grimpereau des arbres, gobe-mouche, cincle plongeur, étourneau, merle, moqueur, jaseur, chat, troupial, cardinal, bruant, merle"],
["OISEAUX","TROPICAL","BIRDTrop","BIRD","Birds living in tropical locations, jungle and tropical rainforest birds. Parrots and Toucans.","perroquet, toucan, martin-chasseur, oiseau-lyre, paon, ara, calao, cacatoès, perruche, ibis, spatule, flamant rose, grue, aigrette, flamant rose, etc."],
["OISEAUX","ÉCHASSIER","BIRDWade","BIRD","Long-legged, long-billed birds that feed primarily in shallow water. Think Herons and Egrets.","grue, aigrette, flamant rose, ibis, râle, spatule, cigogne, héron, râle, sora, foulque, grue, héron, butor, aigrette, cigogne, bécassine"],
["BATEAUX","HYDROGLISSEUR","BOATAir","BOAT","Specifically large fan airboats used in swamps. Think the type of boat used in the Everglades. Also hovercraft.","bateau à hélice, bateau à air, aéroglisseur"],
["BATEAUX","SILLAGE","BOATWash","BOAT","The waves pushed up by a boat or ship going through the water, a relatively clean recording.","lavage d'étrave, sillage"],
["BATEAUX","PORTE","BOATDoor","BOAT","Boat or Submarine doors. Some possible overlap with over DOOR categories or VEHICLES-DOOR.","écoutille, porte de ferry, porte de bateau, porte étanche, porte de navire"],
["BATEAUX","ÉLECTRIQUE","BOATElec","BOAT","Any boat powered by electricity. Fairly rare. Possible a a radio controlled boat, or electric trolling motor.","moteur de traîne"],
["BATEAUX","PÊCHE","BOATFish","BOAT","Industrial fishing boats, crab boats, trawlers. Simple fishing boats to BOATS-MOTORBOAT.","bateau à crabes, chalutier, senneur, navire de ligne, dragueur, fileyeur, navire de recherche"],
["BATEAUX","AVERTISSEUR","BOATHorn","BOAT","Horns on boats and ships. Fog horns would go in HORNS-AIR category.","corne de navire, corne de remorqueur"],
["BATEAUX","INTÉRIEUR","BOATInt","BOAT","Interior ambiences on boats and ships, ferries, cruise ships, navy ships.","navire, ferry, ferries, bateau de croisière, marine, bateau militaire, remorqueur, voilier, yacht, pétrolier, cargo, cargo, sous-marin"],
["BATEAUX","MÉCANISME","BOATMech","BOAT","All manner of boat mechanisms. Sailing ship rigging, pulleys, ropes, ship wheels. See also BOATS-DOOR.","gréement, poulie, corde, roue de bateau, étrangleur, filet, cage, piège, ancre"],
["BATEAUX","MILITAIRE","BOATMil","BOAT","Specifically military boats and ships, destroyers, aircraft carriers. Any military boat.","patrouilleur, destroyer, croiseur, croiseur de combat, frégate, corvette, bateau d'attaque rapide"],
["BATEAUX","DIVERS","BOATMisc","BOAT","Boat sounds not fitting another category in this list.","bateau à pagaies, planche à pagaies"],
["BATEAUX","À MOTEUR","BOATMotr","BOAT","General small boats, personal fishing boats, speedboats, pontoon boats. You average recreational boat.","petite embarcation, bateau de pêche personnel, vedette rapide, ponton, canot pneumatique, canot pneumatique"],
["BATEAUX","COURSE","BOATRace","BOAT","Powered racing boats, not for human powered racing boats, those would go under BOATS-ROWING.","hydroplane, hydroptère, bateau à réaction"],
["BATEAUX","À RAMES","BOATRow","BOAT","Canoes, rowboats, kayaks probably, human powered boats that use oars and paddles, even racing rowboats.","canoë, chaloupe, kayak, aviron, pagaie, dragon boat, aviron"],
