[["空気","吹く","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","圧縮空気、減圧、放出、パフ、スパッタ、フラッター、パージ"],
["航空機、飛行機","ロケット","AERORckt","AERO","Jet powered rockets and rocket engines., missiles.","ロケット、ミサイル、ジェットパック、スペースシャトル、スペースX、NASA、ICCBM、核ロケット、核弾頭"],
["アラーム","ベル","ALRMBell","ALRM","All alarms which use bells, a school bell, fire alarm bell, a railroad crossing bell.","火災報知器、学校の鐘、踏切の鐘、警笛"],
["アラーム","ブザー","ALRMBuzr","ALRM","All alarms using buzzers, or buzzers in general even if not technically an alarm, would probably go here. A front door buzzer.","ドアブザー、ゲームショーのブザー、玄関ブザー、玄関ブザー、インターホンブザー"],
["アラーム","クロック","ALRMClok","ALRM","Specifically alarm clocks, digital or analog. A bit of overlap with ALARMS-BELL, but clock alarms of all kinds probably best to go here.","デジタル目覚まし時計、目覚まし時計、目覚まし時計"],
["アラーム","電子","ALRMElec","ALRM","All electronic alarms, pure electronic tone alarms. Home burglar alarms, smoke detectors, etc. Car alarms would go to VEHICLES-ALARMS.","火災探知機、煙探知機、CO2探知機、自動車用警報機、家庭用警報機"],
["アラーム","その他","ALRMMisc","ALRM","Alarm sounds not fitting another category in this list.","雑多"],
["アラーム","サイレン","ALRMSirn","ALRM","Mechanical sirens, like old klaxons. Vehicle sirens such a police, fire and ambulance to go to VEHICLES-SIREN.","クラクション、ホーガ・ホーン、空襲サイレン、竜巻サイレン"],
["アンビエンス","空気","AMBAir","AMB","Quiet exterior 'air' with little activity, like exterior room tones, very simple exterior ambiences. The exeterior equivalent of a room tone. If noticable activity find a better fitting category.","砂漠、冬、静かな空気、夜の空気、山の空気、夜の空気"],
["アンビエンス","高山","AMBAlpn","AMB","Mountain ambiences, for recordings and ambiences geographically linked to Alpine Environments. Some overlap with AMBIENCE-RURAL.","アルプス、山、ロッキー山脈、テトン山脈、登山、山岳地帯、雪山、山腹、頂上"],
["アンビエンス","遊園地","AMBAmus","AMB","Theme parks and carnivals. Beware of possible rights issues with uncleared music. Carnivals, fairs, festivals. Probably arcades too.","ディズニーランド、シックスフラッグス、テーマパーク、遊園地、カーニバル、フェア、カウンティ・フェア、ミッドウェイ、トラベル・フェア、フェスティバル、お化け屋敷、ファンハウス、アーケード、ピンボール"],
["アンビエンス","鳥の鳴き声","AMBBird","AMB","Group songbirds, like a dawn chorus of pretty birds, where the birds are the prominent sound. Single birds would go in BIRDS-SONGBIRD.","夜明けのコーラス、朝のコーラス、かわいい鳥、群れ、さえずり、つぶやき、のぞき見"],
["アンビエンス","祝福","AMBCele","AMB","Parties, New Years Eve. Not pure crowds, as that would go in CROWDS, but i.e. exterior city new years. Also see AMBIENCES-AMUSEMENT for something like a fair or festival.","集会、イベント、パーティー、ガラ、カーニバル、祭り、フィエスタ、フェスティバル"],
["アンビエンス","建設、建築","AMBCnst","AMB","Construction scenes with things like jackhammers, cranes, pile drivers, composite construction scene, road construction also.","道路工事、建築、大工仕事、リフォーム、住宅リノベ、道路補修、建て替え"],
["アンビエンス","砂漠","AMBDsrt","AMB","Quiet desert ambiences with appropriate insects and birds. Maybe tumbleweeds.","砂漠、タンブルウィード、オアシス、不毛の地、荒れ地、サハラ砂漠、乾燥、砂丘、荒涼とした地"],
["アンビエンス","デザイン","AMBDsgn","AMB","Artificial designed ambience. V8.2 adds AMBIENCE-FANTASY and AMBIENCE-SCIFI which may be better fit for most 'designed' categories.","人工的な、設計された"],
["アンビエンス","エネルギー","AMBEmrg","AMB","Crime scenes, firefighting scenes, accident scenes, with things like firefighters, police, ambulances and medics. Also see VEHICLES-EMERGENCY.","犯罪現場、消防、警察、医療、証拠、自然災害、銃撃、事故、大惨事、怪我、玉突き事故、死傷者"],
["アンビエンス","ファンタジー","AMBFant","AMB","Magical or other wordly composite ambiences, soundscapes, think Middle Earth or Pandora.","妖精、ファンタジー、魔法、領域、夢、中つ国、パンドラ"],
["アンビエンス","農場、牧場","AMBFarm","AMB","Specifically farm ambiences, with animals, maybe tractors working, chickens, etc. Isolated farm animals would go into ANIMALS-FARM.","農場、収穫、耕作、牧場、農家、グランジ、プランテーション、農地、ペン、納屋、牧草地、酪農、ブドウ畑、家畜小屋、牧草地"],
["アンビエンス","森、森林","AMBForst","AMB","Forest recordings or forest composite files. Trees and birds, maybe wind in trees all together. Some overlap with AMBIENCE-RURAL or AMBIENCE-ALPINE.","森、林、木材、北方林、雨林、温帯雨林、雲霧林、落葉樹、針葉樹"],
["アンビエンス","草原","AMBGras","AMB","Prairies, meadows, grazing patures, etc. But FARMS has own category if farm animals or human activity are present.","草原、農地、草、牧草地、放牧地、平野部"],
["アンビエンス","歴史","AMBHist","AMB","Old West scenes, Roman street scenes. Composite history and ancient ambiences.","ゴーストタウン、オールドウエスト、ゴールドラッシュ、古代ローマ、古代ギリシア"],
["アンビエンス","ハイテク","AMBTech","AMB","Hi-tech machine rooms. Data centers, control rooms. James Bond type lairs. Spaceship interiors.","実験室、機械室、サーバー、データセンター、制御室"],
["アンビエンス","病院","AMBHosp","AMB","Hospital ambiences of all kinds, surgery and emergency rooms too. Possibly veterinarian hospitals too.","救急室、手術室、待合室、病室、診療所、療養所、診療所"],
["アンビエンス","産業","AMBInd","AMB","Industrial warehouses and factories, plants or any ambience with an industrial feeling.","工場、製造、プラント、ミル、倉庫、ワークショップ"],
["アンビエンス","昆虫","AMBInsc","AMB","Thick ambiences of insects, cicada and cricket beds mainly. May contain over sounds but main sound being large presence of insects. See also ANIMALS-INSECT for more isolated sounds.","コオロギ、セミ、キリギリス、スイム、イナゴ"],
["アンビエンス","湖畔","AMBLake","AMB","Ambiences relating to lakes, not isolated lapping, but the lake version of AMBIENCE-SEASIDE. See also WATER-LAPPING.","湖、湖畔、波打ち際、水泳、貯水池、池、湖"],
["アンビエンス","マーケット","AMBMrkt","AMB","Busy exterior or interior market activity and crowds. Think vibrant international markets in Istanbul or Africa, but any market.","市場、マーケットプレイス、業者、商店街、バザー、マート、取引所、蚤の市、広場"],
["アンビエンス","その他","AMBMisc","AMB","Ambience sounds not fitting another category in this list.","雑多な"],
["アンビエンス","自然","AMBNaut","AMB","Relating to ships at sea, shipyards, things revolving around ships. (compare to AMBIENCE-SEASIDE). Water only recordings would go to a WATER category.","航海、造船所、プープデッキ、船尾、船首、船尾、海上、航海、海洋、海事、マリーナ"],
["アンビエンス","オフィス","AMBOffc","AMB","Workplaces, offices, people working, typing, telephones. General offices of various sizes.","オフィス、キュービクル、職場、部門、駅、支店、ワークステーション"],
["アンビエンス","公園","AMBPark","AMB","Parks, mostly city or suburban, probably usually with some human activity, city activity. Not pure nature sounds.","公園、遊び場、庭園、植物園、都市公園、郊外公園、球場、公園用地"],
["アンビエンス","刑務所","AMBPrisn","AMB","Prisons and jails, reverberant inmate walla, jail doors, buzzers, that sort of thing.","刑務所、拘置所、刑務所の庭、刑務所、スラマー、拘置所、独房、刑事施設"],
["アンビエンス","抗議","AMBPrtst","AMB","Protests, Rallies, Riots. Big mixed ambiences of crowds, shouting, yelling, chanting. Opposed to AMBIENCE-CHEERING.","抗議、集会、暴動、詠唱、叫び、怒号、行進、デモ、騒動、反乱、革命、怒号"],
["アンビエンス","公共の場、ホール、劇場","AMBPubl","AMB","Except for restaurants, for any other usually indoor public places such as stores, lobbies, hotels, malls, museums. Lots of possible overlap with other categories. Use if not fitting elsewhere.","店舗、ロビー、ホテル、ショッピングモール、美術館、広場、中庭、ジム、フィットネスセンター、モーテル、図書館、裁判所、裁判所"],
["アンビエンス","宗教","AMBRlgn","AMB","Church and temples, church services, religious gatherings, pilgrimages. Any ambience relating to religion.","教会、寺院、モスク、チャペル、デラサール、聖堂"],
["アンビエンス","居住","AMBHome","AMB","Something busier than a room tone, an Apartment, a House with some activity from outside etc. Interior with exterior sounds coming through closed or open doors, windows.","家、アパート、コンドミニアム、邸宅、タウンハウス、キャビン、ハウス、レジデンス"],
["アンビエンス","レストラン","AMBRest","AMB","Restaurants and bars, pubs, places of eating and drinking, mixed crowd with glass clinks or silverware.","レストラン、バー、パブ、ガストロパブ、屋台、食堂、カフェ、カフェテリア、食堂、喫茶店、サルーン、コーヒーショップ、ピザ屋、ファーストフード、ワインバー、オートマット、コミッサリー、居酒屋、ナイトクラブ、デリ、イータリー、ブラッスリー、ドライブイン"],
["アンビエンス","室内音","AMBRoom","AMB","Simple room tones with little or no activity. Also see now AMBIENCE-RESIDENTIAL if more than just air is present, as it might be a better fit.","ルームトーン、デッドエア、クワイエットエア"],
["アンビエンス","農村、農場","AMBRurl","AMB","Rural and countryside ambiences that don't fit somewhere else in this list. Nature, away from signs of people, overlap with AMBIENCE-ALPINE, DESERT, FOREST, PRAIRIE, etc.","田舎、平野、草原、山、丘陵、サバンナ、ツンドラ、草原、峡谷、クーリー、低木、低木林、台地"],
["アンビエンス","学校","AMBSchl","AMB","Schools of any age, kindergarten through college, hallways, lockers, voices, school bells.","小学校、中学校、高校、大学、幼稚園、大学、教室、アセンブリ"],
["アンビエンス","サイエンスフィクション","AMBSci","AMB","A composite sci-fi ambience, a complex background layered with many sci-fi elements. A complex spacehip bridge, or high-tech lab. See also SCIFI for individual elements.","宇宙船、技術センター、コマンドセンター、SF、未来的な、ハイテク、ハイテック"],
["アンビエンス","シーサイド","AMBSea","AMB","Relating to beach and oceanside scenes with people. (Compare to AMBIENCE-NAUTICAL). Water only recordings would go to a WATER category.","ビーチ、シーサイド、ストランド、沿岸、海岸、海岸線、海岸、ボードウォーク、ビーチリゾート、ビーチフロント、堤防、ドック、ピア、港、ハーバー"],
["アンビエンス","スポーツ","AMBSprt","AMB","Sporting events, little league baseball to major league. Use CROWDS-SPORT for clean crowd recordings.","NFL、フットボール、NBA、バスケットボール、MLB、野球、テニス、スポーツイベント、リトルリーグ、練習場"],
["アンビエンス","郊外","AMBSubn","AMB","Suburban streets, average residential neighborhood, not dense like URBAN. Lawnmowers, sprinklers, birds.","郊外、住宅、近所、袋小路、村、バリオ、郊外、集落"],
["アンビエンス","沼地","AMBSwmp","AMB","A wetland often partially or intermittently covered with water; especially : one dominated by woody vegetation. Marshes, although tecnically different, are included here. Any wetland.","カエル、沼地、湿地帯、水辺、湖畔、湖、マングローブ"],
["アンビエンス","町","AMBTown","AMB","Something in between a CITY and a SUBURB. Activity, cars, pedestrians, that 'small town' or village sound. May be confusion between this, AMBIENCE-URBAN and AMBIENCE-SUBURBAN.","町、村、村落、小さな町、コミュニティ、集落"],
["アンビエンス","交通、トラフィック","AMBTraf","AMB","Specifically traffic without people. Not for a single car by, but for clean busy traffic, clean highway traffic for example. Rush hour where the sound is predominantly cars.","車道、高速道路、高速道路、大通り、高速道路"],
["アンビエンス","乗り物","AMBTran","AMB","Not VEHICLES, but public train stations, airports, bus stations, subway stations. Not the airplane or train itself. But public places centering around transportation.","鉄道駅、空港、バスステーション、地下鉄駅、チューブステーション、地下鉄駅、ターミナル、デポ、ターミナス"],
["アンビエンス","トロピカル、熱帯","AMBTrop","AMB","Jungles and rainforests, lush animal life and vegetation.","ジャングル、ブッシュ、熱帯雨林、雲霧林、トロピカル"],
["アンビエンス","ツンドラ","AMBTndra","AMB","Treeless environments where the ground is permanently frozen, arctic, antarctic.","芸術、アンタルティック、高原、北極、南極、極地、氷河、雪、氷"],
["アンビエンス","地下鉄","AMBUndr","AMB","Subterranean, underground ambiences like sewers, bunkers, tunnels, dungeons, caves.","洞窟、滴下、エコー、下水道、バンカー、トンネル、ダンジョン、溶岩洞窟、地下室、地下、沈没、埋没、地下、シャフト、鉱山、通路、道筋"],
["アンビエンス","水中","AMBUndwtr","AMB","Underwater sounding ambiences, deep bubbles and that classic undersea world sound. See also WATER-UNDERWATER.","水中、岩礁、サンゴ、海溝、水没、海中、難破船"],
["アンビエンス","アーバン、都市","AMBUrbn","AMB","Dense cities and environments. New York City or London or Mumbai. Often Dense Traffic, horns, pedestrians, buses, but really any city. Overlap with AMBIENCE-TOWN possible.","メトロポリス、密集した都市、都市、ダウンタウン、都心、大都市、にぎやか、ラッシュアワー、混雑、都心、スラム、スキッドロー、ゲットー、金融街"],
["アンビエンス","戦争、戦闘","AMBWar","AMB","Battles, warfare, full ambiences here. Not for isolated WEAPONS or VEHICLES which have their own categories. Composite sounds of war.","戦争、戦争、戦闘、小競り合い、戦闘、戦い、婚約、暴行、攻撃、電撃、空襲、空襲、砲撃、弾幕、噴射、電撃戦、一斉射撃、対空砲、広角砲、大砲、砲弾"],
["動物","両生類","ANMLAmph","ANML","Technically any amphibian, but most likely used for frogs and toads.","frog, toad, bullfrog, salamander, newt, chorus frog, peeper, croaker, axolotl"],
["動物","水生","ANMLAqua","ANML","All manner of marine and sea animals, not just mammals, but anything that lives in water.","クジラ、イルカ、イルカ、アシカ、アザラシ、シャチ、マナティー、セイウチ、ゾウアザラシ、ラッコ、ラッコ、ベルーガ、イッカク、ジュゴン、サメ、エイ、クラゲ、イカ、タコ、カニ、ロブスター、ウナギ"],
["動物","コウモリ","ANMLBat","ANML","Bat chirps, echolocation and communicative vocalization. Wings would go under WINGS-MISC.","オオコウモリ、吸血コウモリ、フルーツコウモリ"],
["動物","ネコ","ANMLCat","ANML","Domesticated house cats. See also ANIMALS-CAT WILD.","にゃあ、にゃあ、子猫、ネコ、路地ネコ"],
["動物","野生のネコ","ANMLWcat","ANML","Wild cats as opposed to domesticated cats. Tigers and Lions.","ライオン、トラ、ピューマ、クーガー、ヒョウ、ジャガー、ユキヒョウ、チーター、オオヤマネコ、ヤマネコ、カラカル、オセロット、ヒョウ、サーバル"],
["動物","犬","ANMLDog","ANML","All Domesticated dogs, excluding wild dogs. Pet dogs. See also ANIMALS-WILD DOG for non-domesticated dogs.","犬、ハウンド、吠える、子犬、ワンちゃん、愛玩動物、雑種犬、ポチ"],
["動物","野生の犬","ANMLWdog","ANML","Wild dogs and canines like Wolves, Foxes, Coyotes etc.","オオカミ、キツネ、コヨーテ、ジャッカル、ディンゴ、ルーファス、イヌ科動物"],
["動物","農場、ファーム","ANMLFarm","ANML","Domesticated mammals you'd find on a farm. For farm birds see BIRDS-FOWL. See also AMBIENCE-FARM.","牛、羊、山羊、豚、牛、ラマ、アルパカ"],
["動物","馬","ANMLHors","ANML","All members of the horse family, including donkeys and mules. See also FOOTSTEPS-HORSE and EQUIPMENT-BRIDLE.","ロバ、ラバ、ケツ、シマウマ"],
["動物","昆虫","ANMLInsc","ANML","All manner of traditional insect sounds, crickets, cicada, flies and bees. And singular insect recordings. See also AMBIENCE-INSECT now for dense ambience style recordings.","バッタ、コオロギ、セミ、ハエ、ハチ、スズメバチ、ウェタ、コーンヘッド、イナゴ、カブトムシ、ゴキブリ"],
["動物","その他","ANMLMisc","ANML","Other animals not finding a clear category.","雑多なもの"],
["動物","霊長類","ANMLPrim","ANML","All members of the primate family except humans. Apes, Chimps, etc.","チンパンジー、サル、ゴリラ、キツネザル、オランウータン、カプチーノ、マーモセット、サル、テナガザル、ボノボ、ヒヒ"],
["動物","爬虫類","ANMLRept","ANML","All reptiles including snakes, turtles and lizzards.","ヘビ、トカゲ、ワニ、ワニカメ、ガビアル、カイマン、ヤモリ"],
["動物","齧歯類","ANMLRdnt","ANML","All manner 'gnawing' animals like rats and mice. Rodents.","マウス、ネズミ、リス、モグラ、ヤマアラシ、モルモット、シマリス、ビーバー、ゴーファー、アライグマ、プレーリードッグ、スナネズミ、ハムスター、マーモット、レミング、マスクラット、チンチラ、げっ歯類"],
["動物","野生、ワイルド","ANMLWild","ANML","Any wild animal not explicitly defined by the list, and not domesticated. Wolves and Coyotes now to go ANIMALS-DOG WILD","クマ、キリン、カバ、ゾウ、ヘラジカ、シカ、ガゼル、アナグマ、アリクイ、カモノハシ、ナマケモノ、クズリ、イノシシ、ウォンバット、コアラ、カンガルー、ワラビー、ノウサギ、パンダ、カモシカ、ラクーン、エルク、トナカイ、サイ、ツチノコ、イボイノシシ、インパラ、カバ、ハナグマ、水牛、ヘラジカ"],
["アーカイブ","アフレコ","ADR","ADR","Re-recorded lines via the ADR process.","adr、ループ、置換ダイアログ"],
["アーカイブ","資料","ASSET","ASSET","A delivered or stored asset, most likely for video game use, but something used in the development of a project.","アセット、リソース、タグ"],
["アーカイブ","バウンス","BNCE","BNCE","Bounces made for picture department, layered bounces.","バウンス、クラッシュダウン"],
["アーカイブ","リバーブ成分など","IR","IR","Impulse Responses, reverb and otherwise.","インパルス応答、IR、ALTIVERB、リバーブサンプル、コンボリューションリバーブ"],
["アーカイブ","ループグループ","LPGRP","LPGRP","Loop group crowds or lines. Specifically recorded in a loop group envirment and needing to tracked as such.","ループグループ, ワラ"],
["アーカイブ","ミックス","MIX","MIX","Premixes, final mixes, mixdowns, stems.","プリミックス, ファイナルミックス, ステム, M&E, ミックスダウン, プリントマスター"],
["アーカイブ","使用著作に問題あり","PFX","PFX","FX Stolen from production takes only. Beware of possible rights issues.","プロダクション"],
["アーカイブ","プロダクション","PROD","PROD","Production takes, dialog lines and other spoken line production takes.","プロダクションテイク, ダイアログライン, dx"],
["アーカイブ","RAWファイル","RAW","RAW","Raw recording files, for example a load of a full DAT tape.","datテープ, 生ファイル, 未処理"],
["アーカイブ","使用著作に制限あり","REF","REF","Reference material, often restricted, used for reference only. Beware of possible rights issues.","参考、インスピレーション"],
["アーカイブ","シーン","SCNE","SCNE","Pre-built scenes and soundscapes, designed scenes. For example a fully build old-west scene.","レディメイド、プレビルド"],
["アーカイブ","テストノイズ、信号","TEST","TEST","Test tones used for calibration, ADR beeps, Pink Noise, Sine wave Sweeps.","アドラビープ、テストトーン、ビープ音、2ポップス、ホワイトノイズ、ピンクノイズ、サインウェーブスイープ"],
["アーカイブ","著作権表示あり","TMARK","TMARK","For trademarked or copyright sounds that you need to store in your library. Jingles, logos.","商標、著作権、製品サウンド、ライセンス、登録、法的拘束力"],
["アーカイブ","メタデータ作業進行中","WIP","WIP","Files that aren't fully metadata'd, or mastered, tag to remind you there is work to do. Recordings awaiting mastering.","進行中の仕事、ワイプ、未完成"],
["アーカイブ","その他に該当","WTF","WTF","Literally what it says 'What the F_ck' is THIS sound... Strange otherwise uncategorizable sounds.","未分類、未知、ジョーク"],
["ビープ音","案内、警告","BEEPAppl","BEEP","Microwave oven beeps, dishwasher beeps.","電子レンジ, 食器洗い機, 洗濯機, 乾燥機"],
["ビープ音","全般","BEEP","BEEP","Beep sounds not fitting another category in this list. User Interface beeps go to UI-BEEPS.","ビープ音"],
["ビープ音","低音","BEEPLofi","BEEP","Very low fidelity, old 8-bit beeps.","アタリ、ファミコン、コレコビジョン"],
["ビープ音","医療機器","BEEPMed","BEEP","Beeps from various medical devices, EKG, Live Support.","心電図、ECG、KDC、心臓モニター、フラットライン、超音波"],
["ビープ音","タイマー","BEEPTimer","BEEP","Specifically timer beeps, counting down. Classic time bomb beeps.","電子レンジ、オーブンタイマー、デジタル時計、電話タイマー"],
["ビープ音","車","BEEPVeh","BEEP","Backup beeps from a large truck or construction vehicle.","フォークリフトビープ音、バックアップビープ音"],
["ベル、鈴","動物","BELLAnml","BELL","Bells attached to animals, like cow and sheep bells, or a dog or cat collar with a bell on it.","カウベル、ホークベル、カラーベル、シープベル"],
["ベル、鈴","ドア、玄関","BELLDoor","BELL","Mechanical doorbells. Would also maybe electronic doorbells in here as well to avoid confusion probably. Also see ALARMS-BUZZERS for a door buzzer.","ドアベル、ドアチャイム、ディンドン、トリン"],
["ベル、鈴","ゴーン","BELLGong","BELL","A large flat circular disc hit with a mallet. With v8.2 of the list most of these would now go into MUSICAL-BELLS instead.","ゴング、ガムラン、アグン、ボウルゴング、タムタム"],
["ベル、鈴","ハンドベル","BELLHand","BELL","Small to medium hand bells, dinner bells. Musical bells like HANDBELLS and CARILLION now go into MUSICAL-BELLS.","ハンドベル、ディナーベル、スクールベル、分身ベル、そりベル、ジングルベル、バトラーベル"],
["ベル、鈴","大きな鐘","BELLLrg","BELL","Large bells like a church bell or tower bell, or city hall bells, Big Ben. Any large bell.","寺院の鐘、教会の鐘、ピール、塔の鐘"],
["ベル、鈴","その他","BELLMisc","BELL","Bell sounds not fitting another category in this list.","自転車のベル、サービスベル、コールベル"],
["鳥","猛禽類、フクロウ","BIRDPrey","BIRD","Birds that prey on vertebrates, especially rodents. Raptors.","タカ、ワシ、ハヤブサ、フクロウ、ハゲワシ、コンドル、ノスリ、トビ、ミサゴ、ハリアー、ケストレル、カラカラ"],
["鳥","集団、群集","BIRDCrow","BIRD","Birds in Corvid family, which includes crows and ravens.","カラス、ワタリガラス、カケス、アオカケス、カササギ、クルミ割り人形"],
["鳥","にわとり、水鳥","BIRDFowl","BIRD","Landfowl, wildfowl and waterfowl, also poultry. Ground feeding and many water feeding birds.","鶏、キジ、七面鳥、ガチョウ、ライチョウ、カモ、白鳥、ウズラ、コガモ、マガモ、アイダー、グアン、チャカラ、カラス、ウズラ、アライグマ、チャカ、フクロオオタニワトビ"],
["鳥","その他","BIRDMisc","BIRD","Bird sounds not fitting another category in this list.","アニ、ロードランナー、カッコー、キツツキ、ナイトホーク、ナイトジャー、プアーウィル、ハチドリ"],
["鳥","海、マリン","BIRDSea","BIRD","Birds that live mostly near the ocean. Seagulls, pelicans.","カモメ、カツオドリ、アホウドリ、ウ、ペリカン、ペンギン、ウミツバメ、カモメ、アジサシ、ヒヨドリ、オオハシ、ミヤコドリ、チドリ、シギ、ダンリン、ウグイス、ウミガラス、アオサギ、ハシビロコウ"],
["鳥","鳴き声","BIRDSong","BIRD","Specifically singing birds, warblers, robins, thrushes, what you imagine pretty dawn chorus birds.","ハト、ヒタキ、キビタキ、モズ、ノスリ、ハト、ロビン、スズメ、ツバメ、ツグミ、ビレオ、ムクドリ、シロハラ、シジュウカラ、ヒバリ、キングレット、クリーパー、ツリークリーパー、ヒヨドリ、シメ、クロツグミ、ハジロウズ、チャット、トサカゲ、カージナル、ムクドリ、クロツグミ"],
["鳥","トロピカル、熱帯の鳥","BIRDTrop","BIRD","Birds living in tropical locations, jungle and tropical rainforest birds. Parrots and Toucans.","オウム、オオハシ、クッカバラ、コトドリ、クジャク、コンゴウインコ、オウム、インコ、トキ、ヘラサギ、フラミンゴ"],
["鳥","大型の水鳥","BIRDWade","BIRD","Long-legged, long-billed birds that feed primarily in shallow water. Think Herons and Egrets.","ツル、サギ、フラミンゴ、トキ、レール、ヘラサギ、コウノトリ、サギ、ソラ、クー、ツル、サギ、ニワトリ、サギ、コウノトリ、シギ"],
["ボート","エアボート","BOATAir","BOAT","Specifically large fan airboats used in swamps. Think the type of boat used in the Everglades. Also hovercraft.","ファンボート、エアーボート、ホバークラフト"],
["ボート","手漕ぎボート","BOATWash","BOAT","The waves pushed up by a boat or ship going through the water, a relatively clean recording.","船首洗浄、航跡"],
["ボート","ドア","BOATDoor","BOAT","Boat or Submarine doors. Some possible overlap with over DOOR categories or VEHICLES-DOOR.","ハッチ、フェリードア、ボートドア、水密ドア、船ドア"],
["ボート","電動","BOATElec","BOAT","Any boat powered by electricity. Fairly rare. Possible a a radio controlled boat, or electric trolling motor.","トローリングモーター"],
["ボート","釣り、フィッシング","BOATFish","BOAT","Industrial fishing boats, crab boats, trawlers. Simple fishing boats to BOATS-MOTORBOAT.","蟹工船、トロール船、底曳網、ライン船、浚渫船、ギルネッター、調査船"],
["ボート","ホーン、クラクション","BOATHorn","BOAT","Horns on boats and ships. Fog horns would go in HORNS-AIR category.","船舶用ホーン、タグボート用ホーン"],
["ボート","内部","BOATInt","BOAT","Interior ambiences on boats and ships, ferries, cruise ships, navy ships.","船、フェリー、フェリー、クルーズ船、海軍、軍用艇、タグボート、ヨット、オイルタンカー、貨物船、貨物船、潜水艦"],
["ボート","機械","BOATMech","BOAT","All manner of boat mechanisms. Sailing ship rigging, pulleys, ropes, ship wheels. See also BOATS-DOOR.","艤装品、滑車、ロープ、船輪、スロットル、ネット、ケージ、トラップ、アンカー"],
["ボート","軍用船","BOATMil","BOAT","Specifically military boats and ships, destroyers, aircraft carriers. Any military boat.","巡視船、駆逐艦、巡洋艦、フリゲート、コルベット、高速攻撃艇"],
["ボート","その他","BOATMisc","BOAT","Boat sounds not fitting another category in this list.","パドルボート、パドルボード"],
["ボート","モーターボート","BOATMotr","BOAT","General small boats, personal fishing boats, speedboats, pontoon boats. You average recreational boat.","小型ボート、個人用漁船、スピードボート、ポンツーンボート、アヒルボート、ディンギー"],
["ボート","レース","BOATRace","BOAT","Powered racing boats, not for human powered racing boats, those would go under BOATS-ROWING.","ハイドロプレーン、ハイドロフォイル、ジェットボート"],
["ボート","ローボート","BOATRow","BOAT","Canoes, rowboats, kayaks probably, human powered boats that use oars and paddles, even racing rowboats.","カヌー、手漕ぎボート、カヤック、オール、パドル、ドラゴンボート、ロー"],
["ボート","セイルボート","BOATSail","BOAT","Composite recordings of rigging and sails, isolated elements to CLOTH-FLAP for close sails, or BOATS-MECHANISM for rigging.","帆船、スクーナー、ヨール、スループ、ケッチ、モーターセーラー"],
