[["AIRE","SOPLAR","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","aire comprimido, despresurizar, liberar, soplar, chisporrotear, aletear, purgar"],
["ALARMA","SIRENA","ALRMSirn","ALRM","Mechanical sirens, like old klaxons. Vehicle sirens such a police, fire and ambulance to go to VEHICLES-SIREN.","claxon, bocina ahooga, sirena antiaérea, sirena de tornado"],
["AMBIENTE","AIRE","AMBAir","AMB","Quiet exterior 'air' with little activity, like exterior room tones, very simple exterior ambiences. The exeterior equivalent of a room tone. If noticable activity find a better fitting category.","desierto, invierno, aire tranquilo, aire nocturno, aire de montaña, aire nocturno"],
["AMBIENTE","ALPINO","AMBAlpn","AMB","Mountain ambiences, for recordings and ambiences geographically linked to Alpine Environments. Some overlap with AMBIENCE-RURAL.","alpes, montañas, rocosas, tetones, alpinismo, montañoso, nevado, ladera, pico"],
["AMBIENTE","PARQUE ATRACCIONES","AMBAmus","AMB","Theme parks and carnivals. Beware of possible rights issues with uncleared music. Carnivals, fairs, festivals. Probably arcades too.","disneyland, six-flags, parque temático, parque de atracciones, carnaval, feria, feria del condado, midway, feria ambulante, festival, casa encantada, funhouse, arcade, pinball"],
["AMBIENTE","PÁJAROS","AMBBird","AMB","Group songbirds, like a dawn chorus of pretty birds, where the birds are the prominent sound. Single birds would go in BIRDS-SONGBIRD.","coro del amanecer, coro de la mañana, pájaro bonito, bandadas, gorjeo, piar, piar, pío"],
["AMBIENTE","CELEBRACIÓN","AMBCele","AMB","Parties, New Years Eve. Not pure crowds, as that would go in CROWDS, but i.e. exterior city new years. Also see AMBIENCES-AMUSEMENT for something like a fair or festival.","reunión pública, acontecimiento, fiesta, gala, carnaval, fest, fiesta, festival"],
["AMBIENTE","CONSTRUCCIÓN","AMBCnst","AMB","Construction scenes with things like jackhammers, cranes, pile drivers, composite construction scene, road construction also.","construcción de carreteras, edificación, carpintería, remodelación, renovación de viviendas, reparación de carreteras, reconstrucción"],
["AMBIENTE","DESIERTO","AMBDsrt","AMB","Quiet desert ambiences with appropriate insects and birds. Maybe tumbleweeds.","desierto, planta rodadora, oasis, yermo, páramo, sahara, árido, dunas de arena, desolado"],
["AMBIENTE","DISEÑADOS","AMBDsgn","AMB","Artificial designed ambience. V8.2 adds AMBIENCE-FANTASY and AMBIENCE-SCIFI which may be better fit for most 'designed' categories.","artificial, diseñado"],
["AMBIENTE","EMERGENCIA","AMBEmrg","AMB","Crime scenes, firefighting scenes, accident scenes, with things like firefighters, police, ambulances and medics. Also see VEHICLES-EMERGENCY.","escena del crimen, extinción de incendios, policía, médicos, pruebas, desastre natural, tiroteo, accidente, catástrofe, heridos, siniestro múltiple"],
["AMBIENTE","FANTASTICO","AMBFant","AMB","Magical or other wordly composite ambiences, soundscapes, think Middle Earth or Pandora.","hada, fantasía, mágico, reino, sueño, tierra media, pandora"],
["AMBIENTE","GRANJA","AMBFarm","AMB","Specifically farm ambiences, with animals, maybe tractors working, chickens, etc. Isolated farm animals would go into ANIMALS-FARM.","granja, cosecha, labranza, rancho, granja, granja, plantación, tierra de labranza, corral, granero, pasto, lechería, viñedo, corral, pastoral"],
["AMBIENTE","BOSQUE","AMBForst","AMB","Forest recordings or forest composite files. Trees and birds, maybe wind in trees all together. Some overlap with AMBIENCE-RURAL or AMBIENCE-ALPINE.","bosque, arbolado, bosque boreal, bosque pluvial, bosque pluvial templado, bosque nuboso, caducifolio, conífera"],
["AMBIENTE","PRADERA","AMBGras","AMB","Prairies, meadows, grazing patures, etc. But FARMS has own category if farm animals or human activity are present.","pradera, tierra de labranza, pasto, pradera, pastizal, llanura"],
["AMBIENTE","HISTÓRICO","AMBHist","AMB","Old West scenes, Roman street scenes. Composite history and ancient ambiences.","ciudad fantasma, viejo oeste, fiebre del oro, antigua roma, antigua grecia"],
["AMBIENTE","HI-TECH","AMBTech","AMB","Hi-tech machine rooms. Data centers, control rooms. James Bond type lairs. Spaceship interiors.","laboratorio, sala de máquinas, servidor, centro de datos, sala de control"],
["AMBIENTE","HOSPITAL","AMBHosp","AMB","Hospital ambiences of all kinds, surgery and emergency rooms too. Possibly veterinarian hospitals too.","sala de urgencias, quirófano, sala de espera, enfermería, clínica, sanatorio, enfermería"],
["AMBIENTE","INDUSTRIAL","AMBInd","AMB","Industrial warehouses and factories, plants or any ambience with an industrial feeling.","fábrica, manufactura, planta, molino, almacén, taller"],
["AMBIENTE","INSECTO","AMBInsc","AMB","Thick ambiences of insects, cicada and cricket beds mainly. May contain over sounds but main sound being large presence of insects. See also ANIMALS-INSECT for more isolated sounds.","grillos, cigarras, katydids, swam, langostas"],
["AMBIENTE","ORILLA DEL LAGO","AMBLake","AMB","Ambiences relating to lakes, not isolated lapping, but the lake version of AMBIENCE-SEASIDE. See also WATER-LAPPING.","lagos, orilla del lago, chapotear, nadar, embalse, estanque, loch"],
["AMBIENTE","MERCADO","AMBMrkt","AMB","Busy exterior or interior market activity and crowds. Think vibrant international markets in Istanbul or Africa, but any market.","mercado, mercado, vendedor, distrito comercial, bazar, mercado, intercambio, rastro, plaza"],
["AMBIENTE","MISCELÁNEA","AMBMisc","AMB","Ambience sounds not fitting another category in this list.","varios"],
["AMBIENTE","NÁUTICO","AMBNaut","AMB","Relating to ships at sea, shipyards, things revolving around ships. (compare to AMBIENCE-SEASIDE). Water only recordings would go to a WATER category.","náutico, astillero, popa, popa, popa, proa, popa, marinero, marítimo, oceánico, marina, marítimo, puerto deportivo"],
["AMBIENTE","OFICINA","AMBOffc","AMB","Workplaces, offices, people working, typing, telephones. General offices of various sizes.","oficina, cubículo, lugar de trabajo, departamento, estación, sucursal, puesto de trabajo"],
["AMBIENTE","PARQUE","AMBPark","AMB","Parks, mostly city or suburban, probably usually with some human activity, city activity. Not pure nature sounds.","parque, patio de recreo, jardines, jardines botánicos, parque urbano, parque suburbano, parque de bolas, zona verde"],
["AMBIENTE","CÁRCEL","AMBPrisn","AMB","Prisons and jails, reverberant inmate walla, jail doors, buzzers, that sort of thing.","prisión, cárcel, patio de la prisión, penitenciaría, trullo, calabozo, detención, confinamiento solitario, institución penal"],
["AMBIENTE","PROTESTA","AMBPrtst","AMB","Protests, Rallies, Riots. Big mixed ambiences of crowds, shouting, yelling, chanting. Opposed to AMBIENCE-CHEERING.","protesta, concentración, mítines, disturbios, cánticos, gritos, muchedumbre enfurecida, marchas, manifestación, tumulto, revuelta, revolución, enfado"],
["AMBIENTE","ESPACIO PUBLICO","AMBPubl","AMB","Except for restaurants, for any other usually indoor public places such as stores, lobbies, hotels, malls, museums. Lots of possible overlap with other categories. Use if not fitting elsewhere.","tiendas, vestíbulos, hoteles, centros comerciales, museos, plazas públicas, patios, gimnasios, centro de fitness, motel, biblioteca, juzgado, tribunal"],
["AMBIENTE","RELIGIOSO","AMBRlgn","AMB","Church and temples, church services, religious gatherings, pilgrimages. Any ambience relating to religion.","iglesia, templo, mezquita, capilla, derasar, catedral"],
["AMBIENTE","RESIDENCIAL","AMBHome","AMB","Something busier than a room tone, an Apartment, a House with some activity from outside etc. Interior with exterior sounds coming through closed or open doors, windows.","casa, apartamento, condominio, mansión, casa, adosado, cabaña, vivienda, residencia"],
["AMBIENTE","RESTAURANTE","AMBRest","AMB","Restaurants and bars, pubs, places of eating and drinking, mixed crowd with glass clinks or silverware.","restaurante, bar, pub, gastropub, foodcart, diner, café, cafetería, cantina, salón de té, salón, cafetería, pizzería, comida rápida, bar de vinos, automat, economato, taberna, club nocturno, delicatessen, restaurante, brasserie, autocine"],
["AMBIENTE","ROOM TONE","AMBRoom","AMB","Simple room tones with little or no activity. Also see now AMBIENCE-RESIDENTIAL if more than just air is present, as it might be a better fit.","tono ambiente, aire muerto, aire tranquilo"],
["AMBIENTE","RURAL","AMBRurl","AMB","Rural and countryside ambiences that don't fit somewhere else in this list. Nature, away from signs of people, overlap with AMBIENCE-ALPINE, DESERT, FOREST, PRAIRIE, etc.","campo, llanura, pradera, pastizal, montaña, colina ondulada, sabana, tundra, pradera, cañón, arroyo, matorral, matorral, meseta"],
["AMBIENTE","COLEGIO","AMBSchl","AMB","Schools of any age, kindergarten through college, hallways, lockers, voices, school bells.","escuela primaria, escuela secundaria, instituto, colegio, preescolar, universidad, aula, asamblea"],
["AMBIENTE","CIENCIA FICCIÓN","AMBSci","AMB","A composite sci-fi ambience, a complex background layered with many sci-fi elements. A complex spacehip bridge, or high-tech lab. See also SCIFI for individual elements.","nave espacial, centro tecnológico, centro de mando, ciencia ficción, futurista, alta tecnología, hi-tec"],
["AMBIENTE","MAR","AMBSea","AMB","Relating to beach and oceanside scenes with people. (Compare to AMBIENCE-NAUTICAL). Water only recordings would go to a WATER category.","playa, orilla del mar, playa, costa, costa, litoral, litoral marítimo, paseo marítimo, balneario, primera línea de playa, terraplén, muelle, embarcadero, puerto, dársena"],
["AMBIENTE","DEPORTE","AMBSprt","AMB","Sporting events, little league baseball to major league. Use CROWDS-SPORT for clean crowd recordings.","nfl, football, nba, basketball, mlb, baseball, tennis, sport event, little league, practice"],
["AMBIENTE","SUBURBANO","AMBSubn","AMB","Suburban streets, average residential neighborhood, not dense like URBAN. Lawnmowers, sprinklers, birds.","suburbio, residencial, barrio, callejón sin salida, pueblo, barrio, afueras, aldea"],
["AMBIENTE","PANTANO","AMBSwmp","AMB","A wetland often partially or intermittently covered with water; especially : one dominated by woody vegetation. Marshes, although tecnically different, are included here. Any wetland.","rana, ciénaga, pantano, everglade, humedal, ribera, orilla de lago, lago, manglar"],
["AMBIENTE","PUEBLO","AMBTown","AMB","Something in between a CITY and a SUBURB. Activity, cars, pedestrians, that 'small town' or village sound. May be confusion between this, AMBIENCE-URBAN and AMBIENCE-SUBURBAN.","ciudad, pueblo, aldea, pequeña ciudad, comunidad, asentamiento"],
["AMBIENTE","TRAFICO","AMBTraf","AMB","Specifically traffic without people. Not for a single car by, but for clean busy traffic, clean highway traffic for example. Rush hour where the sound is predominantly cars.","autopista, autovía, autopista, bulevar, avenida, autopista"],
["AMBIENTE","TRANSPORTE","AMBTran","AMB","Not VEHICLES, but public train stations, airports, bus stations, subway stations. Not the airplane or train itself. But public places centering around transportation.","estación de tren, aeropuerto, estación de autobús, estación de metro, estación de metro, terminal, depósito, terminal"],
["AMBIENTE","TROPICAL","AMBTrop","AMB","Jungles and rainforests, lush animal life and vegetation.","selva, matorral, bosque húmedo tropical, bosque nuboso, tropical"],
["AMBIENTE","TUNDRA","AMBTndra","AMB","Treeless environments where the ground is permanently frozen, arctic, antarctic.","ártico, antártico, meseta, polo norte, polo sur, polar, glaciar, nieve, hielo"],
["AMBIENTE","SUBTERRÁNEO","AMBUndr","AMB","Subterranean, underground ambiences like sewers, bunkers, tunnels, dungeons, caves.","cueva, goteras, ecos, alcantarilla, búnker, túnel, mazmorra, tubo de lava, sótano, subterráneo, hundido, enterrado, bajo tierra, sótano, pozo, mina, pasadizo, pasadizo"],
["AMBIENTE","SUBMARINO","AMBUndwtr","AMB","Underwater sounding ambiences, deep bubbles and that classic undersea world sound. See also WATER-UNDERWATER.","submarino, arrecife, coral, fosa oceánica, sumergido, submarino, subacuático, naufragio"],
["AMBIENTE","URBANO","AMBUrbn","AMB","Dense cities and environments. New York City or London or Mumbai. Often Dense Traffic, horns, pedestrians, buses, but really any city. Overlap with AMBIENCE-TOWN possible.","metrópolis, ciudad densa, ciudad, centro de la ciudad, centro urbano, metropolitano, bullicioso, hora punta, congestión, centro de la ciudad, barrio bajo, barrio de chabolas, gueto, distrito financiero"],
["AMBIENTE","GUERRA","AMBWar","AMB","Battles, warfare, full ambiences here. Not for isolated WEAPONS or VEHICLES which have their own categories. Composite sounds of war.","war, warfare, battle, skirmish, combat, fight, engagement, assault, offensive, blitz, air-raid, raid, bombardment, barrage, fusillade, blitzkrieg, salvo, flak, broadside, cannonade"],
["ANIMALES","ANFIBIO","ANMLAmph","ANML","Technically any amphibian, but most likely used for frogs and toads.","rana, sapo, rana toro, salamandra, tritón, rana coro, mirlo acuático, corvina, ajolote"],
["ANIMALES","ACUÁTICO","ANMLAqua","ANML","All manner of marine and sea animals, not just mammals, but anything that lives in water.","ballena, delfín, marsopa, león marino, foca, orca, manatí, morsa, elefante marino, nutria marina, nutria de mar, beluga, narval, dugongo, tiburón, raya, medusa, calamar, pulpo, cangrejo, langosta, anguila"],
["ANIMALES","MURCIÉLAGO","ANMLBat","ANML","Bat chirps, echolocation and communicative vocalization. Wings would go under WINGS-MISC.","zorro volador, murciélago vampiro, murciélago de la fruta"],
["ANIMALES","GATO DOMESTICO","ANMLCat","ANML","Domesticated house cats. See also ANIMALS-CAT WILD.","maullido, ronroneo, gatito, gatita, felino, gato callejero"],
["ANIMALES","GATO SALVAJE","ANMLWcat","ANML","Wild cats as opposed to domesticated cats. Tigers and Lions.","león, tigre, puma, puma, leopardo, jaguar, leopardo de las nieves, guepardo, lince, gato montés, caracal, ocelote, pantera, serval"],
["ANIMALES","PERRO","ANMLDog","ANML","All Domesticated dogs, excluding wild dogs. Pet dogs. See also ANIMALS-WILD DOG for non-domesticated dogs.","perro, sabueso, ladrador, cachorro, perrito, perrito faldero, chucho, caniche"],
["ANIMALES","SALVAJE","ANMLWdog","ANML","Wild dogs and canines like Wolves, Foxes, Coyotes etc.","lobo, zorro, coyote, chacal, dingo, lupus, cánido"],
["ANIMALES","GRANJA","ANMLFarm","ANML","Domesticated mammals you'd find on a farm. For farm birds see BIRDS-FOWL. See also AMBIENCE-FARM.","vaca, oveja, cabra, cerdo, vacuno, llama, alpaca"],
["ANIMALES","CABALLO","ANMLHors","ANML","All members of the horse family, including donkeys and mules. See also FOOTSTEPS-HORSE and EQUIPMENT-BRIDLE.","burro, mulo, asno, cebra"],
["ANIMALES","INSECTO","ANMLInsc","ANML","All manner of traditional insect sounds, crickets, cicada, flies and bees. And singular insect recordings. See also AMBIENCE-INSECT now for dense ambience style recordings.","saltamontes, grillo, cigarra, mosca, abeja, avispa, avispón, weta, cabeza de cono, langosta, escarabajo, cucaracha"],
["ANIMALES","MISCELÁNEA","ANMLMisc","ANML","Other animals not finding a clear category.","varios"],
["ANIMALES","PRIMATE","ANMLPrim","ANML","All members of the primate family except humans. Apes, Chimps, etc.","chimpancé, simio, gorila, lémur, orangután, capuchino, tití, mono, gibón, bonobo, babuino"],
["ANIMALES","REPTIL","ANMLRept","ANML","All reptiles including snakes, turtles and lizzards.","serpiente, lagarto, caimán, cocodrilo, tortuga, gharial, caimán, salamanquesa"],
["ANIMALES","ROEDOR","ANMLRdnt","ANML","All manner 'gnawing' animals like rats and mice. Rodents.","ratón, rata, ardilla, topo, puercoespín, cobaya, ardilla listada, castor, ardilla listada, mapache, perrito de las praderas, jerbo, hámster, marmota, lemming, rata almizclera, chinchilla, roedor"],
["ANIMALES","SALVAJE","ANMLWild","ANML","Any wild animal not explicitly defined by the list, and not domesticated. Wolves and Coyotes now to go ANIMALS-DOG WILD","oso, jirafa, hipopótamo, elefante, alce, ciervo, gacela, tejón, oso hormiguero, ornitorrinco, perezoso, glotón, jabalí, wombat, koala, canguro, wallaby, ñu, panda, antílope, mapache, alce, reno, rinoceronte, oso hormiguero, facóquero, impala, hipopótamo, tejón melero, búfalo, alce"],
["ARCHIVO","DOBLAJE","ADR","ADR","Re-recorded lines via the ADR process.","adr, bucle, diálogo de sustitución"],
["ARCHIVO","ASSET","ASSET","ASSET","A delivered or stored asset, most likely for video game use, but something used in the development of a project.","activo, recurso, etiqueta"],
["ARCHIVO","BOUNCE","BNCE","BNCE","Bounces made for picture department, layered bounces.","rebote, crashdown"],
["ARCHIVO","IMPULSO","IR","IR","Impulse Responses, reverb and otherwise.","respuesta al impulso, IR, altiverb, muestra de reverberación, reverberación por convolución"],
["ARCHIVO","GRUPO EN BUCLE","LPGRP","LPGRP","Loop group crowds or lines. Specifically recorded in a loop group envirment and needing to tracked as such.","grupo de bucles, walla"],
["ARCHIVO","MEZCLA","MIX","MIX","Premixes, final mixes, mixdowns, stems.","premezcla, mezcla final, stem, M&E, mixdown, printmaster"],
["ARCHIVO","PFX","PFX","PFX","FX Stolen from production takes only. Beware of possible rights issues.","producción"],
["ARCHIVO","DIRECTO","PROD","PROD","Production takes, dialog lines and other spoken line production takes.","toma de producción, línea de diálogo, dx"],
["ARCHIVO","BRUTO","RAW","RAW","Raw recording files, for example a load of a full DAT tape.","cinta dat, archivos raw, sin procesar"],
["ARCHIVO","REFERENCIA","REF","REF","Reference material, often restricted, used for reference only. Beware of possible rights issues.","referencia, inspiración"],
["ARCHIVO","ESCENA","SCNE","SCNE","Pre-built scenes and soundscapes, designed scenes. For example a fully build old-west scene.","readymade, preconstruido"],
["ARCHIVO","TONO PRUEBA","TEST","TEST","Test tones used for calibration, ADR beeps, Pink Noise, Sine wave Sweeps.","pitidos adr, tonos de prueba, tono de pitido, 2pops, ruido blanco, ruido rosa, barridos de onda sinusoidal"],
["ARCHIVO","REGISTRADO","TMARK","TMARK","For trademarked or copyright sounds that you need to store in your library. Jingles, logos.","marca comercial, copyright, sonido de producto, con licencia, registrado, legal"],
["ARCHIVO","EN CONSTRUCCIÓN","WIP","WIP","Files that aren't fully metadata'd, or mastered, tag to remind you there is work to do. Recordings awaiting mastering.","work in progress, wip, inacabado"],
["ARCHIVO","WTF","WTF","WTF","Literally what it says 'What the F_ck' is THIS sound... Strange otherwise uncategorizable sounds.","inclasificable, desconocido, bromas"],
["BEEPS","ELECTRODOMÉSTICO","BEEPAppl","BEEP","Microwave oven beeps, dishwasher beeps.","microondas, lavavajillas, lavadora, secadora"],
["BEEPS","GENERAL","BEEP","BEEP","Beep sounds not fitting another category in this list. User Interface beeps go to UI-BEEPS.","pitido"],
["BEEPS","LO-FI","BEEPLofi","BEEP","Very low fidelity, old 8-bit beeps.","atari, famicom, colecovision"],
["BEEPS","MEDICO","BEEPMed","BEEP","Beeps from various medical devices, EKG, Live Support.","EKG, ECG, KDC, monitor cardíaco, línea plana, ultrasonido"],
["BEEPS","TEMPORIZADOR","BEEPTimer","BEEP","Specifically timer beeps, counting down. Classic time bomb beeps.","microondas, temporizador de horno, reloj digital, temporizador de teléfono"],
["BEEPS","VEHÍCULO","BEEPVeh","BEEP","Backup beeps from a large truck or construction vehicle.","pitido de carretilla elevadora, pitido de reserva"],
["CAMPANAS","CENCERRO","BELLAnml","BELL","Bells attached to animals, like cow and sheep bells, or a dog or cat collar with a bell on it.","cencerro, cencerro de collar, cencerro de oveja"],
["CAMPANAS","TIMBRE PUERTA","BELLDoor","BELL","Mechanical doorbells. Would also maybe electronic doorbells in here as well to avoid confusion probably. Also see ALARMS-BUZZERS for a door buzzer.","timbre, timbre de puerta, ding dong, tring"],
["CAMPANAS","GONG","BELLGong","BELL","A large flat circular disc hit with a mallet. With v8.2 of the list most of these would now go into MUSICAL-BELLS instead.","gong, gamelán, agung, gong de cuenco, tam-tam"],
["CAMPANAS","CAMPANILLA","BELLHand","BELL","Small to medium hand bells, dinner bells. Musical bells like HANDBELLS and CARILLION now go into MUSICAL-BELLS.","timbre de mano, timbre de cena, timbre de escuela, timbre de altar, timbre de trineo, cascabeles, timbre de mayordomo"],
["CAMPANAS","GRANDES","BELLLrg","BELL","Large bells like a church bell or tower bell, or city hall bells, Big Ben. Any large bell.","campana de templo, campana de iglesia, repique, campana de torre"],
["CAMPANAS","MISCELÁNEA","BELLMisc","BELL","Bell sounds not fitting another category in this list.","timbre de bicicleta, timbre de servicio, timbre de llamada"],
["PÁJAROS","RAPAZ","BIRDPrey","BIRD","Birds that prey on vertebrates, especially rodents. Raptors.","halcón, águila, halcón, búho, buitre, cóndor, ratonero, milano, águila pescadora, aguilucho, cernícalo, caracara"],
["PÁJAROS","CUERVO","BIRDCrow","BIRD","Birds in Corvid family, which includes crows and ravens.","cuervo, arrendajo, arrendajo azul, urraca, cascanueces"],
["PÁJAROS","AVE","BIRDFowl","BIRD","Landfowl, wildfowl and waterfowl, also poultry. Ground feeding and many water feeding birds.","gallina, faisán, pavo, ganso, oca, urogallo, pato, cisne, perdiz, cerceta común, ánade real, eider, pava real, chachalacas, paujil, codorniz, zampullín, chukar, perdiz nival"],
["PÁJAROS","MISCELÁNEA","BIRDMisc","BIRD","Bird sounds not fitting another category in this list.","ani, correcaminos, cuco, pájaro carpintero, gavilán, chotacabras, picaflor, colibrí"],
["PÁJAROS","MARÍTIMO","BIRDSea","BIRD","Birds that live mostly near the ocean. Seagulls, pelicans.","gaviota, alcatraz, albatros, cormorán, pelícano, pingüino, petrel, gaviota, charrán, fragata, piquero, ostrero, chorlitejo, andarríos, correlimos común, alca, frailecillo, mérgulo, alondra"],
["PÁJAROS","CANTO","BIRDSong","BIRD","Specifically singing birds, warblers, robins, thrushes, what you imagine pretty dawn chorus birds.","paloma, papamoscas, picogordo, sinsonte, trepador azul, paloma torcaz, petirrojo, gorrión, golondrina, tangara, zorzal, vireo, curruca, chochín, herrerillo común, carbonero común, carbonero garrapinos, pendulino, alondra, reyezuelo común, trepador, agateador común, mosquitero común, mirlo acuático, estornino pinto, mirlo común, zorzal común, alirrojo común, charlatán, troupial, cardenal, escribano común, mirlo común"],
["PÁJAROS","TROPICAL","BIRDTrop","BIRD","Birds living in tropical locations, jungle and tropical rainforest birds. Parrots and Toucans.","loro, tucán, cucaburra, ave lira, pavo real, guacamayo, cálao, cacatúa, periquito, ibis, espátula, flamenco"],
["PÁJAROS","AVE ZANCUDA","BIRDWade","BIRD","Long-legged, long-billed birds that feed primarily in shallow water. Think Herons and Egrets.","grulla, garceta, flamenco, ibis, rascón, espátula, cigüeña, garza, rascón, sora, focha, grulla, garza, avetoro, garceta, cigüeña, agachadiza"],
["BARCOS","HIDRO-DESLIZADOR","BOATAir","BOAT","Specifically large fan airboats used in swamps. Think the type of boat used in the Everglades. Also hovercraft.","fan boat, air boat, aerodeslizador"],
["BARCOS","MOVIMIENTO AGUA","BOATWash","BOAT","The waves pushed up by a boat or ship going through the water, a relatively clean recording.","lavado de proa, estela"],
["BARCOS","PUERTA","BOATDoor","BOAT","Boat or Submarine doors. Some possible overlap with over DOOR categories or VEHICLES-DOOR.","escotilla, puerta de transbordador, puerta de barco, puerta estanca, puerta de buque"],
["BARCOS","ELÉCTRICO","BOATElec","BOAT","Any boat powered by electricity. Fairly rare. Possible a a radio controlled boat, or electric trolling motor.","motor de curricán"],
["BARCOS","PESCA","BOATFish","BOAT","Industrial fishing boats, crab boats, trawlers. Simple fishing boats to BOATS-MOTORBOAT.","barcos cangrejeros, arrastreros, cerqueros, buques de línea, dragas, enmalle, buques de investigación"],
["BARCOS","BOCINA","BOATHorn","BOAT","Horns on boats and ships. Fog horns would go in HORNS-AIR category.","bocina de barco, bocina de remolcador"],
["BARCOS","INTERIOR","BOATInt","BOAT","Interior ambiences on boats and ships, ferries, cruise ships, navy ships.","buque, transbordador, transbordadores, crucero, armada, barco militar, remolcador, velero, yate, petrolero, carguero, carguero de carga, submarino"],
["BARCOS","MECANISMO","BOATMech","BOAT","All manner of boat mechanisms. Sailing ship rigging, pulleys, ropes, ship wheels. See also BOATS-DOOR.","jarcia, polea, cabo, rueda de timón, acelerador, red, jaula, trampa, ancla"],
["BARCOS","MILITAR","BOATMil","BOAT","Specifically military boats and ships, destroyers, aircraft carriers. Any military boat.","patrullero, destructor, crucero, crucero de batalla, fragata, corbeta, lancha rápida de ataque"],
["BARCOS","MISCELÁNEA","BOATMisc","BOAT","Boat sounds not fitting another category in this list.","bote de remos, tabla de remos"],
["BARCOS","BARCO MOTOR","BOATMotr","BOAT","General small boats, personal fishing boats, speedboats, pontoon boats. You average recreational boat.","bote pequeño, bote de pesca personal, lancha rápida, bote pontón, bote pato, bote auxiliar"],
["BARCOS","CARRERA","BOATRace","BOAT","Powered racing boats, not for human powered racing boats, those would go under BOATS-ROWING.","hidroavión, hidroala, lancha motora"],
