[["POWIETRZE","PODMUCH","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","sprężone powietrze, obniżać ciśnienie, wypuszczać, puff, sputter, flutter, purge"],
["LOTNICTWO","RÓŻNE","AEROMisc","AERO","Aircraft not fitting another category in this list.","sterowiec, szybowiec, balon na gorące powietrze, ultralekki, lotnia, zeppelin, sterowiec"],
["LOTNICTWO","SAMOLOT ŚMIGŁOWY","AEROProp","AERO","Aircraft using props as means of propulsion. A propeller airplane.","dwupłatowiec, trójpłatowiec, samolot turbośmigłowy, samolot akrobacyjny, crop duster, piper cub, śmigło, dwupłatowiec, śmigło odrzutowe, śmigło doczepne"],
["LOTNICTWO","ZDALNIE STEROWANY","AERORadio","AERO","Toy hobby radio controlled, UAV, quadcopters, RC jets and RC helicopters.","quadcoptery, uav, unmanned aerial vehicle, rc jet, rc helicopter"],
["LOTNICTWO","RAKIETA","AERORckt","AERO","Jet powered rockets and rocket engines., missiles.","rakieta, pocisk, jetpack, prom kosmiczny, spacex, nasa, icbm, rakieta jądrowa, głowica bojowa"],
["ALARM","DZWONEK","ALRMBell","ALRM","All alarms which use bells, a school bell, fire alarm bell, a railroad crossing bell.","dzwonek pożarowy, dzwonek szkolny, dzwonek na przejazd kolejowy, dzwonek alarmowy"],
["ALARM","BZYCZEK","ALRMBuzr","ALRM","All alarms using buzzers, or buzzers in general even if not technically an alarm, would probably go here. A front door buzzer.","brzęczyk do drzwi, brzęczyk do gier, brzęczyk do drzwi wejściowych, brzęczyk do wejścia, brzęczyk do domofonu"],
["ALARM","ZEGAR","ALRMClok","ALRM","Specifically alarm clocks, digital or analog. A bit of overlap with ALARMS-BELL, but clock alarms of all kinds probably best to go here.","budzik cyfrowy, budzik, budzik"],
["ALARM","ELEKRONICZNY","ALRMElec","ALRM","All electronic alarms, pure electronic tone alarms. Home burglar alarms, smoke detectors, etc. Car alarms would go to VEHICLES-ALARMS.","czujnik pożarowy, czujnik dymu, czujnik CO2, alarm samochodowy, alarm domowy"],
["ALARM","RÓŻNE","ALRMMisc","ALRM","Alarm sounds not fitting another category in this list.","różne"],
["ALARM","SYRENA","ALRMSirn","ALRM","Mechanical sirens, like old klaxons. Vehicle sirens such a police, fire and ambulance to go to VEHICLES-SIREN.","klakson, klakson ahooga, syrena przeciwlotnicza, syrena tornado"],
["ATMOSFERA","POWIETRZE","AMBAir","AMB","Quiet exterior 'air' with little activity, like exterior room tones, very simple exterior ambiences. The exeterior equivalent of a room tone. If noticable activity find a better fitting category.","pustynia, zima, spokojne powietrze, nocne powietrze, górskie powietrze, nocne powietrze"],
["ATMOSFERA","WYSOKOGÓRSKA","AMBAlpn","AMB","Mountain ambiences, for recordings and ambiences geographically linked to Alpine Environments. Some overlap with AMBIENCE-RURAL.","alpy, góry, rockies, tetony, alpinizm, górskie, ośnieżone, zbocze, szczyt"],
["ATMOSFERA","WESOŁE MIASTECZKO","AMBAmus","AMB","Theme parks and carnivals. Beware of possible rights issues with uncleared music. Carnivals, fairs, festivals. Probably arcades too.","disneyland, six-flags, park tematyczny, park rozrywki, karnawał, jarmark, jarmark okręgowy, midway, jarmark objazdowy, festiwal, nawiedzony dom, dom uciech, arkada, pinball"],
["ATMOSFERA","ŚPIEW PTAKÓW","AMBBird","AMB","Group songbirds, like a dawn chorus of pretty birds, where the birds are the prominent sound. Single birds would go in BIRDS-SONGBIRD.","chór świtu, chór poranny, ładny ptak, stada, ćwierkanie, tweetowanie, podglądanie"],
["ATMOSFERA","UROCZYSTOŚĆ","AMBCele","AMB","Parties, New Years Eve. Not pure crowds, as that would go in CROWDS, but i.e. exterior city new years. Also see AMBIENCES-AMUSEMENT for something like a fair or festival.","zgromadzenie publiczne, impreza, przyjęcie, gala, karnawał, festyn, fiesta, festiwal"],
["ATMOSFERA","BUDOWA","AMBCnst","AMB","Construction scenes with things like jackhammers, cranes, pile drivers, composite construction scene, road construction also.","budowa drogi, budowa, stolarka, remodel, reno domu, naprawa drogi, przebudowa"],
["ATMOSFERA","PUSTYNIA","AMBDsrt","AMB","Quiet desert ambiences with appropriate insects and birds. Maybe tumbleweeds.","pustynia, tumbleweed, oaza, barren, wasteland, sahara, arid, sand dunes, desolate"],
["ATMOSFERA","DESIGNED","AMBDsgn","AMB","Artificial designed ambience. V8.2 adds AMBIENCE-FANTASY and AMBIENCE-SCIFI which may be better fit for most 'designed' categories.","sztuczny, zaprojektowany"],
["ATMOSFERA","SŁUŻBY RATOWNICZE","AMBEmrg","AMB","Crime scenes, firefighting scenes, accident scenes, with things like firefighters, police, ambulances and medics. Also see VEHICLES-EMERGENCY.","miejsce zbrodni, straż pożarna, policja, medycyna, dowody, klęska żywiołowa, strzelanina, wypadek, katastrofa, obrażenia, sterta ofiar"],
["ATMOSFERA","FANTASTYKA","AMBFant","AMB","Magical or other wordly composite ambiences, soundscapes, think Middle Earth or Pandora.","wróżka, fantasy, magiczny, królestwo, sen, middle earth, pandora"],
["ATMOSFERA","GOSPODARSTWO ROLNE","AMBFarm","AMB","Specifically farm ambiences, with animals, maybe tractors working, chickens, etc. Isolated farm animals would go into ANIMALS-FARM.","farma, żniwa, orka, ranczo, zagroda, folwark, plantacja, pole uprawne, zagroda, stodoła, pastwisko, mleczarnia, winnica, corral, pastwisko"],
["ATMOSFERA","LAS","AMBForst","AMB","Forest recordings or forest composite files. Trees and birds, maybe wind in trees all together. Some overlap with AMBIENCE-RURAL or AMBIENCE-ALPINE.","las, lasy, tereny leśne, las borealny, las deszczowy, umiarkowany las deszczowy, las chmurowy, liściasty, iglasty"],
["ATMOSFERA","ŁĄKA","AMBGras","AMB","Prairies, meadows, grazing patures, etc. But FARMS has own category if farm animals or human activity are present.","preria, ziemia uprawna, trawa, łąka, wypas, pastwisko, równina"],
["ATMOSFERA","HISTORYCZNA","AMBHist","AMB","Old West scenes, Roman street scenes. Composite history and ancient ambiences.","miasto duchów, stary zachód, gorączka złota, starożytny Rzym, starożytna Grecja"],
["ATMOSFERA","HITECH","AMBTech","AMB","Hi-tech machine rooms. Data centers, control rooms. James Bond type lairs. Spaceship interiors.","laboratorium, maszynownia, serwer, centrum danych, sterownia"],
["ATMOSFERA","SZPITAL","AMBHosp","AMB","Hospital ambiences of all kinds, surgery and emergency rooms too. Possibly veterinarian hospitals too.","pogotowie, gabinet, poczekalnia, izba chorych, klinika, sanatorium, przychodnia"],
["ATMOSFERA","PRZEMYSŁ","AMBInd","AMB","Industrial warehouses and factories, plants or any ambience with an industrial feeling.","fabryka, wytwórnia, zakład, młyn, magazyn, warsztat"],
["ATMOSFERA","INSEKT","AMBInsc","AMB","Thick ambiences of insects, cicada and cricket beds mainly. May contain over sounds but main sound being large presence of insects. See also ANIMALS-INSECT for more isolated sounds.","świerszcze, cykady, kataryniarze, świstaki, szarańcza"],
["ATMOSFERA","NAD JEZIOREM","AMBLake","AMB","Ambiences relating to lakes, not isolated lapping, but the lake version of AMBIENCE-SEASIDE. See also WATER-LAPPING.","jeziora, brzegi jeziora, docieranie, pływanie, zbiornik, staw, loch"],
["ATMOSFERA","TARG","AMBMrkt","AMB","Busy exterior or interior market activity and crowds. Think vibrant international markets in Istanbul or Africa, but any market.","rynek, targowisko, sprzedawca, dzielnica handlowa, bazar, kantor, giełda, pchli targ, plac"],
["ATMOSFERA","RÓŻNE","AMBMisc","AMB","Ambience sounds not fitting another category in this list.","różne"],
["ATMOSFERA","ŻEGLUGA","AMBNaut","AMB","Relating to ships at sea, shipyards, things revolving around ships. (compare to AMBIENCE-SEASIDE). Water only recordings would go to a WATER category.","nautyczny, stocznia, poopdek, rufa, dziób, rufa, morski, pełnomorski, oceaniczny, morski, morski, marina"],
["ATMOSFERA","BIURO","AMBOffc","AMB","Workplaces, offices, people working, typing, telephones. General offices of various sizes.","biuro, boks, miejsce pracy, dział, stacja, oddział, stanowisko pracy"],
["ATMOSFERA","PARK","AMBPark","AMB","Parks, mostly city or suburban, probably usually with some human activity, city activity. Not pure nature sounds.","park, plac zabaw, ogród, ogród botaniczny, park miejski, park podmiejski, ballpark, parkland"],
["ATMOSFERA","WIĘZIENIE","AMBPrisn","AMB","Prisons and jails, reverberant inmate walla, jail doors, buzzers, that sort of thing.","więzienie, areszt, więzienny dziedziniec, zakład karny, slammer, areszt śledczy, izolatka, zakład karny"],
["ATMOSFERA","MANIFESTACJA","AMBPrtst","AMB","Protests, Rallies, Riots. Big mixed ambiences of crowds, shouting, yelling, chanting. Opposed to AMBIENCE-CHEERING.","protest, wiec, wiece, zamieszki, skandowanie, wrzask, krzyk, wściekły tłum, marsze, demonstracja, zamieszanie, bunt, rewolucja, gniew"],
["ATMOSFERA","MIEJSCE PUBLICZNE","AMBPubl","AMB","Except for restaurants, for any other usually indoor public places such as stores, lobbies, hotels, malls, museums. Lots of possible overlap with other categories. Use if not fitting elsewhere.","sklepy, hole, hotele, centra handlowe, muzea, place publiczne, dziedzińce, siłownie, fitness center, motel, biblioteka, gmach sądu, sąd"],
["ATMOSFERA","RELIGIJNA","AMBRlgn","AMB","Church and temples, church services, religious gatherings, pilgrimages. Any ambience relating to religion.","kościół, świątynia, meczet, kaplica, derasar, katedra"],
["ATMOSFERA","MIESZKANIE","AMBHome","AMB","Something busier than a room tone, an Apartment, a House with some activity from outside etc. Interior with exterior sounds coming through closed or open doors, windows.","dom, mieszkanie, condo, rezydencja, dom, kamienica, domek, dom, rezydencja"],
["ATMOSFERA","RESTAURACJA","AMBRest","AMB","Restaurants and bars, pubs, places of eating and drinking, mixed crowd with glass clinks or silverware.","restauracja, bar, pub, gastropub, foodcart, jadłodajnia, kawiarnia, stołówka, herbaciarnia, salon, kawiarnia, pizzeria, fast-food, winiarnia, automat, komisariat, tawerna, klub nocny, delikatesy, jadłodajnia, brasserie, drive-in"],
["ATMOSFERA","CISZA POMIESZCZENIA","AMBRoom","AMB","Simple room tones with little or no activity. Also see now AMBIENCE-RESIDENTIAL if more than just air is present, as it might be a better fit.","tonacja pomieszczenia, martwe powietrze, ciche powietrze"],
["ATMOSFERA","WIEŚ","AMBRurl","AMB","Rural and countryside ambiences that don't fit somewhere else in this list. Nature, away from signs of people, overlap with AMBIENCE-ALPINE, DESERT, FOREST, PRAIRIE, etc.","wieś, równina, preria, pastwisko, góra, wzgórze, sawanna, tundra, łąka, kanion, wąwóz, zarośla, płaskowyż"],
["ATMOSFERA","SZKOŁA","AMBSchl","AMB","Schools of any age, kindergarten through college, hallways, lockers, voices, school bells.","szkoła podstawowa, gimnazjum, liceum, college, przedszkole, uniwersytet, klasa, zgromadzenie"],
["ATMOSFERA","SCIFI","AMBSci","AMB","A composite sci-fi ambience, a complex background layered with many sci-fi elements. A complex spacehip bridge, or high-tech lab. See also SCIFI for individual elements.","statek kosmiczny, centrum techniczne, centrum dowodzenia, scifi, futurystyczny, high-tech, hi-tec"],
["ATMOSFERA","MORSKA","AMBSea","AMB","Relating to beach and oceanside scenes with people. (Compare to AMBIENCE-NAUTICAL). Water only recordings would go to a WATER category.","plaża, brzeg morza, pasmo, wybrzeże, linia brzegowa, seashore, seaboard, boardwalk, beach resort, beachfront, embankment, dock, pier, harbour, harbor"],
["ATMOSFERA","SPORT","AMBSprt","AMB","Sporting events, little league baseball to major league. Use CROWDS-SPORT for clean crowd recordings.","nfl, piłka nożna, nba, koszykówka, mlb, baseball, tenis, wydarzenie sportowe, mała liga, trening"],
["ATMOSFERA","PODMIEJSKA","AMBSubn","AMB","Suburban streets, average residential neighborhood, not dense like URBAN. Lawnmowers, sprinklers, birds.","przedmieście, osiedle, dzielnica, cul-de-sac, wieś, barrio, przedmieścia, przysiółek"],
["ATMOSFERA","BAGNO","AMBSwmp","AMB","A wetland often partially or intermittently covered with water; especially : one dominated by woody vegetation. Marshes, although tecnically different, are included here. Any wetland.","żaba, bagno, bagno, everglade, teren podmokły, teren łęgowy, pojezierze, jezioro, namorzyny"],
["ATMOSFERA","MIASTECZKO","AMBTown","AMB","Something in between a CITY and a SUBURB. Activity, cars, pedestrians, that 'small town' or village sound. May be confusion between this, AMBIENCE-URBAN and AMBIENCE-SUBURBAN.","miasto, wieś, przysiółek, małe miasto, społeczność, osada"],
["ATMOSFERA","RUCH ULICZNY","AMBTraf","AMB","Specifically traffic without people. Not for a single car by, but for clean busy traffic, clean highway traffic for example. Rush hour where the sound is predominantly cars.","autostrada, autostrada, autostrada, bulwar, aleja, autostrada"],
["ATMOSFERA","TRANSPORT PUBLICZNY","AMBTran","AMB","Not VEHICLES, but public train stations, airports, bus stations, subway stations. Not the airplane or train itself. But public places centering around transportation.","dworzec kolejowy, lotnisko, dworzec autobusowy, stacja metra, stacja metra, terminal, zajezdnia, terminus"],
["ATMOSFERA","TROPIKALNA","AMBTrop","AMB","Jungles and rainforests, lush animal life and vegetation.","dżungla, busz, las tropikalny, las chmurowy, tropikalny"],
["ATMOSFERA","TUNDRA","AMBTndra","AMB","Treeless environments where the ground is permanently frozen, arctic, antarctic.","arktyczny, antarktyczny, płaskowyż, biegun północny, biegun południowy, polarny, lodowiec, śnieg, lód"],
["ATMOSFERA","PODZIEMIA","AMBUndr","AMB","Subterranean, underground ambiences like sewers, bunkers, tunnels, dungeons, caves.","cave, drip, echo, sewer, bunker, tunnel, dungeon, lava tube, cellar, subterranean, sunken, buried, belowground, basement, shaft, mine, passage, passageway"],
["ATMOSFERA","PODWODNA","AMBUndwtr","AMB","Underwater sounding ambiences, deep bubbles and that classic undersea world sound. See also WATER-UNDERWATER.","podwodny, rafa, koralowiec, rów oceaniczny, zanurzony, podmorski, podwodny, wrak statku"],
["ATMOSFERA","MIEJSKA","AMBUrbn","AMB","Dense cities and environments. New York City or London or Mumbai. Often Dense Traffic, horns, pedestrians, buses, but really any city. Overlap with AMBIENCE-TOWN possible.","metropolia, gęste miasto, miasto, downtown, inner city, metropolitan, bustling, rush hour, congestion, city center, slum, skid row, ghetto, financial district"],
["ATMOSFERA","WOJENNA","AMBWar","AMB","Battles, warfare, full ambiences here. Not for isolated WEAPONS or VEHICLES which have their own categories. Composite sounds of war.","wojna, działania wojenne, bitwa, potyczka, walka, zaangażowanie, szturm, ofensywa, blitz, nalot, nalot, bombardowanie, zapora, fusylada, blitzkrieg, salwa, flak, broadside, kanonada"],
["ZWIERZĘTA","PŁAZ","ANMLAmph","ANML","Technically any amphibian, but most likely used for frogs and toads.","żaba, ropucha, żaba trawna, salamandra, traszka, żaba trawna, żaba skrzecząca, aksolotl"],
["ZWIERZĘTA","WODNE","ANMLAqua","ANML","All manner of marine and sea animals, not just mammals, but anything that lives in water.","wieloryb, delfin, morświn, lew morski, foka, wieloryb zabójca, orka, manat, mors, foka słoniowa, wydra morska, beluga, narwal, diugonia, rekin, płaszczka, meduza, kałamarnica, ośmiornica, kraby, homary, węgorze"],
["ZWIERZĘTA","NIETOPERZ","ANMLBat","ANML","Bat chirps, echolocation and communicative vocalization. Wings would go under WINGS-MISC.","latający lis, nietoperze wampiry, nietoperz owocowy"],
["ZWIERZĘTA","KOT DOMOWY","ANMLCat","ANML","Domesticated house cats. See also ANIMALS-CAT WILD.","miauczenie, mruczenie, kociak, kotek, kotka, kot uliczny"],
["ZWIERZĘTA","KOT DZIKI","ANMLWcat","ANML","Wild cats as opposed to domesticated cats. Tigers and Lions.","lew, tygrys, puma, puma, lampart, jaguar, lampart śnieżny, gepard, ryś, bobcat, karakal, ocelot, pantera, serwal"],
["ZWIERZĘTA","PIES","ANMLDog","ANML","All Domesticated dogs, excluding wild dogs. Pet dogs. See also ANIMALS-WILD DOG for non-domesticated dogs.","pies, piesek, szczeniak, piesek, piesek na kolanach, kundel, piesek"],
["ZWIERZĘTA","PSOWATE","ANMLWdog","ANML","Wild dogs and canines like Wolves, Foxes, Coyotes etc.","wilk, lis, kojot, szakal, dingo, lupus, canid"],
["ZWIERZĘTA","HODOWLANE","ANMLFarm","ANML","Domesticated mammals you'd find on a farm. For farm birds see BIRDS-FOWL. See also AMBIENCE-FARM.","krowa, owca, koza, świnia, bydło, lama, alpaka"],
["ZWIERZĘTA","KOŃ","ANMLHors","ANML","All members of the horse family, including donkeys and mules. See also FOOTSTEPS-HORSE and EQUIPMENT-BRIDLE.","osioł, muł, osiołek, zebra"],
["ZWIERZĘTA","INSEKT","ANMLInsc","ANML","All manner of traditional insect sounds, crickets, cicada, flies and bees. And singular insect recordings. See also AMBIENCE-INSECT now for dense ambience style recordings.","pasikonik, świerszcz, cykada, mucha, pszczoła, osa, szerszeń, weta, stonoga, szarańcza, chrząszcz, karaluch"],
["ZWIERZĘTA","RÓŻNE","ANMLMisc","ANML","Other animals not finding a clear category.","różne"],
["ZWIERZĘTA","SSAK","ANMLPrim","ANML","All members of the primate family except humans. Apes, Chimps, etc.","szympans, małpa, goryl, lemur, orangutan, kapucyn, marmozeta, małpa, gibon, bonobo, pawian"],
["ZWIERZĘTA","GAD","ANMLRept","ANML","All reptiles including snakes, turtles and lizzards.","wąż, jaszczurka, aligator, krokodyl, żółw, gharial, kajman, gekon"],
["ZWIERZĘTA","GRYZOŃ","ANMLRdnt","ANML","All manner 'gnawing' animals like rats and mice. Rodents.","mysz, szczur, wiewiórka, kret, jeżozwierz, świnka morska, wiewiórka, bóbr, susły, szop pracz, myszoskoczek, chomik, świstak, leming, piżmak, szynszyla, gryzoń"],
["ZWIERZĘTA","DZIKIE","ANMLWild","ANML","Any wild animal not explicitly defined by the list, and not domesticated. Wolves and Coyotes now to go ANIMALS-DOG WILD","niedźwiedź, żyrafa, hipopotam, słoń, łoś, jeleń, gazela, borsuk, mrówkojad, platfus, leniwiec, rosomak, dzik, wombat, koala, kangur, walabia, gnu, panda, antylopa, szop pracz, łoś, renifer, nosorożec, aligator, guźce, impala, hipopotam, borsuk, bawół, łoś"],
["ARCHIWA","POSTSYNCHRON","ADR","ADR","Re-recorded lines via the ADR process.","adr, loop, replacement dialog"],
["ARCHIWA","ZASÓB","ASSET","ASSET","A delivered or stored asset, most likely for video game use, but something used in the development of a project.","zasób, zasób, znacznik"],
["ARCHIWA","MIĘDZYZGRANIE","BNCE","BNCE","Bounces made for picture department, layered bounces.","odbicie, rozbicie"],
["ARCHIWA","ODPOWIEDŹ IMPULSOWA","IR","IR","Impulse Responses, reverb and otherwise.","odpowiedź impulsowa, IR, altiverb, próbka pogłosu, convolution reverb"],
["ARCHIWA","GWARY","LPGRP","LPGRP","Loop group crowds or lines. Specifically recorded in a loop group envirment and needing to tracked as such.","grupa pętli, walla"],
["ARCHIWA","MIKS","MIX","MIX","Premixes, final mixes, mixdowns, stems.","premix, końcowy mix, stem, M&E, mixdown, printmaster"],
["ARCHIWA","EFEKT Z PLANU","PFX","PFX","FX Stolen from production takes only. Beware of possible rights issues.","produkcja"],
["ARCHIWA","SETKA","PROD","PROD","Production takes, dialog lines and other spoken line production takes.","production take, dialog line, dx"],
["ARCHIWA","SUROWE","RAW","RAW","Raw recording files, for example a load of a full DAT tape.","taśma danych, pliki surowe, nieobrobione"],
["ARCHIWA","REFERENCJA","REF","REF","Reference material, often restricted, used for reference only. Beware of possible rights issues.","odniesienie, inspiracja"],
["ARCHIWA","SCENA","SCNE","SCNE","Pre-built scenes and soundscapes, designed scenes. For example a fully build old-west scene.","gotowy, zbudowany"],
["ARCHIWA","SYGNAŁ TESTOWY","TEST","TEST","Test tones used for calibration, ADR beeps, Pink Noise, Sine wave Sweeps.","sygnały dźwiękowe adr, tony testowe, bleeping tone, 2pops, biały szum, różowy szum, przemiatanie sinusoidą"],
["ARCHIWA","LOGO","TMARK","TMARK","For trademarked or copyright sounds that you need to store in your library. Jingles, logos.","znak towarowy, prawo autorskie, dźwięk produktu, licencjonowany, zarejestrowany, legalny"],
["ARCHIWA","NIESKOŃCZONE","WIP","WIP","Files that aren't fully metadata'd, or mastered, tag to remind you there is work to do. Recordings awaiting mastering.","work in progress, wip, niedokończony"],
["ARCHIWA","WTF","WTF","WTF","Literally what it says 'What the F_ck' is THIS sound... Strange otherwise uncategorizable sounds.","niekategoryzowalne, nieznane, żarty"],
["PIKANIE","SPRZĘT DOMOWY","BEEPAppl","BEEP","Microwave oven beeps, dishwasher beeps.","mikrofalówka, zmywarka, pralka, suszarka"],
["PIKANIE","RÓŻNE","BEEP","BEEP","Beep sounds not fitting another category in this list. User Interface beeps go to UI-BEEPS.","beep"],
["PIKANIE","LOFI","BEEPLofi","BEEP","Very low fidelity, old 8-bit beeps.","atari, famicom, colecovision"],
["PIKANIE","APARATURA MEDYCZNA","BEEPMed","BEEP","Beeps from various medical devices, EKG, Live Support.","EKG, EKG, KDC, monitor serca, flatline, USG"],
["PIKANIE","MINUTNIK","BEEPTimer","BEEP","Specifically timer beeps, counting down. Classic time bomb beeps.","mikrofalówka, timer do piekarnika, zegarek cyfrowy, timer do telefonu"],
["PIKANIE","POJAZD","BEEPVeh","BEEP","Backup beeps from a large truck or construction vehicle.","Sygnał dźwiękowy wózka widłowego, sygnał dźwiękowy kopii zapasowej"],
["DZWONY","ZWIERZĘCE","BELLAnml","BELL","Bells attached to animals, like cow and sheep bells, or a dog or cat collar with a bell on it.","dzwonek dla krowy, dzwonek dla jastrzębia, dzwonek dla obroży, dzwonek dla owcy"],
["DZWONY","DZWONEK DO DRZWI","BELLDoor","BELL","Mechanical doorbells. Would also maybe electronic doorbells in here as well to avoid confusion probably. Also see ALARMS-BUZZERS for a door buzzer.","dzwonek do drzwi, dzwonek do drzwi, ding dong, tring"],
["DZWONY","GONG","BELLGong","BELL","A large flat circular disc hit with a mallet. With v8.2 of the list most of these would now go into MUSICAL-BELLS instead.","gong, gamelan, agung, misa gong, tam-tam"],
["DZWONY","DZWONEK RĘCZNY","BELLHand","BELL","Small to medium hand bells, dinner bells. Musical bells like HANDBELLS and CARILLION now go into MUSICAL-BELLS.","dzwonek ręczny, dzwonek obiadowy, dzwonek szkolny, dzwonek na zmianę, dzwonek na sanie, dzwonki, dzwonek lokaja"],
["DZWONY","DUŻE","BELLLrg","BELL","Large bells like a church bell or tower bell, or city hall bells, Big Ben. Any large bell.","dzwon świątynny, dzwon kościelny, dzwonek, dzwonek wieżowy"],
["DZWONY","RÓŻNE","BELLMisc","BELL","Bell sounds not fitting another category in this list.","dzwonek rowerowy, dzwonek serwisowy, dzwonek na wezwanie"],
["PTAKI","DRAPIEŻNE","BIRDPrey","BIRD","Birds that prey on vertebrates, especially rodents. Raptors.","jastrząb, orzeł, sokół, sowa, sęp, kondor, myszołów, kania, rybołów, błotniak, pustułka, karakara"],
["PTAKI","WRONA","BIRDCrow","BIRD","Birds in Corvid family, which includes crows and ravens.","wrona, kruk, sójka, sójka niebieska, sroka, dziadek do orzechów"],
["PTAKI","GRZEBIĄCE I BLASZKODZIOBE","BIRDFowl","BIRD","Landfowl, wildfowl and waterfowl, also poultry. Ground feeding and many water feeding birds.","kura, bażant, indyk, gęś, gęgawa, kaczka, łabędź, kuropatwa, teal, krzyżówka, edredon, guan, chachuła, kurasek, przepiórka, perkoz, chukar, ptarmigan"],
["PTAKI","RÓŻNE","BIRDMisc","BIRD","Bird sounds not fitting another category in this list.","ani, roadrunner, kukułka, dzięcioł, nighthawk, nightjar, biedronka, koliber"],
["PTAKI","MORSKIE","BIRDSea","BIRD","Birds that live mostly near the ocean. Seagulls, pelicans.","mewa, gannet, albatros, kormoran, pelikan, pingwin, petrel, mewa, rybitwa, fregata, cyraneczka, ostrygojad, sieweczka, sandwicz, dunlin, auk, purchawka, mruczek, auklet"],
["PTAKI","ŚPIEWAJĄCE","BIRDSong","BIRD","Specifically singing birds, warblers, robins, thrushes, what you imagine pretty dawn chorus birds.","gołąb, muchołówka, gajówka, kwoka, kowalik, gołąb, drozd, wróbel, jaskółka, garbus, drozd, wireo, pokrzewka, jemiołuszka, sikorka, cykora, sikorka, myszka, szczygieł, skowronek, zimorodek, pełzacz, pełzacz leśny, strzyżyk, pliszka górska, szpak, kos, drozd, woskownica, czat, trojszyk, kardynał, trznadel, kos, kos, kwiczoł"],
["PTAKI","TROPIKALNE","BIRDTrop","BIRD","Birds living in tropical locations, jungle and tropical rainforest birds. Parrots and Toucans.","papuga, tukan, kookaburra, lirabs, paw, makolągwa, rogacz, kakadu, papużka, ibis, łyżka, flaming"],
["PTAKI","BRODZĄCE","BIRDWade","BIRD","Long-legged, long-billed birds that feed primarily in shallow water. Think Herons and Egrets.","żuraw, czapla, flaming, ibis, szyna, łyżka, bocian, czapla, szyna, sora, łyska, żuraw, czapla, bąk, czapla, bocian, bekas"],
["ŁÓDŹ","PODUSZKOWIEC","BOATAir","BOAT","Specifically large fan airboats used in swamps. Think the type of boat used in the Everglades. Also hovercraft.","motorówka, łódź powietrzna, poduszkowiec"],
["ŁÓDŹ","ROZBRYZG WODY","BOATWash","BOAT","The waves pushed up by a boat or ship going through the water, a relatively clean recording.","płukanie dziobu, wake"],
["ŁÓDŹ","DRZWI","BOATDoor","BOAT","Boat or Submarine doors. Some possible overlap with over DOOR categories or VEHICLES-DOOR.","luk, drzwi do promu, drzwi do łodzi, drzwi wodoszczelne, drzwi do statku"],
["ŁÓDŹ","ELEKTRYCZNA","BOATElec","BOAT","Any boat powered by electricity. Fairly rare. Possible a a radio controlled boat, or electric trolling motor.","silnik trollingowy"],
["ŁÓDŹ","KUTER","BOATFish","BOAT","Industrial fishing boats, crab boats, trawlers. Simple fishing boats to BOATS-MOTORBOAT.","krabowce, trawlery, sejner, statek z liną, pogłębiarka, gillnetter, statek badawczy"],
