[["ВОЗДУХ","ПОТОК","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","сжатый воздух, разгерметизация, выпуск, пыхтение, распыление, трепыхание, продувка"],
["АВИАТРАНСПОРТ","РАЗНОЕ","AEROMisc","AERO","Aircraft not fitting another category in this list.","дирижабль, планер, воздушный шар, ультралайт, дельтаплан, цеппелин, дирижабль"],
["АВИАТРАНСПОРТ","САМОЛЕТ ВИНТОВОЙ","AEROProp","AERO","Aircraft using props as means of propulsion. A propeller airplane.","биплан, триплан, турбовинтовой самолет, трюковой самолет, пахотная пыль, пипер-куб, винтовой, двухвинтовой, реактивный, воздушный винт"],
["АВИАТРАНСПОРТ","РАДИОУПРАВЛЯЕМЫЙ","AERORadio","AERO","Toy hobby radio controlled, UAV, quadcopters, RC jets and RC helicopters.","квадрокоптеры, uav, беспилотный летательный аппарат, реактивный самолет rc, вертолет rc"],
["АВИАТРАНСПОРТ","РАКЕТА","AERORckt","AERO","Jet powered rockets and rocket engines., missiles.","ракета, ракета, реактивный ранец, космический челнок, Spacex, Nasa, icbm, ядерная ракета, боеголовка"],
["СИГНАЛЫ ТРЕВОГИ","ЗВОНОК","ALRMBell","ALRM","All alarms which use bells, a school bell, fire alarm bell, a railroad crossing bell.","пожарный звонок, школьный звонок, звонок на железнодорожном переезде, тревожный звонок"],
["СИГНАЛЫ ТРЕВОГИ","ЖУЖАЩИЕ","ALRMBuzr","ALRM","All alarms using buzzers, or buzzers in general even if not technically an alarm, would probably go here. A front door buzzer.","дверной зуммер, зуммер игрового шоу, зуммер входной двери, входной зуммер, зуммер домофона"],
["СИГНАЛЫ ТРЕВОГИ","БУДИЛЬНИК","ALRMClok","ALRM","Specifically alarm clocks, digital or analog. A bit of overlap with ALARMS-BELL, but clock alarms of all kinds probably best to go here.","цифровой будильник, будильник, будильник"],
["СИГНАЛЫ ТРЕВОГИ","ЭЛЕКТРОННЫЕ","ALRMElec","ALRM","All electronic alarms, pure electronic tone alarms. Home burglar alarms, smoke detectors, etc. Car alarms would go to VEHICLES-ALARMS.","детектор огня, детектор дыма, детектор CO2, автомобильная сигнализация, домашняя сигнализация"],
["СИГНАЛЫ ТРЕВОГИ","РАЗНОЕ","ALRMMisc","ALRM","Alarm sounds not fitting another category in this list.","разное"],
["СИГНАЛЫ ТРЕВОГИ","СИРЕНА","ALRMSirn","ALRM","Mechanical sirens, like old klaxons. Vehicle sirens such a police, fire and ambulance to go to VEHICLES-SIREN.","клаксон, гудок, сирена воздушного налета, сирена торнадо"],
["АТМОСФЕРА","ВОЗДУХ","AMBAir","AMB","Quiet exterior 'air' with little activity, like exterior room tones, very simple exterior ambiences. The exeterior equivalent of a room tone. If noticable activity find a better fitting category.","пустыня, зима, тихий воздух, ночной воздух, горный воздух, ночной воздух"],
["АТМОСФЕРА","АЛЬПЫ","AMBAlpn","AMB","Mountain ambiences, for recordings and ambiences geographically linked to Alpine Environments. Some overlap with AMBIENCE-RURAL.","альпы, горы, скалистые, тетоны, альпинизм, горный, заснеженный, склон горы, пик"],
["АТМОСФЕРА","РАЗВЛЕЧЕНИЯ","AMBAmus","AMB","Theme parks and carnivals. Beware of possible rights issues with uncleared music. Carnivals, fairs, festivals. Probably arcades too.","диснейленд, шесть флагов, тематический парк, парк развлечений, карнавал, ярмарка, окружная ярмарка, мидуэй, передвижная ярмарка, фестиваль, дом с привидениями, фанхаус, аркада, пинбол"],
["АТМОСФЕРА","ПЕНИЕ ПТИЦ","AMBBird","AMB","Group songbirds, like a dawn chorus of pretty birds, where the birds are the prominent sound. Single birds would go in BIRDS-SONGBIRD.","рассветный хор, утренний хор, красивая птица, стаи, щебетание, чириканье, подглядывание"],
["АТМОСФЕРА","ПРАЗДНИК","AMBCele","AMB","Parties, New Years Eve. Not pure crowds, as that would go in CROWDS, but i.e. exterior city new years. Also see AMBIENCES-AMUSEMENT for something like a fair or festival.","общественное собрание, мероприятие, вечеринка, гала, карнавал, праздник, фиеста, фестиваль"],
["АТМОСФЕРА","СТРОЙКА","AMBCnst","AMB","Construction scenes with things like jackhammers, cranes, pile drivers, composite construction scene, road construction also.","дорожное строительство, строительство, плотницкие работы, ремонт, ремонт дома, ремонт дороги, восстановление"],
["АТМОСФЕРА","ПУСТЫНЯ","AMBDsrt","AMB","Quiet desert ambiences with appropriate insects and birds. Maybe tumbleweeds.","пустыня, перекати-поле, оазис, бесплодный, пустошь, Сахара, засушливый, песчаные дюны, безлюдный"],
["АТМОСФЕРА","ЗВУКОВОЙ ДИЗАЙН","AMBDsgn","AMB","Artificial designed ambience. V8.2 adds AMBIENCE-FANTASY and AMBIENCE-SCIFI which may be better fit for most 'designed' categories.","искусственный, созданный"],
["АТМОСФЕРА","ЧРЕЗВЫЧАЙНАЯ СИТУАЦИЯ","AMBEmrg","AMB","Crime scenes, firefighting scenes, accident scenes, with things like firefighters, police, ambulances and medics. Also see VEHICLES-EMERGENCY.","место преступления, тушение пожара, полиция, медики, улики, стихийное бедствие, стрельба, авария, катастрофа, травма, нагромождение жертв"],
["АТМОСФЕРА","ФЭНТЕЗИ","AMBFant","AMB","Magical or other wordly composite ambiences, soundscapes, think Middle Earth or Pandora.","фея, фэнтези, волшебный, царство, мечта, средняя земля, пандора"],
["АТМОСФЕРА","ФЕРМА","AMBFarm","AMB","Specifically farm ambiences, with animals, maybe tractors working, chickens, etc. Isolated farm animals would go into ANIMALS-FARM.","ферма, урожай, пахота, ранчо, усадьба, грандж, плантация, сельскохозяйственные угодья, загон, амбар, пастбище, молоко, виноградник, загон, пастораль"],
["АТМОСФЕРА","ЛЕС","AMBForst","AMB","Forest recordings or forest composite files. Trees and birds, maybe wind in trees all together. Some overlap with AMBIENCE-RURAL or AMBIENCE-ALPINE.","лес, лес, лесополоса, бореальный лес, тропический лес, тропический лес умеренного пояса, облачный лес, лиственный, хвойный лес"],
["АТМОСФЕРА","ПАСТБИЩА","AMBGras","AMB","Prairies, meadows, grazing patures, etc. But FARMS has own category if farm animals or human activity are present.","прерия, сельскохозяйственные угодья, трава, луг, пастбище, пастбище, равнина"],
["АТМОСФЕРА","ИСТОРИЯ","AMBHist","AMB","Old West scenes, Roman street scenes. Composite history and ancient ambiences.","город-призрак, старый запад, золотая лихорадка, древний рим, древняя греция"],
["АТМОСФЕРА","ВИСОКОТЕХНОЛОГИЧНАЯ","AMBTech","AMB","Hi-tech machine rooms. Data centers, control rooms. James Bond type lairs. Spaceship interiors.","лаборатория, машинный зал, сервер, центр обработки данных, комната управления"],
["АТМОСФЕРА","БОЛЬНИЦА","AMBHosp","AMB","Hospital ambiences of all kinds, surgery and emergency rooms too. Possibly veterinarian hospitals too.","отделение неотложной помощи, хирургия, приемная, больница, клиника, санаторий, лазарет"],
["АТМОСФЕРА","ПРОИЗВОДСТВО","AMBInd","AMB","Industrial warehouses and factories, plants or any ambience with an industrial feeling.","фабрика, производство, завод, мельница, склад, мастерская"],
["АТМОСФЕРА","НАСЕКОМОЕ","AMBInsc","AMB","Thick ambiences of insects, cicada and cricket beds mainly. May contain over sounds but main sound being large presence of insects. See also ANIMALS-INSECT for more isolated sounds.","сверчки, цикады, катидиды, плавунцы, саранча"],
["АТМОСФЕРА","ВОЗЛЕ ОЗЕРА","AMBLake","AMB","Ambiences relating to lakes, not isolated lapping, but the lake version of AMBIENCE-SEASIDE. See also WATER-LAPPING.","озеро, берег озера, купание, плавание, водохранилище, пруд, лох"],
["АТМОСФЕРА","БАЗАР","AMBMrkt","AMB","Busy exterior or interior market activity and crowds. Think vibrant international markets in Istanbul or Africa, but any market.","рынок, рыночное место, торговец, торговый район, базар, рынок, биржа, блошиный рынок, площадь"],
["АТМОСФЕРА","РАЗНОЕ","AMBMisc","AMB","Ambience sounds not fitting another category in this list.","разное"],
["АТМОСФЕРА","МОРЕПЛАВАНИЕ","AMBNaut","AMB","Relating to ships at sea, shipyards, things revolving around ships. (compare to AMBIENCE-SEASIDE). Water only recordings would go to a WATER category.","морской, верфь, палуба, корма, нос, кормовая часть, мореходный, морской, океанский, морской, морской, пристань для яхт"],
["АТМОСФЕРА","ОФИС","AMBOffc","AMB","Workplaces, offices, people working, typing, telephones. General offices of various sizes.","офис, кабина, рабочее место, отдел, станция, филиал, рабочее место"],
["АТМОСФЕРА","ПАРК","AMBPark","AMB","Parks, mostly city or suburban, probably usually with some human activity, city activity. Not pure nature sounds.","парк, игровая площадка, сады, ботанический сад, городской парк, пригородный парк, бейсбольный парк, парковая зона"],
["АТМОСФЕРА","ТЮРЬМА","AMBPrisn","AMB","Prisons and jails, reverberant inmate walla, jail doors, buzzers, that sort of thing.","тюрьма, острог, тюремный двор, пенитенциарное учреждение, тюрьма, тюрьма, содержание под стражей, одиночное заключение, исправительное учреждение"],
["АТМОСФЕРА","ПРОТЕСТ","AMBPrtst","AMB","Protests, Rallies, Riots. Big mixed ambiences of crowds, shouting, yelling, chanting. Opposed to AMBIENCE-CHEERING.","протест, митинг, митинги, беспорядки, скандирование, крики, вопли, разъяренная толпа, марши, демонстрация, беспорядки, бунт, революция, гневный"],
["АТМОСФЕРА","ОБЩЕСТВЕННОЕ МЕСТО","AMBPubl","AMB","Except for restaurants, for any other usually indoor public places such as stores, lobbies, hotels, malls, museums. Lots of possible overlap with other categories. Use if not fitting elsewhere.","магазины, вестибюли, гостиницы, торговые центры, музеи, общественные площади, дворы, спортивные залы, фитнес-центр, мотель, библиотека, здание суда, суд"],
["АТМОСФЕРА","РЕЛИГИЯ","AMBRlgn","AMB","Church and temples, church services, religious gatherings, pilgrimages. Any ambience relating to religion.","церковь, храм, мечеть, часовня, дерасар, собор"],
["АТМОСФЕРА","ЖИЛОЙ","AMBHome","AMB","Something busier than a room tone, an Apartment, a House with some activity from outside etc. Interior with exterior sounds coming through closed or open doors, windows.","дом, квартира, кондоминиум, особняк, дом, таунхаус, хижина, дом, резиденция"],
["АТМОСФЕРА","РЕСТОРАН","AMBRest","AMB","Restaurants and bars, pubs, places of eating and drinking, mixed crowd with glass clinks or silverware.","ресторан, бар, паб, гастропаб, фудтрак, закусочная, кафе, кафетерий, столовая, буфет, салун, кофейня, пиццерия, фастфуд, винный бар, автомат, комиссионка, таверна, ночной клуб, деликатес, закусочная, брассерия, драйв-ин"],
["АТМОСФЕРА","ЗВУК ПОМЕЩЕНИЯ","AMBRoom","AMB","Simple room tones with little or no activity. Also see now AMBIENCE-RESIDENTIAL if more than just air is present, as it might be a better fit.","тон помещения, мертвый воздух, тихий воздух"],
["АТМОСФЕРА","ДЕРЕВНЯ","AMBRurl","AMB","Rural and countryside ambiences that don't fit somewhere else in this list. Nature, away from signs of people, overlap with AMBIENCE-ALPINE, DESERT, FOREST, PRAIRIE, etc.","сельская местность, равнина, прерия, луг, гора, холм, саванна, тундра, луг, каньон, кулея, скрэб, скрэбленд, плато"],
["АТМОСФЕРА","ШКОЛА","AMBSchl","AMB","Schools of any age, kindergarten through college, hallways, lockers, voices, school bells.","начальная школа, средняя школа, средняя школа, колледж, дошкольное учреждение, университет, классная комната, собрание"],
["АТМОСФЕРА","НАУЧНАЯ ФАНТАСТИКА","AMBSci","AMB","A composite sci-fi ambience, a complex background layered with many sci-fi elements. A complex spacehip bridge, or high-tech lab. See also SCIFI for individual elements.","космический корабль, технический центр, командный центр, scifi, futuristic, high-tech, hi-tec"],
["АТМОСФЕРА","ПОБЕРЕЖЬЕ","AMBSea","AMB","Relating to beach and oceanside scenes with people. (Compare to AMBIENCE-NAUTICAL). Water only recordings would go to a WATER category.","пляж, побережье, берег, прибрежный, берег, береговая линия, берег моря, морское побережье, набережная, пляжный курорт, пляжная полоса, набережная, док, пирс, гавань, гавань"],
["АТМОСФЕРА","СПОРТ","AMBSprt","AMB","Sporting events, little league baseball to major league. Use CROWDS-SPORT for clean crowd recordings.","нфл, футбол, нба, баскетбол, млб, бейсбол, теннис, спортивное мероприятие, маленькая лига, тренировка"],
["АТМОСФЕРА","ПРИГОРОД","AMBSubn","AMB","Suburban streets, average residential neighborhood, not dense like URBAN. Lawnmowers, sprinklers, birds.","пригород, жилой район, квартал, тупик, деревня, баррио, окраина, хутор"],
["АТМОСФЕРА","БОЛОТО","AMBSwmp","AMB","A wetland often partially or intermittently covered with water; especially : one dominated by woody vegetation. Marshes, although tecnically different, are included here. Any wetland.","лягушка, трясина, болото, вечнозеленый, заболоченный, тугайный, берег озера, озеро, мангровый лес"],
["АТМОСФЕРА","ГОРОДОК","AMBTown","AMB","Something in between a CITY and a SUBURB. Activity, cars, pedestrians, that 'small town' or village sound. May be confusion between this, AMBIENCE-URBAN and AMBIENCE-SUBURBAN.","город, деревня, хутор, маленький город, община, поселение"],
["АТМОСФЕРА","ДОРОЖНОЕ ДВИЖЕНИЕ","AMBTraf","AMB","Specifically traffic without people. Not for a single car by, but for clean busy traffic, clean highway traffic for example. Rush hour where the sound is predominantly cars.","автодорога, шоссе, автострада, бульвар, проспект, автострада"],
["АТМОСФЕРА","ОБЩЕСТВЕННЫЙ ТРАНСПОРТ","AMBTran","AMB","Not VEHICLES, but public train stations, airports, bus stations, subway stations. Not the airplane or train itself. But public places centering around transportation.","железнодорожная станция, аэропорт, автобусная станция, станция метро, станция метро, станция метро, терминал, депо, конечная станция"],
["АТМОСФЕРА","ТРОПИКИ","AMBTrop","AMB","Jungles and rainforests, lush animal life and vegetation.","джунгли, буш, тропический тропический лес, облачный лес, тропический"],
["АТМОСФЕРА","ТУНДРА","AMBTndra","AMB","Treeless environments where the ground is permanently frozen, arctic, antarctic.","арктический, антарктический, плато, северный полюс, южный полюс, полярный, ледник, снег, лед"],
["АТМОСФЕРА","ПОД ЗЕМЛЕЙ","AMBUndr","AMB","Subterranean, underground ambiences like sewers, bunkers, tunnels, dungeons, caves.","пещера, капель, эхо, канализация, бункер, туннель, подземелье, лавовая труба, подвал, подземный, затонувший, погребенный, под землей, подвал, шахта, рудник, проход, проезд"],
["АТМОСФЕРА","ПОД ВОДОЙ","AMBUndwtr","AMB","Underwater sounding ambiences, deep bubbles and that classic undersea world sound. See also WATER-UNDERWATER.","подводный, риф, коралл, океанская впадина, погруженный, подводный, субаквальный, затонувший корабль"],
["АТМОСФЕРА","БОЛЬШОЙ ГОРОД","AMBUrbn","AMB","Dense cities and environments. New York City or London or Mumbai. Often Dense Traffic, horns, pedestrians, buses, but really any city. Overlap with AMBIENCE-TOWN possible.","мегаполис, плотный город, город, центр города, внутренний город, мегаполис, шумный, час пик, перегруженный, центр города, трущобы, skid row, гетто, финансовый район"],
["АТМОСФЕРА","ВОЙНА","AMBWar","AMB","Battles, warfare, full ambiences here. Not for isolated WEAPONS or VEHICLES which have their own categories. Composite sounds of war.","война, военные действия, сражение, стычка, бой, схватка, бойцовский бой, штурм, наступление, блиц, воздушный налет, рейд, бомбардировка, шквал, фузиллада, блицкриг, залп, флак, бродсайд, канонада"],
["ЖИВОТНЫЕ","ЗЕМНОВОДНЫЕ","ANMLAmph","ANML","Technically any amphibian, but most likely used for frogs and toads.","лягушка, жаба, лягушка-бык, саламандра, тритон, лягушка-хорь, пищуха, квакша, аксолотль"],
["ЖИВОТНЫЕ","ВОДНЫЕ","ANMLAqua","ANML","All manner of marine and sea animals, not just mammals, but anything that lives in water.","кит, дельфин, морская свинья, морской лев, тюлень, косатка, касатка, ламантин, морж, слон, морская выдра, морская выдра, белуга, нарвал, дюгонь, акула, скат, медуза, кальмар, осьминог, крабы, омары, угорь"],
["ЖИВОТНЫЕ","ЛЕТУЧАЯ МЫШЬ","ANMLBat","ANML","Bat chirps, echolocation and communicative vocalization. Wings would go under WINGS-MISC.","летучая лиса, летучая мышь-вампир, фруктовая летучая мышь"],
["ЖИВОТНЫЕ","КОШКА ДОМАШНЯЯ","ANMLCat","ANML","Domesticated house cats. See also ANIMALS-CAT WILD.","мяукать, мурлыкать, котенок, киса, кошка, кошачья кошка"],
["ЖИВОТНЫЕ","КОШКА ДИКАЯ","ANMLWcat","ANML","Wild cats as opposed to domesticated cats. Tigers and Lions.","лев, тигр, пума, пума, леопард, ягуар, снежный барс, гепард, рысь, рысь, каракал, оцелот, пантера, сервал"],
["ЖИВОТНЫЕ","СОБАКА","ANMLDog","ANML","All Domesticated dogs, excluding wild dogs. Pet dogs. See also ANIMALS-WILD DOG for non-domesticated dogs.","собака, гончая, лай, щенок, собачка, лапчатый пес, дворняга, пух"],
["ЖИВОТНЫЕ","СОБАКА ДИКАЯ","ANMLWdog","ANML","Wild dogs and canines like Wolves, Foxes, Coyotes etc.","волк, лиса, койот, шакал, динго, волк, канид"],
["ЖИВОТНЫЕ","ФЕРМА","ANMLFarm","ANML","Domesticated mammals you'd find on a farm. For farm birds see BIRDS-FOWL. See also AMBIENCE-FARM.","корова, овца, коза, свинья, крупный рогатый скот, лама, альпака"],
["ЖИВОТНЫЕ","ЛОШАДЬ","ANMLHors","ANML","All members of the horse family, including donkeys and mules. See also FOOTSTEPS-HORSE and EQUIPMENT-BRIDLE.","осел, мул, осел, зебра"],
["ЖИВОТНЫЕ","НАСЕКОМОЕ","ANMLInsc","ANML","All manner of traditional insect sounds, crickets, cicada, flies and bees. And singular insect recordings. See also AMBIENCE-INSECT now for dense ambience style recordings.","кузнечик, сверчок, цикада, муха, пчела, оса, шершень, вета, коноголовка, саранча, жук, таракан"],
["ЖИВОТНЫЕ","РАЗНОЕ","ANMLMisc","ANML","Other animals not finding a clear category.","разное"],
["ЖИВОТНЫЕ","ПРИМАТ","ANMLPrim","ANML","All members of the primate family except humans. Apes, Chimps, etc.","шимпанзе, обезьяна, горилла, лемур, орангутанг, капуцин, мармозет, обезьяна, гиббон, бонобо, бабуин"],
["ЖИВОТНЫЕ","РЕПТИЛИЯ","ANMLRept","ANML","All reptiles including snakes, turtles and lizzards.","змея, ящерица, аллигатор, крокодил, черепаха, гариал, кайман, геккон"],
["ЖИВОТНЫЕ","ГРЫЗУН","ANMLRdnt","ANML","All manner 'gnawing' animals like rats and mice. Rodents.","мышь, мыши, крыса, белка, крот, дикобраз, морская свинка, бурундук, бобр, суслик, енот, прерийная собака, песчанка, хомяк, сурок, лемминг, ондатра, шиншилла, грызун"],
["ЖИВОТНЫЕ","ДИКИЕ","ANMLWild","ANML","Any wild animal not explicitly defined by the list, and not domesticated. Wolves and Coyotes now to go ANIMALS-DOG WILD","медведь, жираф, бегемот, слон, лось, олень, газель, барсук, муравьед, утконос, ленивец, росомаха, кабан, вомбат, коала, кенгуру, валлаби, вайлдбист, панда, антилопа, енот, лось, олень, носорог, ара, бородавочник, импала, гиппопотам, медовый барсук, буйвол, лось"],
["АРХИВ","РЕЧЕВОЕ ОЗВУЧАНИЕ","ADR","ADR","Re-recorded lines via the ADR process.","adr, петля, диалог замены"],
["АРХИВ","РЕСУРС","ASSET","ASSET","A delivered or stored asset, most likely for video game use, but something used in the development of a project.","актив, ресурс, метка"],
["АРХИВ","СВЕДЕННЫЙ ЗВУК","BNCE","BNCE","Bounces made for picture department, layered bounces.","отскок, сбой"],
["АРХИВ","ИМПУЛЬС","IR","IR","Impulse Responses, reverb and otherwise.","импульсный отклик, IR, altiverb, образец реверберации, сверточная реверберация"],
["АРХИВ","МАССОВКА","LPGRP","LPGRP","Loop group crowds or lines. Specifically recorded in a loop group envirment and needing to tracked as such.","группа циклов, валла"],
["АРХИВ","МИКС","MIX","MIX","Premixes, final mixes, mixdowns, stems.","предварительный микс, финальный микс, стем, M&E, миксдаун, принтмастер"],
["АРХИВ","ЗВУК С ПЛОЩАДКИ","PFX","PFX","FX Stolen from production takes only. Beware of possible rights issues.","производство"],
["АРХИВ","ПЛОЩАДКА","PROD","PROD","Production takes, dialog lines and other spoken line production takes.","производственный дубль, диалоговая линия, dx"],
["АРХИВ","НЕОБРАБОТАННЫЙ ЗВУК","RAW","RAW","Raw recording files, for example a load of a full DAT tape.","dat tape, raw files, unprocessed"],
["АРХИВ","ОБРАЗЕЦ","REF","REF","Reference material, often restricted, used for reference only. Beware of possible rights issues.","ссылка, вдохновение"],
["АРХИВ","СЦЕНА","SCNE","SCNE","Pre-built scenes and soundscapes, designed scenes. For example a fully build old-west scene.","готовый, предварительно построенный"],
["АРХИВ","ТЕСТ","TEST","TEST","Test tones used for calibration, ADR beeps, Pink Noise, Sine wave Sweeps.","звуковые сигналы adr, тестовые сигналы, биппинг-тон, 2pops, белый шум, розовый шум, синусоидальные колебания"],
["АРХИВ","ТОРГОВАЯ МАРКА","TMARK","TMARK","For trademarked or copyright sounds that you need to store in your library. Jingles, logos.","торговая марка, авторское право, звук продукта, лицензированный, зарегистрированный, легальный"],
["АРХИВ","HЕЗАВЕРШЕННЫЙ","WIP","WIP","Files that aren't fully metadata'd, or mastered, tag to remind you there is work to do. Recordings awaiting mastering.","незавершенная работа, wip, незаконченный"],
["АРХИВ","НЕВЕДОМОЕ","WTF","WTF","Literally what it says 'What the F_ck' is THIS sound... Strange otherwise uncategorizable sounds.","некатегоризуемый, неизвестный, шутки"],
["ЗВУКОВЫЕ СИГНАЛЫ","БЫТОВОЙ ПРИБОР","BEEPAppl","BEEP","Microwave oven beeps, dishwasher beeps.","микроволновая печь, посудомоечная машина, стиральная машина, сушилка"],
["ЗВУКОВЫЕ СИГНАЛЫ","ОБЫЧНЫЕ","BEEP","BEEP","Beep sounds not fitting another category in this list. User Interface beeps go to UI-BEEPS.","звуковой сигнал"],
["ЗВУКОВЫЕ СИГНАЛЫ","РЕТРО","BEEPLofi","BEEP","Very low fidelity, old 8-bit beeps.","atari, famicom, colecovision"],
["ЗВУКОВЫЕ СИГНАЛЫ","МЕДИЦИНСКИЕ","BEEPMed","BEEP","Beeps from various medical devices, EKG, Live Support.","ЭКГ, ЭКГ, КДК, кардиомонитор, флатлайн, УЗИ"],
["ЗВУКОВЫЕ СИГНАЛЫ","ТАЙМЕР","BEEPTimer","BEEP","Specifically timer beeps, counting down. Classic time bomb beeps.","микроволновая печь, таймер духовки, цифровые часы, таймер телефона"],
["ЗВУКОВЫЕ СИГНАЛЫ","ТРАСПОРТНОЕ СРЕДСТВО","BEEPVeh","BEEP","Backup beeps from a large truck or construction vehicle.","звуковой сигнал вилочного погрузчика, резервный звуковой сигнал"],
["КОЛОКОЛА","ДЛЯ ЖИВОТНЫХ","BELLAnml","BELL","Bells attached to animals, like cow and sheep bells, or a dog or cat collar with a bell on it.","коровий колокольчик, ястребиный колокольчик, ошейниковый колокольчик, овечий колокольчик"],
["КОЛОКОЛА","ДВЕРНЫЕ","BELLDoor","BELL","Mechanical doorbells. Would also maybe electronic doorbells in here as well to avoid confusion probably. Also see ALARMS-BUZZERS for a door buzzer.","дверной звонок, дверной колокольчик, динг-донг, тринг-донг"],
["КОЛОКОЛА","ГОНГ","BELLGong","BELL","A large flat circular disc hit with a mallet. With v8.2 of the list most of these would now go into MUSICAL-BELLS instead.","гонг, гамелан, агунг, чашечный гонг, там-там"],
["КОЛОКОЛА","РУЧНЫЕ","BELLHand","BELL","Small to medium hand bells, dinner bells. Musical bells like HANDBELLS and CARILLION now go into MUSICAL-BELLS.","ручной колокольчик, обеденный колокольчик, школьный колокольчик, колокольчик для алтаря, колокольчик для саней, бубенцы, колокольчик дворецкого"],
["КОЛОКОЛА","БОЛЬШИЕ","BELLLrg","BELL","Large bells like a church bell or tower bell, or city hall bells, Big Ben. Any large bell.","храмовый колокол, церковный колокол, звон, башенный колокол"],
["КОЛОКОЛА","РАЗНОЕ","BELLMisc","BELL","Bell sounds not fitting another category in this list.","велосипедный колокольчик, колокольчик для обслуживания, звонок"],
["ПТИЦЫ","ХИЩНИК","BIRDPrey","BIRD","Birds that prey on vertebrates, especially rodents. Raptors.","ястреб, орел, сокол, сова, гриф, кондор, канюк, коршун, скопа, лунь, пустельга, каракара"],
["ПТИЦЫ","ВОРОНА","BIRDCrow","BIRD","Birds in Corvid family, which includes crows and ravens.","ворон, ворона, сойка, голубая сойка, сорока, кедровка"],
["ПТИЦЫ","ОДОМАШНЕННЫЕ","BIRDFowl","BIRD","Landfowl, wildfowl and waterfowl, also poultry. Ground feeding and many water feeding birds.","курица, фазан, индейка, гусь, тетерев, утка, лебедь, куропатка, чирок, кряква, гага, гуан, чачала, курага, перепел, поганка, чукар, куропатка"],
["ПТИЦЫ","РАЗНОЕ","BIRDMisc","BIRD","Bird sounds not fitting another category in this list.","ани, дорожный бегун, кукушка, дятел, соловьи, ночницы, бедняга, колибри"],
["ПТИЦЫ","МОРСКИЕ","BIRDSea","BIRD","Birds that live mostly near the ocean. Seagulls, pelicans.","чайка, ганнет, альбатрос, баклан, пеликан, пингвин, буревестник, чайка, крачка, фрегат, олуша, устрица, ржанка, кулик, чернозобик, утка, выхухоль, пыжик, ауклея"],
["ПТИЦЫ","ПЕВЧИЕ","BIRDSong","BIRD","Specifically singing birds, warblers, robins, thrushes, what you imagine pretty dawn chorus birds.","голубь, мухоловка, пискулька, пересмешник, поползень, голубь, малиновка, воробей, ласточка, танагер, дрозд, вирео, пеночка, крапивник, синица, чижик, синица, пендулин, жаворонок, зимородок, поползень, древолаз, скребень, поползень, скворец, черный дрозд, дрозд-рябинник, воскобойка, чат, трупиал, кардинал, бантинг, черный дрозд"],
